duration,trust,placebo1,private,community,placebo2,coproduce,mc,sex,race,age,ideology,income,education,at,gw,gwh,rand,DV_DO,mcpass,atpass,mcatpass,trustprime,climatebelief,climatebelief_scale,white,black,hispanic,asian,other
68,73,33,65,66,75,63,2,0,white,30,2,3,2,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
72,87,92,77,80,95,89,1,0,white,44,2,4,6,80,1,1,Control,dv|placebo2|placebo|private|community,0,1,0,1,1,0.54212611,1,0,0,0,0
63,73,79,77,86,90,76,2,1,white,47,2,4,5,66,1,1,Corrupt,dv|private|placebo2|placebo|community,0,0,0,0,1,0.54212611,1,0,0,0,0
84,65,48,69,84,79,79,2,0,asian,22,2,4,6,80,1,1,Honest,dv|private|placebo2|community|placebo,1,1,1,2,1,0.54212611,0,0,0,1,0
106,89,96,90,92,92,92,2,0,white,36,4,1,3,80,-1,-1,Honest,dv|private|placebo2|community|placebo,1,1,1,2,-1,-3.310841601,1,0,0,0,0
93,60,40,27,100,86,70,2,0,white,38,1,1,2,80,1,1,Honest,dv|placebo2|community|placebo|private,1,1,1,2,1,0.54212611,1,0,0,0,0
66,51,58,51,59,59,60,2,0,white,28,5,5,6,80,1,1,Control,dv|community|placebo|placebo2|private,0,1,0,1,1,0.54212611,1,0,0,0,0
112,75,50,72,60,90,60,2,1,white,35,1,4,5,80,1,1,Honest,dv|private|placebo|placebo2|community,1,1,1,2,1,0.54212611,1,0,0,0,0
64,71,68,75,70,74,74,1,0,white,25,2,5,5,82,1,1,Honest,dv|private|community|placebo2|placebo,0,0,0,2,1,0.54212611,1,0,0,0,0
112,90,91,79,89,81,87,2,1,white,28,4,3,5,80,1,1,Control,dv|placebo2|placebo|private|community,0,1,0,1,1,0.54212611,1,0,0,0,0
117,66,92,62,64,92,99,4,1,hispanic,24,2,3,3,80,1,1,Control,dv|community|private|placebo|placebo2,1,1,1,1,1,0.54212611,0,0,1,0,0
97,63,60,39,58,51,60,2,0,white,30,4,2,2,80,1,0,Honest,dv|private|community|placebo|placebo2,1,1,1,2,0.5,-0.421115818,1,0,0,0,0
156,69,66,56,40,69,65,4,0,hispanic,32,3,2,4,80,1,1,Corrupt,dv|placebo2|placebo|community|private,0,1,0,0,1,0.54212611,0,0,1,0,0
111,0,0,0,50,30,0,4,0,other,34,3,4,5,80,1,0,Control,dv|private|community|placebo|placebo2,1,1,1,1,0.5,-0.421115818,0,0,0,0,1
162,66,24,70,91,78,92,4,1,white,53,5,5,5,80,0,0,Control,dv|placebo|placebo2|private|community,1,1,1,1,0,-1.384357745,1,0,0,0,0
131,68,78,70,71,80,88,1,0,white,43,3,2,5,80,1,1,Corrupt,dv|private|community|placebo|placebo2,1,1,1,0,1,0.54212611,1,0,0,0,0
143,10,30,10,100,30,100,1,0,white,58,3,5,3,80,1,0,Corrupt,dv|private|placebo2|placebo|community,1,1,1,0,0.5,-0.421115818,1,0,0,0,0
174,100,100,87,98,85,93,1,1,hispanic,36,1,1,6,80,1,1,Corrupt,dv|community|private|placebo|placebo2,1,1,1,0,1,0.54212611,0,0,1,0,0
168,30,50,100,100,50,100,4,0,black,28,3,4,2,80,1,1,Control,dv|community|placebo2|placebo|private,1,1,1,1,1,0.54212611,0,1,0,0,0
98,64,68,64,68,80,67,2,0,white,32,3,3,3,80,0,0,Control,dv|placebo|placebo2|private|community,0,1,0,1,0,-1.384357745,1,0,0,0,0
153,74,23,79,80,82,35,2,1,white,31,4,6,5,80,-1,0,Control,dv|private|community|placebo|placebo2,0,1,0,1,-0.5,-2.347599673,1,0,0,0,0
88,69,70,75,62,39,68,2,0,white,24,4,3,3,80,1,1,Control,dv|placebo|placebo2|private|community,0,1,0,1,1,0.54212611,1,0,0,0,0
196,30,52,50,84,100,50,1,1,hispanic,24,1,4,5,81,1,1,Corrupt,dv|placebo2|private|placebo|community,1,0,0,0,1,0.54212611,0,0,1,0,0
197,20,80,80,91,85,90,1,0,asian,41,2,4,5,80,1,1,Corrupt,dv|placebo2|placebo|private|community,1,1,1,0,1,0.54212611,0,0,0,1,0
99,78,82,85,71,78,78,2,1,black,41,4,3,5,80,0,0,Control,dv|placebo2|private|community|placebo,0,1,0,1,0,-1.384357745,0,1,0,0,0
154,60,88,81,100,78,71,4,0,hispanic,37,2,1,2,80,1,1,Control,dv|private|placebo2|placebo|community,1,1,1,1,1,0.54212611,0,0,1,0,0
140,0,50,0,100,100,100,1,0,white,32,1,3,6,80,1,1,Corrupt,dv|community|private|placebo2|placebo,1,1,1,0,1,0.54212611,1,0,0,0,0
115,50,50,0,100,100,100,4,1,white,49,4,4,3,80,1,1,Control,dv|community|placebo2|private|placebo,1,1,1,1,1,0.54212611,1,0,0,0,0
186,85,50,50,85,90,45,4,1,white,48,4,4,5,80,1,1,Control,dv|private|community|placebo2|placebo,1,1,1,1,1,0.54212611,1,0,0,0,0
174,62,61,71,67,68,75,2,0,hispanic,30,4,3,5,80,1,1,Honest,dv|placebo|community|placebo2|private,1,1,1,2,1,0.54212611,0,0,1,0,0
163,33,50,60,50,50,25,1,1,white,40,3,5,5,80,1,1,Corrupt,dv|private|community|placebo2|placebo,1,1,1,0,1,0.54212611,1,0,0,0,0
229,19,78,75,100,96,81,1,1,white,58,3,1,2,80,1,0,Corrupt,dv|placebo2|community|placebo|private,1,1,1,0,0.5,-0.421115818,1,0,0,0,0
85,77,50,82,74,92,77,1,1,white,34,2,6,4,80,1,1,Honest,dv|placebo|placebo2|private|community,0,1,0,2,1,0.54212611,1,0,0,0,0
67,53,65,63,60,66,56,2,0,white,28,4,5,6,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
144,70,60,80,72,90,75,2,0,white,36,5,5,5,79,1,1,Honest,dv|private|community|placebo2|placebo,1,0,0,2,1,0.54212611,1,0,0,0,0
166,60,50,45,88,100,79,4,1,white,NA,2,4,5,80,1,1,Control,dv|placebo|private|placebo2|community,1,1,1,1,1,0.54212611,1,0,0,0,0
210,48,0,86,100,0,6,4,1,white,35,3,1,2,80,1,1,Control,dv|private|placebo|placebo2|community,1,1,1,1,1,0.54212611,1,0,0,0,0
127,33,51,85,69,100,100,1,0,white,43,1,4,5,80,1,1,Corrupt,dv|community|placebo|private|placebo2,1,1,1,0,1,0.54212611,1,0,0,0,0
124,59,52,54,59,54,51,4,0,black,54,3,3,3,80,1,1,Control,dv|community|private|placebo|placebo2,1,1,1,1,1,0.54212611,0,1,0,0,0
174,17,50,42,100,100,90,1,1,white,39,2,4,6,80,1,1,Corrupt,dv|community|placebo|placebo2|private,1,1,1,0,1,0.54212611,1,0,0,0,0
164,70,73,72,81,72,70,4,0,black,44,3,1,5,80,-1,1,Control,dv|placebo2|private|placebo|community,1,1,1,1,0,-1.384357745,0,1,0,0,0
195,21,77,93,83,100,91,1,1,white,75,4,3,4,80,1,1,Corrupt,dv|community|placebo|placebo2|private,1,1,1,0,1,0.54212611,1,0,0,0,0
109,90,100,88,73,76,91,1,0,white,32,4,3,5,80,1,1,Honest,dv|placebo2|placebo|community|private,0,1,0,2,1,0.54212611,1,0,0,0,0
154,9,50,68,70,100,67,1,0,white,34,2,4,2,80,1,1,Corrupt,dv|community|placebo2|placebo|private,1,1,1,0,1,0.54212611,1,0,0,0,0
215,50,50,60,60,100,20,1,1,white,NA,1,1,3,80,1,1,Corrupt,dv|private|community|placebo|placebo2,1,1,1,0,1,0.54212611,1,0,0,0,0
92,51,81,78,51,92,20,4,0,white,43,3,1,4,80,1,1,Control,dv|placebo|placebo2|private|community,1,1,1,1,1,0.54212611,1,0,0,0,0
194,71,75,62,73,80,71,1,0,white,25,5,6,6,60,1,0,Corrupt,dv|community|placebo2|private|placebo,1,0,0,0,0.5,-0.421115818,1,0,0,0,0
180,75,50,78,91,89,93,2,1,white,71,4,5,6,80,1,1,Honest,dv|placebo|private|community|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
160,82,72,72,73,69,70,2,1,black,30,3,4,6,80,-1,0,Control,dv|placebo2|private|community|placebo,0,1,0,1,-0.5,-2.347599673,0,1,0,0,0
135,75,50,85,70,96,91,2,0,white,46,2,6,6,80,1,1,Honest,dv|private|placebo2|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
158,69,95,100,89,100,95,4,0,white,38,3,3,5,80,1,1,Control,dv|placebo|community|placebo2|private,1,1,1,1,1,0.54212611,1,0,0,0,0
259,85,70,85,80,95,90,2,0,white,76,3,5,5,80,1,1,Honest,dv|private|placebo2|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
186,90,50,65,100,100,100,2,0,white,46,2,6,5,80,1,1,Honest,dv|placebo2|placebo|private|community,1,1,1,2,1,0.54212611,1,0,0,0,0
282,65,80,90,95,75,30,4,0,hispanic,22,3,5,4,80,1,1,Control,dv|placebo2|private|placebo|community,1,1,1,1,1,0.54212611,0,0,1,0,0
112,13,45,42,100,100,66,1,0,white,32,2,5,5,80,1,1,Corrupt,dv|placebo|private|community|placebo2,1,1,1,0,1,0.54212611,1,0,0,0,0
134,100,19,100,96,13,25,4,0,black,40,1,4,5,80,-1,-1,Control,dv|private|community|placebo2|placebo,1,1,1,1,-1,-3.310841601,0,1,0,0,0
114,10,40,66,66,24,85,4,1,white,39,4,3,4,80,1,1,Control,dv|community|placebo2|placebo|private,1,1,1,1,1,0.54212611,1,0,0,0,0
155,75,66,35,100,100,100,2,1,white,30,1,4,2,80,1,1,Honest,dv|private|community|placebo2|placebo,1,1,1,2,1,0.54212611,1,0,0,0,0
103,75,60,40,85,100,70,2,0,white,33,1,1,5,80,1,1,Honest,dv|private|placebo2|community|placebo,1,1,1,2,1,0.54212611,1,0,0,0,0
93,90,73,61,78,73,81,1,0,white,30,2,1,5,56,1,1,Corrupt,dv|placebo|community|private|placebo2,1,0,0,0,1,0.54212611,1,0,0,0,0
178,56,58,76,61,57,62,2,0,white,30,3,4,5,80,1,0,Honest,dv|community|placebo2|private|placebo,1,1,1,2,0.5,-0.421115818,1,0,0,0,0
125,93,88,75,63,78,66,2,0,black,32,5,2,6,80,1,0,Control,dv|placebo|private|placebo2|community,0,1,0,1,0.5,-0.421115818,0,1,0,0,0
77,70,66,55,70,58,68,2,0,white,29,2,5,5,64,1,0,Control,dv|placebo|placebo2|community|private,0,0,0,1,0.5,-0.421115818,1,0,0,0,0
163,65,50,35,91,86,81,2,1,white,45,2,7,6,80,1,1,Honest,dv|placebo|private|community|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
293,0,50,28,83,100,81,1,1,white,38,3,4,3,80,0,0,Corrupt,dv|private|placebo|placebo2|community,1,1,1,0,0,-1.384357745,1,0,0,0,0
206,80,0,0,80,0,50,2,0,white,62,5,1,5,80,1,0,Honest,dv|placebo2|private|community|placebo,1,1,1,2,0.5,-0.421115818,1,0,0,0,0
170,15,50,34,100,71,71,1,0,white,25,3,2,5,80,1,0,Corrupt,dv|placebo2|private|community|placebo,1,1,1,0,0.5,-0.421115818,1,0,0,0,0
250,35,34,98,90,100,75,4,1,asian,39,2,5,7,80,1,1,Control,dv|community|placebo2|private|placebo,1,1,1,1,1,0.54212611,0,0,0,1,0
179,74,68,81,75,79,78,2,0,hispanic,55,1,4,5,80,NA,0,Honest,dv|private|community|placebo|placebo2,1,1,1,2,NA,NA,0,0,1,0,0
277,72,81,82,80,82,100,2,1,asian,31,3,1,5,80,1,1,Honest,dv|placebo|placebo2|community|private,1,1,1,2,1,0.54212611,0,0,0,1,0
190,50,9,20,19,9,2,4,0,white,55,4,4,5,80,1,0,Control,dv|private|community|placebo2|placebo,1,1,1,1,0.5,-0.421115818,1,0,0,0,0
74,63,62,59,65,67,51,2,0,white,28,4,5,6,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
117,31,83,20,86,92,91,4,1,black,42,2,4,3,80,1,1,Control,dv|placebo|placebo2|private|community,1,1,1,1,1,0.54212611,0,1,0,0,0
201,75,51,61,81,100,80,2,0,white,32,3,5,3,80,1,1,Honest,dv|community|placebo2|private|placebo,1,1,1,2,1,0.54212611,1,0,0,0,0
214,93,100,100,84,90,93,2,0,white,45,5,5,5,80,1,1,Control,dv|community|placebo2|private|placebo,0,1,0,1,1,0.54212611,1,0,0,0,0
93,3,30,80,79,100,0,1,0,black,22,2,3,2,80,1,1,Corrupt,dv|placebo|community|placebo2|private,1,1,1,0,1,0.54212611,0,1,0,0,0
107,82,83,9,58,71,69,2,0,white,35,4,5,5,80,0,0,Honest,dv|placebo2|private|community|placebo,1,1,1,2,0,-1.384357745,1,0,0,0,0
158,88,84,98,81,91,83,1,0,white,32,4,5,6,80,1,1,Control,dv|placebo|private|community|placebo2,0,1,0,1,1,0.54212611,1,0,0,0,0
234,74,75,71,71,81,51,4,1,white,60,2,6,5,80,0,1,Control,dv|community|private|placebo2|placebo,1,1,1,1,0.5,-0.421115818,1,0,0,0,0
225,30,50,70,61,80,80,1,1,white,57,3,7,6,80,1,1,Corrupt,dv|community|placebo|placebo2|private,1,1,1,0,1,0.54212611,1,0,0,0,0
171,80,4,70,24,0,12,2,1,white,30,5,3,5,80,-1,-1,Honest,dv|private|community|placebo2|placebo,1,1,1,2,-1,-3.310841601,1,0,0,0,0
105,76,71,73,71,70,76,1,0,hispanic,30,4,3,5,80,1,1,Corrupt,dv|placebo2|private|community|placebo,1,1,1,0,1,0.54212611,0,0,1,0,0
147,20,10,0,83,40,13,1,1,hispanic,27,1,1,3,80,1,1,Corrupt,dv|placebo2|community|placebo|private,1,1,1,0,1,0.54212611,0,0,1,0,0
119,90,51,61,70,94,60,2,0,white,46,1,2,2,80,1,1,Honest,dv|placebo2|placebo|private|community,1,1,1,2,1,0.54212611,1,0,0,0,0
203,71,30,71,62,72,69,2,1,asian,26,2,5,5,80,0,0,Honest,dv|private|placebo|community|placebo2,1,1,1,2,0,-1.384357745,0,0,0,1,0
276,40,59,40,61,39,40,2,0,white,25,2,2,5,80,1,0,Control,dv|placebo|placebo2|community|private,0,1,0,1,0.5,-0.421115818,1,0,0,0,0
272,83,87,77,90,74,83,1,0,white,27,1,5,6,80,1,0,Honest,dv|private|community|placebo2|placebo,0,1,0,2,0.5,-0.421115818,1,0,0,0,0
91,81,80,82,76,70,89,1,0,white,48,2,3,5,81,1,0,Corrupt,dv|community|placebo2|placebo|private,1,0,0,0,0.5,-0.421115818,1,0,0,0,0
307,76,88,77,92,72,77,1,1,white,36,1,5,5,80,-1,0,Control,dv|private|placebo|placebo2|community,0,1,0,1,-0.5,-2.347599673,1,0,0,0,0
239,34,51,69,72,84,51,4,0,white,62,2,2,2,80,1,1,Control,dv|private|placebo2|placebo|community,1,1,1,1,1,0.54212611,1,0,0,0,0
141,80,79,65,83,67,83,1,1,white,46,5,2,5,74,1,1,Honest,dv|placebo|private|community|placebo2,0,0,0,2,1,0.54212611,1,0,0,0,0
176,20,40,70,100,100,82,4,1,white,63,1,3,5,80,1,1,Control,dv|placebo2|placebo|community|private,1,1,1,1,1,0.54212611,1,0,0,0,0
271,99,60,73,77,46,88,2,0,white,35,5,2,5,80,1,1,Honest,dv|placebo|placebo2|community|private,1,1,1,2,1,0.54212611,1,0,0,0,0
114,63,81,63,78,71,25,4,0,white,30,3,5,8,80,1,0,Control,dv|placebo2|placebo|private|community,1,1,1,1,0.5,-0.421115818,1,0,0,0,0
273,24,51,51,56,87,51,1,0,white,46,1,2,2,80,1,1,Corrupt,dv|private|placebo2|community|placebo,1,1,1,0,1,0.54212611,1,0,0,0,0
156,79,71,63,69,85,83,1,0,white,37,2,5,5,80,1,-1,Honest,dv|placebo|community|private|placebo2,0,1,0,2,0,-1.384357745,1,0,0,0,0
359,91,99,96,88,89,91,2,1,black,46,2,3,6,80,1,1,Honest,dv|private|placebo2|placebo|community,1,1,1,2,1,0.54212611,0,1,0,0,0
277,72,70,73,81,78,71,2,0,black,65,4,3,6,80,0,0,Honest,dv|private|community|placebo|placebo2,1,1,1,2,0,-1.384357745,0,1,0,0,0
173,50,51,30,85,51,12,4,0,white,41,4,5,5,80,-1,-1,Control,dv|community|private|placebo2|placebo,1,1,1,1,-1,-3.310841601,1,0,0,0,0
215,89,43,28,59,96,53,2,1,white,38,3,1,4,80,1,1,Honest,dv|community|private|placebo|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
57,67,60,64,66,61,59,2,0,white,28,4,5,6,80,1,1,Corrupt,dv|placebo|community|placebo2|private,0,1,0,0,1,0.54212611,1,0,0,0,0
239,25,95,60,75,100,78,1,1,white,52,2,4,3,80,1,1,Corrupt,dv|community|placebo2|private|placebo,1,1,1,0,1,0.54212611,1,0,0,0,0
299,91,82,88,74,70,80,2,0,black,41,2,5,6,80,1,0,Honest,dv|placebo2|placebo|community|private,1,1,1,2,0.5,-0.421115818,0,1,0,0,0
183,64,65,40,58,58,64,2,0,white,30,2,5,5,80,1,1,Honest,dv|community|private|placebo|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
159,81,84,85,81,68,83,2,0,black,39,5,2,5,80,1,0,Honest,dv|community|placebo2|private|placebo,1,1,1,2,0.5,-0.421115818,0,1,0,0,0
225,9,52,72,81,100,86,1,0,white,54,2,6,5,80,1,1,Corrupt,dv|private|placebo|placebo2|community,1,1,1,0,1,0.54212611,1,0,0,0,0
194,95,61,58,82,79,85,2,1,white,57,4,2,2,80,-1,-1,Honest,dv|placebo|placebo2|private|community,1,1,1,2,-1,-3.310841601,1,0,0,0,0
99,72,51,51,61,93,74,2,0,white,39,3,4,5,80,1,1,Control,dv|placebo2|community|placebo|private,0,1,0,1,1,0.54212611,1,0,0,0,0
309,94,84,86,90,89,76,2,0,other,68,2,4,6,80,1,1,Honest,dv|placebo|community|private|placebo2,1,1,1,2,1,0.54212611,0,0,0,0,1
75,29,87,15,52,90,83,1,0,white,34,2,2,2,34,1,1,Control,dv|placebo|community|placebo2|private,0,0,0,1,1,0.54212611,1,0,0,0,0
138,95,96,90,95,96,95,1,0,black,36,5,4,6,80,1,1,Control,dv|placebo|community|private|placebo2,0,1,0,1,1,0.54212611,0,1,0,0,0
132,4,0,55,55,100,80,1,0,white,48,1,6,5,80,1,1,Corrupt,dv|placebo2|private|placebo|community,1,1,1,0,1,0.54212611,1,0,0,0,0
137,91,51,70,68,100,63,2,1,white,27,2,3,5,80,1,1,Honest,dv|placebo|community|placebo2|private,1,1,1,2,1,0.54212611,1,0,0,0,0
165,75,44,60,80,57,20,4,0,white,36,4,4,4,80,1,0,Control,dv|private|community|placebo|placebo2,1,1,1,1,0.5,-0.421115818,1,0,0,0,0
236,20,50,50,70,90,50,1,1,black,33,1,1,4,80,1,1,Corrupt,dv|placebo|community|private|placebo2,1,1,1,0,1,0.54212611,0,1,0,0,0
188,72,72,68,75,41,81,2,0,white,55,3,3,5,NA,1,0,Corrupt,dv|private|placebo2|placebo|community,0,NA,0,0,0.5,-0.421115818,1,0,0,0,0
235,84,81,79,87,89,91,4,0,white,61,4,4,6,81,1,-1,Control,dv|community|private|placebo2|placebo,1,0,0,1,0,-1.384357745,1,0,0,0,0
92,79,80,89,100,100,94,1,0,white,30,3,4,5,90,1,1,Control,dv|placebo|community|private|placebo2,0,0,0,1,1,0.54212611,1,0,0,0,0
256,70,53,80,85,55,54,4,1,asian,31,2,2,4,80,-1,0,Control,dv|community|placebo|private|placebo2,1,1,1,1,-0.5,-2.347599673,0,0,0,1,0
177,75,76,82,75,69,75,1,0,black,40,4,3,5,83,-1,0,Corrupt,dv|placebo2|private|community|placebo,1,0,0,0,-0.5,-2.347599673,0,1,0,0,0
138,85,87,96,80,74,86,1,0,black,30,4,4,5,80,1,1,Control,dv|community|private|placebo2|placebo,0,1,0,1,1,0.54212611,0,1,0,0,0
313,76,76,70,68,86,77,4,0,white,36,1,4,6,80,1,0,Corrupt,dv|placebo|placebo2|community|private,0,1,0,0,0.5,-0.421115818,1,0,0,0,0
266,90,83,88,83,88,88,1,0,black,40,4,3,5,80,1,1,Control,dv|placebo2|community|private|placebo,0,1,0,1,1,0.54212611,0,1,0,0,0
105,14,57,72,100,95,100,1,0,white,38,4,6,6,80,1,1,Corrupt,dv|private|placebo2|placebo|community,1,1,1,0,1,0.54212611,1,0,0,0,0
63,65,63,58,72,62,61,2,0,white,28,4,5,6,80,1,1,Control,dv|community|private|placebo2|placebo,0,1,0,1,1,0.54212611,1,0,0,0,0
334,19,78,30,71,100,86,1,1,white,65,1,3,5,80,1,1,Corrupt,dv|community|placebo2|placebo|private,1,1,1,0,1,0.54212611,1,0,0,0,0
251,81,86,86,67,82,85,2,0,black,34,4,4,6,80,1,1,Honest,dv|placebo2|community|private|placebo,1,1,1,2,1,0.54212611,0,1,0,0,0
308,90,88,92,86,89,93,2,1,black,47,5,2,6,80,1,1,Control,dv|private|placebo2|placebo|community,0,1,0,1,1,0.54212611,0,1,0,0,0
168,100,92,100,100,100,100,1,1,white,38,1,6,5,80,1,1,Control,dv|community|placebo|private|placebo2,0,1,0,1,1,0.54212611,1,0,0,0,0
158,90,35,30,70,100,80,2,0,white,20,2,5,3,80,1,1,Honest,dv|placebo2|community|placebo|private,1,1,1,2,1,0.54212611,1,0,0,0,0
117,94,94,92,97,92,92,2,0,white,28,5,7,6,80,1,0,Honest,dv|placebo2|community|placebo|private,1,1,1,2,0.5,-0.421115818,1,0,0,0,0
64,86,92,92,75,75,90,1,0,white,30,3,4,5,90,1,1,Corrupt,dv|community|placebo|placebo2|private,1,0,0,0,1,0.54212611,1,0,0,0,0
182,60,20,95,95,20,25,1,0,white,48,4,6,5,80,1,0,Corrupt,dv|placebo2|private|placebo|community,1,1,1,0,0.5,-0.421115818,1,0,0,0,0
150,90,93,90,82,96,80,2,1,asian,36,3,6,8,80,1,1,Honest,dv|private|community|placebo2|placebo,1,1,1,2,1,0.54212611,0,0,0,1,0
361,92,93,33,66,84,71,2,0,white,23,2,4,6,80,1,1,Honest,dv|placebo2|placebo|private|community,1,1,1,2,1,0.54212611,1,0,0,0,0
122,29,50,60,81,52,70,1,0,hispanic,44,3,5,5,80,1,1,Corrupt,dv|community|placebo2|placebo|private,1,1,1,0,1,0.54212611,0,0,1,0,0
265,100,100,93,100,100,97,1,0,white,50,2,4,4,80,1,0,Control,dv|community|placebo2|placebo|private,0,1,0,1,0.5,-0.421115818,1,0,0,0,0
295,0,50,100,100,100,100,1,1,black,23,1,5,2,80,1,0,Honest,dv|private|placebo2|community|placebo,0,1,0,2,0.5,-0.421115818,0,1,0,0,0
98,72,78,68,72,71,76,1,0,white,39,3,5,5,80,1,0,Corrupt,dv|placebo2|community|placebo|private,1,1,1,0,0.5,-0.421115818,1,0,0,0,0
65,78,64,75,73,69,71,2,0,white,28,3,3,1,80,1,1,Honest,dv|community|placebo2|private|placebo,1,1,1,2,1,0.54212611,1,0,0,0,0
