duration,agree,lt_follow,ht_follow,competence,benevolence,honesty,PPP,PCP,coproduce,sex,race,age,ideology,income,education,at,gw,gwh,covid_concern,covid_job,rand,trust_DO,dv_DO,climatebelief,covid,white,black,hispanic,asian,other,trustprime
80,1,NA,NA,2,3,2,76,83,63,1,white,33,1,2,3,80,1,1,3,4,control,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,7,1,0,0,0,0,1
94,1,16,NA,5,7,6,82,84,73,1,white,35,4,5,5,80,1,1,5,4,lt,trust intro|competence|honesty|benevolence,PPP|coproduce|PCP,1,9,1,0,0,0,0,0
164,1,12,NA,4,4,3,30,86,43,0,asian,48,3,3,7,80,1,1,3,3,lt,trust intro|benevolence|competence|honesty,coproduce|PPP|PCP,1,6,0,0,0,1,0,0
139,1,13,NA,6,5,4,50,100,65,0,white,34,1,1,3,80,1,1,4,1,lt,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,1,5,1,0,0,0,0,0
163,1,NA,15,6,7,6,72,70,58,0,white,28,4,4,3,80,1,1,2,2,ht,trust intro|benevolence|honesty|competence,PPP|PCP|coproduce,1,4,1,0,0,0,0,2
154,1,NA,16,6,5,5,80,89,77,1,white,57,2,4,5,80,1,1,4,4,ht,trust intro|competence|honesty|benevolence,coproduce|PPP|PCP,1,8,1,0,0,0,0,2
216,1,12,NA,2,2,1,0,85,60,1,white,51,2,1,5,80,1,1,4,3,lt,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,1,7,1,0,0,0,0,0
129,1,NA,NA,5,5,3,82,98,91,1,white,39,4,4,4,80,0,1,2,4,control,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,0.5,6,1,0,0,0,0,1
173,1,NA,12,6,4,2,72,61,51,0,white,55,1,3,5,80,1,1,5,5,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,10,1,0,0,0,0,2
69,1,NA,14,4,4,4,36,100,50,1,white,37,2,5,5,80,1,1,4,1,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,5,1,0,0,0,0,2
