game,country,platform,dt,norm_users,norm_purch_users,norm_videos,purchsmooth,year,month,apple,google,post,window,userssmooth,postxapple,forpan,cgn
W1,DE,android,2021-04-10,1.0551311,0.90474635,0.77320457,0.5866052,2021,4,0.0,1.0,0.0,1.0,1.0763909,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-11,1.1355354,0.67254686,1.0040871,0.56983286,2021,4,0.0,1.0,0.0,1.0,1.0670204,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-12,1.1566944,0.16506104,0.9273931,0.5854209,2021,4,0.0,1.0,0.0,1.0,1.0678768,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-13,1.1517574,0.44204956,0.9126063,0.524246,2021,4,0.0,1.0,0.0,1.0,1.0645518,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-14,1.1496414,0.44286317,0.9520999,0.5718183,2021,4,0.0,1.0,0.0,1.0,1.0623351,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-15,1.1295403,0.78880244,0.8956173,0.55967396,2021,4,0.0,1.0,0.0,1.0,1.088784,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-16,1.1387093,0.8383404,0.9566967,0.5798225,2021,4,0.0,1.0,0.0,1.0,1.1097919,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-17,1.1207241,0.68143517,0.9183687,0.6077728,2021,4,0.0,1.0,0.0,1.0,1.1310014,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-18,1.1630422,0.7113607,1.0054185,0.5758712,2021,4,0.0,1.0,0.0,1.0,1.1403718,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-19,1.1348301,0.6168844,0.8918001,0.5814161,2021,4,0.0,1.0,0.0,1.0,1.1443013,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-20,1.1383566,0.50316006,0.8743323,0.64596224,2021,4,0.0,1.0,0.0,1.0,1.1411778,0.0,W1_DE_android,DE_W1
W1,DE,android,2021-04-21,1.1341248,0.5611528,0.8398449,0.65469235,2021,4,0.0,1.0,0.0,1.0,1.1392634,0.0,W1_DE_android,DE_W1
