czone,statefip,city,yr,t2,timepwt48,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_popcount,l_no_workers_totcbp,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,l_sh_empl,l_sh_empl_mfg,l_sh_empl_mfg_m,l_sh_empl_mfg_f,l_sh_empl_mfg_edu_nc,l_sh_empl_mfg_edu_c,l_sh_empl_mfg_age1634,l_sh_empl_mfg_age3549,l_sh_empl_mfg_age5064,l_sh_empl_nmfg,l_sh_empl_nmfg_m,l_sh_empl_nmfg_f,l_sh_empl_nmfg_edu_nc,l_sh_empl_nmfg_edu_c,l_sh_empl_nmfg_age1634,l_sh_empl_nmfg_age3549,l_sh_empl_nmfg_age5064,l_sh_unempl,l_sh_unempl_m,l_sh_unempl_f,l_sh_unempl_edu_nc,l_sh_unempl_edu_c,l_sh_unempl_age1634,l_sh_unempl_age3549,l_sh_unempl_age5064,l_sh_nilf,l_sh_nilf_m,l_sh_nilf_f,l_sh_nilf_edu_nc,l_sh_nilf_edu_c,l_sh_nilf_age1634,l_sh_nilf_age3549,l_sh_nilf_age5064,l_sh_ssadiswkrs,l_avg_lnwkwage_mfg,l_avg_lnwkwage_nmfg,l_trans_totindiv_pc,l_trans_totmed_pc,l_trans_fedinc_pc,l_trans_othinc_pc,l_trans_unemp_pc,l_trans_taaimp_pc,l_trans_totedu_pc,l_trans_ssaret_pc,l_trans_ssadis_pc,l_avg_hhincsum_pc_pw,l_avg_hhincwage_pc_pw,l_tradeusch_pw,l_tradeotch_pw,d_tradeusch_pw,d_tradeotch_pw_lag,lnchg_popworkage,lnchg_popworkage_edu_c,lnchg_popworkage_edu_nc,lnchg_popworkage_age1634,lnchg_popworkage_age3549,lnchg_popworkage_age5064,d_popcount,d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,d_sh_empl_mfg_m,d_sh_empl_nmfg_m,d_sh_empl_mfg_f,d_sh_empl_nmfg_f,d_sh_empl_mfg_edu_nc,d_sh_empl_nmfg_edu_nc,d_sh_empl_mfg_edu_c,d_sh_empl_nmfg_edu_c,d_sh_empl_mfg_age1634,d_sh_empl_nmfg_age1634,d_sh_empl_mfg_age3549,d_sh_empl_nmfg_age3549,d_sh_empl_mfg_age5064,d_sh_empl_nmfg_age5064,d_sh_empl_edu_c,d_sh_empl_edu_nc,d_sh_unempl,d_sh_unempl_m,d_sh_unempl_f,d_sh_unempl_edu_nc,d_sh_unempl_edu_c,d_sh_unempl_age1634,d_sh_unempl_age3549,d_sh_unempl_age5064,d_sh_nilf,d_sh_nilf_m,d_sh_nilf_f,d_sh_nilf_edu_nc,d_sh_nilf_edu_c,d_sh_nilf_age1634,d_sh_nilf_age3549,d_sh_nilf_age5064,d_sh_ssadiswkrs,d_avg_lnwkwage,d_avg_lnwkwage_c,d_avg_lnwkwage_nc,d_avg_lnwkwage_m,d_avg_lnwkwage_f,d_avg_lnwkwage_c_m,d_avg_lnwkwage_c_f,d_avg_lnwkwage_nc_m,d_avg_lnwkwage_nc_f,d_avg_lnwkwage_mfg,d_avg_lnwkwage_mfg_c,d_avg_lnwkwage_mfg_nc,d_avg_lnwkwage_nmfg,d_avg_lnwkwage_nmfg_c,d_avg_lnwkwage_nmfg_nc,lnchg_no_empl,lnchg_no_empl_mfg,lnchg_no_empl_nmfg,lnchg_no_empl_mfg_edu_nc,lnchg_no_empl_nmfg_edu_nc,lnchg_no_empl_mfg_edu_c,lnchg_no_empl_nmfg_edu_c,lnchg_no_unempl,lnchg_no_nilf,lnchg_no_ssadiswkrs,lnchg_trans_totindiv_pc,lnchg_trans_totmed_pc,lnchg_trans_fedinc_pc,lnchg_trans_othinc_pc,lnchg_trans_unemp_pc,lnchg_trans_taaimp_pc,lnchg_trans_totedu_pc,lnchg_trans_ssaret_pc,lnchg_trans_ssadis_pc,d_trans_totindiv_pc,d_trans_totmed_pc,d_trans_fedinc_pc,d_trans_othinc_pc,d_trans_unemp_pc,d_trans_taaimp_pc,d_trans_totedu_pc,d_trans_ssaret_pc,d_trans_ssadis_pc,relchg_avg_hhincsum_pc_pw,relchg_avg_hhincwage_pc_pw,relchg_avg_hhincbusinv_pc_pw,relchg_avg_hhinctrans_pc_pw,relchg_avg_hhincrest_pc_pw,relchg_med_hhincsum_pc_pw,relchg_med_hhincwage_pc_pw,d_avg_hhincsum_pc_pw,d_avg_hhincwage_pc_pw,d_avg_hhincbusinv_pc_pw,d_avg_hhinctrans_pc_pw,d_avg_hhincrest_pc_pw,d_med_hhincsum_pc_pw,d_med_hhincwage_pc_pw,d_tradex_usch_pw,d_tradex_otch_pw_lag,d_tradeusch_netinput_pw,d_inputotch_pw_lag,d_netimpusch_pw,d_expotch_pw_lag,d_traderes_pw_lag,d_nettradefactor_usch_io,d_tradefactor_otch_lag_io,d_expfactor_otch_lag_io,d_tradeuschlw_pw,d_tradeotchlw_pw_lag,d_tradeuschce_pw,d_tradeotchce_pw_lag,d_tradeusce_pw,d_tradeotce_pw_lag,d_tradeushi_pw,d_tradeothi_pw_lag
100.0,47,undefined,1990,0,0.0021135223,0,0,0,0,1,0,0,0,520876.5725826025,179838.0,39.787476,33.884003,1.0654762,57.659035,31.322742,-0.17480724,66.59923,20.529799,26.794666,14.5227,21.709044,18.180445,19.112692,24.925209,17.02401,46.069424,49.12838,43.136333,38.005127,62.13559,46.805733,52.3187,36.216187,4.7420993,5.4908934,4.024114,5.644361,2.9445627,7.191812,3.386289,2.2616963,28.658672,18.586061,38.316853,34.64147,16.739407,26.889763,19.369804,44.498108,3.2236874,6.3452654,6.145575,3488.159,1123.3013,264.95044,68.755394,74.49951,0.7669418,46.747047,1140.0117,230.05643,22939.152,17777.697,1.3084980573281308,1.2560375650492452,5.293786338666029,2.2788275965014972,9.819573,31.467924,-3.1139898,-4.6981373,15.531534,24.551508,56997.96,0.15873909,-3.8059785,3.9647162,-3.9163442,1.0646552,-3.8856268,6.7406626,-3.8520126,3.2175303,-3.0542226,0.32100677,-4.3966575,6.773579,-4.071042,1.583749,-2.8116732,4.2989197,-2.7332158,-0.6344825,-1.0439727,-1.451083,-0.66391003,-1.008486,-0.5684752,-1.6941175,-0.14464743,-0.37001258,0.88523626,4.302768,-2.1911263,1.6429693,3.301692,-0.682801,2.6319385,-1.1172354,2.1959693,11.314535,7.623577,9.610462,8.091927,16.92996,5.03335,14.154863,6.5966606,13.121891,12.459421,5.1095486,11.755133,12.327099,9.579515,10.328484,10.057637,-10.684761,18.075182,-22.647152,5.0127025,13.076247,31.983217,-15.045786,12.86172,61.770237,40.45849,68.45712,-2.7941628,95.88681,-2.4062912,151.13156,34.40867,23.967358,59.140236,1739.476,1104.117,-7.300675,110.60969,-1.7712786,2.7093675,19.199055,308.7542,185.5451,22.470053,16.417482,38.87755,37.06226,70.07946,17.89637,15.986219,5154.4395,2918.6504,1425.0056,266.78064,544.00415,3337.4688,2465.2715,5.528661086281083,2.4858033378674733,4.777857,0.46206131147596174,5.556817,0.9240319883318071,0.9193604927499552,4.8153715,2.2365222018971904,0.47366728245035833,5.7450852,2.4371889,11.72344,2.3637543,6.429653385459212,0.08492678369535617,8.08631833964631,3.3986343135937442
100.0,47,undefined,2000,1,0.0020668886,0,0,0,0,1,0,0,0,577874.5353423357,210259.0,29.703432,42.118324,1.7894421,60.51407,31.796432,-0.6689049,66.757965,16.72382,22.878323,10.6370735,17.85703,15.126223,14.716034,20.854168,14.2123375,50.03414,50.193035,49.876995,41.222656,62.456596,53.57931,53.902447,40.515106,3.6981266,4.0398107,3.360204,4.6358747,2.3760874,5.497695,3.2416415,1.8916838,29.54391,22.88883,36.125725,36.28444,20.041098,26.20696,22.001743,43.38087,5.419657,6.4698596,6.268846,5227.635,2227.4182,257.64975,179.3651,72.72824,3.4763095,65.946106,1448.766,415.60156,28093.592,20696.348,2.481448630864964,2.1090591108048784,6.619860996926994,8.968400138934589,2.522268,18.185123,-9.730373,-2.6545308,-4.4522276,16.990059,23213.443,-1.8452065,-4.6216717,2.7764695,-5.0327353,2.2786005,-4.1413283,3.2664835,-5.0274367,0.31487006,-3.746054,2.480839,-7.9618683,3.7664433,-3.3273165,3.638404,-1.6276197,2.5317924,-1.2652149,-4.712567,1.5897937,1.4565682,1.7246779,2.1675756,1.2550546,3.1540148,1.2981019,0.42551383,0.2554059,1.2975698,-0.84983027,2.5449862,0.010160463,1.0414081,-1.6091913,-1.3296818,3.776659,1.8803732,1.9151824,-5.2165303,0.32132012,5.592074,-0.7879393,7.2828703,-4.62968,-6.3123703,8.448805,10.774203,1.7873218,2.0827565,2.144541,-5.4439135,-0.26883632,-28.189941,7.966359,-41.08697,-8.968572,-9.012377,22.103006,40.104393,3.3841615,59.27836,47.70935,58.300728,31.303226,83.55844,4.40273,50.785942,86.72543,32.383266,66.323044,2961.0437,1603.6302,90.17148,203.66336,3.2518804,2.1200333,78.670074,526.5892,350.79062,-2.4173129,-0.5806079,-27.87271,54.993397,24.034079,-6.2033534,-12.251999,-679.1099,-120.16462,-1418.8253,542.56384,317.31516,-1363.8895,-2191.4536,7.358641010718421,10.083109681950688,5.361486,1.780930577426188,5.2507935,4.374615545226723,10.429327499018424,4.719849,7.756200731950626,2.385448214763552,7.433516,9.709133,10.229408,9.147025,3.609547613526899,0.17862519871337518,7.066725853859291,24.310005072190375
200.0,47,undefined,1990,0,0.0007316998,0,0,0,0,1,0,0,0,180327.066532135,60403.0,42.233,31.591215,0.9652396,57.38973,29.615757,-0.13212615,65.90178,17.946482,22.318438,13.749491,19.315348,14.8901205,16.418882,21.872639,15.26874,47.9553,52.450245,43.64024,40.309723,65.02611,48.295147,53.919655,38.969532,5.5291944,6.018156,5.0598006,6.646343,3.0348582,8.056762,4.4228153,2.407259,28.569025,19.213161,37.55047,33.72859,17.048908,27.229208,19.78489,43.35447,3.2164567,6.2902007,6.175595,3240.0388,1064.6558,296.904,80.041695,122.12538,1.1714371,42.440334,977.23004,225.65678,23266.844,17645.734,0.6476372977507117,0.433644481553055,3.030479166438892,2.7977347122308376,25.652657,33.987854,21.681732,13.280781,32.33913,36.82623,47651.934,2.535355,-0.681448,3.216803,0.96793026,1.3523877,-2.3718529,4.9598365,-0.41726083,4.3709188,-0.8491188,-1.0383308,0.010968745,4.9052954,-2.5889397,1.9479871,0.5117193,2.9488087,-1.8874496,3.953658,-1.1363868,-2.1866972,-0.11813082,-1.7069008,0.2787629,-2.0852487,-0.35438165,0.11408813,-1.3989657,-0.13362318,-2.4698524,-2.2467554,1.6086906,-2.831015,0.9953335,-3.5746157,1.833814,6.3352585,3.582859,7.6943398,0.95882416,14.564991,-0.7174492,11.781406,2.5465488,14.756012,9.839869,5.178547,10.821342,5.1562786,3.2385826,6.649685,29.427666,21.781574,32.145172,19.497803,31.976492,28.116232,32.378178,2.6453044,20.631908,70.76881,39.23047,66.4784,-11.713322,96.3598,-20.65708,139.28008,35.10722,25.80664,53.54265,1556.478,1005.1103,-32.81778,129.75641,-22.792421,3.5448978,17.849974,287.72073,159.80486,14.543496,7.716166,37.11599,31.876083,34.055702,11.444125,6.8891206,3383.8125,1361.5742,1502.0142,232.74683,287.47675,2105.043,1053.0674,3.110781146828497,2.9552048215748212,2.7449627,0.296440642057064,2.9330575,0.6140514632105365,1.0706049412455307,2.975816,2.8193966947680997,0.4702855663860084,3.139381,3.0333772,5.698626,2.8473275,2.668146927573455,0.04959280961063819,4.824689261367487,0.6108243048914928
200.0,47,undefined,2000,1,0.00081541436,0,0,0,0,1,0,0,0,227979.0,80454.0,30.815619,34.165863,3.4851565,59.977715,31.869707,-0.38259682,68.43713,17.265034,23.286367,11.377638,18.898087,14.041002,16.429852,19.283699,15.780459,51.1721,53.802635,48.60008,44.68064,63.987778,53.200443,55.86764,41.91834,4.3928075,3.8314588,4.94167,4.9394426,3.313621,5.9715133,4.068434,2.521347,27.17006,19.079538,35.080616,31.481833,18.657598,24.398193,20.780222,39.779854,5.0502706,6.3885994,6.2271576,4796.517,2069.766,264.0862,209.7981,99.33296,4.716335,60.290306,1264.9508,385.46164,26650.656,19007.309,5.174482554312113,2.145151952179624,10.26074591037884,4.481700814783771,12.988353,29.589706,3.780806,10.790466,5.8027043,25.040272,35335.715,0.103516236,-6.9736114,7.077132,-8.339705,4.519624,-5.676076,9.5714245,-7.500772,6.885767,-5.343636,4.366466,-9.211085,9.347729,-6.0557446,3.5514321,-4.769037,9.737884,-0.9771701,-0.6150052,0.27677628,2.4092228,-1.8152558,0.55888563,0.06669494,1.1610395,-0.53307784,0.29058328,-0.3802989,1.4108653,-2.0800958,0.056117773,0.9104694,-1.2976825,3.0373952,-5.259433,2.273461,0.93548644,-0.15946797,-2.8653827,-1.6826222,5.594458,-1.9697461,3.9290018,-5.052703,0.20769665,5.034787,11.403493,-1.7805781,2.0117078,-0.30810493,0.029359546,13.139537,-34.485626,26.189259,-42.719322,18.415958,-14.666505,36.25565,19.154022,11.58176,52.120514,39.8453,40.46908,31.936106,62.687237,-14.103312,33.644226,93.75218,39.4308,47.958305,2204.327,968.3003,94.50951,165.0996,-13.339924,1.7891991,79.89153,574.4113,219.67496,-5.1810193,-0.2785436,-28.062668,11.528316,10.454814,-5.101955,-10.8295,-1380.7756,-52.943638,-1557.1484,111.00708,118.308105,-1045.8566,-1769.4336,10.673742868691575,4.942739221016232,9.389452,1.050900944175182,9.684085,1.2174408821942708,7.798391302950415,10.063869,4.411246984773328,0.9826264581310196,10.840832,4.8534956,13.314946,4.5967293,3.0542001571708965,0.11502857011482975,0.6795567765311463,7.543435451134974
301.0,47,undefined,1990,0,0.00026079992,0,0,0,0,1,0,0,0,64274.01670001447,15404.0,33.025658,26.137537,0.7528312,46.720547,28.81231,-0.42793658,55.678844,13.839528,17.116428,10.7535515,14.553692,11.753881,13.482682,15.911216,11.634061,41.83932,48.074947,35.966995,34.51534,63.228344,39.662777,49.619,35.21727,7.1709967,8.801107,5.6358614,8.14055,4.339504,10.586826,5.6713743,2.5014071,37.150158,26.007515,47.64359,42.79042,20.678268,36.267715,28.798407,50.64726,4.944558,6.1913323,6.1581764,4236.714,1400.3522,629.2818,117.978966,68.40415,0.4855592,66.039116,805.8409,369.2187,19016.094,14054.104,0.3800218699457695,0.9393550858129066,2.062596351676532,0.7209086374351001,4.950348,6.159573,4.5329046,-9.662402,10.127351,22.7707,2935.5435,-3.124082,-2.1658003,-0.95828176,-1.6755893,-4.1545334,-2.6584103,2.0267696,-2.008289,-0.723964,-2.5847263,-1.976651,0.1431778,1.1095136,-2.735679,-0.3754586,-4.622552,-4.544413,-4.5613775,-2.732253,-2.428738,-3.3666751,-1.5511367,-3.3955297,0.39482117,-2.4971633,-2.2371092,-0.94093364,5.5528193,9.196797,2.1827788,6.127781,4.166561,1.2444735,5.3482504,10.107899,3.9777207,4.452181,1.2256145,6.172085,1.6530514,10.382938,2.6800156,5.9895515,2.9370308,10.381603,-0.5221367,-5.4913044,1.9452572,6.3162327,2.9028416,8.412552,-0.824105,-12.068458,2.633328,-10.3161335,2.4130807,-18.67427,2.9834476,-36.402763,18.880411,63.97673,43.481808,77.4351,13.016182,70.49871,-7.4467525,152.70708,2.505055,21.077337,63.66448,2307.662,1637.2692,87.478165,120.7893,-4.908845,1.7502801,1.675211,189.07648,328.65207,5.78974,1.1627289,-3.7740474,71.283844,46.31162,2.2553108,-0.0049849297,1100.9824,163.41113,-120.67578,688.20135,370.0462,339.0918,-0.5410156,2.1214985123840226,0.7429603822587043,1.8794532,0.10412213945528492,1.9931712,0.13438828323216967,0.22612173592253024,2.3629363,1.1000259076419847,0.11049078245961574,2.6568599,0.7980655,6.7467227,0.73975325,4.684126579756543,0.01884458935375693,5.2239519607185985,-0.12152708146913938
301.0,47,undefined,2000,1,0.00024038898,0,0,0,0,1,0,0,0,67209.56004589796,16732.0,29.442856,26.319662,0.9473638,46.088905,28.553957,-0.8701328,52.554764,11.673728,15.440838,8.095141,12.545403,9.169154,13.62586,13.175537,7.011509,40.88104,43.920414,37.993767,33.791374,61.251694,40.77229,49.24354,30.672857,4.742259,5.4344325,4.0847244,4.74502,4.734325,8.0896635,3.4342654,1.5604737,42.702976,35.20431,49.82637,48.9182,24.84483,37.512188,34.146656,60.755157,8.922279,6.186111,6.2213387,6544.376,3037.6213,716.76,238.76828,63.495308,2.2358394,67.714325,994.9175,697.8707,20117.076,14217.515,2.1523532835903403,2.031819107090655,6.197857644865427,4.071751744428919,1.5108268,28.134346,-9.056034,-1.1157793,-6.650902,14.47085,620.78864,0.509211,-3.778178,4.2873836,-3.6352468,0.7705603,-4.024658,7.6116705,-4.3277516,2.3515224,-1.7409431,1.9046834,-6.2551417,2.0874825,-3.3592176,3.1762846,-0.26040632,10.317258,0.16374029,-1.9762292,0.745528,1.5677959,-0.07188054,2.0104063,-2.053221,0.87277377,1.8040936,-0.15888669,-1.2547331,1.2968906,-3.5151284,-0.034179006,1.8894778,3.294881,-1.6211612,-9.897956,2.5990644,2.271516,-6.475993,3.8249154,-2.4548259,9.7604475,-16.54189,2.9518263,0.8788109,8.799212,10.508401,-7.072381,12.86677,-0.2364431,-6.505966,1.1192731,2.4764576,-35.189014,11.631193,-48.539196,-2.261268,7.7613525,31.21059,16.425407,-1.4580898,28.02152,34.087746,40.75362,12.058935,61.88436,8.236608,76.922424,118.210724,34.333366,32.475452,2519.4788,1432.5779,90.186516,184.93286,5.383566,2.2785153,124.54942,386.13208,254.46535,0.57838047,0.3533961,-14.75406,4.8856697,37.574497,3.495166,5.6947503,116.35323,50.24414,-453.95892,80.79137,439.27646,537.3591,618.0218,6.421752600776358,4.32786042996482,5.343775,0.6639747808718053,5.9537144,0.5094656120658086,6.681639337048761,7.458756,5.380715535202371,0.4356313039016517,7.709303,5.028889,5.5909777,4.281931,-0.606879833382834,0.2101792216716433,-0.9083429669608531,5.341369952350631
302.0,47,undefined,1990,0,0.0025694722,0,0,0,0,1,0,0,0,633245.2104480267,233587.0,21.304695,42.284462,1.9097531,60.616653,30.025017,0.11003062,68.407166,13.9484825,17.561983,10.533605,15.654987,11.549006,12.223379,17.335651,12.54319,54.458683,59.088825,50.083046,44.58329,68.344246,54.81032,60.2323,45.047787,4.7513,5.189634,4.33706,6.103016,2.8506835,6.621014,3.8420928,2.1309946,26.841534,18.15956,35.046284,33.658703,17.256062,26.345285,18.589956,40.27803,2.6461885,6.3615966,6.2368774,3404.4636,1089.718,269.34982,65.45745,75.59494,0.7251131,53.39725,1158.6653,190.0364,26988.85,20008.742,0.3921436199181492,0.6831548508143405,1.0783084976265715,1.4521378654168031,13.763144,30.54463,-0.15714405,-0.69071656,22.344952,27.943665,94927.25,0.41651726,-2.8290875,3.245604,-2.4825678,1.5412033,-3.199397,4.824668,-2.3839965,1.6724259,-2.6551425,1.202023,-2.3006067,3.5206497,-3.959179,2.7400434,-2.7104616,4.180765,-1.4531195,-0.7115707,-1.2215055,-1.4747992,-0.984136,-1.4810327,-0.45060796,-1.2626834,-1.265844,-0.17490499,0.80498755,2.4161606,-0.6411344,2.1926045,1.9037306,0.042641163,2.4849787,-1.2953967,1.672362,16.339588,13.281298,13.119984,12.603998,21.750546,10.00371,19.057035,9.759903,16.257334,12.422609,6.973791,11.770487,17.969704,15.183353,14.524889,14.370176,-8.904842,19.55206,-16.678043,3.5254474,4.4208417,32.288116,-15.954714,16.718094,62.7431,32.501877,58.052372,-6.2056947,96.13859,-30.299929,129.63724,9.802004,19.130499,54.33621,1307.5068,857.57983,-16.20695,105.734634,-19.760546,1.9259076,5.4991097,244.27986,137.16559,19.44396,19.309118,13.913703,23.17751,55.811604,20.362993,18.327444,5247.701,3863.5117,760.1328,158.06299,465.9956,4161.6484,3081.6758,1.1723905548414035,1.5816756007927966,0.9407487,0.21870996754866212,0.892484,1.3463610923443914,0.4912423638300086,1.254223,1.5903648746038737,0.5833036641802007,1.4739665,1.5932635,2.3818989,1.4900311,1.3035904966716165,0.03789330641046273,3.598022346027459,-0.12830229323097025
302.0,47,undefined,2000,1,0.0026044603,0,0,0,0,1,0,0,0,728172.4600586891,295611.0,17.061571,49.93445,2.828732,62.241924,31.886118,-0.22171438,68.823685,11.119394,15.079414,7.3342075,13.27099,8.893864,9.922772,13.376472,9.832727,57.70429,60.630028,54.907715,46.25572,69.54627,58.33097,62.972343,49.228554,3.5297945,3.7148345,3.352924,4.621983,2.4000754,5.3583307,2.5762486,1.9560896,27.64652,20.57572,34.40515,35.851307,19.159792,26.387926,21.074936,38.98263,4.3185506,6.4858227,6.4165745,4711.97,1947.2977,253.14284,171.19208,55.834393,2.6510208,58.89636,1402.9452,327.202,32236.55,23872.254,1.300633326375672,1.2753157415801408,3.1115462273755705,2.90649870012464,13.448739,25.059956,1.2479713,6.2671914,3.8223915,35.987633,97805.36,0.10188137,-3.952301,4.05418,-4.9078507,4.2705536,-3.131473,3.7608404,-5.1464586,4.4717875,-2.4186192,1.0912077,-4.831132,2.5604026,-3.8303924,4.355652,-2.5398114,8.075692,-1.3274114,-0.6746713,0.90067035,1.0218657,0.7772371,1.3219852,0.77956945,0.8414744,1.6074634,0.5727815,-1.0025501,-0.38456917,-1.4066015,-0.6473107,0.54783696,1.429247,-2.1327224,-6.1086674,1.1721694,4.416602,5.8539934,-3.271852,2.9965808,6.6804886,4.4948034,7.109846,-5.424227,0.9162085,14.811857,14.200552,6.8746977,3.126349,5.263669,-3.8900375,13.596693,-27.422112,20.307224,-43.99639,10.602435,-5.1065025,26.620445,36.925705,9.775608,38.29905,30.44893,38.07623,15.907905,57.82529,-13.013201,34.734325,102.20521,22.921713,36.05564,1599.115,849.6658,42.59744,122.02774,-6.944734,1.0424097,87.9305,348.81506,134.19827,6.017044,7.9202967,-11.2682085,16.683216,46.892513,2.33524,0.7480923,1939.6875,1890.7533,-701.2577,140.14404,610.0433,574.44476,148.84207,3.4851691073777125,3.358262995269575,2.6069605,0.6772683639179635,2.6219833,2.3609887580404987,1.7238149883112608,2.617498,2.480908060752314,1.1482461561302255,3.5130842,3.2735517,4.314292,2.9369402,1.2027457780218664,0.030441467780280902,2.950590409670699,9.632437898775299
401.0,37,undefined,1990,0,0.0017144891,0,0,0,1,0,0,0,0,422535.0,199867.0,32.28297,45.10831,2.1576035,68.67062,32.35798,0.06905325,74.45441,20.668043,25.205553,16.503794,24.090672,16.393045,18.438189,25.215748,18.403227,53.78636,55.551064,52.166832,44.443367,65.45613,55.425854,59.142864,42.14563,3.8648434,3.7426426,3.9769917,4.8994365,2.572596,5.190254,3.2468166,2.0221138,21.68075,15.500741,27.352385,26.566523,15.57823,20.945705,12.394568,37.429028,2.1984992,6.436104,6.335948,2893.8154,881.04095,186.206,67.14333,69.02861,0.052714042,48.352886,1172.549,159.8987,32419.377,24316.719,0.3956740891342587,0.5595999950143138,1.0160847787977956,1.3338325999976401,13.648208,23.854338,4.652759,-1.0096114,22.583075,27.088055,68262.445,-1.6340435,-5.03768,3.4036398,-4.673791,2.0323813,-5.5660777,4.64648,-5.4997606,2.4170904,-3.8144872,2.3818135,-5.425386,2.524078,-6.4321833,3.8616776,-3.2256901,5.336499,-1.4326737,-3.0826702,-0.50398445,-0.19044802,-0.79931986,-0.592044,-0.18744692,-0.008293241,-0.8031113,-0.21263398,2.1380277,2.8318584,1.7189145,3.6747158,1.6201228,2.9096022,3.3736184,-1.8981725,1.129506,12.081194,9.596348,10.084724,7.9508305,16.59689,7.3542595,13.475847,5.44014,13.702202,12.927008,12.971449,9.656954,12.577963,9.978676,11.989546,11.429076,-14.2891245,19.784117,-21.262434,9.9486065,-2.632015,27.428488,-0.32425246,23.05316,55.108025,36.351326,61.945236,-8.583749,111.323166,8.522883,411.45596,34.2137,20.243687,49.188526,1268.5732,755.8541,-15.31668,137.25308,6.1412153,3.1747165,19.725714,263.0998,101.59907,12.492559,11.030429,13.079813,19.735577,40.87834,10.222797,8.523161,4050.0098,2682.2383,860.334,108.27368,399.16284,2579.7031,1823.9844,1.0444842901571545,1.3965791270534276,0.8810941,0.3232342298089179,0.9660853,0.6764741402817009,0.40867470246614945,0.94324064,1.4813426039958797,0.5213049051863878,1.3450726,1.427622,2.4975266,1.3936117,1.4814418808318426,0.05977911163239987,2.749050290058727,5.928765167807792
401.0,37,undefined,2000,1,0.0017554392,0,0,0,1,0,0,0,0,490797.442517519,232454.0,20.575697,49.98208,7.246863,67.75102,32.79142,-0.09454772,72.820366,15.6303625,20.531761,10.937716,18.59091,12.578559,13.012802,18.783566,15.177538,57.190002,57.583447,56.813313,46.86046,67.837944,57.949932,63.00454,47.48213,3.360859,3.5521946,3.177672,4.3073926,2.3851492,5.1819606,2.4437053,1.8094798,23.818777,18.3326,29.071299,30.24124,17.198353,23.855309,15.768187,35.530853,3.3280053,6.565374,6.4617276,4162.3887,1636.895,170.88931,204.39641,75.169815,3.2274303,68.0786,1435.6487,261.49777,36469.387,26998.957,0.96994100707589,1.6126000851946354,2.98923875997982,2.5337993950305053,11.580982,19.394194,3.5698164,2.3174243,4.1854715,34.434284,60790.965,-2.95645,-4.9580526,2.001609,-6.433144,2.449623,-3.508209,1.5795486,-7.8210855,3.6302805,-1.8590881,-1.0962231,-7.97346,1.4203787,-3.1338632,1.2654321,-3.230259,6.274347,-2.955311,-4.190805,1.5923467,1.8365649,1.3620497,1.7714,1.5732838,1.9070197,2.2160685,0.92168206,1.364097,2.1469529,0.5666188,2.4193993,1.3820274,4.6460586,-0.3476377,-3.9657779,1.5428109,-3.5230093,0.9847368,-15.476772,-6.7160473,1.0607584,1.7815318,3.6467142,-18.093721,-14.317581,2.9751914,2.6732173,-9.018421,-4.213742,1.3979503,-15.170506,7.462264,-24.28845,15.038727,-46.262802,11.114063,3.7926278,17.769041,52.4984,17.196142,51.729816,46.165707,67.73749,41.759674,56.499855,16.377598,182.6175,35.061043,20.924398,52.03711,2268.4207,1418.6453,82.88828,141.65402,13.044456,11.944311,27.053207,323.51544,164.16385,-9.890742,-5.910147,-37.16021,49.04588,31.283611,-13.170677,-22.954905,-3607.0925,-1595.678,-2763.9412,322.18018,430.34616,-3663.3594,-5331.1187,3.199140688501621,2.7474062599693005,2.4198697,0.5868862127859334,2.676545,1.7700429608951576,2.1083954091880455,3.1850917,2.712885201712776,1.2932391935054435,3.6401873,2.8500004,2.7284768,2.5708752,-0.26076188752129376,0.037075880167416905,0.15122440847831242,3.949432365565449
