"","total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","fuel_type","distance","forcing","treat","katiya","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","hb_r","yrs_r","el_r","ex_zsc","ex_icw","k_zsc","k_icw","l_zsc","l_icw","a_zsc","a_icw","ha_zsc","ha_icw","sa_zsc","sa_icw","village","te_log","fe_log","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other"
"1",6000,5000,0,56,NA,1,2,6,0,1,0,0,3,8,5.16666666666667,1.71428571428571,4,4,4,4,3.6,4,500,NA,0,0,3.2,0,2,46,0,0,NA,1,0,35,0,0,FALSE,1,NA,NA,1001,NA,NA,NA,5,2,0,1,5,18,1,NA,NA,0.807951891906819,0.370284989960313,0.645553207503774,0.792167261668378,0.346058433942886,0.139957072238701,1.02361772145483,0.830721455050543,2.24707350990587,1.42600836049817,1.51997562895754,0.445358189100208,"Agaiya",8.69951491487685,8.51719339141622,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",10000,8000,200,56,NA,1,3,12,0,0,0,0,2,2,4,2.14285714285714,4,4,4,2,3.2,3,0,NA,0,0,3.2,0,2,48,0,0,NA,1,0,40,0,1,FALSE,6,NA,NA,1001,NA,NA,NA,6,2,0,2,4,10,6,NA,NA,2.42508950105814,0.946161528858261,1.65548586323731,2.3520988837781,-0.767332865005008,-0.378574095383095,0.245926811236051,-0.0207716355113983,1.34917536881857,0.928678993725151,-0.608796995253878,-0.310448084902962,"Agaiya",9.21034047197618,8.98719694566197,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",10000,8000,0,56,0,1,3,3,0,0.333333333333333,0,0,5,12,2.83333333333333,2.14285714285714,4,4,4,4,3.6,4,0,NA,0,0,3.8,0.4,1,30,1,1,0,0,1,58,0,1,FALSE,20,1,12,1001,12,0.666666666666667,0.666666666666667,3,2,0,2,0,10,20,1,12,2.26661338674863,0.951305730023093,0.576831270269206,0.126597961845039,-0.396202432022377,-0.205730372842497,1.9658431334091,1.48609942010056,0.141749435138335,0.154870196246575,0.414136942821332,0.119170123804433,"Agaiya",9.21034047197618,8.98719694566197,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"4",8000,3000,3000,54,300,1,1,3,0,0,2,0,6,10.45,3.83333333333333,2.57142857142857,4,4,4,4,3.6,4,400,NA,0,1,4,0.9,1,25,1,1,0,0,1,27,1,0,TRUE,10,4,7.66666666666667,1002,7.66666666666667,11.6666666666667,11.6666666666667,3,3,1,2,2,12,10,4,8,2.87069736657006,0.52110096232343,-0.0048279172403913,-0.025930719796989,1.47723995766735,0.440923680669317,2.16486768312179,1.3489122567428,1.48621374231432,1.0946143105052,2.04987877428815,0.91721459644319,"Ahiranprva",8.98719694566197,8.00636790098353,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5",3000,2000,0,75,NA,1,2,8,0,0.333333333333333,0,4.5,1,6,3.33333333333333,0,2,2,2,3,2,2,100,NA,0,1,3.2,0,2,60,0,0,NA,0,1,60,1,1,TRUE,14,NA,NA,1002,NA,NA,NA,2,1,0,2,5,10,14,NA,NA,-0.366451946373586,0.137905301126949,0.885254228163352,1.28672302209795,5.15773961179554,4.38091213612077,0.23468141162137,0.437245544018987,-0.88842127053477,-0.895894615504693,-1.52105518951194,-0.543154149864091,"Ahiranprva",8.00636790098353,7.60090295954196,0,0,0,0,0,2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",12000,10000,1000,0,0,0,0,0,0,1.66666666666667,1,0,4,16,4,2.14285714285714,4,4,4,5,4.4,5,250,NA,1,1,3.2,0.2,4,30,1,1,0,0,1,60,0,1,FALSE,30,7,7.33333333333333,1003,7.33333333333333,7.66666666666667,6.66666666666667,7,2,0,2,1,12,30,7,7,3.52243048789139,0.59698795451758,-1.36327300540094,-1.22952276605159,2.21060571124433,0.895393405346105,1.95459773379442,1.94411659963095,1.34917536881857,0.928678993725151,2.42190677730109,0.370843453743403,"Amwajauharsari",9.39266201210347,9.21034047197618,0,1,0,9,0,0,NA,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"7",10000,8000,1500,52,0,1,1,3,0,0.5,1,0,6,29,4,2.28571428571429,4,4,4,4,4,4,200,4,1,1,3.2,0.2,4,27,1,1,0,0,1,45,0,1,FALSE,35,5,8,1003,8,8.33333333333333,7.66666666666667,8,2,0,2,2,10,35,5,8,3.4256919952153,0.868091923234216,-0.0048279172403913,-0.025930719796989,0.91164919580512,0.290440376454009,3.58662410529238,3.77805380776407,1.45235129968288,1.02083880396034,1.73428020140767,0.312799427278079,"Amwajauharsari",9.21034047197618,8.98719694566197,3,0,0,0,0,0,NA,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"8",3000,2700,0,52,NA,1,1,3,0,0.333333333333333,0,0,0,0,3,2.14285714285714,2,2,4,4,2.6,4,50,NA,1,0,3.2,0,2,57,0,0,NA,0,1,50,0,0,TRUE,4,NA,NA,1003,NA,NA,NA,2,1,0,1,4,10,4,NA,NA,-0.330236204693061,-0.110687366441834,-0.0048279172403913,-0.025930719796989,-0.396202432022377,-0.205730372842497,-0.543009498597405,-0.414247546542954,0.314238854235511,0.265414310172086,-0.401322886831688,-0.19043420312659,"Amwajauharsari",8.00636790098353,7.90100742236272,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",5000,300,100,56,NA,1,2,3,0,0,0,0,1,1,2.5,2.42857142857143,4,3,2,4,3,3,100,NA,0,1,4,0.1,2,50,0,0,NA,0,0,40,1,0,TRUE,0.5,NA,NA,1004,NA,NA,NA,2,2,0,2,1,8,0,NA,NA,-0.63875382714691,0.177071943470933,0.286001676514408,0.050333621024025,-0.767332865005008,-0.378574095383095,-0.148541343680677,-0.217509591027176,0.00312245867260104,0.118101588865926,0.228699787995005,0.161816191130421,"Anvar nagar",8.51719339141622,5.70378580798398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",8000,5000,30,80,NA,1,3,8,0,0.5,1,0,4,21,2.5,2.57142857142857,4,4,4,2,3.2,4,50,NA,0,0,3.6,0,2,33,1,0,NA,1,0,46,0,0,FALSE,10,NA,NA,1004,NA,NA,NA,2,1,0,2,1,9,10,NA,NA,1.2970157511849,0.910582419060183,1.17608382191815,1.36298736291896,0.91164919580512,0.290440376454009,2.33782048909647,2.59887173467711,0.10629838953691,0.210261399101113,-0.0695417466959001,0.014752117660613,"Anvar nagar",8.98719694566197,8.51719339141622,0,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
