country,honeymoon_1q,honeymoon_2q,honeymoon_3q,preelection_1q,preelection_2q,dismissal_tainted,age,nonpartisan,inflation,gdp,allhouse,govfrac,reelect_last_year,coalition,lagged_approval,approval,lagged_rc,lagged_dism_tainted,lagged_age,lagged_nonpartisan,visibility,qtr
Argentina,1,0,0,0,0,0,54.625,0,NA,4.349093279,1,0,0,0,NA,72.091103,NA,NA,NA,NA,NA,1983q4
Argentina,0,1,0,0,0,0,55.625,0,NA,1.570738702,1,0,0,0,72.091103,70.882217,0,0,54.625,0,0,1984q1
Argentina,0,0,1,0,0,0,54.4,0,NA,1.570738702,1,0,0,0,70.882217,70.82196,2,0,55.625,0,1,1984q2
Argentina,0,0,0,0,0,0,54.5,0,NA,1.570738702,1,0,0,0,70.82196,66.17466,4,0,54.4,0,1,1984q3
Argentina,0,0,0,0,0,1,55.25,0,NA,1.570738702,1,0,0,0,66.17466,62.809601,5,0,54.5,0,1,1984q4
Argentina,0,0,0,0,0,1,55.56,0.08,NA,-5.189024353,1,0,0,1,62.809601,59.964859,6,1,55.25,0,1,1985q1
Argentina,0,0,0,0,0,0,55.38461538,0.115384615,NA,-5.189024353,1,0,0,1,59.964859,57.723572,5,1,55.56,0.08,1,1985q2
Argentina,0,0,0,0,0,0,55.25,0.125,NA,-5.189024353,1,0,0,1,57.723572,62.349258,6,0,55.38461538,0.115384615,1,1985q3
Argentina,0,0,0,0,0,0,55.25,0.125,NA,-5.189024353,1,0,0,1,62.349258,61.920349,5,0,55.25,0.125,1,1985q4
Argentina,0,0,0,0,0,0,56.68,0.12,NA,6.153377063,1,0,0,1,61.920349,59.819191,6,0,55.25,0.125,1,1986q1
Argentina,0,0,0,0,0,1,56.66666667,0.111111111,NA,6.153377063,1,0,0,1,59.819191,57.78862,7,0,56.68,0.12,1,1986q2
Argentina,0,0,0,0,0,0,51.12,0.12,NA,6.153377063,1,0,0,1,57.78862,56.198158,7,1,56.66666667,0.111111111,1,1986q3
Argentina,0,0,0,0,0,0,50.875,0.125,NA,6.153377063,1,0,0,1,56.198158,52.765011,5,0,51.12,0.12,0,1986q4
Argentina,0,0,0,0,0,1,51.96,0.12,NA,2.704868828,1,0,0,1,52.765011,51.634239,7,0,50.875,0.125,1,1987q1
Argentina,0,0,0,0,0,0,51.75,0.125,NA,2.704868828,1,0,0,1,51.634239,54.595402,7,1,51.96,0.12,1,1987q2
Argentina,0,0,0,0,0,3,51.34482759,0.103448276,NA,2.704868828,1,0,0,1,54.595402,45.08371,7,0,51.75,0.125,1,1987q3
Argentina,0,0,0,0,0,0,47.875,0.125,NA,2.704868828,1,0,0,1,45.08371,42.49128,7,3,51.34482759,0.103448276,1,1987q4
Argentina,0,0,0,0,0,0,48.875,0.125,NA,-1.089933341,1,0,0,0,42.49128,39.352089,5,0,47.875,0.125,1,1988q1
Argentina,0,0,0,0,0,0,48.875,0.125,NA,-1.089933341,1,0,0,0,39.352089,38.829689,2,0,48.875,0.125,0,1988q2
Argentina,0,0,0,0,0,0,48.875,0.125,NA,-1.089933341,1,0,0,0,38.829689,40.776421,5,0,48.875,0.125,1,1988q3
Argentina,0,0,0,0,0,0,48.875,0.125,NA,-1.089933341,1,0,0,0,40.776421,37.973251,5,0,48.875,0.125,1,1988q4
Argentina,0,0,0,0,1,1,49.875,0.125,NA,-7.156949656,1,0,0,0,37.973251,39.355461,3,0,48.875,0.125,1,1989q1
Argentina,0,0,0,1,0,3,53.46666667,0,NA,-7.156949656,1,0,0,0,39.355461,36.117298,3,1,49.875,0.125,1,1989q2
Argentina,0,0,0,1,0,1,54.25,0,NA,-7.156949656,1,0,0,0,36.117298,64.122437,5,3,53.46666667,0,0,1989q3
Argentina,1,0,0,0,0,1,53.96551724,0.24137931,NA,-7.156949656,1,0.65649605,0,1,36.117298,64.122437,NA,NA,NA,NA,NA,1989q3
