wave,duration,country,device,sex,age,agerecode,vaccine,south_korea_score,china_score,usa_score,japan_score,ideology,education,region_ar,region_br,region_co,region_cl,region_mx,region_pe,delta_china,delta_usa,income,region_code,country_name,respondent_code,news_experiment,both_waves,excluded
2020,152,4,3,0,26,3,0,,50,90,,5,5,,,,12,,,,,4,12,Chile,1,1,1,0
2021,357,4,3,0,27,3,1,30,10,90,,5,7,,,,12,,,,,4,12,Chile,1,0,1,0
2020,295,4,3,0,23,2,0,30,40,60,90,2,8,,,,9,,,,,2,9,Chile,2,0,1,0
2021,293,4,3,0,24,2,1,20,80,50,90,4,8,,,,9,,,40,-10,1,9,Chile,2,1,1,0
2020,251,1,3,1,62,6,0,100,0,90,70,6,5,1,,,,,,,,4,1,Argentina,3,1,1,0
2021,437,1,3,1,63,6,0,85,20,100,100,10,5,2,,,,,,20,10,3,2,Argentina,3,0,1,0
2020,486,1,3,0,67,7,0,20,20,20,70,9,5,2,,,,,,,,4,2,Argentina,4,1,1,0
2021,610,1,3,0,67,7,0,,3,77,7,7,5,2,,,,,,-17,57,2,2,Argentina,4,1,1,0
2020,185,6,1,0,22,2,0,35,30,40,35,5,8,,,,,,4,,,3,4,Peru,5,1,1,0
2021,287,6,1,0,23,2,0,,0,50,,5,8,,,,,,4,-30,10,2,4,Peru,5,1,1,0
2020,197,5,1,1,52,5,0,,60,70,90,10,8,,,,,50,,,,2,50,Mexico,6,1,1,0
2021,681,5,1,1,52,5,0,0,50,80,100,10,8,,,,,50,,-10,10,1,50,Mexico,6,1,1,0
2020,290,3,3,0,32,3,0,,10,50,,0,9,,,1,,,,,,3,1,Colombia,7,1,1,0
2021,282,3,3,0,33,3,0,,10,80,,1,9,,,1,,,,,30,2,1,Colombia,7,0,1,0
2020,263,1,3,0,51,5,0,80,85,70,90,5,9,1,,,,,,,,2,1,Argentina,8,1,1,0
2021,236,1,1,0,52,5,0,,70,70,80,5,9,1,,,,,,-15,0,2,1,Argentina,8,0,1,0
2020,394,5,1,0,58,6,0,80,50,40,80,8,9,,,,,28,,,,3,28,Mexico,9,1,1,0
2021,665,5,1,0,59,6,0,90,70,80,80,9,9,,,,,28,,20,40,2,28,Mexico,9,1,1,0
2020,224,4,3,1,50,5,0,50,100,30,100,0,5,,,,15,,,,,2,15,Chile,10,0,0,1
2020,450,3,3,1,49,5,0,30,90,70,90,3,7,,,1,,,,,,4,1,Colombia,11,1,0,1
2020,204,1,3,1,19,2,0,85,40,80,80,9,5,4,,,,,,,,2,4,Argentina,12,0,0,1
2020,270,3,3,0,55,5,0,,50,60,80,5,9,,,1,,,,,,4,1,Colombia,13,0,1,0
2021,411,3,3,0,56,6,1,40,40,50,60,5,9,,,1,,,,-10,-10,4,1,Colombia,13,1,1,0
2020,195,4,1,1,34,3,0,80,70,20,90,6,9,,,,13,,,,,2,13,Chile,14,0,0,1
2020,206,4,3,0,54,5,0,,90,100,90,7,7,,,,10,,,,,2,10,Chile,15,1,1,0
2021,303,4,3,0,55,5,1,50,50,80,50,5,7,,,,10,,,-40,-20,2,10,Chile,15,0,1,0
2020,229,1,1,0,34,3,0,,10,90,,3,9,2,,,,,,,,3,2,Argentina,16,0,0,1
2020,507,1,3,1,39,4,0,50,10,10,70,5,8,9,,,,,,,,4,9,Argentina,17,1,0,1
2020,186,4,1,1,65,6,0,70,70,50,50,4,9,,,,13,,,,,2,13,Chile,18,0,1,0
2021,239,4,1,1,66,7,1,80,80,70,70,4,9,,,,13,,,10,20,3,13,Chile,18,0,1,0
2020,434,6,1,1,50,5,0,80,60,40,70,4,9,,,,,,15,,,3,15,Peru,19,1,1,0
