source,circulation,opedemail,website,mccain,extreme,deliveryfailure,interest_in_letter,endorse,state,metro,unemployment_state,unemployment_metro,kerry,bush,yr_price,adprice_sunday,pop_designated_market,south
Detroit Free Press,352714,simmons@freepress.com,,1,0,1,,5,,,,,,,,,,0
Philadelphia Daily News,139983,burgosf@phillynews.com,,1,0,1,,5,,,,,,,,,,0
Grand Rapids Press (MI),139216,jcrawford@grpress.com,,1,1,1,,1,,,,,,,,,,0
The Virginian-Pilot (Norfolk),201473,piloted@pilotonline.com,,1,0,1,,3,,,,,,,,,,0
Investor's Business Daily,248215,ibdnews@investors.com,http://www.investors.com/contact/,0,0,1,,2,,,,,,,,,,0
Express (Arlington),175000,comments@readexpress.com,,1,0,1,,2,,,,,,,,,,0
San Gabriel Valley Tribune (CA),110335,steve.scauzillo@sgun.com,,0,1,1,,5,,,,,,,,,,0
The Birmingham News,148938,epage@bhamnews.com,http://www.bhamnews.com/newsroom/newstips.html,0,0,,1,1,AL,Birmingham,5,4.5,36.84000015,62.45999908,135.1999969,198.6000061,,1
Mobile Register,100246,fcoleman@mobileregister.com,,1,1,,1,1,AL,Mobile,5,5.099999905,36.84000015,62.45999908,130.1999969,81.20999908,,1
Arkansas Democrat-Gazette (AR),183344,ONLINE!,http://www2.arkansasonline.com/contact/voicesform/,0,1,,0,1,AR,Little Rock,5.099999905,4.400000095,44.54999924,54.31000137,135,332,,1
The Arizona Republic,432284,ONLINE!,http://www.azcentral.com/arizonarepublic/opinions/sendaletter.html,0,0,,0,1,AZ,Phoenix,5.5,4.900000095,44.40000153,54.86999893,184.6000061,642,,0
Contra Costa Times (CA),182541,ccnletters@bayareanewsgroup.com,http://www.contracostatimes.com/letters,1,1,,1,5,CA,San Francisco,7.199999809,5.699999809,54.31000137,44.36000061,145.9499969,401,115696,0
The San Diego Union-Tribune,328531,letters@uniontrib.com,http://www.signonsandiego.com/,1,1,,0,1,CA,San Diego,7.199999809,6,54.31000137,44.36000061,171.6000061,549,,0
Daily News (CA),177562,mike.tetreault@dailynews.com,http://www.dailynews.com/letters,1,0,,0,5,CA,LA,7.199999809,7,54.31000137,44.36000061,155.4799957,707,,0
San Jose Mercury News,271997,letters@mercurynews.com,http://www.mercurynews.com/help,0,1,,0,5,CA,San Jose,7.199999809,6.099999905,54.31000137,44.36000061,175.8000031,566,1682585,0
San Francisco Chronicle,512640,letters@sfchronicle.com,http://www.sfgate.com/chronicle/info/e-mail/,1,0,,0,5,CA,San Francisco,7.199999809,5.699999809,54.31000137,44.36000061,200.1999969,686,,0
The Orange County Register,300888,letters@ocregister.com,http://www.ocregister.com/ocregister/homepage/article_1961520.php,0,1,,0,4,CA,LA,7.199999809,7,54.31000137,44.36000061,156.5200043,467.5100098,3727682,0
Sacramento Bee,303841,opinion@sacbee.com,http://www.sacbee.com/326/story/19629.html,1,0,,0,5,CA,Sacramento,7.199999809,7.099999905,54.31000137,44.36000061,139,380,1734717,0
The Press-Enterprise,183974,letters@pe.com,http://www.pe.com/about/contactus.html,0,0,,0,1,CA,Riverside,7.199999809,8.300000191,54.31000137,44.36000061,143,211.2799988,1181855,0
Los Angeles Times,914584,letters@latimes.com,"http://www.latimes.com/services/site/la-site-talk,0,2562859.htmlstory",1,0,,0,5,CA,LA,7.199999809,7,54.31000137,44.36000061,234,1217,12365627,0
The Fresno Bee,158652,letters@fresnobee.com,http://www.fresnobee.com/about_us/contactus/,0,0,,0,5,CA,Fresno,7.199999809,10.60000038,54.31000137,44.36000061,160.1600037,272.5,859624,0
Denver Post,288889,openforum@denverpost.com,http://www.denverpost.com/contactus,1,0,,0,5,CO,Denver,4.900000095,5,47.02000046,51.68999863,149,415.0100098,2400580,0
Rocky Mountain News,288889,letters@rockymountainnews.com,http://www.rockymountainnews.com/staff/,0,1,,0,3,CO,Denver,4.900000095,5,47.02000046,51.68999863,149,415.0100098,2400580,0
