obs_id,seed,treatment_price_normalized,outcome_demand,instrument_z,temporal_time,state_emotion_id,covariate_emotion_0,covariate_emotion_1,covariate_emotion_2,covariate_emotion_3,covariate_emotion_4,covariate_emotion_5,covariate_emotion_6,unobserved_confounder_v,price_percentile,treatment_high_price,treatment_low_price,instrument_strong,time_category,counterfactual_demand_low_price,counterfactual_demand_high_price,individual_treatment_effect
0,42,-1.099393191624509,-2.3997745114539795,0.23947746170589657,3.745401188473625,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7961707046937446,15,0,1,0,Morning,-1.9700978680443286,-2.7808754465686505,-0.8107775785243219
1,42,1.6098376652491846,1.080746605120191,-0.7820176369076074,9.50714306409916,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3389936853092464,96,1,0,0,Evening,1.1930419626106097,1.0322855585420088,-0.16075640406860092
2,42,-1.696627562956433,-0.8284433677342093,2.222695629135075,7.319939418114051,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7579922225186737,5,0,1,1,Afternoon,-0.6850518327379217,-1.231754100710264,-0.5467022679723422
3,42,0.21437788935879143,-0.9447997807894154,-1.237820944087116,5.986584841970366,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5663497329640925,56,0,0,1,Afternoon,0.33203704870941475,-0.0056547598336443355,-0.3376918085430591
4,42,-1.4800233374669889,-2.096306851045362,0.5243627472529105,1.5601864044243652,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3441144703631869,8,0,1,0,Early,-1.9502955465004086,-2.75700377336908,-0.8067082268686714
5,42,-0.4536673308410336,-2.0534521977055724,-0.7349104144777995,1.5599452033620265,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6032604668159496,32,0,0,0,Early,-0.9200027855933643,-1.5149871727545263,-0.594984387161162
6,42,0.15026018430016794,2.5218036547984797,-0.3541076414479869,0.5808361216819946,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2475119165762044,55,0,0,0,Early,1.2377252313169071,1.0861511816044125,-0.15157404971249466
7,42,0.4350481293664134,-2.4045526054835573,0.45353783374517587,8.661761457749352,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15040543817616392,67,0,0,0,Evening,-0.2120011294651744,-0.6614920852032456,-0.44949095573807124
8,42,-1.1734323026022686,-0.7914581402690366,1.224584437626143,6.011150117432088,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10052009450816196,13,0,1,1,Afternoon,-0.551888270167735,-1.0712255969832842,-0.5193373268155492
9,42,-1.0401583177680453,-1.0786978295925542,1.6233965622990456,7.080725777960454,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5877316524799424,17,0,1,1,Afternoon,-0.763650884000972,-1.3265051561047707,-0.5628542721037987
10,42,1.404655693801762,-0.4087930936981531,-1.5369479600263205,0.20584494295802447,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1919588561171166,93,1,0,1,Early,-0.45335013786721146,-0.9524380049952964,-0.49908786712808495
11,42,1.4074850213585897,1.2376492978129456,0.2677512243644622,9.699098521619943,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5922665308251153,93,1,0,0,Evening,1.585958397252324,1.505945816088283,-0.08001258116404086
12,42,-0.2622447679200014,2.589806359327171,1.4594936033835215,8.324426408004218,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4064774772384181,40,0,0,1,Evening,1.0388960074387896,0.8464628074703252,-0.19243319996846442
13,42,0.3354107516988735,1.8931443551044547,-1.6853109387619405,2.1233911067827616,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5796155074058769,61,0,0,1,Early,1.1202690012763818,0.9445578470773383,-0.1757111541990436
14,42,-0.6271052970555228,-0.4506344525939419,0.3143834940548472,1.8182496720710062,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3787097462633506,27,0,0,0,Early,-0.451934738508207,-0.9507317428850637,-0.4987970043768567
15,42,-1.0572626156693683,-2.4364233755573066,-0.002083797420183821,1.8340450985343382,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.244831238218157,16,0,1,0,Early,-2.0365100649512082,-2.860935264681911,-0.8244251997307028
16,42,-1.3249752896409028,0.048808013511488,0.4145418143797882,3.0424224295953772,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7100811190404376,10,0,1,0,Morning,0.051975760780210954,-0.3432682828980336,-0.39524404367824456
