X,duration,cblame_1,tblame_1,mc,lc_c,direct_c,lt_c,lc_t,direct_t,lt_t,sex,age,race,income,worry,twitter,party,lean,ideology,state,ch,covid,virus,list,blame,direct,ict.c,ict.t,ict,Y.c,Y.t,ido,ido1,inc,wor,social,ID,Item,ch1,male,female,young,midage,old,white,blk,his,asian,other,hwor,lwor,hsocial,lsocial,Dem,Rep,Ind,lib,con,mod,low,med,high,mcr,group
1,70,NA,88,Chinese Virus,NA,NA,NA,1,0,NA,1,27,White,"Less than $25,000",Somewhat worried,Never,Democrat,,Very Liberal,Utah,1,NA,0,0,88,0,NA,1,1,NA,1,5,3,1,2,0,1,3-item,b,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,virus3
2,48,78,NA,COVID-19,NA,NA,4,NA,NA,NA,1,28,White,"$75,000 to $99,999",Somewhat worried,Most of the time,Republican,,Conservative,Washington,0,1,NA,1,78,NA,4,NA,4,4,NA,2,1,5,2,3,2,4-item,a,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,covid4
3,80,15,NA,COVID-19,1,0,NA,NA,NA,NA,1,31,White,"$25,000 to $34,999",Somewhat worried,About half the time,Republican,,Conservative,West Virginia,0,0,NA,0,15,0,1,NA,1,1,NA,2,1,2,2,2,3,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,covid3
4,103,NA,80,Chinese Virus,NA,NA,NA,1,1,NA,1,31,White,"$50,000 to $74,999",Very worried,Most of the time,Independent,No opinion,Moderate,Ohio,1,NA,0,0,80,1,NA,1,1,NA,2,3,2,4,3,3,4,3-item,b,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,virus3
5,92,49,NA,COVID-19,1,0,NA,NA,NA,NA,1,25,Black,"$150,000 or more",Somewhat worried,Sometimes,Democrat,,Liberal,Pennsylvania,0,0,NA,0,49,0,1,NA,1,1,NA,4,3,7,2,1,5,3-item,a,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,covid3
6,96,NA,40,Chinese Virus,NA,NA,NA,NA,NA,2,1,25,White,"$35,000 to $49,999",Somewhat worried,Sometimes,Democrat,,Very Liberal,Connecticut,1,NA,1,1,40,NA,NA,2,2,NA,2,5,3,3,2,1,6,4-item,b,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
7,104,NA,77,Chinese Virus,NA,NA,NA,NA,NA,2,1,42,Asian,"Less than $25,000",Very worried,Sometimes,Independent,Democratic,Very Liberal,Michigan,1,NA,1,1,77,NA,NA,2,2,NA,2,5,3,1,3,1,7,4-item,b,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,virus4
8,92,31,NA,COVID-19,2,0,NA,NA,NA,NA,1,23,Asian,"Less than $25,000",Somewhat worried,Most of the time,Democrat,,Liberal,New York,0,0,NA,0,31,0,2,NA,2,2,NA,4,3,1,2,3,8,3-item,a,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,covid3
9,68,NA,65,Chinese Virus,NA,NA,NA,1,0,NA,1,29,White,"$50,000 to $74,999",Somewhat worried,Most of the time,Democrat,,Very Liberal,Ohio,1,NA,0,0,65,0,NA,1,1,NA,1,5,3,4,2,3,9,3-item,b,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,virus3
10,100,80,NA,COVID-19,NA,NA,2,NA,NA,NA,1,27,White,"$35,000 to $49,999",Very worried,Sometimes,Democrat,,Liberal,Arizona,0,1,NA,1,80,NA,2,NA,2,2,NA,4,3,3,3,1,10,4-item,a,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
