defendant_age,previous_convictions,case_complexity,public_defender,plea_bargain,felony_charge,alternative_sentencing,recidivism_rate
25,14,7,0,1,0,1,35.48761952801284
36,12,9,1,1,1,1,31.041719151746964
25,16,7,1,0,0,0,31.62691797870753
20,24,7,1,1,1,0,28.53982169214303
37,21,10,1,1,0,0,23.31215261368012
26,36,11,1,1,1,1,25.05040030427832
27,16,16,1,0,1,0,31.450800010185297
25,21,6,1,1,1,1,32.33230937991406
40,17,7,1,1,0,1,27.02064533873432
29,17,13,0,0,0,0,30.55828874008854
29,19,11,1,0,0,0,29.07150204053667
28,20,8,1,0,0,0,28.199067733874244
36,25,17,1,0,1,0,23.468271067027665
38,18,7,0,1,1,0,23.81986976619308
43,15,8,1,1,0,1,26.193889271315538
41,19,10,1,1,1,0,21.42213789604305
19,11,8,1,1,1,1,42.262274092596336
27,20,6,1,1,0,0,25.018298461093792
34,16,13,0,1,1,0,26.95094947741332
31,14,10,1,0,0,1,33.26188362480478
13,16,12,1,0,1,1,41.372674052004434
12,16,10,1,1,1,1,42.86015567772704
30,12,9,0,1,0,0,29.87295035923847
27,26,8,1,1,0,1,29.11442871243841
39,26,9,1,1,1,0,18.982561948560228
44,16,6,1,1,1,1,24.370229839010378
40,6,11,1,1,1,1,31.91909260933321
34,27,6,1,1,1,0,19.01852770241257
30,25,9,1,1,1,1,28.22487665815045
23,15,15,0,1,1,1,38.89060369174103
23,8,3,0,1,1,1,37.85329260837421
32,17,11,0,0,0,0,27.43609161886452
23,25,10,0,1,1,0,29.108125615989348
20,30,11,1,1,1,1,33.791110944535504
28,10,9,1,0,0,1,35.37805157030869
32,29,8,0,1,1,1,26.828641192440536
52,24,11,0,1,0,0,13.960047371774396
21,12,11,1,1,1,1,40.05401757339997
34,16,10,0,1,1,0,26.58656186772699
30,25,7,0,1,1,0,25.139331302308253
31,27,7,1,1,1,1,27.00885591650319
36,22,6,1,0,1,0,21.98330752010616
31,27,10,1,1,1,1,26.7795723400749
31,33,9,1,1,0,0,19.49062284071461
23,27,14,1,1,1,0,29.11011348101018
20,24,13,0,1,0,0,30.819329477975256
5,21,14,0,1,1,0,42.33283861990925
27,16,9,1,0,1,1,37.01605816662651
20,26,10,1,0,1,1,35.35177007913492
20,14,7,1,1,1,1,38.733330913541394
23,21,7,0,1,1,0,28.375472877770267
31,24,9,1,1,0,0,23.0510824893265
31,21,15,1,1,1,0,26.78242287451365
40,24,14,1,0,1,0,20.96884032729998
19,22,17,1,0,0,0,33.91766294335184
42,15,9,1,1,1,0,21.11055908497489
29,17,9,0,0,0,0,27.80528322585568
