age_years,income_level,gender,minority_status,credit_score,subsidy_eligibility,home_ownership
8,8,1,1,6.747900466863861,0,5.647466493822549
7,4,0,0,9.570192010944746,1,16.216609126024878
9,6,1,1,10.638014832680405,1,18.636892953405287
8,6,1,0,9.79252752691858,1,17.297578606220867
8,4,0,1,6.548639966261604,0,4.720645521598513
6,6,1,1,10.569878195939436,1,18.523646118567594
15,6,0,0,10.222385542562757,1,17.319284538119092
12,5,0,0,10.731288377154428,1,17.336364312066795
7,3,1,0,11.873148865213388,1,19.090666129100143
10,5,1,0,4.624566398213939,0,1.8718771847803923
5,4,1,0,9.051279363693371,1,17.356806024819434
6,7,0,0,11.459902373739611,1,18.76099041682195
7,5,1,1,6.740427470961377,0,5.627214249887132
5,7,0,0,8.397020608386708,0,7.694145419599665
10,7,1,0,7.100532291354924,0,5.342128379118032
10,6,0,0,9.590000743922518,1,16.187226366841276
6,5,0,0,9.905730298046764,1,18.407559718491253
6,5,1,0,8.800405763782136,0,9.210971405960686
4,5,1,1,7.112526201225364,0,6.155170247642674
8,4,1,0,10.360656796951986,1,18.084863548867144
9,5,0,0,9.493921825777178,1,16.609059241512856
9,6,0,1,10.400463191193168,1,17.476837092600306
5,5,0,1,12.093479138218022,1,19.66649713240499
7,6,1,0,7.147353158850833,0,4.481469048136483
5,6,0,0,7.18697150653234,0,5.994419718606168
5,5,1,0,9.018732439616423,1,16.71198059069333
1,7,0,1,9.670475902807416,1,18.33678579038901
8,3,1,1,7.782240443132527,0,6.9801952033411565
8,5,0,0,7.747456908805649,0,5.5749988904424645
4,5,1,0,6.695922727366366,0,5.578417887339939
6,5,0,1,7.987042666893815,0,8.366548944759364
3,5,0,0,6.456727927389947,0,5.796088157788295
7,5,0,1,7.709547039517385,0,6.42468349041578
9,5,0,1,6.3348261948775,0,4.366816376072246
3,6,0,1,7.538886454328743,0,6.93409717289783
7,9,0,1,6.283026194749425,0,4.69715313011516
10,5,0,0,10.528630530936816,1,17.612874280567514
16,4,0,0,13.01215686791464,1,18.32259992864529
10,8,1,1,7.455846586021446,0,5.848665310909012
10,2,0,0,9.959383968889226,1,17.00132150030086
6,7,1,0,7.209748338468912,0,5.993407469408244
4,7,0,0,9.264143341501796,1,16.66125190446055
6,4,0,0,9.121564122505712,1,17.565591144680123
9,6,0,0,7.482792306515837,0,6.192181266797569
5,7,1,0,7.679597089464026,0,7.183869384898879
9,8,0,1,7.174645256928596,0,4.841042886471718
12,4,1,1,6.732187779286768,0,4.785138492850324
