age,experience_years,gender,minority_status,job_satisfaction_score,vocational_training,income
2,6,0,0,8.286001483256985,0,6.65090419660533
6,7,1,1,11.93790365720168,1,17.391246949154308
6,4,1,0,11.227279486445674,1,15.449945583600693
11,1,0,0,10.413788721074662,0,10.789371103382363
9,5,0,0,10.790547312349656,0,9.587219019761845
9,4,0,0,8.873727435820811,0,8.922174914826607
9,5,0,0,11.428566839811548,1,17.299049760335585
9,6,1,0,13.326829013152649,1,17.629881997291488
5,6,0,1,15.256304846385838,1,20.00321279567649
6,7,0,0,8.717990299143137,0,8.694988880192811
11,6,0,0,10.959802629726894,0,11.599132834357508
5,6,1,1,13.702885036180136,1,18.122020629835863
3,4,1,1,10.89301533823424,0,9.666124300007356
3,7,1,1,12.293444968453834,1,17.388022249715785
1,6,1,0,9.968952225930796,0,8.946986001181909
5,7,1,1,11.141210224353095,1,16.307243033073732
6,5,1,0,13.091691236767453,1,17.89959562449962
8,4,1,1,8.954580034868993,0,7.753572774203437
4,4,0,1,14.704772637777843,1,18.59316490742519
9,6,1,1,10.910424583738562,0,11.714526506033872
13,6,0,1,10.099585684787543,0,10.131136852938448
5,5,1,0,9.207764840938069,0,8.14264503489068
6,5,0,1,13.586601249352931,1,19.03704721769187
13,6,0,1,11.673592025979964,1,17.930217824058104
4,5,0,1,13.290308228608446,1,18.161924410826703
6,6,0,1,9.811021660495298,0,9.387366748928562
0,3,0,0,11.47388001213055,1,17.17582187215607
9,6,1,1,9.862663112971475,0,10.347968845115474
6,7,1,1,12.399700806097616,1,16.955733466138874
6,6,1,0,9.0497526017672,0,8.039481418170128
4,6,0,0,9.60339467411364,0,9.210851335075876
9,4,1,1,11.067211474463244,1,16.625701703549534
11,4,1,1,9.023951755067186,0,7.870039968404588
7,5,0,0,10.672374336983935,0,10.888808158483307
5,5,0,0,9.042962120730962,0,7.640565385688059
11,7,0,1,9.269001635956643,0,7.530154254410053
12,1,0,0,11.86205065295722,1,17.101415118307678
6,6,1,1,8.544239525545786,0,6.887274956968681
5,6,1,1,10.366024191230078,0,9.423530219239073
4,5,0,1,10.764772705873082,0,9.481287184659488
4,8,1,0,10.587016629303086,0,10.721399461816793
12,9,1,1,10.290310982846846,0,11.012858021187142
10,4,0,1,7.795695759889396,0,5.550017671200995
5,6,1,1,11.80589714041272,1,17.646569420432453
8,3,1,0,11.381618908262924,1,17.023396146582773
6,4,1,0,11.90292902840716,1,17.346611135509512
7,5,0,1,10.920284642699446,0,10.676482953042528
6,4,0,1,9.207915167137816,0,8.015245359177053
9,7,1,0,12.378765329719783,1,17.903430642253994
9,8,0,1,11.692269005989049,1,17.204216614450072
12,6,0,1,12.75044032848642,1,17.90291709687677
6,5,0,1,13.03336096791054,1,16.71608468934804
11,5,0,0,13.565184650795809,1,19.08967207704534
2,6,0,0,9.371332602262791,0,7.722127512702868
1,4,0,0,12.455627304078224,1,15.41671628506568
10,7,1,0,12.65907202613556,1,17.91520296535956
12,3,1,0,10.755935670362344,0,11.197035874060411
6,6,0,0,10.19034255486595,0,9.49523378736198
