defendant_age,income_level,prior_convictions,legal_representation,charge_severity,bail_status,diversion_program_enrollment,sentencing_length,recidivism
28,16,12,1,1,0,1,57.09787898993788,207.03581297380995
27,35,8,1,0,0,1,61.99141164405371,235.0207170833733
31,29,8,0,1,0,1,62.06882327964728,230.63621088198127
32,27,12,1,1,0,1,67.00198480875639,243.87253856785287
33,17,9,1,1,1,1,61.6426322349411,222.6450842759069
28,25,11,1,0,0,1,59.80289964874915,222.08731100995948
38,26,14,1,1,0,1,77.27702762355445,269.7728065095007
27,16,8,0,0,1,1,51.81461334354836,196.1557076692447
42,15,7,1,1,0,1,68.82568318817289,238.71994005131103
27,21,6,1,0,1,1,54.63121855477809,201.7416425779385
26,22,11,1,1,1,1,59.54771994848032,218.23592879968723
28,14,9,0,0,1,1,52.29603335915952,196.9640092555653
33,30,9,1,0,0,1,65.09239707794669,241.76114538827835
35,22,4,0,1,1,1,61.49565421854225,224.4548497091572
17,8,12,0,0,0,1,39.73618745056669,158.98441027993096
35,26,6,1,1,1,1,67.83036688468451,242.93089354255977
26,29,3,1,1,0,1,55.228212598053865,212.3845267689178
29,16,13,1,0,1,1,57.65869398573753,211.9385657989528
29,23,6,0,1,0,1,54.98080637488807,210.81127667542253
33,11,7,0,0,1,1,57.9736769837854,206.71621619310065
27,22,11,0,0,0,1,57.51389715857153,211.16454616178024
41,17,11,0,1,0,1,71.33242725283148,251.04025436119596
35,17,14,1,1,1,1,69.67681404128717,243.9790683040651
30,19,16,1,1,1,1,66.60798919539863,239.44107305262477
33,22,11,0,1,1,1,66.76183571781586,241.14510301644108
36,15,8,0,0,0,1,60.788248052860375,218.7366359515487
23,23,8,1,0,1,1,50.89063176647301,196.4767942577351
32,25,10,1,1,1,1,65.80875665815493,239.6255839694689
24,12,12,1,1,1,1,52.89761161671395,196.5014471954568
32,22,8,0,1,0,1,58.85753087072209,218.79868787055997
26,10,11,0,1,1,1,51.01974420589763,190.95445631509287
31,27,6,1,0,0,1,59.392015878878354,222.02507195776644
30,12,7,0,1,1,1,53.41271239864415,197.31400790423984
47,21,10,1,1,0,1,80.51041250186474,275.2090613390055
33,17,9,0,0,1,1,59.851431065815,216.3171898320929
15,9,6,0,0,0,1,28.681287414796746,128.3066819673178
30,19,14,0,1,1,1,64.28420613176226,228.7685782374697
18,11,11,0,0,1,1,42.00694261279505,166.85288132153414
34,29,7,1,1,1,1,67.16339676054699,245.3259954914321
27,16,13,0,1,0,1,57.331553024977474,212.1597515436592
36,22,5,1,1,0,1,63.09328519535115,228.3102435758767
31,26,10,0,1,0,1,62.93433207600742,232.2002143759173
33,14,5,0,0,0,1,55.79253541841762,204.15224916090116
13,18,5,0,1,0,1,33.012814330111325,149.0984466832855
25,10,10,1,1,1,1,50.32766404775612,188.61567420234945
37,17,8,0,1,0,1,63.95501046722673,229.4335819529784
25,18,7,1,0,0,1,47.844427665144366,187.6510639609396
30,26,9,1,1,1,1,62.94360496289123,230.15266839050295
23,18,10,1,1,1,1,52.66981221344729,199.07848743666275
18,21,10,0,1,0,1,46.32614545122863,183.6152800875696
30,24,9,1,1,0,1,61.88858128880612,226.6012691021519
28,15,6,0,0,1,1,50.07254736678956,190.60492895928093
19,22,5,1,0,1,1,41.97384125632865,175.01599992454393
26,25,10,1,1,1,1,57.841340326785314,220.0166674157193
27,21,7,1,0,0,1,52.31912337285704,198.60714069221683
46,17,12,0,1,0,1,77.83884886831851,265.22274448348827
29,16,7,1,0,1,1,55.47348371339887,202.92925325054352
31,18,6,0,1,0,1,56.28835826039179,206.83849022698573
9,15,9,0,0,1,1,29.737448884553796,137.23521947227138
27,24,7,0,1,0,1,53.96733388166228,205.55050722127328
21,24,13,0,1,0,1,52.72195102447493,206.0014410125479
12,19,13,0,1,0,1,39.22876215666684,166.32291250892598
25,5,15,0,1,1,1,52.98420180493749,191.74164692831607
25,25,9,0,1,1,1,55.288810598483735,210.8424972488904
27,17,10,1,0,0,1,53.156032130906254,201.37157117955508
28,23,12,0,1,1,1,59.90583619193641,223.41106827441075
38,6,9,0,1,1,1,62.02402917509858,216.8951371059334
34,10,7,0,0,1,1,56.21181120490333,203.70324014803128
47,21,13,1,0,1,1,85.30478329596365,284.4810858321447
17,19,4,0,1,0,1,36.333220627142346,156.4905451838595
30,22,9,1,0,0,1,57.57920981591463,214.49587278719503
27,23,9,1,1,0,1,56.91583169267855,213.8930753408536
38,12,8,1,0,0,1,61.19105836329648,220.13864632747217
29,13,13,1,0,1,1,56.99713835061295,206.4586831919523
40,24,10,0,0,0,1,71.90746327154716,256.06922287055227
33,10,3,0,0,1,1,51.27315087764873,188.89873631556463
26,19,3,1,1,0,1,46.78141288730817,183.78527797752207
23,21,12,1,0,1,1,55.26942585285033,208.28470357732283
33,27,13,1,0,1,1,68.93393507530936,251.05889805869705
23,19,8,1,0,1,1,49.89299077786736,191.33362090632536
34,20,8,1,0,0,1,62.58718254455039,226.3292442057758
32,23,10,0,1,0,1,62.150495353477474,229.13806957714425
27,24,6,1,0,1,1,55.92036490907493,210.3726992407885
33,13,7,1,0,1,1,55.23102713091841,203.2445206013068
34,20,11,0,0,0,1,63.51181506373093,227.2273309613437
25,13,10,0,1,1,1,49.70335060732912,188.2472858244108
25,20,8,1,1,0,1,52.76223092865563,202.2839003961741
37,18,10,0,0,1,1,65.55949870514081,233.7383330218049
32,15,6,1,1,1,1,55.616024535856006,206.15566155400717
36,12,5,0,0,0,1,55.25796840140079,202.3868493551413
36,15,12,1,1,1,1,67.2848618071845,237.46777398471764
42,25,15,0,1,1,1,83.25456871800444,282.62680293754244
28,16,9,1,0,1,1,54.28892755035231,201.622176266879
19,18,9,0,1,1,1,44.100261965222586,175.65110382360007
28,22,9,0,0,1,1,57.812333419968446,214.07095012539872
26,18,11,0,0,1,1,54.39304063134068,203.53070633622892
12,14,13,1,1,0,1,37.860786222463794,161.1624706965632
20,11,9,1,1,1,1,44.79595552882495,173.60227692924337
18,12,3,0,1,0,1,32.432876666993955,143.19010042462855
26,26,6,1,0,1,1,53.35207676156628,210.03067658593253
25,14,11,1,1,1,1,53.74241186332741,199.7602285513376
23,13,5,1,0,1,1,44.81960989261944,173.55039740710046
36,8,13,0,1,1,1,64.13492444314541,221.87005962015223
