age,education_level,gender,minority_status,local_unemployment_rate,job_training_intensity,annual_income
9,30,1,0,12,45,490.9583668850168
12,33,1,0,14,48,519.673106517725
6,30,0,1,10,41,454.2075938280356
12,28,1,1,14,49,523.0863891114975
11,31,0,1,10,44,479.4702751099951
7,34,1,0,11,47,517.1264393438576
17,31,0,0,10,48,518.8589308826064
8,30,1,0,6,42,463.3740046035833
16,28,1,0,8,44,479.774236399838
9,32,1,1,11,45,493.4850994900507
15,33,1,0,8,49,530.8817416331934
9,28,1,0,7,43,473.0296146925264
10,26,0,1,11,46,494.39119144467605
13,28,1,1,11,49,526.7600538251794
11,31,1,0,10,46,502.9940435849711
12,31,1,1,10,47,509.9133691196787
10,30,0,1,10,46,502.3620909154129
11,23,0,1,12,47,505.5124861768722
13,31,0,0,7,45,489.7361239283693
7,29,1,1,12,43,469.4821896757308
8,32,0,0,9,43,473.00596854292417
11,31,1,0,10,45,491.9523669555191
8,31,0,1,7,40,441.2861419310326
11,31,1,1,8,42,461.93958675860665
14,31,0,1,13,50,537.8735627694535
14,30,1,1,11,48,516.9143341422052
8,31,0,0,11,42,459.1884091322062
15,30,0,0,10,47,509.2086766285516
7,30,0,1,12,43,470.9308394795328
10,29,0,1,10,46,498.1559435277685
5,30,0,1,10,43,471.8541976909909
5,33,1,1,7,41,454.53242019483287
14,31,1,1,12,48,515.5652130136731
11,31,1,1,7,42,461.0555092519184
10,31,0,0,10,45,492.097205025252
7,33,1,1,11,46,503.13219714811146
10,30,0,1,10,44,479.7686911156956
2,28,1,0,13,39,430.03970496860165
6,31,1,0,6,41,456.9010449456797
14,27,0,0,8,48,517.6848751197612
10,26,1,1,10,46,496.2588640145521
6,29,0,0,10,43,471.66917008160607
6,29,0,1,11,40,439.38923041886966
13,32,0,0,12,49,527.5230081006681
8,30,1,0,10,44,480.56801071729626
9,30,1,0,7,40,445.68664608298207
7,25,0,1,12,45,484.89043449419376
11,32,0,1,13,45,489.3683421880717
8,30,1,0,6,41,454.1810491547684
7,30,0,1,13,47,507.0680560327793
4,29,0,0,12,44,482.2448678766841
12,30,0,1,9,47,510.541586038974
11,29,1,0,10,43,471.7975755463281
8,29,1,0,11,44,481.0508034816612
10,30,1,0,13,47,506.96414810016574
7,29,1,1,15,42,457.7620621827634
10,33,0,0,8,46,500.9154290856425
9,33,1,1,12,48,521.2695726832533
10,28,1,1,10,47,507.6595963912395
10,26,1,0,8,43,469.8808833896463
9,28,1,0,12,43,467.19387376869975
10,32,0,1,10,46,501.7718824130218
11,28,1,1,6,45,489.3225934637528
13,29,1,1,9,46,499.01009885908326
13,30,1,0,9,47,508.11290815892784
12,28,1,1,10,46,496.5365336341557
12,32,0,1,10,46,498.0184872114218
12,32,1,1,11,47,508.71835321166327
12,29,0,0,12,50,536.9568511970871
9,25,0,1,10,42,458.0634291435764
13,32,0,0,8,48,518.7426964639495
7,26,0,1,11,42,460.01208097917583
11,32,0,0,10,46,503.88765684910425
8,33,1,0,15,45,490.43865835887993
10,30,0,0,11,47,510.0523905047261
8,29,1,0,7,39,433.3687557979428
7,26,1,1,14,44,476.9393646354517
13,23,0,0,11,47,503.3560427985978
12,27,1,0,8,47,509.5423879763581
8,30,1,1,8,43,472.196980279876
6,28,0,0,12,44,481.4318655390483
6,26,0,1,10,43,467.7143969551752
9,29,1,1,13,43,469.9147280360619
10,26,1,1,9,42,459.1857772408128
8,25,0,1,14,44,479.1428915070443
11,32,0,0,10,45,492.926527858478
7,28,1,0,10,41,450.4025961548592
7,29,1,0,14,47,508.6753934509335
5,29,1,0,13,42,460.915162078787
11,30,1,0,10,44,481.5771822406644
14,31,1,1,11,46,497.8256788032517
5,25,1,1,11,40,440.2030675535091
9,28,1,1,11,44,480.4864669206462
6,31,0,1,11,40,444.2453408450132
13,28,0,0,10,45,489.580662808485
13,27,1,1,15,52,554.9273767972422
2,27,1,1,10,38,419.05412813348886
10,30,1,0,12,46,500.07355150179086
13,25,0,1,14,48,513.9455684495248
9,30,1,0,11,45,492.1791907037217
7,26,1,1,7,40,437.3390875003111
11,30,0,0,11,44,479.2349693886102
9,31,0,0,10,44,481.3282610587143
9,32,0,1,10,44,482.2369760929629
9,28,1,0,8,43,472.1758463310742
11,30,0,1,12,47,511.47976597483785
8,29,0,1,16,47,504.5110535376014
11,27,0,1,10,47,504.3536000109923
9,28,1,1,10,42,460.810808348516
6,27,0,0,10,43,468.6466941665041
11,29,0,1,11,47,507.78267733881705
9,29,1,1,12,42,460.62089235685255
5,29,1,0,9,42,463.5254208791951
11,29,0,1,5,42,463.7098134555439
6,30,0,1,10,42,461.8992324943407
9,31,1,0,10,44,482.6947457522461
8,28,1,1,13,45,489.1873391226865
12,28,0,1,14,47,506.2106630805897
8,32,0,1,11,45,491.27805166277614
10,30,1,1,11,44,481.1921796014635
11,28,1,1,8,41,448.359738136674
11,31,1,0,11,46,497.9360456755543
13,28,1,1,9,46,499.01233489655306
8,25,1,0,9,41,452.4787492014403
7,28,0,1,13,47,507.52072069358695
11,28,0,1,12,47,505.9981307741348
10,25,0,0,11,44,477.8611885007935
9,30,1,1,15,46,500.10891008142704
11,29,1,0,8,43,469.8523591432047
7,29,1,1,10,42,462.8060643231137
11,28,0,0,9,47,509.4716193916241
8,30,1,0,10,45,491.722670621369
12,31,0,0,7,48,520.0096274680841
10,27,1,1,11,47,507.6142903563067
9,28,1,0,8,41,451.1322433571431
10,29,0,1,8,43,470.6671646817204
10,25,0,1,10,47,505.8684700638825
4,28,0,1,12,42,459.923984919192
12,35,1,0,10,46,501.87583530980606
14,32,0,1,13,50,536.7972672133095
7,29,0,1,11,42,461.6449290709026
11,33,1,0,12,49,528.6038381392034
12,32,0,0,12,47,510.2194279299115
4,26,0,0,11,39,430.425446265944
9,30,0,0,14,46,501.13355219869766
10,31,0,0,11,45,491.92332711117626
13,33,1,0,9,48,521.1617588042274
9,30,1,0,12,45,490.2752625737165
12,30,1,0,13,47,509.0946131789496
10,24,0,1,8,43,466.7311828177313
7,31,0,1,9,42,463.539089867487
12,32,1,1,12,49,528.4112512653372
14,32,1,1,11,49,528.5036053805525
7,31,0,1,9,43,469.3885784841211
8,29,0,0,12,44,477.18681820166057
11,31,1,1,9,43,471.0018765856996
9,28,0,0,13,47,506.2048688448168
14,26,0,1,11,47,503.6021395588601
10,30,1,1,12,47,510.8445907288674
10,31,0,1,14,47,506.2451849260609
12,24,1,1,11,45,485.3368708617968
6,29,1,0,9,42,461.0248819418373
8,28,1,0,13,45,487.65280540264126
7,32,0,1,8,43,473.1167495929225
12,25,1,0,11,43,465.8925554076624
10,31,0,1,13,47,509.59760418994097
14,32,0,0,11,47,509.245003324596
