age,education_years,annual_income,gender,minority_status,financial_aid,home_ownership
26,23,8,1,1,1,91.38609317089865
32,29,10,0,0,1,97.95625469707784
31,14,10,0,0,1,86.2984838867906
16,21,5,0,0,0,72.25533696429883
35,22,11,1,0,1,94.3673823054059
29,18,15,0,1,0,77.6072322895624
20,26,10,1,1,0,76.90195869305377
34,16,10,1,1,0,81.86284466463385
37,30,9,1,1,1,101.4792946382742
36,14,9,0,0,1,89.81115898063639
12,24,8,0,0,0,69.87541135707612
20,23,15,1,0,0,72.57355079253061
29,23,11,0,0,1,90.72886942331787
31,23,9,0,0,1,92.68995534162968
17,18,12,1,1,0,71.10077294506512
21,18,7,1,0,0,73.50375870460294
19,20,8,1,0,1,83.9115107814639
14,16,8,0,1,0,67.58249890895848
27,20,6,0,1,1,90.31289660078043
32,19,5,1,1,0,82.29322752363315
36,21,10,0,1,0,85.18420715875175
27,15,9,1,1,1,87.43103212914815
9,28,9,0,0,0,72.15809198716155
37,22,11,0,0,1,96.27962636467458
26,18,9,1,0,0,76.06525562730036
27,23,11,1,1,0,79.04049919183166
26,11,8,1,1,0,73.1770082036877
25,13,11,0,0,1,82.87048342597966
32,16,14,0,1,0,77.74419540335664
35,24,13,0,0,0,84.8348615886803
41,23,10,0,0,1,97.28434980016472
31,28,9,0,1,1,97.51800122643463
30,25,15,1,1,0,83.23120337472048
39,21,7,1,0,0,87.34704105505277
30,22,10,0,1,1,92.5727644675612
24,25,6,1,1,1,90.52543175004432
28,20,7,1,0,1,89.30074378477529
28,25,6,0,1,0,83.41197972289135
31,28,11,1,0,1,94.12921256523045
17,23,14,0,0,1,81.47117427582276
36,21,15,1,0,0,82.6497898333716
40,13,10,1,0,1,92.96920213228027
27,20,10,0,1,1,89.1484880655753
34,15,11,0,1,0,79.6380247066311
22,25,10,0,0,1,87.31071017567324
36,25,8,1,0,1,97.5367976341531
23,20,11,0,1,0,74.28023236759988
45,25,11,0,1,1,104.50608624944762
27,21,9,1,0,1,90.02561243730528
13,26,8,1,0,1,83.10238605253076
32,16,8,0,1,1,89.58301932925704
28,13,7,0,1,1,86.23068636402915
31,16,10,1,1,1,89.82937074575904
29,9,5,0,0,0,73.4223240362028
32,26,9,1,1,1,95.47626991593778
44,16,11,1,1,1,98.0128573983721
32,20,7,0,0,0,79.38366639026688
36,13,8,0,1,1,91.46001685991928
21,20,11,1,1,0,75.64387470178752
30,22,6,0,1,0,82.21759209738705
20,22,13,1,1,0,74.06127662115517
40,5,5,0,1,1,90.87366980663022
28,12,10,1,1,1,86.32667805351382
27,19,7,0,1,1,86.8891651782743
21,24,10,0,0,0,76.85177630732962
34,22,7,0,1,0,84.03085233935522
42,19,5,0,0,1,98.66884678537215
25,14,10,0,0,0,73.0765817332203
33,34,13,1,0,0,90.27005998568636
28,30,8,0,0,0,84.93055295526172
