age,household_income,gender,urban_residence,participation_in_social_program,social_network_size,life_satisfaction_score
29,14,0,0,1,36.01080417263174,168.43864325332274
35,16,0,0,1,41.35308027986912,187.92436576778516
28,26,1,0,1,45.6706652802522,198.73304422090695
44,27,0,1,1,58.09054971042173,242.43235997565577
34,23,1,0,1,47.29257205798016,203.0755196101702
44,16,0,1,1,49.68475027521764,212.27720643019677
25,29,1,1,1,44.74878675912633,201.11436079946165
33,13,0,1,1,38.611515881739074,177.50967001697097
25,24,0,0,1,38.16096828818896,181.67061591465145
31,18,0,1,1,40.56488460830527,182.1298736231284
26,15,0,1,1,36.1654191984211,166.1883612431318
38,13,1,1,1,43.98282173505794,193.10518618821476
25,26,1,1,1,43.41338399126593,195.72574704646016
23,21,1,0,1,34.98522340883655,168.24799989465188
29,13,1,0,1,35.72136814617575,165.03842948846713
29,19,1,0,1,38.91366181410696,179.4327722874143
30,27,1,0,1,47.06905081037662,205.278588247378
26,12,1,0,1,32.371755253996,156.43818925809182
35,13,0,1,1,41.678426375331306,183.45738344491247
31,16,0,0,1,37.48963583094753,177.42401095462685
20,19,1,0,1,31.81658327295631,160.47715512263872
29,17,1,1,1,40.44708864246565,181.60094155834932
30,15,1,1,1,37.32559339415297,173.48855144143548
23,21,0,1,1,34.32734608802625,166.45332106860496
36,18,0,0,1,45.575387025659374,201.47749840120613
16,25,0,0,1,33.66980491158587,164.69322254784424
26,30,1,0,1,42.98575700871276,202.0222349290076
14,28,1,1,1,35.8362714319433,168.77169887854487
45,14,1,1,1,49.6083999187226,212.8489670371463
20,18,1,0,1,30.039660014487502,153.7224546062614
28,23,0,1,1,41.760398267358326,189.200467411312
11,20,1,1,1,26.683792598505956,138.87210431998258
32,15,0,1,1,39.22564342665896,180.5443369730257
36,20,0,0,1,43.87712701243241,195.83965079736052
13,16,1,0,1,23.065419761103254,130.3366384958128
30,30,0,1,1,49.12280043330213,213.3023313672992
22,19,0,1,1,33.26499539694529,161.23907533832343
27,16,0,1,1,37.019964303926905,173.11844474797132
26,17,0,1,1,35.04740040451178,168.80821814836224
31,27,0,1,1,46.77735820820093,210.08246442540997
27,21,0,0,1,36.69112480255324,176.78365340129773
24,31,1,0,1,44.67249435069201,201.60251805255533
30,24,0,1,1,45.07805933898118,200.1449669144223
38,12,0,0,1,41.76672308215908,185.96121402030312
29,25,0,0,1,43.44718747523556,193.82570157217333
26,13,0,0,1,32.82719728631532,157.034831807092
25,25,0,1,1,42.52538610637985,191.257585004472
