hospital_id,measurement_year,telehealth_services,patient_recovery_rate,patient_age,hospital_capacity,rural_location,private_insurance
1,0,0,56.61580230199464,6,6,1,0
1,1,0,50.683563905092775,6,6,1,0
1,2,0,54.347185871641166,6,6,1,0
1,3,0,53.42666779776252,6,6,1,0
1,4,0,51.59444176617016,6,6,1,0
1,5,0,52.65657816537007,6,6,1,0
1,6,0,53.90739971230614,6,6,1,0
1,7,0,53.98464557177831,6,6,1,0
1,8,0,53.51816280312635,6,6,1,0
1,9,0,50.58906664474598,6,6,1,0
2,0,0,54.65858326035104,6,7,1,1
2,1,0,51.9842774511214,6,7,1,1
2,2,0,51.52031493435441,6,7,1,1
2,3,0,51.27173357837847,6,7,1,1
2,4,0,48.97242431888769,6,7,1,1
2,5,0,52.85732950665752,6,7,1,1
2,6,0,52.67077368137226,6,7,1,1
2,7,0,50.71248108011391,6,7,1,1
2,8,0,50.77762932175629,6,7,1,1
2,9,0,49.7297451412901,6,7,1,1
3,0,0,52.29830898361767,5,8,0,0
3,1,0,49.15401233430054,5,8,0,0
3,2,0,53.29056786885778,5,8,0,0
3,3,0,50.71644452601239,5,8,0,0
3,4,0,48.80228923328245,5,8,0,0
3,5,0,51.7912044160656,5,8,0,0
3,6,0,52.40274788109032,5,8,0,0
3,7,0,53.50192073922735,5,8,0,0
3,8,0,52.54213179613178,5,8,0,0
3,9,0,50.61318377742572,5,8,0,0
4,0,0,52.77800264342633,3,8,0,1
4,1,0,50.294639521998185,3,8,0,1
4,2,0,51.44473762444884,3,8,0,1
4,3,0,52.99521508851757,3,8,0,1
4,4,0,48.50123709863347,3,8,0,1
4,5,0,51.53995389214168,3,8,0,1
4,6,0,52.576043031678616,3,8,0,1
4,7,0,50.65348028791928,3,8,0,1
4,8,0,50.56097176213989,3,8,0,1
4,9,0,49.73617770828516,3,8,0,1
5,0,0,53.972651515689535,6,7,1,1
5,1,1,52.85370515847393,6,7,1,1
5,2,1,57.7383737573597,6,7,1,1
5,3,1,57.81008143829819,6,7,1,1
5,4,1,55.51363273591223,6,7,1,1
5,5,1,57.59834171180928,6,7,1,1
5,6,1,56.97781101075625,6,7,1,1
5,7,1,57.97610584473839,6,7,1,1
5,8,1,56.481157514706105,6,7,1,1
5,9,1,56.55895919834098,6,7,1,1
6,0,0,52.83149900008525,5,10,0,1
6,1,0,48.36131895822815,5,10,0,1
6,2,0,50.460280913725256,5,10,0,1
6,3,0,50.72357099384369,5,10,0,1
6,4,0,47.53754026974415,5,10,0,1
6,5,1,57.773811198807664,5,10,0,1
6,6,1,58.77927263420797,5,10,0,1
6,7,1,57.590716448011655,5,10,0,1
6,8,1,54.41746238713821,5,10,0,1
6,9,1,55.59139240157823,5,10,0,1
7,0,0,53.90697572783744,3,8,1,1
7,1,0,51.69716135095063,3,8,1,1
7,2,0,53.294036806660976,3,8,1,1
7,3,0,52.54264477671915,3,8,1,1
7,4,0,49.0396142756001,3,8,1,1
7,5,0,50.88433632126823,3,8,1,1
7,6,0,53.04462728984764,3,8,1,1
7,7,0,51.99485629532914,3,8,1,1
7,8,0,51.08644104424856,3,8,1,1
7,9,0,51.81822525993755,3,8,1,1
8,0,0,50.88647714875096,6,5,1,1
8,1,0,48.27609252265886,6,5,1,1
8,2,0,52.179487634182216,6,5,1,1
8,3,0,51.20065494114928,6,5,1,1
8,4,0,48.169333000956016,6,5,1,1
8,5,0,50.28872574115137,6,5,1,1
8,6,0,51.32020715046719,6,5,1,1
8,7,0,49.84791078778003,6,5,1,1
8,8,0,49.19845130221012,6,5,1,1
8,9,0,48.79268157356649,6,5,1,1
9,0,0,53.242880236441415,4,5,1,1
9,1,0,50.02442820191844,4,5,1,1
9,2,0,52.65963857444133,4,5,1,1
9,3,0,51.52069883550133,4,5,1,1
9,4,0,50.20523358518636,4,5,1,1
9,5,0,50.85683596862047,4,5,1,1
9,6,0,53.97776770354502,4,5,1,1
