age,income,education_years,household_size,previous_loan_count,homeowner_status,rural_residence,credit_card_access,annual_spending
32,16,4,20,1,0,1,1,96.69784795726304
19,26,8,21,1,0,1,0,83.43934523982797
36,21,8,17,4,0,1,0,90.10117878162838
27,32,8,17,1,0,1,0,84.54080783720693
32,26,7,15,1,1,0,1,93.268568958833
26,26,8,19,1,1,1,1,93.55107728086443
19,22,5,15,2,0,1,1,84.51367562915478
26,20,3,18,0,0,0,1,89.66730269726051
14,21,7,13,2,0,1,0,72.35731277325331
26,26,4,8,1,1,0,0,74.57154199196238
33,25,7,17,2,1,1,1,98.69839641553898
7,24,2,21,1,1,1,1,81.93102976749154
24,28,1,15,2,1,1,0,80.47116253766464
36,19,4,16,2,0,0,0,88.31524879494363
30,21,6,17,4,1,1,0,85.20423234169114
34,24,10,9,1,1,0,1,91.13611376740882
29,21,8,8,1,0,1,0,77.5302626118671
16,26,3,16,2,1,1,0,74.74916754782744
12,20,3,18,2,1,0,0,76.27008220106735
10,29,6,21,2,0,1,1,83.59892161410339
34,28,8,1,0,1,1,1,84.24280254166385
9,30,7,17,1,0,0,1,77.6087180844499
14,21,6,15,1,0,0,0,72.46721311880005
33,24,6,19,0,1,1,0,90.8675055228401
45,26,3,13,1,1,0,1,102.22209324295596
14,22,9,19,2,0,1,0,76.4340200003493
19,23,5,13,2,1,1,1,83.55560011205031
22,23,4,11,3,0,0,0,75.34795441521587
18,26,4,5,0,1,1,0,67.56649950981101
10,29,4,7,0,0,0,0,63.35439174161076
19,21,6,16,3,1,1,0,76.12340971075254
26,21,4,12,1,1,1,0,77.95547671353093
27,29,3,15,1,1,1,0,82.36208633641087
21,20,7,16,2,0,1,0,77.92017058399803
36,24,2,14,2,1,0,0,88.26577042455966
32,23,6,24,1,0,1,1,99.31484752429918
30,18,6,20,4,1,1,1,97.1135996608102
20,22,9,12,3,1,1,0,75.66073215119397
9,29,4,8,1,1,0,1,71.81692642192753
15,25,6,16,3,1,0,0,75.91757604094911
31,19,8,12,0,1,0,1,90.3004266424789
30,27,4,20,1,1,1,1,97.36639331302835
14,27,8,17,0,0,1,0,74.61300081765876
28,21,4,12,0,1,0,0,81.15751511656575
20,23,0,13,0,1,0,0,74.87984547696598
0,20,6,14,4,0,1,1,68.59069887221091
36,20,7,6,1,1,1,1,89.71262799528601
31,28,10,19,1,1,0,1,97.35145076209676
24,25,11,14,0,0,0,0,80.00001150822814
