student_age,parent_education_years,school_quality_index,household_income,gender,minority_status,special_education_status,teacher_experience_years,tutoring_hours,academic_performance_score
13,31,15,12,1,1,0,9,34,279.40713930578244
6,28,6,13,1,1,0,9,28,245.909046142775
12,32,10,17,1,0,0,11,32,274.04227545529653
5,32,12,7,0,0,1,11,32,267.2036646971203
6,31,10,13,1,1,1,10,31,263.6700474562295
11,29,7,20,1,0,1,11,27,242.34263538971257
13,28,8,9,1,1,0,10,28,242.1719250505543
9,28,14,13,1,1,1,13,37,295.520044113301
13,30,6,9,1,0,1,11,29,252.6804601030226
8,34,11,17,1,1,0,11,31,265.54721904388447
9,29,8,12,0,1,1,13,29,246.7149595373078
13,27,7,15,1,0,0,13,33,278.40789579982027
10,28,0,14,1,1,0,11,25,232.79097579936305
11,28,4,16,0,0,1,13,28,249.3363470858984
11,32,10,13,1,0,1,11,29,253.52882338630477
7,27,5,15,1,1,0,16,30,254.47753770929504
8,28,12,13,1,1,0,10,35,283.4925009144416
12,28,8,14,0,0,1,10,28,243.85778481658068
15,24,4,12,1,1,1,12,27,238.12700882783284
7,31,13,17,0,1,1,12,33,272.7791136540548
12,34,11,11,1,1,0,8,31,264.0684479512744
12,31,7,16,0,1,1,12,30,261.6258505346936
7,31,4,17,1,1,1,7,24,225.89566734301349
9,28,9,15,0,1,1,17,34,279.04753974826184
11,31,11,19,0,0,1,11,28,245.0318697084303
12,25,5,9,1,1,1,12,30,255.48464470204988
9,31,9,17,1,1,0,13,33,279.32048581991035
3,29,15,16,1,0,1,12,35,286.6746875857103
16,31,8,12,1,0,1,12,31,265.4514544818356
9,32,7,14,1,1,1,14,31,266.5376757682815
7,31,8,13,1,0,1,13,29,252.04297041627035
10,29,5,15,1,0,1,14,29,254.7977501248116
6,29,7,11,0,0,1,11,28,243.4142953654453
8,30,10,13,1,0,0,13,33,276.2526720636875
7,29,7,10,1,1,1,11,29,250.0088887245943
10,33,5,14,1,0,0,10,29,256.5628821638327
11,29,4,14,1,0,1,11,26,233.28964095059743
11,30,7,11,1,0,1,11,30,260.7159117419276
12,29,6,8,1,0,0,12,30,259.32796058172863
15,30,8,14,1,1,1,9,28,245.91842153483375
5,31,8,14,1,0,1,14,30,257.6194147177099
12,29,8,9,0,1,1,7,28,245.73542079933807
14,32,5,15,1,1,1,13,27,246.39123198552383
11,32,5,21,0,1,1,13,28,254.89158032113687
8,28,7,13,1,1,1,9,27,239.04109259517
9,30,13,13,0,1,1,8,32,269.0766688812824
11,28,8,10,0,1,1,8,27,239.2046953735406
11,26,8,19,1,1,1,14,30,256.34282510202905
9,29,10,15,0,1,0,12,35,288.0846972928166
9,28,7,14,1,1,1,11,26,231.9817700534149
11,31,7,12,1,0,1,10,30,261.72294232757065
11,31,11,16,1,1,1,13,32,268.4347906561845
9,27,7,15,1,0,0,8,27,236.41876352902605
8,34,11,13,1,1,1,8,27,239.72782746384576
13,31,2,11,1,1,1,12,25,232.81738850304905
8,26,9,12,0,1,0,14,35,283.7902679460901
6,29,6,13,0,1,1,13,31,262.85285569656594
14,28,11,16,0,1,1,10,29,250.39743537068324
7,30,10,14,0,0,1,11,30,254.40157716627957
5,26,12,12,1,1,1,10,34,276.8777632096034
11,26,10,12,1,1,1,10,31,258.76092800885465
6,30,7,11,0,0,0,11,31,262.40810396002115
3,30,4,12,1,1,1,11,28,247.98956563802133
11,28,10,14,1,1,1,11,32,271.12241737122923
6,32,9,18,0,1,1,12,31,266.6893871853189
13,27,10,14,1,1,1,12,34,279.15893929748006
