age,income_level,gender,minority_status,family_size,food_stamp_program_enrollment,food_expenditure
6,4,1,0,22.47259656610305,1,15.021976214896547
12,3,0,1,19.93300271429459,0,9.023345105492096
7,7,0,0,16.673919458994177,0,4.857974858912893
6,4,0,0,17.962438163168496,0,7.324314952640791
9,4,0,0,19.129602786069302,0,8.59633560386707
7,5,0,0,18.64013579822027,0,7.57781207157892
9,5,1,0,17.208284082139908,0,5.179902203591912
10,6,0,0,17.896260606642834,0,6.241475437892924
4,5,1,1,16.9200799053368,0,5.141884660152754
7,7,0,0,21.655652129839403,1,14.324933521583402
4,6,0,0,22.62728072688774,1,14.875783241623214
5,7,1,0,20.61304851158308,1,13.119947409969637
14,8,0,0,23.69983508377116,1,16.35877957675111
10,7,0,0,21.209724350421094,1,13.907962438313549
9,6,0,1,16.551469695481803,0,5.436036618374819
9,7,0,1,19.811567555922966,0,10.324062084922046
9,4,0,0,16.95386751327353,0,4.965486371456997
5,4,0,1,24.14488599746089,1,16.096145616842247
8,6,0,1,17.991714724725014,0,5.717948202498331
8,4,0,1,19.744648172359238,0,9.290909002020252
7,4,0,0,21.940323802523597,1,13.525292918290578
12,4,0,1,18.858004042724765,0,6.727481068939133
11,4,1,1,19.76454392924355,0,9.239166732295867
8,2,1,0,18.533925891154546,0,7.271454785504336
5,7,1,0,17.149642300098897,0,5.734094910244673
8,5,0,1,21.826352793835103,1,13.326013179367587
6,4,0,0,19.920452834897493,0,9.903556702271723
7,5,0,0,19.15402167812524,0,8.213718415678017
11,6,0,0,19.459862995031184,0,8.989672834456846
5,3,0,0,20.045814854094683,1,12.010366335514068
1,5,1,0,22.50943047841813,1,14.971071113354173
0,5,1,0,19.725837252090447,0,10.588663670787524
7,5,1,0,18.86654296822213,0,7.890943074800694
7,6,1,1,20.42808689981636,1,12.35637446995917
10,7,1,1,19.02716975799358,0,8.52488983378498
10,4,0,0,18.08206149211176,0,6.518688707264267
5,4,1,0,20.52540184669255,1,12.645437236262827
13,7,1,1,21.4758491310049,1,12.66946527968815
12,6,0,0,23.03590209555744,1,13.857703837217633
4,5,1,1,16.76263964618763,0,5.410930488384889
15,8,0,1,18.29194080339716,0,6.381736625139735
9,6,0,1,20.71805346432554,1,12.49297980344228
4,7,0,0,21.01359220224041,1,14.175434807618458
9,4,0,0,20.318895462221874,1,12.09872177256119
7,5,1,0,23.567597369814717,1,15.83743356633712
1,7,0,1,17.43462303328487,0,5.792741074104558
9,5,0,1,20.28829857563897,1,13.105738756996551
2,8,1,0,20.024694389313627,1,13.07025797243697
12,7,1,1,23.66726662507905,1,15.06402495623546
7,4,0,1,20.53671173675246,1,11.651842956152654
6,8,0,0,19.761087999162587,0,10.189206587747154
6,6,0,0,18.68480734127348,0,7.998145574329648
11,1,0,0,17.126708580534025,0,5.863484754857268
6,4,0,0,18.919249556531305,0,8.86730606768991
4,7,0,0,24.539092730024283,1,16.45458919346505
11,5,0,1,22.513511285937877,1,13.387212198212096
3,5,0,0,23.326356520423992,1,14.806460859179802
2,7,1,1,17.123785847166133,0,5.603460031300255
9,5,1,1,20.50739775418674,1,12.160819596213257
8,8,1,0,22.076089436737345,1,14.451639639562758
10,6,0,0,20.194373015636963,1,12.722774562937463
4,7,1,0,17.817937790888116,0,6.767007188374774
6,4,0,0,18.734463095810828,0,8.363601332940407
8,7,1,1,22.558592143211797,1,13.914984916662604
7,5,0,0,19.20056385182856,0,8.777447101967805
8,5,0,0,20.49060161759065,1,13.246237252449625
7,4,1,1,18.5566128861672,0,7.644095118387909
3,6,0,0,19.05761954881231,0,8.22945168230307
12,6,1,0,19.26654832332496,0,8.823912858157966
6,5,1,0,18.926062541564736,0,8.690403386211202
2,7,1,1,20.32463311225088,1,12.875161986494517
10,6,1,1,17.479682951111922,0,5.278502259923638
8,4,0,0,20.124458346677294,1,12.720367057613732
9,5,0,0,22.26086564482457,1,14.484293634697057
5,5,0,1,20.7471194380362,1,12.776047430163311
11,4,0,0,17.846855982491018,0,7.239541238397612
14,4,1,0,19.73486262485913,0,8.792636044418323
7,4,0,0,20.265349754491144,1,12.52758784493986
7,6,0,0,19.73517116674966,0,9.582895901701283
8,5,0,0,19.28324078514572,0,8.80766904943943
3,6,0,0,18.852373791284386,0,8.430338250923308
9,3,0,0,18.92034015087434,0,7.00555906886423
12,6,0,1,20.069083828985427,1,12.521584850927873
12,4,0,0,17.01227920449916,0,4.823142935233402
9,7,0,0,20.61418029849219,1,12.38486608220513
8,4,1,1,20.947511085657258,1,12.941427498068933
5,3,0,0,21.698061754036672,1,14.07616620169618
8,2,0,0,23.523218754921466,1,15.804173593755513
