age_head_of_household,household_income,urban_residence,previous_beneficiary_status,cash_transfer_program,food_security,household_consumption
30,14,0,0,1,48.06577085930498,182.7545214303968
17,10,1,1,1,33.32548555104536,143.23331387946956
31,18,1,0,1,56.16978426230227,203.85031039862795
29,21,1,0,1,58.71510251634063,211.26116216522868
30,23,1,1,1,62.25352399751383,220.04857654562488
26,26,0,0,1,59.18229942137656,214.1417128559363
5,27,1,0,1,42.75824531380981,167.084839743967
31,29,1,1,1,70.96417439919607,244.5985989244949
24,21,1,1,1,52.84765832786803,196.0239795366452
32,19,1,1,1,59.08123705402315,214.26353788160145
14,26,1,0,1,50.21738013617829,187.9594359349913
29,10,1,1,1,44.98116287971085,173.4338975281677
19,12,1,1,1,37.061854324488266,150.5891680346877
28,14,1,0,1,47.06984808723398,181.96469696214152
33,23,1,0,1,65.23635323752212,228.464560029635
35,24,1,1,1,67.55255411182866,237.34346556014015
28,20,1,0,1,54.524162410987984,197.57034755135632
27,5,1,0,1,34.66206836038149,144.09353271663667
17,19,1,1,1,43.75797014413855,172.96308909794936
22,11,1,0,1,37.02898893048549,150.78084033645624
28,28,1,1,1,64.1395190670408,228.25499831210752
38,13,1,1,1,56.645803562770126,207.25850785499264
33,36,1,1,1,79.51489492083964,270.1154842827168
28,10,0,0,1,40.84282753088088,161.61901648711154
26,17,0,1,1,47.93887781295344,181.99328210146945
22,19,0,1,1,47.698211792638,182.22557766288543
29,17,0,1,1,53.068161947050086,194.3357472275524
36,19,1,0,1,60.45368755982208,218.39385608363204
32,18,1,1,1,56.47590415098802,204.6211084213187
38,24,1,1,1,71.45539212233423,246.67573099032407
38,26,1,1,1,74.07381674184803,255.8488912233233
39,24,1,1,1,70.93493987153461,246.49491359056333
30,22,1,1,1,61.43374538069982,221.5147211051961
12,21,0,1,1,40.17444259159088,160.86157014746817
18,15,0,1,1,38.83187090752014,157.01834486664464
36,18,1,1,1,61.12110100102081,217.5705825877456
15,14,1,1,1,35.879070008532295,148.26995391305783
30,14,0,0,1,47.93913871280387,181.30383671782343
31,12,0,1,1,47.00496411505407,179.15313020313033
15,15,1,1,1,37.89018507906033,154.8017084923902
12,8,0,1,1,23.185551411202265,114.19858460122374
37,16,1,1,1,59.24004220619953,214.35877075557448
24,9,1,1,1,38.46869291812157,155.25118630011912
22,17,1,1,1,47.35632531432021,179.9843663530356
37,21,1,1,1,65.88862573182489,231.67705397983997
21,16,1,1,1,43.95550032991887,171.6742276987682
29,24,1,0,1,61.885023484568734,221.79591746108588
42,28,0,1,1,79.4432502683178,267.1876218461681
33,22,0,1,1,61.3966782248169,216.7108331581924
15,15,0,1,1,35.770695655772734,147.57474091086925
29,15,0,1,1,49.822255864716496,186.35095810294536
25,26,1,0,1,58.866425809957455,213.72913682877535
29,28,1,0,1,65.6934143522289,231.60100950418425
26,15,1,1,1,46.74797738272349,179.68719096305404
44,23,1,1,1,74.2344026516323,256.5286973660602
25,19,1,1,1,50.46445338901199,189.9067616152253
15,22,0,0,1,42.9948277612955,168.37181984826586
21,27,0,1,1,56.70307060354104,207.54733439064609
28,20,1,0,1,54.48089062990675,199.53919976169195
48,29,1,1,1,85.61623378947799,286.98175492280126
27,16,0,1,1,47.25628600777667,180.5577344719208
29,23,1,1,1,60.54536494013524,215.2739445038621
42,15,1,1,1,62.59073223984864,221.73155611953808
16,16,1,1,1,39.26840928342699,159.05473204527237
52,24,1,0,1,82.81775838061401,278.17129488435074
39,12,1,0,1,54.667896537689685,203.6333893165749
36,26,0,0,1,67.9262579872676,238.8785261597144
30,21,1,1,1,58.84015925887719,212.1717037743477
19,17,0,1,1,42.90042765224933,168.9027633190738
39,12,1,1,1,55.961045291981456,205.36596552970653
18,25,1,1,1,54.40011145114556,197.99800428980757
30,18,1,1,1,53.814382819482695,200.3574902962465
42,12,0,0,1,56.51657934912893,206.7141177825839
27,19,1,1,1,52.38359194066066,193.1626406149728
32,27,0,1,1,67.6420113631191,235.3111587247528
34,20,1,1,1,60.51313139062227,221.63271057608085
32,21,0,1,1,59.87795675793249,214.0342331997416
42,23,0,0,1,71.23172328390937,249.33503357663025
34,13,0,0,1,50.28729360897843,188.21153362193127
36,23,1,1,1,67.83698284083205,235.2656032304845
26,25,1,1,1,60.129417733583885,216.3232550106337
25,-2,1,1,1,24.164872173945252,117.6024737133296
27,16,1,0,1,48.82951047655556,185.3546217655528
40,8,1,0,1,51.66071065437642,191.3790001140148
27,13,1,1,1,47.56915214281952,179.74483833585782
33,27,1,1,1,68.72851560673399,237.77348331730303
15,19,0,1,1,39.345497729456056,157.83897272934834
28,15,1,0,1,49.07308234317375,185.7021648630784
24,20,1,1,1,53.44077721825533,197.67003369562255
27,31,1,1,1,69.00288446458568,240.0794640824728
42,15,0,1,1,60.19482646008464,216.49755005647847
34,22,1,1,1,63.79659559272721,227.65074869795453
38,18,1,1,1,63.45351541504655,222.11141123369995
30,15,1,1,1,50.4908149847218,188.4146701530704
16,21,1,1,1,48.72716372207671,182.35041166494648
15,20,1,0,1,42.6796287991677,169.1654351427261
31,3,1,1,1,35.70284272596109,151.12483319483883
36,13,0,1,1,54.72209369086772,201.3454364381734
42,20,1,0,1,69.22969290206872,240.50815051275217
22,26,1,0,1,55.84121970948865,204.361971462452
24,11,1,1,1,40.50450445846396,160.08048141245405
16,26,1,0,1,50.9176843739373,192.3450283871631
39,23,1,1,1,70.45278663572114,244.46036375667128
24,23,0,0,1,54.874488996504255,201.11653408355303
26,23,0,0,1,56.74202681048327,205.1859977470476
30,24,0,0,1,60.88741977942438,216.2661076898594
22,13,1,0,1,41.47258132897651,163.02279686544534
17,25,1,1,1,51.5541374822176,192.98386716609556
17,16,1,0,1,38.46223245378412,157.62565563719045
42,26,1,1,1,76.51436722825015,261.6899225263565
25,14,1,0,1,45.33635359193324,174.918711447441
28,15,0,1,1,46.87907413667648,179.59215072768524
38,22,1,1,1,68.2300806876917,240.0542084361441
42,19,1,1,1,65.6516288380913,235.86232521748863
34,22,1,1,1,63.31654040449551,227.93419291028155
27,17,1,1,1,50.529705881092426,187.73357201833915
41,19,1,1,1,66.8366877743538,232.9060993002869
40,20,0,0,1,65.73039291982252,230.0382427549907
24,28,0,0,1,59.50440410796239,214.1024186986057
37,18,1,1,1,62.99451654581509,222.6644633088351
33,23,1,1,1,65.98175961518585,232.8890075990897
34,4,0,0,1,38.81440783870082,158.07343693468297
11,20,1,0,1,37.87820377396742,154.8964682067342
20,23,1,0,1,51.11422364838658,192.42218290198733
27,14,0,0,1,46.01207012685447,176.0458420969315
39,29,0,1,1,77.10139404229633,266.1573321520594
19,24,1,0,1,51.00153218787607,191.539503824365
12,23,1,1,1,45.42640430534679,173.99054780481103
27,17,0,0,1,49.10389205981751,185.6745835329253
12,21,0,1,1,41.80170787606762,165.3915325228619
28,13,1,0,1,46.73469842609928,175.90444111078898
20,19,1,0,1,48.76462705235667,181.7856471055946
44,15,1,1,1,64.62685945507988,227.096969389242
35,23,0,0,1,63.19009174608202,226.85902833224912
32,15,1,0,1,52.064297575180106,192.75466662386
24,28,0,0,1,61.161474207989926,216.3636934632829
44,20,1,0,1,71.89044741947504,250.3675283127324
34,29,0,1,1,71.04066782604143,248.26221718385244
38,25,0,1,1,70.55038680014977,244.3718592476634
29,32,1,1,1,71.78893504875069,249.9002682314529
22,20,0,0,1,45.55626002995011,175.8205113214711
24,17,0,1,1,46.83314779116306,177.33468956612552
23,18,1,1,1,47.947222840269625,184.18302982239095
36,15,0,1,1,54.84846131903753,204.09396690572487
17,26,1,1,1,52.82259923691988,197.6047373887887
28,15,1,0,1,47.01538181484803,180.698683771556
20,12,0,1,1,37.06282324986674,152.4377717044659
28,10,0,1,1,40.160869262621645,159.9785177421808
18,27,0,0,1,52.75054569930885,196.33803195572813
26,17,1,1,1,49.65065747148851,188.477003757838
36,19,1,0,1,60.72117488250413,219.6051105321792
17,23,1,0,1,45.34873935263317,177.95888782052552
25,26,1,0,1,59.9878023710607,214.0183808961334
21,9,1,0,1,34.78976433082326,147.40038469851626
44,19,1,0,1,68.36521840655918,240.82736929860025
36,11,1,1,1,53.906985322076174,196.2858107206146
26,17,0,1,1,47.9101736685074,178.2764606507911
30,25,1,1,1,62.050018946928304,225.04867397563493
25,24,1,1,1,58.587666759070856,212.0318926116455
37,16,1,1,1,59.17221173428752,211.6741115993663
40,18,1,1,1,62.65862682520382,225.0948149892428
22,19,1,1,1,49.06867722684591,184.3712914283104
29,13,1,1,1,47.32039777420279,181.07261253639464
20,26,1,0,1,54.41990560849773,199.49320847569223
30,17,1,0,1,55.51169297280352,201.18463128690047
46,23,1,1,1,77.5458587793096,263.8476373333247
34,26,0,1,1,66.07825939716793,234.3191600764026
36,21,1,0,1,65.44951723082217,228.8238329750301
35,17,1,1,1,58.386633688611,210.7465877233941
27,13,1,1,1,46.05179193318499,175.74372566285453
30,19,1,1,1,55.34263735899047,202.936505279837
28,20,0,0,1,53.59415015140568,196.336728798315
31,15,1,1,1,52.74636402848861,193.51723832802207
33,22,1,0,1,62.11333890586669,222.1870931148303
26,19,0,0,1,50.63290938977174,190.65430727138292
17,18,1,0,1,42.29226799327364,163.3763521859974
24,11,1,1,1,41.30037584734964,165.80068704146166
28,13,1,0,1,47.49928091737662,177.4472657456729
43,24,0,0,1,71.91240781740635,250.31145081201788
17,17,0,0,1,38.03318112099923,156.6383533896093
23,14,0,0,1,37.60158702896047,154.92258099310175
33,17,0,0,1,54.53179582417375,200.4519468489896
38,23,0,1,1,68.6120726992395,240.58004191199245
36,23,0,1,1,65.58771618909343,227.85412892866427
46,30,0,1,1,83.89884097987095,283.9569460407547
35,26,1,1,1,68.06156934787516,238.99310886182727
30,14,1,1,1,50.86770178133361,189.7894322668815
17,16,1,0,1,39.59024158065502,158.24600772750617
47,22,1,0,1,73.71377305394898,254.9724984093899
25,18,0,0,1,49.9806616070462,183.0426914585109
46,30,0,0,1,82.04620532044608,275.2514525915987
23,24,1,0,1,56.52193520168106,205.1716817163828
24,21,1,1,1,52.56875686669552,196.86453704426987
40,11,1,0,1,54.281863050193614,196.24838421833425
29,24,1,0,1,61.85887706075022,218.75214361092344
28,12,1,1,1,44.94177220486031,173.3920083153335
26,14,1,0,1,46.00423234442842,177.00498672726815
26,18,0,0,1,50.49500459388848,188.020730612677
31,9,1,1,1,45.29950390647865,174.36600796574717
27,14,1,1,1,46.82253316560717,177.36047337736983
28,24,1,1,1,60.866811095277946,218.3722137455188
27,37,1,0,1,75.44423574545037,257.46881955444843
20,14,1,1,1,39.28858725924588,158.89106326142195
32,16,0,1,1,53.18010803575329,194.3802530840699
46,12,0,0,1,60.87674499716445,216.44404397691608
26,9,1,1,1,39.55145652458139,158.18527906377645
22,25,1,0,1,56.16894576839724,204.98028538803868
19,7,0,0,1,27.226456957686544,123.26098794735552
34,22,1,1,1,63.63325474120355,225.3501613129814
26,18,1,1,1,50.74303335371808,190.12322390485085
35,15,0,0,1,54.1258776005184,196.33462955189287
16,12,1,1,1,32.66190647323254,139.84411969415842
39,21,1,0,1,66.98247108794531,235.7416445871767
36,13,1,0,1,53.67929204806171,197.7477132111501
30,37,1,0,1,77.46804520004292,265.6154757789755
27,13,0,1,1,45.355783964306895,175.17020072428795
30,24,0,0,1,61.29205960467842,217.27299801043208
31,18,1,1,1,55.79860573968247,202.508618072209
32,24,1,1,1,65.03506012027975,231.3149913025944
27,24,1,1,1,61.27201173984098,219.3797123453618
26,2,0,1,1,28.24558123849434,130.3408975830771
17,26,1,0,1,53.01234074289869,196.49544174565088
26,17,1,0,1,48.34333224280077,181.66865077175308
19,15,1,1,1,41.39959744254299,163.53556932745653
28,25,1,1,1,61.98513187580953,221.9358614728224
32,19,1,1,1,56.72138381701608,207.7617470084466
28,34,1,1,1,72.84602319725755,251.40443411162997
40,13,1,1,1,57.94106346590736,210.04357237657177
17,17,1,1,1,40.9364607416492,164.68258223180914
31,16,1,1,1,54.190778587399336,199.3786615858297
29,22,1,1,1,59.07144444700549,210.56815843972603
18,25,1,1,1,52.64687399453891,196.3692739267643
34,14,0,1,1,53.40962944806255,195.6533934607466
45,24,1,1,1,75.75274548074496,261.412237370341
20,21,1,1,1,49.16152502869257,186.2579142094553
33,25,0,1,1,66.9060810367347,233.2162394085079
27,26,0,0,1,60.81334621787043,217.3294396762462
44,24,1,0,1,75.27156147109658,257.8938026051531
18,21,1,0,1,48.40580075772297,180.29256161662704
31,14,0,0,1,48.10501568872064,182.57328209385008
