participant_age,education_years,annual_income,gender,rural_residence,social_network_size,access_to_broadband,political_participation
26,25,6,0,0,1,1,100.1545612053538
29,27,4,0,0,0,0,92.49821941918115
8,23,8,1,1,0,0,83.46445771869023
19,22,2,0,0,0,0,80.71887839019723
31,24,7,0,0,0,0,93.69573580905482
24,18,4,0,0,0,1,91.98850648798252
30,23,8,1,0,1,0,95.64928110956326
29,25,3,0,1,0,0,89.95581264642337
24,23,4,1,0,0,1,95.89521762561668
27,28,10,0,1,0,1,105.819468424076
7,23,5,0,0,1,0,80.24875616552724
21,20,4,0,0,1,0,82.69842401096865
49,23,8,0,0,1,1,114.04147812650886
17,21,4,1,0,0,0,83.09566270431701
16,25,4,0,1,1,1,92.11288295651342
26,23,3,0,0,0,0,85.37719800614106
21,26,9,0,1,0,0,93.60835861580487
15,30,2,0,0,0,0,83.8199682036955
22,23,5,1,0,0,0,88.40237282276098
18,27,7,0,0,0,1,98.08678397407274
26,25,8,1,1,0,0,94.04002490923422
14,25,7,0,1,0,1,93.10491904761447
35,20,4,0,0,0,0,91.31787458120282
11,27,3,0,1,1,1,88.4248714782971
38,26,9,0,0,0,0,100.9753556646176
32,20,5,0,0,0,1,98.0102553420713
23,18,7,0,0,0,0,83.6972420989455
16,27,2,1,0,0,0,82.7498554794436
22,28,8,0,0,1,1,102.11535443419524
34,30,6,1,1,0,1,108.15777916066996
13,27,7,1,0,1,1,94.68933281976796
27,17,5,0,0,0,0,84.24103896180726
37,22,8,1,0,1,1,105.34302180827834
28,25,6,0,0,0,0,92.28167497112534
47,18,6,0,0,0,1,105.99519198408782
6,25,4,0,0,0,0,77.78526341745489
36,23,4,0,0,0,0,92.84975299123845
23,22,7,0,0,0,1,96.83205824405998
49,26,3,1,0,0,0,102.21146769335812
30,25,4,1,1,0,0,93.66969958077028
28,26,2,0,0,0,1,98.51187527961946
4,29,4,0,0,1,0,79.76925321690837
23,22,8,1,0,0,0,89.11327724021093
5,25,3,0,1,0,1,86.19122567583021
22,26,3,1,0,0,1,95.81575418545422
19,20,1,0,0,0,0,76.61206827319468
23,29,1,0,0,0,1,95.54615771020232
29,27,2,0,0,0,1,99.66882321853912
20,27,3,1,0,0,1,93.4810315487864
17,19,6,0,1,1,0,82.75114693861404
26,28,1,0,0,1,0,88.58210649234094
26,27,4,0,0,1,1,100.56038117138212
29,22,7,0,0,1,1,99.95561633559278
22,24,1,0,0,0,1,91.17091471176344
5,21,4,0,0,0,0,72.31550043879307
23,23,5,1,0,0,0,85.08570139641303
32,19,7,1,0,1,0,92.4964223051611
49,20,4,0,0,0,0,96.72354372314857
19,31,7,1,0,0,0,93.46789420672545
13,19,12,0,0,0,1,91.34059920535849
28,25,4,0,1,0,0,89.80081198143071
35,20,4,0,1,0,0,90.32019048533692
44,24,4,1,0,0,0,100.39498167383354
36,18,6,0,1,1,0,91.0385588958952
13,24,5,1,1,1,0,82.38530833561578
36,19,5,0,1,1,0,91.10936673605846
30,24,6,1,1,1,1,101.71358259139052
20,25,11,1,0,0,0,91.36347649798128
21,26,4,0,0,0,0,88.05885554215537
28,17,3,1,1,0,0,84.7394052413158
22,25,9,1,0,1,1,101.95711538575463
15,27,5,1,0,1,0,86.39059926744754
15,16,2,0,1,0,1,82.67911655586491
39,26,7,0,0,0,1,106.39781867303964
19,24,7,0,0,0,0,88.28226285280378
12,23,8,0,1,0,1,90.7748272500958
32,28,6,0,0,0,0,96.86048938482644
23,29,5,0,0,0,0,91.39030585121846
18,23,4,0,0,1,0,82.34300722944083
0,31,3,0,0,1,1,88.03829571950232
47,24,4,1,1,1,1,111.46583618241016
19,19,6,0,0,0,0,82.45303674545428
40,25,6,1,0,0,1,108.2894942115748
30,28,5,0,1,0,1,102.85671649589716
29,29,8,0,0,1,1,106.76494160091328
21,26,3,0,0,1,1,95.66184742623965
28,22,6,0,0,0,0,88.71690985143465
32,18,7,0,0,0,1,97.91061163676596
25,26,3,1,0,0,1,97.26618047793178
