years_of_experience,education_level,female,minority_status,job_satisfaction_score,job_training_participation,monthly_income
0,7,0,0,20.084556012198725,1,17.215045281884453
5,4,0,0,19.74988870224264,1,16.151196220261266
8,4,0,0,18.65840425878776,0,11.044489847310391
10,5,1,0,21.189007062027024,1,18.54979795391154
13,5,0,1,19.30921909817553,1,17.462043584578264
5,8,1,1,18.40439110516477,0,9.66182216567706
9,4,0,0,18.559738563710308,0,10.401928387419972
7,6,1,0,17.783464721996182,0,8.54239406016063
7,5,0,0,14.74774931379341,0,3.820295316081897
5,7,1,0,15.922098938594814,0,5.031740741124247
1,5,0,0,15.765054148016128,0,5.171989976366932
1,5,0,0,21.24726072476525,1,18.222304706650377
11,5,0,0,17.737257383261905,0,8.873502557923356
9,5,1,0,18.863873529781596,0,11.2652558024615
12,4,0,0,20.33965734716339,1,17.978307442357544
18,5,0,0,18.60542695735715,0,10.48561913778293
9,5,0,0,17.168190898510655,0,8.094959857259584
8,4,0,0,16.629153893383847,0,7.309141605962193
5,7,1,1,20.513724925463386,1,17.718835991956258
0,4,0,1,22.018197808672674,1,18.7471476576812
2,5,0,1,19.7983315489201,1,16.4654342922598
3,5,0,1,21.50367728228306,1,19.12204372155056
11,4,1,1,16.285055339447126,0,6.621014928177901
4,5,1,0,17.209616710647282,0,7.549330812248304
3,6,0,1,17.23382257073851,0,8.063451226331665
8,2,1,0,19.561818102382407,1,16.334444827035416
5,5,0,1,20.56005521977048,1,17.32262106600305
9,8,0,1,18.430855562621,0,9.328320829014404
6,5,0,1,19.263779311492083,1,16.805281296826738
9,4,1,0,17.03113499871833,0,6.842313525190838
9,6,0,1,17.724524995173912,0,9.564154629271574
6,6,0,0,20.133666583684118,1,17.299813439463634
12,6,0,0,16.723191111188925,0,7.894534445477178
8,6,0,1,19.934998261115958,1,16.593697854881064
2,6,0,0,18.29434925976192,0,9.301702120801089
9,5,0,0,23.708687952765484,1,20.29564064197204
12,2,1,0,20.6787374551151,1,18.729531885414413
4,3,1,0,20.088616543887333,1,17.62138249555871
10,8,1,0,14.640227739143434,0,4.665335078764236
11,4,0,0,16.475052899697264,0,6.453180665764904
6,6,0,0,20.75705182868777,1,16.94671050773374
4,4,1,1,20.12160151729453,1,17.15628912707674
10,5,1,0,19.673951771550698,1,17.81127646398001
8,7,0,1,18.653717589474788,0,10.450068366807455
14,7,1,0,19.716977098270423,1,18.440324099906785
6,6,0,0,16.2891419596052,0,6.320588972477554
7,4,0,0,20.32365336517765,1,18.115462936546432
10,6,1,0,17.130657604719765,0,8.145469813644258
3,5,1,0,19.18126502908194,1,15.669627631766485
4,3,0,0,20.042326686258058,1,17.108567668053002
4,8,0,1,20.05677428228186,1,17.52645654965057
7,5,1,0,19.12930854900092,1,16.49719410640372
8,4,1,0,22.23591304815968,1,19.5329227845094
8,8,1,1,21.368470393989814,1,18.21650866106924
11,4,0,1,16.415019191566515,0,8.00153134804163
4,8,0,0,15.96286367614849,0,5.3465005146806455
13,6,0,1,21.293746490147814,1,18.7478905055534
9,7,0,1,18.839780255287824,0,11.084512117890252
9,6,0,1,17.639568179114168,0,8.628879735407974
0,6,0,0,19.245478305894697,1,16.33282680824829
9,5,0,0,19.33992925228375,1,16.938789378070933
7,3,1,1,19.552886818164747,1,16.774052781535676
9,5,1,0,19.229142933362592,1,16.3590925286534
11,6,0,1,17.778010868534903,0,9.445138238297195
6,3,0,0,17.48790766693505,0,7.4011149297682515
2,4,0,0,17.089879639269434,0,6.60413216166317
9,8,0,1,18.791234209262807,0,9.7206451611581
8,5,1,0,17.84695842120038,0,8.870792057740546
13,2,0,1,16.832156820480023,0,8.635901999916987
3,5,0,0,20.72402775334719,1,17.07731026722217
12,3,0,1,20.26961134583778,1,17.33313992422845
9,5,0,0,18.651809359766936,0,9.994183264560686
5,4,0,1,17.54188669503051,0,8.823437461893777
17,4,0,1,19.2874879859329,1,17.310260969696085
5,6,0,1,17.738659705710976,0,8.878920237039177
3,5,1,0,17.725433037449008,0,7.869881195804948
7,7,1,1,18.87817762526238,0,10.61148635597572
7,8,1,1,17.40267416863343,0,9.052602949917778
8,7,0,0,20.26133959755842,1,17.79781386961647
10,5,0,0,20.55594455435864,1,17.722937405185
0,4,1,0,17.15021409456654,0,7.140279381208902
7,5,1,0,20.8573473454458,1,17.949305348930814
5,5,0,1,20.0821759452412,1,17.31683965666168
11,8,0,1,22.134252834655552,1,18.59856562183748
5,4,1,0,22.39190178428174,1,19.01521416508485
11,4,0,0,15.89142556121601,0,6.013822019986663
1,6,0,0,18.807841502993,0,9.250255640102154
12,6,1,1,18.884243897731736,0,10.99042427882173
5,5,1,1,17.299396180396517,0,6.413292439767651
8,6,1,0,19.434514419385472,1,16.461085253475147
10,7,1,1,16.96722230610864,0,7.25666936326142
6,4,1,0,17.567700646799562,0,7.413661440835956
8,6,1,1,17.327168891564032,0,6.996966999645007
11,6,0,0,21.21758503918564,1,18.255798794190945
13,4,1,1,18.86363610887432,0,11.002670343397591
7,5,0,1,18.826468374404055,0,9.6427630318466
14,4,1,1,22.67078101720395,1,19.77426089628377
3,5,0,0,19.110750995056613,1,16.285613328387416
5,4,1,0,19.991211981138747,1,16.872557822224646
5,6,0,0,18.614610673828693,0,9.693411892967209
12,5,1,1,20.59043054214342,1,17.39205215031991
4,7,1,0,19.01103940147468,1,15.453059181641516
5,7,0,0,17.102974972461272,0,7.303800120471088
11,7,1,1,20.19862300667914,1,17.765783448645085
10,6,1,1,20.48775572926888,1,18.302633295072653
9,4,1,0,20.44306851832312,1,17.312942543993053
10,5,0,1,18.508381088414232,0,10.09676332183506
7,5,1,0,21.173331140545045,1,18.561449419357928
9,3,0,1,19.67376889496449,1,16.65776576451211
7,6,1,0,23.17687581939668,1,19.079892967781536
6,5,1,1,17.300455823227423,0,8.453140932578556
7,6,1,0,12.558189633756374,0,1.263520440365032
11,6,0,0,20.48979266462661,1,18.04942993527403
5,4,0,0,21.586874126235102,1,18.20741900678129
10,5,1,0,19.213498582817092,1,16.532738093930817
10,7,1,0,13.20521975294832,0,1.814573111331811
9,3,1,0,17.593706635692456,0,8.057454114685056
4,5,0,0,18.09486886440119,0,9.428354816617553
10,7,1,1,20.812404497239,1,18.315963749506835
5,5,1,1,18.496050099468423,0,9.452882051743147
2,6,1,1,19.970847869304382,1,16.427113282681166
3,6,1,0,18.989161030758435,0,10.531326759160931
5,4,0,0,19.451522353045185,1,16.625656865092957
10,5,1,1,18.910131752007217,0,11.069054451200962
3,4,0,0,18.17085289876466,0,9.137093438408938
4,7,0,0,21.64504066161725,1,18.19717011949579
5,5,0,0,14.615836296585869,0,3.797499523984788
7,6,0,0,19.44909211735274,1,15.959796201348698
4,3,0,1,17.88603622563434,0,8.932548250623638
4,7,0,0,20.784271353324066,1,17.21282400344729
4,5,0,0,16.640556091555467,0,6.207901927309517
10,5,0,0,16.67328016907748,0,7.585103723595018
10,5,1,0,15.635417337354324,0,6.061481780660177
8,5,1,0,17.563942223891722,0,9.044380413643225
6,3,1,0,17.40694249212311,0,7.42937895938216
5,6,1,1,21.067007525583133,1,18.79675723548129
5,5,0,0,19.833045568205137,1,17.13217197344449
9,4,0,0,18.86520600423685,0,10.741732700797373
5,5,0,0,18.919945570173024,0,10.505312226001983
13,6,0,1,19.908019490035336,1,18.10898438195906
3,5,1,1,20.53949158451352,1,17.77949997489358
12,5,1,0,16.82660508105052,0,6.986656846688019
8,6,1,1,17.791511419235412,0,8.990019474215094
15,8,0,0,18.347865839035904,0,10.246585783341883
10,4,0,0,17.687305810868747,0,8.30811579372419
2,8,1,1,17.910070195709025,0,8.50240318750444
14,9,1,1,17.214222282595966,0,8.427769760413925
12,3,0,0,14.847731663943168,0,5.4293761069217945
10,6,1,1,21.9245607535518,1,19.525095702187585
5,6,1,0,19.91977472311728,1,17.187692058932832
3,8,0,0,21.21855647531117,1,17.729450755076332
9,5,1,1,20.055599569457005,1,16.825513363710876
3,5,0,0,18.653872354223047,0,9.279786979992783
6,7,0,0,21.58342511024797,1,18.16673297626854
9,6,0,0,23.33113966815109,1,19.84839885444235
4,8,0,0,20.64111342459096,1,17.384792816863573
8,7,0,1,18.20753056426719,0,8.958435253706725
5,8,1,0,17.405436470728304,0,7.553022803766654
9,8,1,1,17.761116602416912,0,8.65890123103686
2,4,0,0,20.181205414531785,1,16.83026699883945
6,3,1,1,16.082508859839013,0,6.623035135008741
9,4,1,0,17.90309451902574,0,10.132246825206591
6,5,0,1,22.335777740085224,1,19.43544904772033
9,8,1,0,17.100208041599664,0,8.265680806051225
7,8,1,1,20.19021267591245,1,17.775901488718983
7,5,0,0,21.387648630183275,1,17.458189486392683
6,5,1,1,18.47675578436576,0,9.381974619853723
9,7,1,0,20.91186513020306,1,17.292587645758555
11,7,0,1,16.917757897603597,0,7.909362265987691
8,5,0,1,19.97835112554952,1,17.122415434091412
2,7,0,0,18.58125617492611,0,9.668989176475314
5,8,0,1,16.75739039811003,0,8.009048707483906
7,5,0,1,20.00486321290115,1,16.986331269572176
9,7,0,1,19.307804631955687,1,16.559677588573877
5,6,1,0,22.128685151917825,1,18.13307742667868
6,4,1,1,16.677525976530056,0,7.119158264120077
9,3,0,0,16.68003694950221,0,6.52544198523536
6,6,0,0,18.6829891918051,0,10.534968970022808
2,4,0,1,19.803876188270856,1,16.663334040560137
