defendant_age,trial_length,legal_representation,prior_convictions,violent_crime,alternative_sentencing,recidivism_rate
33,22,0,0,1,1,52.57895911758618
26,9,0,1,0,1,50.30389164136429
35,24,1,1,0,0,45.06371680521849
31,19,1,0,1,0,44.431788353609214
38,16,1,0,1,0,38.37234399385416
20,15,1,0,0,0,47.214115740412055
30,18,0,0,0,1,52.60771830553036
14,9,1,1,0,0,46.0609881619854
32,14,1,1,1,0,42.71458291253493
9,24,1,1,1,0,54.48545854985162
29,29,0,1,0,1,57.73745238883736
27,11,1,0,1,0,39.76270259867093
29,12,1,1,0,0,41.07646592134838
30,20,1,1,0,0,44.66808497724554
27,6,1,0,0,0,39.51192205602194
39,22,1,0,0,1,50.41170513091712
20,9,1,0,1,1,52.84894423438049
32,18,1,0,1,1,51.220870089128624
35,28,1,1,1,1,57.59054993601554
35,17,1,1,0,0,40.76215389313323
41,27,1,0,1,0,45.81562738058964
35,15,0,0,0,1,49.37668050800847
36,21,0,0,1,0,43.74387885091395
23,21,1,1,1,0,47.1165791282138
20,18,1,0,1,0,49.37067488160684
20,24,1,1,1,0,51.19369241743807
39,12,1,1,1,0,37.06080981654817
26,16,0,1,1,0,43.82187439071987
25,19,0,1,0,1,55.22366521377375
45,21,1,0,1,0,39.22518382479036
37,10,0,0,0,1,45.0738220506722
33,16,1,0,1,0,41.99911084028129
45,25,1,0,1,0,41.15603784842224
25,15,1,0,0,1,53.08814463468191
26,23,0,1,1,1,57.71439572912092
18,16,1,0,0,0,47.50193285383224
38,11,1,0,1,0,39.08230729987051
26,23,0,1,1,1,57.62280292455922
29,16,1,1,1,1,52.70974114433572
25,19,0,1,1,0,46.55519142620464
35,22,1,1,1,1,52.06441331137348
37,15,0,1,1,0,40.76804194840532
28,20,0,1,1,1,53.669604526433325
35,32,1,0,0,1,59.355349128661146
41,16,1,0,0,0,40.68594288753154
26,35,0,0,0,1,62.21284660989132
43,29,0,1,1,1,52.08366744221115
30,34,0,0,1,1,60.58735735669679
33,18,1,0,0,1,51.22641531593599
22,28,1,0,0,1,61.44680216645076
24,29,1,0,0,0,51.87492841681474
28,20,0,0,1,1,54.11797460350657
33,15,1,1,0,0,41.90516835282983
18,26,1,1,1,0,52.52843126131112
20,22,0,0,1,1,57.48435251294992
34,23,1,1,0,1,52.46296557380478
30,15,0,1,0,1,52.245643954744686
22,17,0,0,0,1,55.52087576644909
23,28,1,1,1,0,51.86406924160397
25,12,0,1,0,0,43.10180570538581
20,19,0,0,0,1,56.60669873824181
29,20,1,0,0,1,54.84623728952758
38,25,1,0,1,0,46.09918437026701
26,23,0,1,1,1,54.5053400130726
18,17,1,1,1,1,55.77376317468621
30,28,1,1,0,0,48.20746503724544
13,21,0,1,0,1,61.20828995254936
28,20,0,1,1,0,46.79362825812448
32,22,0,0,1,1,52.63153888624613
15,28,0,1,1,1,62.073539857137
39,21,1,1,1,0,41.913253000947314
29,18,0,0,1,1,53.99431467593263
23,24,1,1,1,1,58.64254866745382
42,12,0,1,1,0,37.39873461722657
31,11,1,1,1,0,39.9536818757221
12,17,0,0,0,1,57.148930519096254
11,24,1,1,1,0,53.64463121069448
51,17,0,0,1,1,44.13986113029693
27,20,1,1,0,0,46.172196328284805
23,17,0,1,1,0,46.42741380807507
28,15,1,1,1,0,43.90157633771462
23,11,1,1,1,0,43.28290287885629
37,23,1,1,1,0,45.04922927631489
18,20,1,1,1,0,51.14337552135192
36,19,0,1,1,1,50.2324762846309
27,23,1,1,0,1,56.14008967450654
28,22,0,1,1,1,55.23081476472319
28,16,0,0,1,1,51.914969615778254
12,13,0,0,0,1,56.10307156275844
18,26,1,0,0,1,61.10260996367073
25,15,0,0,1,0,44.50416589271122
26,23,1,1,0,0,48.846564807200885
27,28,0,0,1,0,49.71030216472669
24,18,0,0,1,0,48.38043673470105
30,20,1,0,0,1,54.69880083034083
35,13,0,1,0,0,40.03869271472267
22,14,1,1,1,0,44.56312192239415
28,21,0,0,1,0,46.351893506850026
11,23,1,1,1,0,51.94819779521611
35,21,0,1,0,1,52.62318417198461
23,9,1,0,1,0,43.38954659994444
34,24,1,1,1,1,52.78926377319917
37,18,1,1,0,1,49.33622498102908
29,16,0,0,1,0,45.21728995101475
24,23,0,1,0,1,57.28622769564671
32,17,1,1,1,1,53.03273176821015
30,10,1,1,1,0,40.60676871318116
25,21,1,0,1,0,47.249983444348615
25,23,0,1,0,0,47.90626857304793
27,15,0,0,0,0,43.729411042293215
28,16,1,1,1,0,44.95068632599664
35,18,1,0,0,0,42.49670411442356
51,9,1,0,1,1,41.53058948755731
33,16,0,0,1,1,50.685656180422846
21,10,0,0,1,0,42.87511778353345
41,31,0,1,1,1,54.47666250591967
24,24,0,1,0,1,57.10852303743987
20,29,0,1,1,1,59.52579710944632
32,34,1,0,0,0,50.890711103752594
14,11,1,1,1,0,45.04491459904422
19,14,0,1,0,1,54.02418338139449
29,19,1,1,0,0,44.256882240770565
26,20,1,0,1,0,47.844675708850765
26,9,1,1,0,0,39.39660721990441
37,9,0,0,1,1,46.75163020527013
25,17,1,1,0,1,54.046508383958745
45,24,1,1,0,0,42.13016157554784
16,10,1,1,1,0,43.76943068117304
35,14,1,1,0,0,39.34558553982629
35,19,1,1,0,0,44.32639973148187
40,19,0,1,1,0,39.92969581733571
27,23,1,0,0,0,48.66586811318763
43,23,1,1,0,0,41.25363776372549
39,25,0,0,0,1,53.021313704175306
27,14,0,1,1,0,44.71689677738708
30,29,0,1,1,0,48.709341825354144
33,25,1,1,1,0,47.207299944474265
44,23,0,1,1,1,52.85773136077326
28,19,0,1,1,0,46.2376951412211
34,18,0,1,1,1,49.85948185010786
27,28,0,0,1,1,62.22252321972524
31,24,0,1,1,1,55.49428749965318
19,22,1,1,1,0,51.05107191940471
32,25,1,0,1,1,54.8781558288004
33,18,1,1,1,1,51.34975576474066
41,24,0,1,0,1,53.20142703026296
35,27,0,1,0,1,55.63225063893663
25,15,1,0,1,1,51.70073584994496
35,28,0,1,1,1,55.7796221690199
24,17,1,1,1,0,43.861853341259085
24,17,0,0,1,1,56.287595882716495
42,20,0,1,0,1,48.89668231068456
13,21,1,1,0,0,53.5080452373377
22,33,1,1,0,1,63.51477412142732
22,16,1,1,0,0,46.11095393342138
21,8,1,0,0,1,51.55772457697741
