age_years,income_level,gender,minority_status,credit_score,loan_grant,loan_repayment_rate
12,6,1,1,4.756272016705749,0,8.532058619092615
7,7,0,1,8.042445686226378,1,18.086352129741066
5,7,0,0,5.838337127806025,0,10.296857403743251
1,5,1,0,3.741527940436019,0,7.115014284534389
12,6,1,0,5.150343133457207,0,8.89542280406178
10,4,0,0,9.560021215554707,1,18.680954751949155
9,5,0,1,6.178852566024142,1,16.292799026565532
6,6,0,0,4.157383019813821,0,7.643240220008526
8,5,1,1,3.9955198129991696,0,6.967349591211839
5,5,1,1,5.226129675057718,0,9.242253068649909
14,6,0,1,7.9847269109033405,1,19.03190213637149
9,8,0,1,4.702661399959487,0,8.993156081363438
4,8,0,1,6.944858723154938,1,17.294373437338294
4,7,1,1,6.144521169960488,1,15.69948383659584
8,2,0,0,3.236093005746496,0,6.65877872348768
13,7,1,0,6.553944091224739,1,17.46431141308064
9,4,0,1,8.987132101975819,1,19.17489762004126
9,5,1,0,6.138932471043246,1,16.995311161197417
15,5,0,1,6.932023621730094,1,17.894466033079404
4,5,0,1,8.073680314684648,1,18.039859601088096
2,5,0,1,10.20748173611024,1,20.67233489166611
4,7,1,1,3.4223174536915293,0,6.12963333680556
13,5,0,0,3.66437538442908,0,7.005588286908243
8,4,1,1,7.002779467118763,1,16.36260132276663
3,8,1,0,5.133232509528148,0,9.503751196604425
7,7,1,1,5.335534157417555,0,9.588286107142723
7,7,0,1,8.721390130164702,1,19.15372489287673
6,6,1,1,5.544673110016114,0,10.041698599998613
6,4,1,0,5.488630021438572,0,9.231238362423465
7,6,1,0,2.637651593750335,0,5.063362640830103
8,4,0,0,4.626211516520845,0,9.109963239475448
2,6,1,1,3.537895883978837,0,6.929965583892383
6,7,1,1,6.610016792685201,1,17.69456059356195
11,4,0,0,6.887502391389007,1,16.775404006230687
8,7,0,1,5.676584967933044,0,10.345832487639903
3,7,0,0,7.330182418788163,1,17.25269039688908
1,3,1,1,5.378829005367448,0,9.217276808650276
12,9,1,1,7.773887230448425,1,18.769132413340465
10,4,1,0,8.560374506097162,1,18.33247206857564
7,7,1,0,6.958469768525839,1,17.75938291564783
9,4,0,1,4.112592548353078,0,7.157036693147715
5,6,1,1,1.2404665035519002,0,3.745335364493044
5,5,1,0,6.774042675287237,1,16.90549226017244
3,4,0,0,5.609274108855039,0,9.259957100194898
5,5,1,0,4.8641047091823015,0,8.353036297347408
7,4,1,0,4.271411557945503,0,8.604692886866285
11,7,1,1,8.112653988398387,1,19.979768074962
6,7,1,1,5.249848163640073,0,8.874223834316096
15,5,1,1,7.243478827404615,1,18.325007629260764
8,5,0,1,5.593407865908981,0,9.769723331427832
7,6,0,1,3.2701785934707104,0,6.3709878446256445
9,6,0,0,5.997961129250427,0,10.088970432888203
10,7,0,0,7.085942018813991,1,17.53232792688181
9,6,0,1,4.0889729573685845,0,8.42076655439842
6,6,0,0,8.262516376774174,1,17.91539937099831
6,7,0,1,3.4270166107123767,0,6.822628063395618
7,7,1,1,6.303958061389458,1,17.449066357573386
6,6,0,0,7.014488891991844,1,16.988918026971994
8,4,0,1,5.7675478902024695,0,11.159568088086758
7,6,1,1,5.967401368937084,0,10.649647222214604
5,7,1,1,8.652537770723576,1,18.76755501465688
12,5,0,1,3.959889865865073,0,7.146585252974208
5,5,0,1,2.9398650361049143,0,5.796323124861959
5,5,0,1,4.620955131897321,0,9.36780879550201
2,4,1,1,6.566499842719499,1,17.617204679543942
8,3,0,1,6.0688592820123,1,16.612836999903287
10,3,1,1,5.23082746654005,0,9.80254771414824
4,5,0,1,6.398337244101316,1,17.3019010442668
7,6,1,0,7.53898831922961,1,18.51202693162596
8,6,0,1,8.489306540213612,1,18.80819014439546
8,3,1,0,5.989782165675771,0,10.462210984098537
12,6,1,1,6.18921422911418,1,17.472347422249157
10,5,1,0,6.672432537673379,1,16.858582500263093
11,4,0,1,7.189345428511402,1,18.269748711965992
8,7,0,1,6.303454963608735,1,17.290943703693426
5,5,0,0,6.546577398510947,1,17.630909344227252
5,8,1,1,7.458195613858138,1,17.51190160745305
6,5,0,1,3.435543715015289,0,5.766936498993307
3,8,0,1,5.522071984467253,0,8.719831936516695
10,6,1,1,5.458294682094401,0,9.549083923018989
10,8,1,1,5.849891310914123,0,10.338595548116231
4,6,1,1,4.971311796496329,0,7.960532889667835
5,5,0,1,7.708576582825028,1,18.9822399601053
3,5,0,1,4.688386088675886,0,8.642247657151495
10,4,0,1,7.081893955360496,1,17.29503745698348
11,7,1,1,2.837200695171356,0,5.92516687909538
10,6,1,1,8.573766426613263,1,18.84191620377951
11,6,0,0,3.4242719171666764,0,6.963267198850072
5,6,0,0,6.093545737634415,1,17.044263669783412
7,8,1,0,7.713044407196074,1,17.487284029025712
7,4,0,1,7.470784231705131,1,17.017194016250095
3,6,0,1,4.353509450499444,0,8.071012074367964
9,3,0,1,7.557263857971412,1,18.062648432465245
12,7,0,1,3.058109088004661,0,5.504153374281138
12,5,1,0,8.778742843995216,1,19.32275023814719
7,8,0,1,6.767592924766758,1,18.382870275598965
16,4,1,0,7.571654522153991,1,18.461657585248336
13,7,0,1,5.085532835086265,0,9.423477356098694
8,5,0,0,6.642713479900104,1,18.699833201759613
10,6,1,1,3.044752727802837,0,6.308576075930366
11,7,1,0,7.712145239015083,1,18.26022356259672
6,7,0,1,7.905552133295673,1,18.46348411869893
11,8,1,1,2.9264618125554227,0,5.139753501638428
5,6,0,1,4.246680651691594,0,7.816916858467119
8,4,1,0,6.5575089921135294,1,17.7828687889372
6,7,0,1,6.4017795504332,1,16.583657802864874
8,5,1,1,6.778523106754956,1,17.140573515886132
10,5,1,1,9.683181270985395,1,20.148527201679457
9,3,1,1,2.420035095733048,0,4.347841086538751
4,4,1,1,7.33106987159546,1,17.38938133977673
9,5,1,0,6.512702327330699,1,16.460898064857197
6,3,1,0,7.171555886016507,1,17.065539745511607
13,5,1,1,4.346415648175554,0,8.495595526531952
4,7,1,1,2.8112176093472665,0,4.987311973223132
9,9,1,1,6.128616357848819,1,16.726188453202933
5,6,0,0,6.88279440848988,1,17.318697875401252
9,5,1,1,8.583720502689827,1,18.90634783490136
-2,6,1,0,6.784080837197368,1,17.04197336395167
7,4,1,1,7.990714778461658,1,18.459540385383452
0,4,0,1,6.365206194287362,1,16.97732804094301
8,5,0,0,8.400367714899843,1,18.630397099506176
6,8,0,1,5.050917817205049,0,9.449605711721905
9,5,1,0,7.40836637932858,1,18.464088471841062
7,4,1,0,3.614464637908751,0,6.5265457628137415
6,4,0,0,6.676573393264425,1,17.1491958796101
16,5,0,1,7.905050225128919,1,17.712894278230674
9,4,1,1,2.3973880216131707,0,4.227654821359382
11,8,1,1,5.706793430543784,0,10.596753776245654
6,4,1,1,8.69859609715849,1,18.931241471908987
8,6,0,1,3.1537024311760704,0,7.015815571509197
3,6,1,0,7.677184854533796,1,17.456974262605534
11,7,0,1,7.158789364702115,1,19.121006358676933
9,5,0,1,1.94486183718408,0,4.236798204956738
10,5,1,0,6.909816407170005,1,17.590217461599252
10,4,0,1,6.056126513285042,1,16.845595836846144
9,5,1,1,6.823564148319217,1,17.25738889287671
4,4,1,1,4.598224592889388,0,7.484416640048
7,6,1,1,6.702330868911298,1,17.321384164225478
12,5,0,1,4.85296977797992,0,8.994736001537596
6,6,0,1,5.301990403819356,0,9.027421268738138
8,7,1,0,2.871275839159371,0,6.0992129664706445
13,5,1,1,8.476560394039026,1,19.55806438430219
12,5,1,1,5.667436659613856,0,9.752598789073222
9,5,0,1,5.067486167853273,0,9.500802321970069
8,3,0,0,4.254459404366183,0,7.0306880596987895
5,6,0,1,5.605987390904502,0,10.56322864209083
5,6,1,1,4.274547586923614,0,7.451616621829112
4,6,0,0,6.0867287912338,1,17.097173209696194
3,7,1,1,5.42267265567906,0,9.498489683712757
8,8,1,0,5.900806911424394,0,10.862177803846526
9,6,1,1,4.240960167525272,0,7.0431175809245214
10,4,0,0,7.231364083929288,1,17.135603035525815
2,8,0,1,8.973887937407783,1,19.33432746031469
2,6,0,1,10.270939239160208,1,21.400623063129835
8,5,0,0,8.818074975637218,1,18.25235782482623
9,6,0,1,8.282458074750899,1,18.13535976843645
9,6,1,0,5.518774861815686,0,9.871469335131838
1,4,1,1,6.19620542401727,1,16.463695789340974
2,7,1,0,5.477259619288218,0,9.040662663306554
6,5,1,1,5.592447193452546,0,9.554262272157988
6,5,1,1,7.477696750870994,1,19.033705800435143
1,7,0,1,7.314899559968612,1,17.55893123072104
5,2,1,1,7.862129981399035,1,18.11183425834573
6,6,0,1,5.833685629704071,0,10.15526021195487
11,6,0,0,5.671269923653558,0,10.54092396421024
11,4,1,0,1.3097129080635783,0,3.1183873987149804
10,4,1,1,5.721558555415519,0,9.650389732247357
6,6,0,0,4.946530396454231,0,8.366609846866284
5,5,1,0,5.381503183823034,0,9.874830789037924
11,5,1,1,6.540742816971568,1,16.518139679875162
9,6,1,1,4.721005597364041,0,7.96897798405693
10,6,1,1,5.408988388523428,0,10.139196565080663
7,6,1,0,5.3874784424311954,0,10.33579881715356
9,7,1,1,3.4446692772783614,0,6.327120844482039
12,6,1,0,7.09790071353463,1,18.36380871896121
4,5,1,1,6.631363345392876,1,17.08818616088622
17,8,0,0,5.5065611164558685,0,10.871872458842494
10,4,0,0,5.7904548754874,0,10.046381237580846
4,4,1,1,7.315550589647415,1,17.187406729848643
3,5,0,1,5.874632155283049,0,10.244009147867558
6,4,0,1,7.243481941113862,1,17.46109284440147
4,6,0,0,5.061942149770899,0,9.93807730022015
8,7,1,0,2.925242205878376,0,5.868493606810924
5,9,0,1,7.013945978126079,1,18.930703472198992
7,7,1,1,7.441034879916538,1,18.567286977088397
6,5,1,1,6.93737068654236,1,18.02829299948056
10,5,1,0,2.727662551404604,0,4.470355721047336
9,6,1,1,6.125116277928218,1,15.9331596168508
4,3,0,1,2.698305410540626,0,5.6108792895451645
10,8,0,0,8.525458349524612,1,18.856334423612243
7,4,0,0,5.314118719236559,0,9.738657569172462
12,7,1,0,8.175711261845889,1,18.78260157601312
6,5,0,0,6.545693143361493,1,16.882511447183173
8,8,1,1,7.165338080550728,1,17.3400409507371
9,6,0,0,10.097755618886865,1,19.96249177339433
11,6,1,1,4.422716740324138,0,8.069791408675963
9,7,0,1,5.248672535764619,0,9.097372797993083
