education_years,age,previous_income,gender,union_membership,minority_status,local_unemployment_rate,job_training_hours,annual_income
5,29,12,0,1,1,8,17,124.76267358749398
14,25,3,0,1,0,11,26,166.81970086775115
12,29,6,1,0,1,10,18,129.3860447114628
12,29,11,1,1,1,8,13,108.32504734434
9,27,5,0,0,0,7,23,154.72223821596563
11,29,7,0,1,0,11,23,156.0754733905396
16,30,6,0,0,0,10,19,136.57909249547407
10,25,3,0,0,0,8,21,139.92124549120825
9,30,8,0,1,0,10,18,127.38516932087497
14,26,10,0,0,0,8,14,116.91629356628334
9,30,10,0,0,1,9,16,119.72844756071572
13,29,11,0,0,1,4,13,110.26188174789073
9,32,3,0,0,1,7,25,159.66163568048114
11,29,13,1,0,1,7,15,120.40627693143917
11,29,-2,0,0,1,9,29,176.0195150876521
7,27,11,0,0,0,5,13,106.81816497196546
8,32,9,1,0,0,9,18,128.3172717594489
5,29,11,0,0,1,6,17,123.90025892203458
7,28,2,1,1,1,9,23,148.55755277035095
14,34,7,1,0,1,7,16,123.10536772394217
9,27,5,0,1,0,8,21,144.537121378708
12,29,9,1,1,0,7,17,131.59081827670383
7,32,7,0,1,1,8,19,135.17199550178725
7,30,10,1,0,1,9,17,126.2957256683064
7,28,5,1,0,1,8,24,157.57631590468253
9,27,8,0,0,0,6,17,124.64963623884996
14,32,6,0,0,1,10,19,135.33269777555307
9,29,4,1,0,0,5,21,144.15866057704667
11,30,0,0,1,0,11,28,169.75821088941254
10,26,12,0,0,1,8,14,113.32177205485736
12,30,12,0,0,0,6,11,100.0066499074625
9,27,9,0,0,1,7,20,139.47317519207428
12,32,10,1,1,0,9,17,130.5524423427695
8,30,3,0,1,1,12,26,162.90175663050255
13,27,13,0,0,1,11,14,117.6664399167914
11,23,5,0,1,0,7,22,152.46444132393032
8,28,8,1,0,0,8,17,124.43335182135836
10,29,3,0,1,1,11,25,158.80086212107526
12,27,9,0,0,1,6,17,127.5637726691469
10,28,9,0,0,0,3,15,117.25183955094414
4,28,5,0,0,0,8,24,150.53466751926558
