defendant_age,lawyer_experience_years,previous_convictions,legal_aid_received,plea_bargain_accepted,community_service_completed,restorative_justice_program_participation,recidivism_within_2_years
33,24,6,1,1,0,1,86.30580186351787
21,27,9,1,1,1,1,90.81259181333792
17,24,1,1,0,0,1,84.58761313788474
36,30,5,0,0,1,0,84.84834262122033
16,21,9,1,0,1,0,79.11273031524873
12,29,7,1,1,1,0,82.0542407083142
52,29,3,1,1,1,1,92.54033776757548
29,26,7,1,1,1,1,89.28040917299523
20,33,8,1,1,1,1,93.86890452324798
7,24,5,0,0,1,1,83.7559009580265
34,23,7,1,1,1,0,79.83961340494356
13,35,6,1,1,1,0,86.89260549932123
26,29,5,1,1,1,1,89.04852502220366
12,24,8,0,1,1,0,78.80569874403248
30,21,1,1,1,1,1,83.9989325604165
31,18,10,0,0,0,1,83.24803095337987
22,26,2,1,1,1,0,79.61808556799672
27,26,3,1,1,1,0,82.34249599558103
24,26,4,1,1,0,1,85.96704952058629
37,25,4,1,0,1,1,87.96262244705052
25,22,6,1,1,1,0,78.62744292161638
29,25,6,0,0,1,1,85.593984979776
17,19,3,1,0,1,1,80.44987681382422
9,31,4,1,0,1,1,89.18409608708198
21,28,5,1,1,1,1,86.29828524126205
9,21,5,1,1,1,1,85.09004628343094
35,13,3,0,1,1,1,80.03857605404916
24,28,7,0,1,0,1,89.5343929531487
44,17,7,1,0,1,0,76.29258980988533
33,23,4,1,1,0,0,79.52668267589839
32,22,7,1,1,1,0,78.94823432203106
15,20,5,1,1,0,0,77.66849396003845
20,22,8,0,1,0,1,84.87188693881694
21,28,4,0,0,0,1,86.3096150198158
29,22,8,0,0,1,1,83.71266428748422
23,25,7,0,1,1,0,81.04284480394509
17,17,8,1,1,1,1,81.76895177744282
29,32,4,0,0,1,1,92.47670128057813
28,22,6,0,1,0,1,84.87357246934089
19,21,5,0,1,0,0,78.21703572409915
26,10,7,1,1,1,0,70.8436954265717
26,21,4,1,1,1,0,77.15213076698574
27,26,8,0,0,0,0,79.80224825181944
39,29,3,1,1,1,0,83.85792605758994
13,21,7,0,1,1,1,83.87424277372484
10,25,4,1,1,1,0,79.46981266833333
27,22,1,1,0,1,0,78.35296037995423
20,28,5,1,1,1,0,82.0240287896804
36,21,8,0,0,1,0,77.21500918377716
28,22,3,1,0,0,0,76.34382968666607
34,27,5,0,1,1,1,90.37588477846842
27,20,5,1,1,1,0,77.89538205883565
8,25,4,1,0,1,0,78.7744537741943
14,24,8,1,0,0,1,83.84887188584767
25,17,7,1,1,1,0,74.68545644291846
44,24,8,1,1,1,1,88.3163973612125
26,29,8,1,1,0,1,90.8377007617919
34,24,7,1,1,0,0,80.99737049565228
24,22,3,0,1,1,0,76.08041564639399
46,21,7,1,1,0,0,79.9832071422387
24,25,1,1,1,1,1,84.67815476366854
33,16,4,0,0,1,1,80.35086206839655
47,26,4,1,1,0,1,87.10914353052922
9,26,3,0,1,1,0,79.12721273699721
14,20,7,1,1,1,0,77.47054314032933
21,25,5,1,1,1,0,81.24104817627091
30,24,9,0,1,0,1,86.16917331583205
24,19,2,1,1,0,1,81.10983196911518
17,27,6,0,1,0,1,86.36574970780299
12,22,6,1,1,0,1,84.16591780922515
23,22,2,1,0,1,0,78.81826683723912
36,18,3,1,0,1,1,81.8896355916465
26,17,5,1,0,1,0,74.88966362460684
5,20,4,1,1,1,1,82.91795334019103
31,29,2,1,0,1,1,89.37147266226657
22,29,3,1,0,1,0,82.21630341900936
0,21,6,1,1,1,0,75.39925139540487
21,26,3,0,1,1,0,80.87306879194696
17,27,5,1,0,1,1,88.26145538186705
15,22,7,1,0,1,0,77.25016672026499
29,33,5,1,1,1,0,87.4716949043257
36,22,4,1,1,1,0,79.24631386664784
34,21,4,1,1,0,1,85.14183532629359
22,26,6,1,0,1,1,87.5029274708312
35,25,6,1,1,0,1,88.02122572715395
27,25,5,1,0,1,0,82.08752286124655
7,21,3,0,1,0,1,82.67082239546275
32,24,7,1,1,1,0,83.75814542331922
14,22,4,1,0,1,0,76.62255890042636
26,22,7,1,1,0,1,84.48253876103456
40,32,5,0,1,1,0,86.71354582941439
15,21,5,1,0,1,0,75.30460870113356
22,20,6,1,0,1,1,81.3413194090122
31,25,10,1,0,0,1,85.94603804188465
4,22,5,0,0,1,0,76.93356578453893
11,19,7,0,1,1,1,81.30257987441746
38,22,11,1,0,1,1,83.29588155310287
33,21,8,1,1,1,0,77.29733376644612
29,24,5,1,1,0,1,86.26951814467405
14,26,5,1,1,0,0,80.6119436486096
22,26,9,1,0,1,0,82.77465957460271
25,22,7,1,1,0,1,84.12920148729106
21,23,6,1,1,1,0,80.10099882202059
11,29,6,0,1,1,0,83.31011395742236
32,15,5,1,1,1,0,74.16004117784428
22,23,6,1,0,1,1,85.0540787370368
16,20,4,1,0,0,1,79.44923920972352
37,25,4,0,0,1,1,87.5712166607459
25,14,7,1,1,1,1,79.81436070303026
33,19,5,1,1,0,1,83.52177895280524
37,16,6,1,1,1,1,84.39115687147843
24,26,3,0,0,0,1,84.92875931271824
20,24,1,1,0,1,0,77.62651880328923
38,33,6,1,1,1,1,94.2293954986174
28,21,5,1,1,0,1,84.94276600978269
21,25,5,1,0,1,0,80.31178959929915
23,25,2,1,1,1,1,86.04378223464107
22,20,5,1,1,0,1,80.36789003526438
-2,19,4,0,1,0,0,72.10920900669662
19,18,6,1,1,0,1,79.7425510374094
37,30,2,1,0,1,1,91.12160891855258
36,17,4,0,1,0,0,76.197031422006
27,22,5,0,1,1,0,80.16594915262287
21,28,3,1,0,1,1,88.20064223581065
29,22,5,0,1,1,1,85.18887739096938
16,25,6,0,1,1,1,84.32986872030388
44,22,10,1,0,0,1,86.29418469242195
33,28,6,0,1,1,0,83.63532455232264
22,28,3,0,1,1,1,90.2710802421346
25,27,6,1,1,1,1,88.96301729118133
6,30,3,0,1,1,0,82.50637108723338
11,24,8,1,0,1,0,79.76047783491705
34,27,7,0,1,1,0,82.80949086564786
41,18,7,1,0,1,1,83.12872407891838
10,24,3,0,0,0,1,82.8215283941256
20,23,2,1,1,1,1,84.24070273803255
18,23,7,1,1,1,0,79.81436421029998
52,23,10,0,1,0,1,88.52182653352668
19,23,4,1,1,1,1,85.08220849538911
35,23,4,1,0,1,1,85.78686272174882
27,19,4,1,1,1,1,84.02892125975497
3,23,4,1,1,1,1,83.16825931419814
27,28,2,0,1,0,0,81.36473018867191
34,26,5,1,1,1,1,88.56218245978764
21,14,10,1,0,1,1,79.97261480160732
16,29,2,1,0,1,1,88.65434621479946
44,22,7,1,0,0,1,83.3283682141692
30,27,7,0,1,1,1,89.18462659464844
10,22,6,1,1,0,1,83.01709199771558
22,29,0,1,1,1,1,87.5536881531916
27,23,5,0,1,0,0,78.81405754827016
10,20,8,1,1,0,1,81.3913968474382
27,22,3,1,1,1,1,85.96248775631037
33,17,3,1,0,1,1,80.96027364672211
27,20,6,1,0,0,1,82.41263680245439
32,25,2,1,0,0,0,79.03475731481339
40,21,8,1,1,1,0,80.07991238779852
22,27,7,0,1,1,0,81.54997879512135
25,20,8,1,1,1,0,80.08826630295968
3,22,5,1,0,1,0,77.0518157268986
17,22,12,1,1,0,0,78.98439011310404
26,24,7,0,1,0,0,78.39541195119759
28,24,6,1,0,1,1,86.65919644026975
22,22,1,1,1,1,0,78.03704244336552
49,28,6,0,0,0,0,84.32461958145565
13,17,7,0,1,0,1,79.55247755955396
14,20,3,1,1,1,0,75.34185081170723
28,26,3,0,0,0,0,79.89042875026679
29,28,2,1,1,0,1,88.16664335182955
19,19,8,1,1,0,1,83.97551785786123
20,26,4,1,1,1,0,80.94821460111231
17,30,5,0,1,0,1,88.40333288380313
33,24,5,1,1,0,1,85.67268040352943
23,18,6,1,1,0,1,82.41689056349044
31,20,7,1,0,1,1,85.56300531247533
30,24,9,1,1,0,0,81.14993160867947
11,23,4,1,1,0,1,81.8556375488099
21,23,7,0,1,1,0,79.20560918739899
29,19,6,1,1,0,0,76.0971288746608
23,26,7,1,1,1,0,80.9197742793249
22,21,5,1,1,1,0,77.68532082980565
20,25,2,1,0,1,0,79.16505499318923
28,23,6,1,0,0,1,84.64072880927095
32,29,7,0,1,1,1,91.70717646540628
31,28,6,1,1,1,1,91.33265480764472
32,26,8,1,1,0,0,82.02341459616247
10,27,8,1,0,0,1,87.13756611067421
11,26,6,1,1,1,1,88.59708259032544
15,24,5,1,1,1,1,83.83780075229589
37,25,8,1,0,1,1,86.20763451944663
21,25,4,0,1,0,0,79.24537899164426
1,28,6,0,0,1,0,81.31997334955749
23,19,7,1,0,1,1,82.93411063545521
18,22,4,0,1,1,1,85.26796461117839
20,26,9,1,1,1,0,81.72387497649127
27,25,8,0,0,0,1,85.64757775940978
34,24,9,1,0,0,1,87.44358618133406
18,27,9,0,1,1,0,81.72326459493534
12,24,6,0,1,0,1,82.50204952128485
14,21,4,1,1,0,0,74.94032702583237
13,23,8,1,1,0,1,85.73174606956901
20,26,11,0,1,1,0,81.144601946444
36,21,7,0,1,0,0,78.47255482547928
34,33,7,1,1,0,1,94.41888703650768
6,22,7,1,1,0,1,82.8988529825542
29,30,8,1,0,1,0,84.91471703034533
32,27,5,0,1,1,1,87.11403063485209
18,21,6,1,0,1,0,77.52588493239713
10,26,4,1,1,1,0,79.54981343514757
40,21,3,1,1,0,0,75.78290762901833
3,16,8,1,0,1,1,78.33056369122285
14,19,6,1,1,0,0,73.80926269128558
26,27,6,0,1,1,1,88.05927968222589
30,27,8,0,1,1,0,82.19726178037415
27,22,6,1,1,1,1,85.18068681948512
27,20,4,1,0,0,0,75.71348116663059
30,21,11,1,1,1,0,78.54517038256704
16,27,6,0,1,1,0,80.87107038686494
30,21,5,1,0,1,1,85.65218665270444
19,20,5,1,1,1,0,78.67582188275243
9,19,6,1,0,1,0,74.07923134319294
22,19,6,1,0,1,0,77.13960443290553
50,31,9,1,0,1,0,86.88691455153355
21,19,2,1,1,1,1,83.18165156589393
41,22,5,1,0,0,1,86.34132636401304
18,24,5,1,1,0,0,79.98275922578306
30,28,6,1,1,0,0,84.0040795191775
27,22,5,1,1,1,0,79.20052760218397
28,22,2,1,1,1,0,79.35851491082312
23,25,5,0,1,1,0,80.23006211009361
22,26,7,0,0,1,0,80.64159781308292
26,35,4,1,1,1,1,93.66539451096476
17,28,7,1,1,1,0,83.14818697340996
8,19,5,1,0,1,0,75.08343602080711
30,25,6,1,0,0,0,78.92958909798271
19,30,9,1,0,1,0,83.4682373481922
33,28,7,1,0,1,0,83.23740359156764
0,22,6,0,0,1,0,75.72593479778118
29,24,7,1,0,0,1,86.68910148397751
26,24,6,1,1,1,1,87.77098845987462
-1,23,5,1,1,1,1,83.2649528031577
37,26,4,1,1,1,1,90.51731011510336
28,33,8,0,1,1,0,86.61688681588494
12,22,6,1,1,1,0,77.44824734198104
19,26,7,1,1,1,1,87.58215682291889
15,24,6,1,1,1,1,84.91810175864119
41,18,4,1,1,1,0,77.43291222022839
40,21,4,0,1,1,1,86.16745317933874
24,24,6,1,0,1,1,85.30272955046499
23,28,4,1,1,1,0,84.49923395475055
37,17,8,1,1,1,0,78.62973052065958
12,25,9,1,1,1,1,88.06645451781728
31,28,3,1,0,1,0,82.06902879607699
32,18,9,0,1,1,1,82.16174085299784
23,21,1,0,0,1,0,76.37074157957075
24,23,7,0,0,1,0,80.11766140496513
30,23,7,0,1,1,0,80.62796355260917
17,18,6,0,1,0,0,73.96601808772462
22,24,12,1,0,1,0,81.41676863332948
35,16,3,0,1,0,0,73.5742043670745
29,24,5,0,0,1,1,85.72861590651969
33,22,3,1,1,0,1,84.62177340225688
34,24,8,1,1,0,1,88.11415816565732
22,23,5,1,0,0,0,78.29731669391101
24,23,6,1,1,1,0,79.21399692146784
43,28,4,1,0,1,1,92.41893912613948
8,33,3,1,1,0,0,83.50969270027399
24,25,7,1,1,0,0,79.22001750788965
30,24,3,0,1,0,1,84.98569045046457
34,18,6,1,0,1,1,82.5451405307546
50,23,11,1,0,1,1,89.06004954622541
29,25,4,1,1,1,1,90.62962900572272
23,18,6,1,0,1,0,75.71613265687208
1,21,2,1,1,0,0,74.59628340059284
17,22,4,1,0,1,0,78.80400478068384
16,30,8,1,0,1,0,85.44539868481594
29,22,3,0,0,1,0,76.93591057758462
23,22,5,0,1,0,0,76.62313486509635
26,19,7,1,1,0,1,81.42339347979448
24,18,10,1,1,1,0,75.48673401474593
21,23,6,1,0,1,1,83.61541676161808
36,32,5,1,1,0,1,92.19676429541012
20,28,8,0,0,1,1,89.15633996775564
35,23,7,0,0,0,1,85.78499750506434
15,32,1,0,1,1,0,83.71541443292529
16,27,4,1,0,1,1,86.80398351390009
29,20,5,0,1,1,1,84.88036462922024
30,34,5,0,1,1,1,93.26644871074063
29,23,4,1,1,0,1,84.41420138326697
18,21,5,1,1,1,1,83.88535483739012
36,24,7,1,1,1,1,86.66814658530924
20,22,5,1,1,1,1,82.3711759372683
29,25,5,1,1,1,0,81.67546054305443
28,29,8,1,1,1,0,84.57374475684325
16,24,5,1,1,0,0,78.17187639544328
28,23,3,1,1,0,1,85.267765433114
34,26,7,1,1,1,0,81.89178961588928
12,18,10,1,1,1,0,75.3832086778545
26,26,4,0,1,0,1,86.3201548523028
44,20,7,1,0,0,0,80.60129376597975
39,26,8,1,1,1,0,84.05741068751276
18,29,3,1,1,1,1,88.88368636371266
39,19,2,0,0,1,0,77.87381061369763
3,23,5,1,1,1,1,84.17107086877044
21,24,3,1,1,1,1,85.76214229154877
29,21,6,1,1,0,1,82.26156200964122
32,26,7,1,1,1,0,82.1097720312964
22,29,7,1,1,0,1,89.69777381414187
22,21,7,0,0,1,1,82.97818945449386
3,19,7,1,1,1,1,80.88654714918725
-1,21,7,1,1,0,0,75.86147231832358
23,24,7,1,0,1,0,79.10971927909931
24,24,6,0,0,0,0,80.75010204113805
19,28,3,0,0,1,1,87.12782629757751
0,21,6,1,1,0,0,76.48765510090058
32,21,8,1,1,1,1,83.59223335794515
21,20,3,0,1,0,1,82.78390188890856
11,23,4,0,1,0,0,77.36430275402736
28,22,7,1,1,1,0,79.31037547649355
22,17,8,1,0,0,1,81.32995508138995
19,24,7,1,1,0,1,85.22825610685197
23,21,7,1,1,1,1,84.37733044551985
47,25,6,1,0,1,1,89.87202753822473
10,23,2,0,0,1,0,75.93557316882573
11,21,6,1,1,1,1,82.92640227647433
31,25,6,1,1,0,1,85.98262706374129
33,25,6,1,1,1,1,88.48509275915004
36,28,2,0,0,1,0,84.05731089980482
17,23,5,1,0,1,1,84.27177742413784
21,25,5,1,1,0,0,80.08888610460569
24,16,10,1,0,1,0,74.71696112265697
23,29,9,1,1,0,0,84.40931898083282
31,22,5,1,1,1,1,84.5236044824943
34,26,5,1,0,0,1,87.50084951547902
28,21,5,0,1,1,1,84.37677812122483
36,22,2,0,1,1,1,84.5379007835684
19,30,9,1,1,0,0,84.0513397990812
9,22,3,1,1,1,0,77.42484547256477
13,31,2,1,1,1,1,89.52944607796579
27,27,3,1,1,1,1,87.47004826946846
21,35,4,1,1,1,0,86.66533021546489
26,24,10,0,1,0,0,81.01854381535374
12,24,6,1,1,1,0,81.03938744591458
24,23,6,0,1,1,0,78.40340167614856
20,24,3,1,1,1,0,77.40349191984656
21,16,3,1,1,1,1,79.96107672839511
26,25,2,1,0,0,1,85.87693768383902
38,28,7,1,1,1,0,83.2161396737515
24,20,9,0,1,1,1,84.19560276352529
38,31,7,0,1,1,1,92.4757919729883
24,26,8,1,0,1,0,81.54651852391468
21,25,7,1,0,1,1,87.37726528017724
38,29,0,0,1,1,0,83.38617530934965
7,24,4,1,0,1,1,83.25243414629186
29,23,7,0,0,1,1,85.83832443403334
20,32,3,0,1,1,0,83.75330096851194
30,22,7,1,1,0,0,78.83117095752853
13,24,6,0,0,1,1,85.64290595981325
19,28,5,1,1,1,0,82.3467900849908
27,27,7,1,1,0,0,83.6397130770638
