age,prior_convictions,gender,minority_status,offense_severity,legal_representation,sentence_length
5,5,1,0,6.677321429986089,0,8.37044860664455
4,5,0,1,7.788404987112567,1,14.075824257910956
8,5,0,1,5.675070787513335,0,7.03713768616397
10,3,0,1,6.347882897293305,0,8.390981189175386
11,6,0,0,11.524437224655347,1,16.81460888046173
7,4,1,1,6.109782584215763,0,9.498033016574338
1,7,0,1,4.674102820306653,0,6.504192025661164
1,7,1,1,8.87351277273239,1,15.64678219645184
5,4,0,0,9.376730669868202,1,15.827466937769715
8,6,0,1,8.172856775240248,1,15.108044641532423
14,7,0,1,6.72640328172201,0,8.992738768281443
10,5,0,0,8.685725392894756,1,15.634431077307232
9,6,1,1,8.946661988807698,1,15.663572952853931
10,5,1,1,6.049277043273237,0,8.182882599753777
7,6,1,0,4.496253712413475,0,6.726843019078486
7,5,1,0,3.293316376507004,0,3.751631620313778
2,4,1,1,6.918855003360058,0,9.299020080532683
8,4,0,1,6.195463467892394,0,8.206938747032677
9,5,0,0,7.964999243854404,1,15.783412234436057
10,3,0,1,6.833818945425918,0,9.139857444563445
5,6,0,1,4.663948640768647,0,5.817234881267494
11,5,1,1,7.13228005416502,1,14.139245064832322
10,5,0,0,5.659186321537566,0,7.082384386810099
7,7,0,1,9.357365712810964,1,16.013583334432315
10,3,0,0,6.987132453578028,0,9.08143799891169
10,5,1,0,4.821527141365141,0,5.757806220928403
9,6,0,1,5.900603464961996,0,8.105697175647862
3,8,1,1,5.229425630715116,0,6.750355596174237
6,3,1,0,4.265835787464999,0,5.378289011277546
6,7,0,0,9.793061395045944,1,16.32284865838766
8,5,0,1,9.405835703273263,1,15.711427543692505
9,5,1,1,6.99073590614971,0,9.72652132868344
9,5,0,1,6.94469680056309,0,10.40778664524466
6,7,1,0,10.129531838031829,1,15.472949156615076
1,6,1,1,4.211217587685624,0,5.797625986959423
5,4,0,0,4.771335315938051,0,5.983170494777041
1,6,1,1,6.177953955256834,0,8.552636596961532
6,7,0,1,9.176104741954,1,15.353600487295084
4,6,0,0,4.278217057778118,0,4.862196909221456
12,7,1,1,9.26674815317454,1,14.981855716311228
11,9,0,1,5.994623582205673,0,7.882937206835404
9,7,1,0,4.048852812350323,0,4.845838225098259
5,5,0,0,7.465618455833979,1,14.88596315864649
4,6,1,0,3.8459178846617,0,4.550164069760126
8,7,1,1,5.646048747114475,0,7.419302854378876
4,2,0,0,8.04377105362733,1,15.22021349441344
7,6,1,1,8.15839372940977,1,14.42538431534559
6,8,0,1,8.687890277807558,1,14.357788190706422
13,5,0,0,7.167416044471223,1,13.260946850375497
2,6,0,1,2.82654014894974,0,3.563731024785916
10,5,1,1,6.760039128978709,0,8.990118810627827
9,3,1,0,7.50321020881167,1,14.563618444264367
5,7,0,0,8.492603813913407,1,14.68176335892161
3,4,1,0,6.572090770801003,0,8.512479807553996
11,4,0,1,4.821677035587138,0,6.3280167608422
13,2,0,0,7.626140082170899,1,13.12534349000986
1,7,1,0,2.842499113297399,0,4.084902422270642
11,7,1,0,8.589936775069967,1,14.38888873072026
8,5,0,0,6.343230108811238,0,8.920030540640344
9,6,1,0,7.235439720764223,1,14.896752917248094
11,4,0,1,2.510497311072566,0,2.6000189852959954
11,6,1,0,6.342039632466696,0,7.804576592878998
11,5,0,0,4.359699018393491,0,5.382759876934218
6,6,1,0,10.713509050682068,1,16.559445258591815
8,7,0,0,5.804617618183906,0,7.294189333790354
9,3,1,1,6.97518278388052,0,9.610799963092878
6,5,0,1,6.0593014322730765,0,8.216106442259402
14,6,0,1,4.06080886520687,0,4.13017000054055
5,8,1,0,7.248592689455251,1,14.195126325197778
8,4,1,1,8.058098048341192,1,15.063409163948396
5,6,0,0,5.903852063013124,0,8.835375570004764
8,5,0,1,7.734106742703309,1,14.411691658552437
7,6,1,1,7.310407641416652,1,14.877061424712933
5,5,1,1,5.398081115570345,0,7.794570415709091
8,7,1,0,4.418778663471953,0,5.774966113737991
8,4,1,1,12.348914122573484,1,18.82046667413178
5,10,1,1,6.903002558534887,0,9.917705381419092
10,4,0,1,8.180661764178579,1,15.051683109168565
10,5,0,0,8.355596527851914,1,14.536265675199951
17,4,0,0,8.048435244321972,1,14.361667851805551
9,4,1,1,8.660731678894354,1,14.754094979140705
10,7,0,0,6.307875872695028,0,8.137909878282246
11,4,1,1,8.69531133622108,1,14.81079730233326
9,6,0,1,8.53056847304535,1,15.902377643549572
10,4,1,1,10.820258427644417,1,17.350437652845216
6,5,0,1,6.511202828623012,0,8.178586031139634
6,5,0,1,8.048363141587378,1,15.18136177760461
12,9,1,1,7.100967770845465,1,13.902282816531532
10,5,0,0,8.59828845498909,1,15.94587889554854
11,6,1,0,8.957733885846869,1,15.708116451563903
5,6,0,1,7.462721713171351,1,14.896931402904592
8,7,1,1,8.295498104792786,1,14.120556934877571
6,5,0,1,7.651099895577454,1,14.073356135715573
8,4,0,1,5.338950488735053,0,7.47169707914596
10,7,1,1,3.867515069007075,0,3.421875737838124
8,8,1,0,7.57989460115689,1,13.945412014114572
6,6,1,0,6.63013538093073,0,7.810350428328367
4,4,0,1,6.373499992525068,0,8.365387319358113
5,6,0,1,5.36471669423185,0,6.860794365309656
10,5,0,0,11.774432934550113,1,16.928860241347554
6,6,0,1,4.508354124118416,0,5.875586274600368
7,7,1,0,8.8302960736263,1,15.304524794069057
8,6,1,0,11.089132082556928,1,16.882400448692067
10,6,1,1,8.120719325199557,1,14.69778330220858
6,6,1,0,5.582148811658679,0,7.0831404397895374
7,6,0,1,8.524113429591118,1,15.358116938125642
9,6,1,0,8.882066276460987,1,15.31366699320301
8,6,1,1,8.068109778308747,1,13.701510133624511
6,8,0,1,6.484309766169934,0,8.533994581723196
8,5,1,0,9.173241741911877,1,15.019599388080808
4,5,0,0,9.379659740687377,1,16.252913959612584
7,5,1,0,7.331329232279152,1,15.261691664417146
4,6,1,1,3.2311308933728538,0,3.320885930881574
6,5,0,0,5.892152903784687,0,8.394733306720765
5,5,1,0,7.739498062161598,1,14.346316928341428
6,6,1,1,10.119896111490688,1,16.40006347006333
8,7,0,0,5.80583610145946,0,8.084237679871263
6,5,1,0,9.932350227771508,1,16.025025241499566
8,6,0,1,6.369448598710202,0,7.541941083733064
5,7,1,1,9.012682452872877,1,15.068502274054696
3,6,1,0,4.141587007368692,0,6.097831284698785
10,5,0,1,8.627477731297642,1,14.81518268213964
3,6,0,0,6.270852317025761,0,9.143042426887623
3,6,1,0,9.365491242835391,1,15.980794592590437
9,6,1,1,6.694326678166985,0,9.333546574634532
6,8,0,0,5.550345577000897,0,7.636666462347913
10,8,0,0,4.858103631988642,0,7.176131294621388
5,5,1,1,7.4108990776588195,1,14.184477936509978
9,4,0,1,7.402508616463297,1,13.452380457262718
5,6,0,0,3.5222098805424173,0,5.10086615353734
6,6,1,0,6.719348176827989,0,8.911893742369697
9,5,1,0,9.98516303091283,1,15.81529789510564
8,6,0,1,7.925919910856957,1,14.284627885652627
4,5,0,1,10.446426509829775,1,17.090139990639504
5,7,0,0,5.539669251684495,0,7.257027127260186
10,5,0,1,10.341232238040448,1,15.994597918666155
7,7,0,1,5.60028492492156,0,7.514279223064546
7,7,0,1,10.175783087852349,1,15.747738863973236
9,7,1,1,6.699355371867407,0,8.08750960857444
8,5,0,0,8.081831083481159,1,14.35061325275914
4,5,0,0,5.772840240586319,0,8.266018698998563
5,6,1,0,7.480648111319714,1,14.897014058269056
5,6,0,0,4.836440027480518,0,6.259007261993313
8,7,1,0,3.8954681626483225,0,4.844586208700578
7,3,0,0,5.111688564197946,0,6.036183758017231
8,5,0,0,4.500418266641301,0,5.453908711651938
12,5,1,1,6.252799219473765,0,8.049048959074021
6,7,0,0,5.675168065138507,0,6.9641652939512095
12,6,1,1,8.638121773344393,1,14.765654671280608
4,5,0,0,9.476068657288211,1,16.00610303354084
2,7,1,0,8.054432788298497,1,14.851885899908046
5,6,0,1,6.851282773366943,0,10.126729172872384
9,5,1,1,10.96351772970762,1,16.641064521285955
5,5,0,0,6.544249774461402,0,9.214457918984582
5,6,1,1,4.362559560776909,0,5.41386440033471
16,6,1,0,8.269132730037601,1,14.014202371606256
11,4,1,0,6.74366898604149,0,8.627089848670272
7,5,1,1,7.531590379942652,1,14.25512933733977
7,6,1,0,7.247636967546365,1,14.30011990938872
14,6,0,0,7.428288715028623,1,12.965194957448452
9,7,0,1,6.392683276495614,0,8.4842087281003
8,6,0,1,5.04427140168664,0,6.170844453311855
12,6,1,1,7.406558909349685,1,14.67301004325838
8,5,0,0,6.415270811641995,0,7.940051092741648
8,7,0,1,6.885647930053668,0,9.122903478487032
11,4,1,0,5.088287203093806,0,6.219540127490855
12,4,0,1,7.586952903621585,1,14.13681630610396
6,4,0,0,7.16159846209678,1,13.802766797337028
6,5,0,1,4.14591206943282,0,5.929501582278226
6,7,1,0,11.164012580118634,1,17.010615496214204
5,4,0,1,9.917828972473398,1,15.931005560211554
7,5,1,0,6.457191184838703,0,8.292429104067173
8,5,0,0,5.039455924284383,0,6.427531961910013
9,6,1,0,9.178025452700371,1,15.740244849334694
15,5,1,0,6.561514049980213,0,7.978225704478578
6,3,1,1,4.760568782839039,0,5.808516363385359
6,8,0,0,8.11891369865117,1,14.589861141108042
11,8,1,1,8.786281234412572,1,14.19656243414448
5,6,0,1,5.132518656516487,0,6.676412945658365
4,8,0,1,9.567309467202078,1,16.5703049450856
8,5,0,0,8.939497260667485,1,14.742088194108932
13,8,0,0,7.757115816472242,1,13.201866456860753
9,3,0,1,4.557142896412143,0,6.134361557159931
6,2,0,0,7.417996011279346,1,13.31210467390098
10,10,1,1,10.445965598471323,1,16.43625788609271
9,6,0,0,8.225988282492144,1,13.706060924111522
5,5,1,1,4.489922543585573,0,6.453223468232985
10,8,0,1,5.409531826999282,0,6.887040593349159
3,4,0,1,8.29172869139065,1,15.374005844479846
8,3,1,1,5.657661120686377,0,7.165750646902795
9,5,0,1,5.280923827725138,0,6.301350414873241
9,6,0,1,7.578832729840858,1,14.605211558815052
5,6,0,1,8.759909392232403,1,15.678051234366151
8,6,0,0,9.85438428995241,1,15.971517680342677
7,7,0,1,10.300439017714108,1,17.209706990402356
6,6,1,1,5.576909687905647,0,7.647271601600621
13,4,0,1,7.140944880664639,1,13.214611826876167
-1,2,0,0,5.157311937748286,0,7.693868208313034
10,6,1,1,9.329259094172905,1,15.593411979529916
6,5,0,0,8.656952662814145,1,14.394398462270418
8,5,0,0,7.016882844018876,1,13.225460546292137
7,7,1,0,8.472272671933817,1,13.967982441902423
1,6,0,0,5.745339351677073,0,9.11887198526772
9,5,1,1,3.377082678439927,0,4.058581645447025
7,6,0,0,7.330638678903,1,13.63363178633536
5,7,1,0,8.69079640360322,1,14.760998310708509
11,6,1,1,5.062060829094715,0,5.371666482857364
0,7,0,0,6.144650711788795,0,9.191069337797291
6,7,1,1,5.247423400773627,0,6.96615523264825
10,4,0,0,5.881998909750119,0,8.178939521118956
5,4,1,1,10.338141385200776,1,16.826564121170723
8,7,0,0,3.7541122227185992,0,4.64369586055024
9,6,0,0,6.512126545727851,0,8.712543264791563
11,5,0,0,10.901014229465511,1,15.81459608565018
7,8,0,0,10.5465053443818,1,15.817899810676998
10,5,1,1,6.127519731180918,0,8.029744876868216
9,5,0,0,7.312817350333709,1,13.02715647694359
5,5,0,0,9.949688241465914,1,16.34699751384287
11,6,1,0,11.658295362614243,1,17.71121602573116
13,4,1,0,6.277542874935705,0,6.930949624049895
8,6,1,1,6.367638327573352,0,8.035357565075293
12,5,1,0,3.45718246970482,0,4.181848852994135
9,6,1,1,8.419665606821644,1,14.377018866955607
4,3,0,1,9.000832191161964,1,16.69820944661607
9,4,1,1,7.275181271338326,1,14.26431101787198
15,5,1,1,5.048204060190466,0,5.650960381724583
2,4,0,1,5.639977745195746,0,7.026704842718162
14,5,1,0,5.990009860639478,0,6.738951339046395
7,7,0,0,5.877196818068742,0,7.474805025521067
9,6,1,0,5.545168409503814,0,6.641774119759926
4,5,1,0,9.752102218897496,1,15.323145827782213
8,6,1,1,7.823815521231419,1,15.00232296651675
10,7,0,0,7.800538135271773,1,14.26292125852723
6,6,1,1,5.184983063859033,0,6.908018672821148
15,6,1,1,5.533317437613265,0,7.438268591279169
5,5,1,1,6.118181004482689,0,8.058621521291942
4,8,0,1,4.378673378945857,0,5.846298172935141
11,7,1,1,9.441691879697787,1,15.867300367892517
14,5,0,0,6.805633757574797,0,9.158169551228792
5,6,0,1,4.936860909286223,0,6.53395630472656
8,7,1,1,8.071360088120471,1,14.716681459120569
7,5,0,0,5.65074138631333,0,7.340782415898885
9,5,0,1,5.288404814130235,0,6.808221806094973
8,3,1,0,5.439950662490726,0,6.388365842919244
6,3,0,1,6.052370736379646,0,8.365946811641047
3,6,0,1,9.27211511461817,1,16.30154301273416
9,6,1,1,9.33918317691704,1,14.955458084592728
10,6,1,1,6.2804483242669376,0,8.804473564817396
7,5,1,0,7.740942500104924,1,14.414522525262052
9,5,1,0,12.189909478394272,1,18.28160376301928
4,6,0,1,7.3932507449557665,1,14.913559411790567
11,4,1,0,4.808478605565414,0,6.588077701114422
10,6,0,1,9.41304725148499,1,15.904415945046855
7,5,1,0,5.163651210505441,0,6.315072984695358
11,5,0,0,7.218898530176756,1,13.147231528749488
10,6,0,1,5.4452566655223045,0,7.192679515004564
10,5,0,0,5.4459079111014335,0,7.575246094951352
