education_years,political_interest,urban_resident,party_member,voter_outreach_invitation,community_meeting_attendance,political_knowledge_score
6,3,0,0,1,0,46.1503120098276
2,2,0,0,1,0,48.71082796336132
5,2,0,1,0,0,45.97754725365428
5,3,0,0,1,1,53.91487130038755
3,2,1,1,1,1,55.82151916483379
5,2,0,0,1,1,52.78722117087321
5,2,1,0,0,1,54.07301479527179
3,2,0,0,1,1,51.81897312616495
7,2,0,0,1,0,43.851792689389306
4,3,0,1,0,0,46.64438728081856
7,3,1,1,1,0,44.418138417558936
5,3,0,1,1,0,46.71844493258138
3,2,1,0,0,0,49.1624761755505
3,4,0,1,1,1,53.35162227439089
3,4,1,1,1,0,47.644790215366896
1,2,0,1,0,1,55.57159664764109
4,3,0,0,1,0,45.9863556834801
6,2,1,1,1,0,46.39484899688617
4,2,0,1,0,0,48.51461546224164
5,3,0,0,1,1,55.0043581834343
1,2,0,1,1,1,57.91838455877705
3,2,0,1,0,0,47.8884195804028
2,2,0,0,1,1,53.35510217666033
4,2,0,0,1,0,45.85577828396986
1,2,0,1,1,1,56.12174485045356
4,3,0,1,1,0,45.52659494509823
2,2,1,0,0,1,55.22930204262313
6,3,1,0,1,0,43.95155442827575
5,2,1,0,1,1,52.75654040333211
4,2,0,1,1,0,47.98519232351944
7,1,1,0,1,1,51.47838857595141
8,1,0,0,1,0,42.72032391823764
5,3,0,1,1,0,45.652575674377445
2,3,0,1,0,1,55.882838226371526
2,2,1,0,0,0,48.793699028073135
2,2,0,0,1,1,54.4973173712582
3,3,1,1,0,1,54.99464114413487
6,2,0,1,0,0,45.125404141795634
8,2,0,1,1,0,42.99753888523651
4,2,1,1,0,1,52.526467889616285
4,2,1,0,1,1,53.29781211068692
0,3,0,1,0,1,57.85495210262927
3,2,0,0,1,1,54.414217132625765
5,3,1,0,0,0,45.15662878702734
7,3,0,1,1,0,44.86711218681343
7,4,0,1,1,0,46.74347336645656
1,3,1,1,1,0,50.580503562252304
5,2,1,1,0,0,46.96101943908717
4,1,0,0,0,0,47.1542691391962
2,3,1,0,1,1,53.62311667006881
1,2,0,1,0,1,54.17945330335963
1,2,1,1,0,0,50.123177565999015
3,3,0,1,1,1,54.97559466657471
6,2,1,0,1,0,44.302245170157015
3,4,0,1,1,0,46.64248056421298
5,2,0,0,1,0,45.9754913091822
4,3,0,0,0,1,52.60866289063977
3,3,0,1,1,0,49.28132593106679
7,2,0,1,1,0,42.99022441238853
4,3,1,0,1,1,53.86156088479499
6,2,1,0,1,0,45.58661907752671
5,3,1,0,1,0,47.732092238977096
-1,3,0,0,1,1,56.79525711347459
2,2,1,1,1,1,55.36697182372293
6,1,0,0,0,0,43.56259044057346
3,3,0,1,1,0,47.63594457621912
4,3,0,0,1,0,48.0786278448053
1,2,1,1,1,1,55.69352304739572
3,2,1,1,1,1,54.34208197713915
2,2,0,0,0,1,54.63405694540028
4,2,1,1,0,1,54.569712284181634
0,3,1,0,0,1,54.48954057053197
2,2,0,1,1,1,55.63231012791214
2,3,0,1,1,0,47.91672981792424
5,3,1,1,1,0,45.33870619987738
8,2,0,0,0,0,41.40751877443058
4,1,0,1,1,0,48.57103650855054
0,2,0,0,1,1,55.00886862799732
3,3,1,1,1,1,55.85899967216243
4,3,1,0,1,1,53.68054957167263
2,2,1,1,0,1,55.35825996345309
4,3,0,0,1,0,46.95513376262923
2,1,1,0,1,1,55.13596694637252
2,3,1,0,0,1,54.54200699555552
5,2,0,0,1,0,46.58035421457687
4,3,1,0,1,0,47.45958946544354
4,3,0,1,1,1,52.11620510205716
5,4,0,0,1,0,47.54513192454108
3,3,1,1,1,1,54.22878542591479
3,2,0,1,1,0,48.52126060926788
1,2,0,1,0,1,55.04692478270776
4,3,1,0,1,1,53.64868283743502
6,2,0,1,0,0,43.72908298249622
4,3,1,0,1,0,47.24174881542631
2,3,0,1,0,1,53.34368738665557
3,3,0,0,1,0,47.12176803184396
1,2,0,0,1,1,56.39641749158902
0,2,0,1,0,1,56.955543442686704
5,3,1,1,0,0,46.5065967780715
4,3,0,0,1,0,45.56916080525525
3,2,1,0,1,1,55.1952808215069
2,3,1,1,0,1,55.962028284653336
6,3,1,0,1,0,45.94602777181351
2,2,1,0,1,1,53.4423268459588
3,2,1,0,1,1,54.543429726294
3,2,0,1,1,1,55.33942717547906
6,3,1,1,0,0,45.38059633387615
2,2,1,0,1,1,53.75285192469243
3,3,1,1,1,0,47.29855065671242
