participant_age,education_years,prior_income,work_hours,union_membership,job_security,job_training,minimum_wage_increase,job_satisfaction
31,18,5,14,0,1,1,0,61.86347720315434
34,16,3,13,0,0,1,0,60.43660753336654
29,24,2,18,1,1,1,0,62.4985025586481
43,24,5,11,0,1,1,0,62.83728816235352
16,12,6,16,1,1,1,1,66.18018367293783
33,23,2,16,1,1,0,0,62.15573096050908
9,29,8,15,0,0,0,1,67.14053588514787
25,25,5,11,1,1,1,1,63.93351188826537
18,24,8,9,1,1,0,1,65.21588814734476
14,27,10,16,1,1,0,0,66.12021393790252
7,24,5,14,1,1,1,0,59.69327867326492
19,28,7,9,0,0,1,1,64.58224250465827
20,23,8,18,1,1,0,1,70.13337179441095
22,24,6,21,1,0,1,0,67.00902042561046
20,23,7,22,1,1,0,0,68.69956664536845
23,16,9,9,1,0,0,1,65.56698606822891
14,19,7,17,1,0,1,0,64.28839538031258
37,21,5,10,1,1,0,1,65.60291657225362
28,30,4,12,1,1,0,0,59.1977392017865
19,24,5,10,1,1,1,1,63.84617664019936
35,23,4,14,0,1,1,1,65.92700354962223
23,24,7,16,0,1,0,0,63.60452731697415
33,21,4,14,0,0,0,0,62.28634090074509
11,22,5,10,1,1,0,1,60.09216696388129
25,26,6,13,1,1,1,0,62.54797991920259
31,21,3,16,1,0,1,1,65.34431981756606
9,20,6,15,1,0,0,1,63.12991373961859
42,24,8,14,0,1,1,1,68.73511729776233
10,23,9,14,1,0,1,1,65.9069799225421
33,19,2,19,0,1,1,0,63.45471251181867
22,22,7,15,0,1,1,1,67.98924734092482
29,25,5,14,1,0,0,0,61.70858908355548
28,18,4,13,1,1,1,0,62.9222912434181
22,28,7,14,1,1,1,1,67.85150390495859
31,32,5,25,1,0,0,1,73.60138201710286
39,25,7,22,1,1,1,1,74.69054340426088
21,27,3,12,1,1,1,0,61.02413944491614
29,23,7,20,1,1,1,0,66.70554065586097
27,25,6,15,1,1,1,1,66.89400709795115
19,15,6,13,1,1,0,1,63.46471820631234
28,24,7,13,1,1,1,0,62.06968429781324
38,21,6,14,1,1,0,1,66.31511694674485
22,25,10,20,1,1,0,0,70.11915268885465
26,26,6,16,1,1,1,0,65.73965189564566
16,19,10,9,0,1,1,0,62.75352407639859
29,21,4,15,0,1,0,1,66.31960540154907
23,32,6,19,0,1,0,1,67.90911078750887
18,27,5,19,1,1,0,0,64.14620865385665
12,22,7,11,1,1,1,1,64.27867881202789
30,24,1,22,0,1,1,1,68.08064024841237
36,24,6,12,0,1,0,1,68.11162669513564
27,23,5,20,1,1,1,1,70.27446498094442
23,19,4,12,1,1,1,1,64.10308243152558
23,26,7,12,1,0,0,0,62.86665826691465
55,20,3,24,1,1,0,1,74.36784671998238
32,28,8,9,1,1,0,1,65.12784006588423
11,22,8,19,1,0,1,1,68.80863183177425
27,28,4,24,0,0,1,0,67.96211608090582
9,23,3,15,0,1,1,0,60.018135418363926
24,17,9,19,1,1,1,0,68.62606894538276
20,21,4,8,1,1,0,0,57.116811049466726
18,11,6,18,0,1,1,0,64.16136071115724
29,27,6,14,0,0,0,0,62.61460415105404
36,23,6,10,1,0,0,1,64.48149563524731
6,15,6,28,0,1,0,1,71.40150071600424
44,25,10,9,0,1,1,1,69.1853654940647
30,28,6,21,0,1,0,1,72.89842204957694
22,25,5,1,0,1,1,0,52.95321946761187
16,24,8,10,1,1,1,1,65.60300408850242
31,22,6,16,1,1,0,0,63.49524189602153
27,19,4,19,0,0,1,1,65.56975473321738
0,21,5,16,1,1,1,0,61.91684555629928
42,15,5,12,1,1,1,1,65.43039644794446
38,20,8,18,1,0,1,1,70.0963910304165
23,21,5,15,1,1,1,0,61.53238067711696
30,21,10,21,1,1,1,0,68.59781664361088
41,16,3,16,1,1,0,0,60.78986536490777
27,28,5,19,1,1,1,0,65.020337932092
11,22,1,11,0,0,0,1,59.27603354117282
13,19,11,16,1,0,1,0,67.91852494339875
11,28,-1,16,1,1,0,0,55.421157384560495
27,19,8,8,1,1,1,0,61.10090498819225
27,18,9,16,1,1,0,1,70.06328633684724
24,24,5,13,0,1,0,0,61.83496698616409
36,28,7,22,1,1,1,1,72.46429963168315
25,23,5,18,0,1,1,0,64.854873631288
25,25,9,20,1,0,1,0,67.85647069605425
22,19,6,8,1,1,1,1,62.91138081561677
10,23,6,21,1,1,1,0,67.11680826333698
14,24,7,24,1,0,1,1,72.0143132814159
28,30,1,16,1,0,1,1,65.74842274995373
28,29,5,21,0,1,1,0,67.72261832354829
15,30,6,13,1,1,0,0,61.78651703406675
23,20,6,17,1,1,1,1,67.65777703783768
26,22,8,15,0,0,0,1,65.51904550554217
0,26,8,17,1,1,0,1,67.80639916005778
31,32,5,14,0,1,1,0,60.85815224160421
31,20,4,22,1,0,1,1,73.02063817317601
41,25,6,18,1,0,1,1,70.67836487582746
18,24,4,18,1,1,1,0,62.80349367047948
31,26,6,11,1,1,1,0,63.45894618792133
36,27,3,20,1,0,0,1,69.6065303977526
17,14,6,17,0,0,1,1,67.57254991683212
33,24,4,14,1,1,0,1,64.8142963640121
22,20,3,6,1,1,1,0,55.1127855229598
14,26,7,21,1,0,1,0,67.70104056829675
23,27,5,14,0,1,0,0,62.38803915454314
24,33,4,11,1,1,1,1,62.312235017350254
17,24,3,15,1,0,0,1,65.84410847966932
33,25,1,14,0,0,1,0,59.68592850952509
26,15,7,17,1,1,1,1,69.45134229604272
18,21,2,22,1,0,0,0,63.318004597990544
38,21,4,11,0,0,1,0,59.62433421647843
5,16,4,18,1,0,0,1,65.23011594899782
6,25,2,9,1,1,1,0,54.533578130906506
38,31,4,21,0,0,1,0,68.52301549036292
20,15,7,8,1,0,1,0,59.1811083231233
13,20,6,15,1,0,0,1,64.63000873342376
36,24,6,10,0,0,1,1,66.31910787424204
19,20,7,21,1,0,0,0,68.37331878778205
19,26,6,10,1,0,1,0,60.57709255502067
45,28,9,16,0,1,0,1,71.71972923178971
21,28,6,7,1,0,1,0,57.57423775228667
27,26,7,15,1,0,0,0,63.97273112924673
15,27,4,11,1,1,1,0,58.9865971885303
28,24,5,8,1,0,1,1,61.38936503189455
42,25,4,19,0,1,1,0,64.96619039402111
44,24,6,20,0,1,1,0,69.55760458454185
23,23,5,17,1,0,0,0,62.112215992323314
21,20,6,10,1,0,0,0,58.7308072968161
16,26,7,26,0,0,0,0,70.33752489999851
23,26,6,15,0,1,1,1,67.09073574778586
31,28,7,20,0,1,0,0,68.6817538792906
26,26,4,10,0,0,1,0,57.87498038640398
26,22,4,19,0,0,0,0,64.44543362783718
18,18,7,20,0,1,0,0,66.90857236516977
5,26,6,19,0,0,1,1,66.87584670239187
25,19,9,12,1,0,1,0,63.314033763511816
17,27,6,22,0,1,0,0,65.56056377800842
22,26,5,27,0,0,1,1,73.13619568112485
28,24,3,12,1,0,1,1,64.59014464641274
34,32,1,16,0,1,1,1,65.64473705983671
28,19,9,17,1,1,1,0,65.09889799438832
0,15,2,17,1,1,1,0,59.36461678332613
38,19,6,25,1,0,1,1,76.15024868134105
22,16,6,12,1,0,0,0,60.09570954650823
18,23,6,18,0,0,1,1,66.78827136055463
11,30,4,16,1,0,0,0,61.93792482970885
21,30,3,11,0,1,0,1,61.74600220614118
27,19,3,11,1,0,0,0,58.73256399311023
30,13,3,22,1,1,1,0,67.92864510697872
33,22,5,20,1,0,0,1,68.20360920168802
28,22,8,11,1,0,0,0,61.763380073660976
37,26,4,12,1,1,1,0,62.11024166815739
28,21,8,9,1,0,1,1,64.73365998659241
32,21,4,19,0,1,0,1,67.75355235376793
17,18,6,20,1,1,1,1,71.10810410299435
31,20,2,19,0,1,1,1,67.13778478353048
41,24,7,11,1,0,1,1,65.88212484346907
31,28,6,18,1,1,1,0,66.71909159803054
18,23,5,16,1,1,0,1,67.09996538229782
34,23,7,16,1,1,1,1,68.92795587401994
28,20,4,12,1,1,1,0,59.14565010156726
17,29,5,12,1,1,0,1,64.20463052211306
21,25,8,11,1,1,0,0,61.736031909605856
21,22,5,10,1,1,1,0,61.16607636102346
18,24,4,23,1,1,1,0,67.97095812924026
29,33,9,18,0,0,1,1,72.09198490599826
33,23,3,16,0,1,0,1,64.93331814872678
28,29,3,14,1,1,1,0,61.2621774020638
27,25,3,8,1,1,0,0,58.82858495927698
33,27,6,19,1,1,1,0,66.7417842364767
14,20,6,15,1,1,1,1,66.74256681927119
26,27,0,19,0,0,1,1,64.81030629289738
30,31,4,12,1,1,1,0,61.29636293950829
34,25,4,6,0,1,1,1,61.02995774337261
13,23,9,21,1,1,1,1,71.44079043101988
27,27,8,14,0,1,1,1,66.22884065710757
34,26,4,18,0,1,1,1,68.48553092475375
18,22,3,21,1,1,1,1,67.78077523020916
21,22,7,23,1,1,1,1,73.44526762493436
26,27,7,7,1,0,1,1,63.40968170089821
13,24,5,22,1,1,1,0,67.41586361045294
14,16,5,11,0,1,0,0,57.92805120932815
9,26,6,13,0,1,1,1,63.09018050467657
19,24,4,19,0,1,1,0,64.48436245243816
17,25,5,16,1,0,1,0,62.02855057138991
23,28,5,12,0,1,1,0,61.837334633937445
37,27,2,17,1,1,1,0,64.95527173391517
28,21,4,21,1,1,1,1,69.43816472102911
19,22,0,11,1,0,0,0,54.59953306303285
34,26,3,19,0,1,1,1,66.93100044230404
43,13,4,15,0,1,1,0,62.77529413778673
29,22,7,15,1,1,1,1,68.36984110070514
37,22,2,16,1,0,1,0,63.209854687815096
29,21,5,12,1,1,1,0,62.34916991979759
38,23,4,16,1,1,0,1,67.0005988963491
10,26,8,17,1,1,0,1,67.48235012823497
23,25,6,12,0,1,1,0,57.79877273596764
10,25,9,22,0,1,0,0,66.83982293777572
18,25,4,12,1,0,1,0,57.79278214377076
10,29,6,13,1,0,1,1,66.07037170528514
26,30,7,16,1,1,1,0,64.99273825903201
44,31,2,15,1,0,1,1,67.80957240399961
15,20,5,22,0,1,1,1,69.71955185454274
35,22,4,21,0,0,1,0,67.79621861688287
12,18,8,20,1,0,1,0,65.82638217389697
36,26,9,9,0,0,1,1,65.73586322388506
9,22,7,12,1,1,1,0,62.624567844459406
31,13,10,12,0,1,1,1,68.75178739351166
47,22,3,22,1,1,1,1,72.01820765012323
29,29,2,20,1,1,1,1,68.87809932979424
18,26,8,19,1,0,1,1,70.67645418713802
31,23,4,11,0,1,0,1,64.14189966596028
8,22,7,13,1,1,1,0,59.05060268363249
26,21,4,20,1,0,1,1,69.91192348384783
8,21,3,14,0,1,0,1,62.60856148182587
9,30,8,4,1,0,0,1,61.435182026282384
20,16,7,13,0,1,1,1,65.58602777399531
16,23,6,20,1,0,1,0,65.40916988638371
23,17,5,7,1,1,1,0,58.07644026847722
11,27,5,12,1,1,0,1,63.90500769935497
21,14,5,13,1,1,0,1,63.64074417805438
32,22,7,15,1,1,0,1,69.14563302561525
19,20,7,12,0,1,1,0,61.72396415453309
31,29,2,4,1,1,1,1,57.87925442005371
3,25,3,17,1,1,0,1,63.40345245740761
27,25,8,15,1,1,1,1,68.90825069149456
30,27,5,17,0,1,1,1,68.80389346948833
28,24,7,12,1,0,1,0,63.56940656809716
20,19,6,21,1,1,1,1,68.93327777962452
11,30,7,9,1,1,0,1,63.93832840095551
27,22,4,18,0,1,1,0,64.05755108809265
28,25,9,11,1,1,1,0,65.51026528627642
50,18,6,19,0,0,1,0,68.21625223597388
36,32,9,18,1,1,1,0,69.71758171811696
22,25,4,15,1,1,0,0,60.6090658725403
25,27,5,11,1,1,1,0,59.319807289860336
26,25,9,13,1,1,0,1,67.68144180134742
29,22,5,13,1,0,0,1,65.63895481872481
22,26,6,13,1,0,1,1,66.57217276023007
6,23,5,12,1,0,1,1,62.46050952812227
13,24,3,10,1,1,0,0,57.74033524144203
33,23,3,14,1,0,0,0,59.49494201238617
29,28,7,21,1,1,1,1,72.66531181295471
36,15,8,13,1,1,0,0,64.53536835338839
13,15,2,11,0,0,0,0,57.02249558723567
42,25,8,21,1,1,0,0,69.38994019173344
23,29,4,19,1,1,1,0,66.21626747597011
37,17,6,14,1,0,0,1,68.03616161879572
36,28,2,20,0,0,1,0,64.59987940443513
19,22,7,23,1,0,1,1,73.79234106605527
27,23,9,15,0,0,0,0,66.53184524645506
37,20,7,20,0,1,1,0,67.76691391506908
13,28,3,23,0,0,1,0,64.67478150179795
28,17,5,14,1,1,1,1,66.73694472816354
28,18,5,18,1,1,1,0,64.1102231298712
8,21,6,14,1,1,0,1,65.17539985820443
37,20,3,22,1,1,0,0,67.04278886999408
3,22,7,21,0,0,1,0,66.41479481856469
46,31,6,15,1,1,1,0,67.1135889396029
42,27,8,20,1,1,1,1,75.14459941458264
40,26,7,19,1,1,1,1,74.00932654624172
22,22,5,14,1,0,1,0,61.255551587501
