age,income,rural_residence,gender,minority_status,political_campaign_exposure,voting_behavior
26,21,1,0,0,0,40.22317652278585
33,8,0,1,0,0,38.94778030760705
32,24,1,1,0,1,41.73962439446632
25,13,0,0,0,1,46.91506687925211
44,21,0,1,1,0,33.04878402054351
32,12,0,0,0,1,43.22882316257662
23,24,1,0,1,0,38.7041522900075
28,17,0,1,0,0,39.97807578420908
28,24,0,0,1,1,43.59291018004417
30,17,0,0,1,0,36.15479669788697
24,22,0,1,0,0,39.908092578633
23,12,1,0,1,0,40.394620438670245
33,21,0,0,1,1,39.85655174800109
26,20,1,1,1,1,44.495143164333264
34,19,1,1,0,0,36.17746114548797
40,24,0,0,0,0,34.431052223151966
37,23,1,1,0,0,34.97959972410041
23,19,1,1,1,0,39.120441689354685
32,18,0,1,0,1,41.125372231680096
27,18,1,1,1,0,37.67008885518684
37,23,0,1,1,1,40.94179233677251
33,17,0,1,0,0,38.00835837444122
32,19,1,0,0,1,43.16581740621172
30,19,1,1,0,1,43.87921298580721
26,21,0,1,0,1,45.5117673031878
33,13,0,1,0,0,38.17336426261318
31,26,0,1,0,0,36.341938447959215
34,15,1,1,1,1,42.11454144700823
31,16,0,0,1,0,35.43582617588238
21,17,1,0,0,0,40.822294081752425
15,16,0,1,0,0,44.91318186618902
32,24,1,1,1,0,35.16273710987827
38,19,0,0,0,1,40.10186280018656
39,19,0,1,1,0,33.7760205918581
33,28,0,1,1,1,40.67704983117303
35,21,0,0,1,1,40.6993676080678
25,24,1,0,0,0,39.634719412123
21,18,1,0,1,0,41.076024304957286
20,17,0,0,1,1,45.66516194960905
24,24,1,1,1,0,39.60120393744905
21,29,1,1,0,0,41.286418332127376
29,23,1,0,0,1,41.33615875224945
29,24,0,1,0,0,38.984992250047725
18,23,1,1,0,1,47.2716249214471
32,25,0,0,0,1,41.447225464247815
39,13,1,0,1,0,34.82034921385634
21,18,1,0,0,1,45.223594909365126
39,15,1,1,1,0,33.82017543631673
31,20,0,1,0,0,38.82785749523224
45,5,1,0,0,0,32.89991104054828
45,19,0,1,1,0,32.33670105358575
15,19,1,1,1,0,41.28634673304646
37,24,0,0,0,0,35.32394051559434
48,14,1,1,1,0,30.032301118681968
34,19,1,0,0,1,41.755262771859584
21,21,1,1,0,1,45.81776369547729
28,26,0,0,0,1,44.48811171795468
25,23,1,0,0,1,43.46898166005112
20,32,1,1,0,0,41.641160288327335
33,16,0,0,1,1,42.36900742567944
23,23,0,1,0,1,45.24063962332775
28,8,0,0,1,1,44.12221445221212
31,11,1,0,0,0,39.30832683884214
34,18,0,1,0,1,42.29364747310026
19,18,0,1,1,1,44.83786231033126
30,15,1,0,1,1,41.75353788582359
22,24,0,1,1,0,40.106726462068046
28,28,0,0,1,1,43.19018804769657
35,16,1,1,0,0,36.12156448645652
36,19,1,0,0,0,36.892072386627945
32,19,0,1,1,0,36.33446714192971
31,25,0,0,0,1,41.13228241111734
32,18,0,1,1,0,37.69473709507741
21,20,0,1,0,0,41.42348070291999
24,12,1,1,1,0,40.95109008519216
41,20,1,1,0,0,33.61978165538536
25,17,1,1,0,0,38.20703413113483
35,11,1,0,1,0,35.86880066789132
33,20,0,1,0,0,37.82961563880957
20,20,0,0,0,1,46.3922032228254
36,15,1,0,1,1,40.2150373845823
32,27,0,0,1,1,42.21566904819738
29,19,0,0,0,1,43.31190522737917
25,12,0,0,1,0,40.0797832272048
31,17,0,1,1,0,36.65635428361429
39,19,1,0,0,0,34.43694393194155
26,30,1,1,1,0,36.786132223458296
16,29,1,0,0,0,43.45114332697408
24,16,1,1,1,0,38.863060878209495
31,15,1,1,1,0,36.92079968504995
29,23,1,1,0,0,35.64511881071196
38,16,1,0,1,1,41.147948592431696
44,15,1,1,1,0,33.68687476257535
33,25,1,1,0,0,36.36834967538664
41,12,0,0,1,1,38.407180241908485
28,11,0,1,0,1,45.06358959100527
24,2,1,1,0,0,41.3940821273173
34,20,1,1,0,1,39.09522837215667
36,15,1,0,1,1,40.05174302155648
50,27,0,1,1,0,30.19053651557717
29,24,1,0,0,0,36.30822701649627
28,24,1,0,1,0,36.020008114755925
26,16,0,0,0,0,39.36931462143352
25,7,1,0,1,1,43.95001338327172
23,29,0,1,0,1,44.02234066925002
33,19,1,0,0,0,36.03535958042993
42,12,0,1,1,1,38.88144697652578
26,19,0,1,0,0,39.5091871892325
15,22,0,0,1,1,49.38618874618471
26,26,0,1,1,1,43.67634892785392
38,19,1,0,0,1,40.37467511991284
28,20,1,1,0,0,37.75855549279056
33,25,1,1,1,0,34.070939998879226
42,6,1,1,1,0,32.43972664965029
34,25,0,1,0,0,36.49987481381468
31,24,0,1,1,1,41.71678440121597
32,17,1,0,0,0,38.40990586718479
31,25,0,0,0,1,44.04523857006105
45,19,1,0,1,1,37.09922125054148
40,13,1,1,1,0,33.31248766232523
9,23,1,0,0,1,49.92712063102756
26,31,0,0,0,0,37.13783494485267
23,32,1,0,1,1,41.626941309815294
41,24,0,0,0,1,39.68428284668301
29,20,1,1,1,1,41.40857171702256
26,17,0,0,1,1,41.86497707300609
26,20,0,0,1,1,43.99685722590336
29,24,0,1,0,0,37.26667237818423
26,21,0,0,0,0,39.06804127213496
24,25,1,0,0,1,43.58529613224226
28,17,1,1,0,0,39.506845757886666
35,18,1,1,1,1,42.44532641267091
28,20,0,0,1,1,43.70804917218116
21,24,0,0,1,1,46.11233577960818
30,21,1,0,0,0,38.010634118746026
31,19,1,0,1,1,41.41646232036502
38,13,0,0,0,1,42.34182388496911
37,20,1,0,0,0,36.99460818337227
26,29,1,0,1,0,35.41605488714472
38,15,0,0,1,1,40.75788593712274
29,20,1,1,0,0,37.75034854848288
22,25,1,1,1,1,43.85814292926127
33,31,0,0,1,1,40.83778791126516
26,28,0,1,1,1,43.83923737920753
13,26,0,1,1,0,44.11270087609511
27,29,0,0,0,1,43.1479265917932
31,13,0,1,1,1,43.88750633258724
28,23,1,1,1,1,43.526941229412046
25,16,0,0,1,1,44.75642146389865
16,25,0,0,0,1,48.66560654788007
18,14,1,0,1,1,47.867851940352544
27,18,1,0,1,1,43.24649534884863
21,21,0,1,1,1,44.8322901925461
33,11,0,1,1,0,37.99885341080071
31,15,0,1,1,1,40.80463612677816
22,32,1,0,1,0,38.46801394449844
30,16,0,0,0,0,38.63351231593884
39,27,1,1,1,1,38.54298423248477
29,4,1,1,1,1,44.44785545909651
30,24,1,0,0,1,42.01163684196606
30,29,1,1,0,0,36.700957114920286
30,19,1,1,1,1,41.94074712040074
38,28,1,1,0,0,34.48878838675705
50,23,1,0,0,1,34.89062793970995
28,12,0,1,1,0,38.81679222920177
30,23,1,1,0,0,38.66593015654345
21,26,1,1,1,0,41.07364989958848
25,27,1,1,0,0,40.44755827293139
31,14,1,0,1,1,42.98015533003032
31,19,1,0,0,1,41.793281648408495
20,17,1,0,1,1,45.63063867591232
13,29,1,0,0,1,47.94274316894445
