student_age,parents_education_years,weekly_study_hours,class_size,low_income_status,gender,rural_residence,scholarship_received,end_year_grade
44,16,11,12,1,1,1,0,97.8442518748778
32,7,12,11,1,1,0,0,82.44030995671794
22,16,8,10,0,1,1,0,78.57057833422003
44,15,11,15,1,1,1,1,105.58388274246435
19,33,5,33,1,0,1,1,90.36954621113742
34,14,9,15,0,0,1,1,96.9031077274774
26,15,4,14,0,0,1,1,89.71702848215389
24,21,9,14,0,0,1,1,88.98169191286213
19,23,8,12,1,1,1,0,74.59009141067655
23,17,8,9,1,0,1,1,86.58268045577219
26,17,7,9,1,1,0,0,80.17216743170042
36,22,10,16,0,0,1,1,101.8183979266392
14,32,11,5,1,0,1,1,79.90241687539253
36,25,8,20,1,0,1,1,100.71566637423795
21,30,9,18,1,1,1,0,78.2412651302954
25,21,13,12,1,0,1,0,77.86923123640523
37,10,4,13,1,1,1,0,90.0786746820146
28,23,14,16,1,0,1,1,93.8119871748558
31,9,12,5,1,0,1,1,90.3414019201704
34,16,14,19,1,1,0,1,96.68781022312632
27,17,11,7,1,1,1,0,81.12224071282435
30,27,9,13,0,0,0,0,91.06848386871754
21,23,5,6,1,0,0,1,86.58571706428664
25,15,13,15,1,1,0,0,78.91470047966641
31,13,8,15,1,0,1,0,84.77710697017623
28,20,7,13,0,1,0,1,92.79732888878696
10,18,12,9,1,0,0,1,71.53279103061024
28,28,9,9,1,1,1,1,93.66266608805864
32,21,11,21,0,1,0,0,89.08852542594312
32,20,11,12,1,1,1,0,87.72980666483274
29,21,9,13,1,1,1,0,85.99930861941566
10,30,14,20,1,0,0,1,75.75564403620021
45,16,16,13,0,1,1,1,106.69388258533438
29,24,10,17,1,1,0,0,85.16951396093697
28,11,9,10,1,0,1,1,88.88944471322516
28,18,2,11,1,1,0,0,85.55099035961108
24,21,8,7,1,1,0,1,86.86911556541452
21,20,13,15,0,1,1,0,77.11688160125713
24,32,12,15,0,1,0,1,90.96530578086384
26,28,11,9,0,0,1,1,95.44684662245793
37,23,7,15,1,1,1,0,95.0114305107655
23,20,6,16,0,0,0,1,90.10985537461109
36,24,11,13,1,1,1,0,92.59847891040376
34,13,14,13,0,0,1,1,95.4094059062165
14,17,7,19,0,1,1,0,68.3204997572601
42,19,11,11,0,1,1,1,105.08207826979556
29,15,10,18,1,1,1,1,91.98741543259123
20,16,13,21,0,0,1,1,81.8098085362334
14,29,10,17,1,1,0,0,72.50227579223879
29,18,10,9,0,1,0,0,83.69779920688217
24,17,9,16,1,1,1,0,78.45206041261149
36,24,5,20,1,0,1,0,94.91741302160186
41,25,11,17,1,0,1,1,107.03145129389875
38,21,3,17,1,1,1,0,97.45890643164248
13,10,4,20,1,0,1,0,68.4805452142238
27,25,6,17,0,1,1,0,84.98569846462608
42,18,6,10,1,0,1,0,97.4358504765898
33,30,9,4,0,0,1,1,99.0570851096606
40,16,5,20,0,1,0,0,96.52499166784132
32,17,10,15,1,1,0,0,87.40364479193093
43,17,11,15,0,0,0,1,107.61424636426126
28,24,5,9,1,1,1,0,87.87586204230793
23,15,10,14,1,1,1,1,86.3036383495663
21,16,10,9,0,0,0,1,83.21258483159723
31,9,7,6,1,1,1,0,82.07020938032548
36,13,10,10,1,1,0,0,90.41111526308848
12,17,4,11,0,1,0,0,67.51410399483184
25,14,14,7,0,1,1,1,85.55236356223129
28,18,13,13,1,0,1,1,91.85420120665528
31,33,12,14,1,1,1,1,100.80694650410474
39,13,7,14,0,0,0,1,102.54226378830704
33,16,3,20,1,1,1,0,90.15416803792378
30,31,15,10,1,0,1,1,95.60335172950124
31,22,5,16,1,1,0,0,89.66433187933436
37,20,12,15,0,1,1,1,101.88175274402631
27,25,10,23,1,0,0,1,93.4370495035873
31,6,8,5,0,0,1,1,90.65303883726963
19,15,11,12,0,0,1,1,80.44995816317991
29,13,11,27,1,0,1,1,91.38632115639776
32,24,9,14,1,1,1,0,90.68607478261994
20,17,10,14,1,1,0,1,83.01109690332673
25,27,14,20,0,1,0,1,91.36643640053477
39,28,13,11,1,1,1,0,96.1624033333144
19,7,10,13,1,1,1,1,78.3838662725514
45,15,10,6,1,1,0,0,99.14297540506251
30,18,11,20,1,1,1,0,85.2494584180093
22,15,7,13,1,0,0,0,76.12656600299734
13,24,0,27,1,1,0,0,72.99231738553607
43,15,12,5,0,0,0,1,106.41424163959626
30,27,8,6,1,0,1,1,94.55444839435134
34,20,10,7,0,1,1,1,96.89586800031262
20,20,13,19,0,1,1,0,76.04672901591206
36,18,8,11,0,1,0,1,99.85018461770478
30,28,12,8,0,0,1,1,95.3004213741303
