age,income_level,gender,minority_status,political_engagement_score,policy_participation,post_policy_satisfaction
10,4,0,1,29.09603291232318,1,17.44999842922927
13,4,0,1,24.514320265415805,0,10.789897865889046
7,8,0,1,26.98054317854912,1,14.9516759643907
12,5,1,1,28.03429325056648,1,15.84302820960605
5,6,0,0,25.87929572919232,1,14.159557574156317
9,4,0,0,24.88279066466221,0,10.458410884347282
7,6,1,1,24.54222621416501,0,9.995467868399071
6,7,0,0,25.25794965444806,1,12.873048795971116
8,4,0,1,22.95356442564804,0,7.550328830908821
10,4,1,0,24.37152506346221,0,8.781536828844187
5,7,0,0,24.67604268770499,0,9.874677873933138
5,7,0,0,23.721217700874345,0,7.89074759747144
9,4,1,0,21.140563344789296,0,4.232700934422554
11,5,0,0,27.38049473522936,1,15.883371755586818
8,7,1,1,25.2398239362915,1,13.267689697749113
10,7,0,1,21.901258757888883,0,4.981576298886778
5,4,1,1,26.03301822251594,1,14.042478559024254
14,6,1,0,26.118049190359137,1,14.752889114108903
10,9,0,0,25.153597271139287,1,13.122426407624928
6,7,0,0,24.745767351995045,0,9.346044046478688
7,5,1,1,24.713349105171076,0,9.602559496877408
11,5,1,0,22.761253760703973,0,6.493952449807611
6,4,0,0,26.883567193171675,1,14.960469354175348
1,7,0,1,22.996730610638867,0,7.341359367273558
2,5,1,1,19.844909649187752,0,2.3135858672679035
15,3,0,0,20.657970222472063,0,4.619897809994679
9,6,0,1,25.093279325612865,1,13.90502907960264
5,5,1,0,23.90320894623052,0,7.711041450747876
6,5,0,0,27.96799548265468,1,15.808590680410717
9,7,0,0,23.44687699540248,0,7.922825216648338
7,7,1,0,22.310220969389995,0,6.089462228265215
8,4,1,0,26.959450997182294,1,15.27782226852467
5,6,1,0,26.246547915488748,1,14.195540743734758
11,7,0,0,26.03679825099133,1,13.633317030015435
0,6,0,0,26.046819238931384,1,14.199925360212593
6,2,0,0,23.987344980969777,0,8.460538366130097
10,8,0,0,28.86737388388148,1,17.000683795577846
9,6,0,0,24.93778490212269,0,10.470158835875564
7,6,0,0,25.028902763527626,1,12.534400297104987
9,6,1,0,23.146146194302336,0,6.695423764940064
9,7,0,1,24.48953788120692,0,9.583766978291129
8,8,0,0,23.18782906715618,0,7.582047801668461
8,3,0,0,26.507494885856637,1,15.134518754063384
7,3,0,0,25.147035302157786,1,13.454348257583998
0,5,0,0,20.240908925788517,0,2.384734197925713
10,7,0,1,24.867171502928432,0,10.445857792486926
11,2,0,1,23.223529622170616,0,7.988043087547597
7,8,1,0,24.177979218762367,0,7.460553546109404
9,5,0,0,24.39041224017091,0,10.304153126037628
11,3,1,0,28.176783460584694,1,16.9417265211309
5,5,1,0,28.22419165427452,1,15.860293600434945
10,8,0,0,26.320901493931824,1,13.904275785271274
8,6,0,1,19.892078929584848,0,2.0919628055893806
9,7,0,1,28.104875805422807,1,15.833726436861538
8,1,1,0,23.469559734567465,0,8.263773796062083
8,6,0,0,26.613144803825115,1,14.982023565856975
8,6,0,1,25.37065436598829,1,14.02421399770416
5,6,0,0,25.646062346732627,1,13.293393667448791
7,4,0,1,27.657795731605123,1,16.307207302851147
6,8,0,0,26.230050398077225,1,14.172770457104374
14,7,0,0,23.135355156445232,0,7.766040505103519
6,1,1,1,26.077819789823263,1,13.911813888884137
8,7,1,1,24.237399589639608,0,8.150537031365815
10,4,1,1,24.356186752995438,0,9.829407831946504
7,4,0,0,21.02888758289945,0,5.001420026437314
11,6,0,0,25.58736824674596,1,14.566284229793178
5,4,0,0,24.90284416445609,0,9.70335047298954
7,5,0,1,22.41482932944022,0,5.923764173911864
3,5,0,0,24.603853917703223,0,8.876763801686213
9,5,1,0,26.15819819758669,1,14.880492186292246
8,7,1,1,25.082190642710703,1,13.374575437254036
2,7,0,0,19.96533578383651,0,2.6759517717495145
13,3,0,1,25.34096532702265,1,13.539405262422372
7,4,0,0,22.07209134393594,0,5.029908619788636
7,1,0,0,23.10942037939363,0,7.817097878838799
9,4,1,1,25.79923991758116,1,13.947096099008002
8,6,0,0,27.97419604480377,1,15.07797377538908
11,4,0,0,22.88844492452225,0,7.134175217380888
8,6,0,0,26.287663057463355,1,13.59751695337118
3,5,1,1,26.514858978970327,1,14.16085552952844
1,7,0,0,21.31004073929078,0,4.960032745069573
9,7,0,0,26.595205448681945,1,13.622127446780697
9,5,0,1,27.69920545678036,1,15.39125964458746
8,2,0,0,28.0177095296506,1,15.092633313294378
