defendant_age,lawyer_experience_years,severity_crime_index,previous_convictions,legal_aid,plea_bargain,restorative_justice_program,recidivism_rate
40,24,3,0,0,0,1,87.22758696956096
45,22,4,0,1,1,0,87.14290762816486
25,24,9,1,1,0,1,87.5291221746077
13,25,5,0,0,1,0,71.6197058859911
34,25,9,0,1,0,0,86.782736333141
20,16,4,1,1,1,0,70.35457762146015
31,20,8,1,1,1,0,83.15572512647044
23,31,4,1,1,1,0,79.52045464937981
20,27,5,1,1,0,1,83.94476747696328
13,24,3,0,0,0,0,68.17795866963485
30,22,4,1,1,0,1,84.92730368233406
10,15,3,1,0,0,0,62.54239538048817
13,15,7,1,1,0,0,69.89079600478122
33,31,3,1,1,0,1,90.29408717145756
19,22,2,1,0,0,0,70.70230835548362
31,24,2,1,1,1,1,85.1549098605242
22,21,6,1,0,1,0,75.75208365399295
23,22,7,0,0,0,1,81.84066497762717
24,27,0,1,0,0,0,74.14102425924423
34,28,6,0,1,1,0,86.71860523128161
5,21,6,1,1,1,1,71.76026478982132
16,19,10,1,0,1,1,81.67043059258656
27,25,6,0,0,1,1,85.80875250661008
6,22,4,0,0,0,1,71.69112781044102
27,30,8,0,0,0,0,84.0312289609437
29,20,4,1,1,1,1,86.20816704176357
32,22,5,0,1,1,1,87.79307909071406
34,22,6,1,1,1,0,83.40387247417438
20,19,5,0,1,0,0,71.3942671941246
30,23,4,1,0,0,1,84.78067360573243
7,22,6,1,0,0,1,72.05157099356937
26,25,5,0,0,0,0,79.1816130352309
21,22,7,0,0,0,0,75.28817080053196
29,17,5,0,0,1,1,81.36138628335779
39,21,5,0,0,0,0,83.25728672629944
30,25,6,1,0,0,0,79.86854283131919
35,20,5,0,0,0,1,85.72728312598667
21,20,3,1,1,0,1,77.90466069782181
41,25,6,1,1,0,0,86.59904236162156
14,22,11,1,0,0,0,76.71903354858914
25,22,10,1,0,0,0,81.65668417441364
28,29,6,1,0,1,1,87.61377433169832
28,24,6,1,0,0,1,85.04027144061095
30,27,6,0,0,1,1,87.37617400686518
24,30,7,1,1,0,0,82.44613973809155
21,23,10,0,0,1,1,85.10773625002969
17,23,9,1,1,1,0,77.51430964572053
37,18,0,1,1,1,0,77.89684517767701
13,28,7,0,0,1,0,74.94779461359265
30,31,6,0,0,1,1,91.14336809763957
16,22,1,0,0,1,0,69.7073360726043
27,25,10,0,1,1,0,85.32772834598072
21,22,6,1,1,1,0,78.57938623938637
31,26,5,0,0,1,0,82.75161191881763
11,21,8,1,0,1,0,71.1341444966099
35,26,5,1,1,0,0,83.7381663836957
43,29,9,1,0,0,0,93.38721471426884
36,26,1,1,0,1,1,85.45415275863424
26,19,5,1,0,0,0,73.13293910298863
38,21,7,0,1,1,0,84.70756723088252
29,22,0,1,0,1,1,80.48760099291573
32,26,9,0,0,1,1,91.22166560097666
12,17,8,0,0,1,1,74.32723459517831
17,26,8,0,0,0,1,80.39081266241146
21,18,7,1,0,1,1,80.74635673750835
8,29,9,1,0,1,1,78.6703157571488
27,23,6,1,0,0,1,82.6631836607887
18,19,5,1,1,0,1,78.60851405547982
34,27,4,0,1,0,0,82.88340182236696
40,24,9,0,0,0,0,88.58007132523079
25,29,6,0,0,0,1,86.69350038109783
33,21,4,1,1,0,1,86.18064895354499
20,22,5,0,1,1,0,74.8076513232912
25,32,2,1,1,1,1,85.55395831859256
31,22,7,0,1,1,0,84.4157177710527
29,20,4,1,1,1,0,77.37657667225021
35,27,5,1,0,0,1,89.41937794227485
35,26,6,1,1,0,0,84.38761770993595
29,22,4,1,1,0,1,84.73124135138066
26,25,4,0,1,0,1,82.71540194150661
15,28,8,0,1,0,0,77.1252176414215
40,17,6,0,0,0,1,88.51385118823822
25,27,7,0,0,0,1,84.93970301369346
14,24,4,1,1,0,1,76.63659936093028
18,25,4,0,0,0,1,77.87146516157152
9,16,5,1,1,1,0,64.65051034437657
27,26,5,1,0,0,1,85.58121524490517
