student_age,parent_education_years,gender,low_income_status,high_school_gpa,college_readiness_program,post_secondary_enrollment
8,4,1,0,19.08152217642184,1,11.787493246030838
7,7,0,1,16.632373904397,0,6.443305959208064
4,7,1,1,22.233276099577303,1,14.170374164075673
13,4,1,0,17.233094353542395,0,7.619780453513158
4,6,0,1,20.32184902719265,1,14.031305293991672
6,4,0,0,21.082528923757582,1,13.518074642170726
6,7,1,0,18.782971792994346,1,11.72568961224562
2,5,1,1,19.302278742836865,1,11.76101031905598
7,5,0,1,21.318264555024715,1,13.78040946107877
5,6,1,0,16.583771868345696,0,6.891155044773441
8,5,0,0,20.36951167847146,1,12.244120986936062
2,6,1,1,18.584344312687733,1,10.83537096718629
9,9,0,0,18.786970408054167,1,11.806479330787708
7,5,0,0,19.817032365498395,1,12.764913464669393
6,3,0,1,15.990186855331746,0,6.774722640460092
5,7,1,1,15.3240797524299,0,5.970982508775798
8,8,0,0,20.557330841501205,1,13.119971530611446
9,5,0,1,16.753445226536993,0,7.594947505623099
12,6,1,1,20.0551992709858,1,12.119582786919803
12,6,0,0,16.521282674094426,0,6.791469903927398
7,7,1,0,19.36373272864628,1,12.519549894141733
8,6,0,1,18.552873353540605,1,11.841816758346646
10,8,1,1,18.40910646116403,1,11.65936105119641
7,3,0,1,14.925977673367598,0,4.9997595599215
9,4,1,0,20.060687569433625,1,12.294457494601849
8,8,1,0,19.14548865217937,1,11.383668257340188
0,6,1,0,19.915573392314343,1,13.321960801878616
2,5,0,1,18.1074685073586,1,11.95296851299638
11,5,1,1,14.8150668553262,0,4.677058846685649
5,6,1,1,20.15431910205853,1,12.480326741306744
10,7,1,1,16.912514405118664,0,7.291591974404399
3,7,1,1,19.649855569402884,1,12.421040732234731
9,5,1,1,21.55994268284035,1,13.91069486587306
13,6,0,1,16.907228533378518,0,7.650511158847619
8,4,1,1,19.175124319437774,1,12.434647604797378
10,5,1,1,18.835247230937632,1,11.399236271896424
8,4,0,1,17.92864773086022,0,9.540596344548796
7,5,1,1,18.095885173005936,1,11.183496618223362
8,6,1,1,17.7001312685441,0,8.327275810545371
8,2,1,0,18.300607453044588,1,11.061543964475495
9,4,1,1,16.670977225824995,0,7.362766905414168
3,5,0,1,17.480154546490436,0,9.918746729410236
8,6,1,1,24.122451523726557,1,16.402320422878063
8,7,0,0,16.64650932499623,0,8.03184968765958
7,5,1,1,22.096386315954025,1,14.01406935946462
4,7,1,1,16.657622613810318,0,7.811539891013711
5,3,0,1,20.63511216668778,1,13.42882140317481
5,6,0,1,21.87399105517672,1,14.59202600153042
5,6,1,1,18.41193836683217,1,11.395854624351385
8,6,1,1,17.97913336977226,0,8.922835222427075
6,8,1,1,20.044786977703197,1,12.094095111104078
10,7,1,1,20.05777884564461,1,12.23855673424215
7,4,1,1,17.814340459976954,0,9.162746523305133
8,6,0,1,17.556235689281127,0,9.11043664562845
10,5,1,1,19.258148733483345,1,11.611414419527703
9,6,1,1,13.750018230777936,0,2.9622681351577382
