age,education_years,previous_month_income,gender,rural_residence,job_training_participation,current_month_income
19,13,13,1,1,1,60.48775501422844
26,14,14,1,0,1,62.267954494151205
32,23,14,1,1,1,70.71752674290983
28,18,7,1,0,0,64.88918653026977
29,18,11,1,0,0,65.1800292154196
5,7,8,1,0,1,55.44589191481816
32,15,16,1,1,1,63.20850887054013
38,16,13,1,0,1,65.71954358740507
44,13,12,1,0,0,61.58959747376756
25,16,7,1,1,0,62.016720556003605
31,14,9,1,1,0,61.57632839442263
24,21,11,0,1,1,68.48749409125479
33,16,4,1,0,0,64.74900785880969
10,21,7,1,1,1,67.97187713343175
26,13,7,1,0,0,59.13238393082029
31,24,11,1,1,0,69.01774684455626
31,18,9,1,1,1,65.64188717245875
21,25,5,1,1,0,69.76269113890375
23,21,14,0,1,0,65.93995384359006
32,26,9,0,1,0,71.34995818009448
24,11,6,1,1,1,62.9993397176164
39,11,6,1,1,1,61.81052522372557
34,24,9,1,1,0,68.78462261208023
39,28,13,1,1,0,74.98519607688868
45,21,7,1,1,1,72.64911620798432
43,10,12,0,1,0,60.460160885771096
33,21,12,0,1,1,67.6625408600691
27,17,8,1,0,1,66.05080535043145
29,20,11,1,1,1,66.6207993628553
26,19,10,1,0,1,66.78695071567638
24,21,16,0,1,1,66.9326557739286
24,16,13,0,1,0,62.13493566492575
25,19,7,1,1,0,64.77667733843337
44,23,10,1,1,0,69.12147046145016
26,21,7,1,0,1,68.47764086970246
38,26,17,1,0,1,73.50102279465865
33,17,10,1,1,1,65.5567010307654
18,16,8,0,1,0,61.53765568870475
39,26,10,1,0,0,71.21269589580461
29,17,10,1,0,1,65.50793563962227
23,16,12,1,0,1,64.41382490186068
33,16,8,1,0,0,63.56744710077997
38,24,7,0,0,0,69.87290002775295
33,19,6,0,1,1,69.49090223049845
31,15,13,0,0,1,63.8606744812517
39,2,9,1,1,0,52.46302831245176
29,22,10,0,0,1,70.36225859481294
31,19,6,0,1,0,67.287995887027
20,19,8,1,1,0,64.85577253200461
22,14,12,0,0,1,62.421820970965385
28,26,8,0,0,1,71.17226277770511
31,20,10,1,1,1,68.10707432682452
34,20,10,1,0,1,69.64743561897392
31,26,11,1,1,0,70.28855542922459
33,22,6,1,1,0,69.01758087740859
24,19,10,1,1,1,68.36903606566551
25,20,9,1,1,0,66.5251586828558
24,22,11,1,1,1,68.58903920880626
25,24,13,1,0,0,67.59593567466482
20,20,10,0,0,1,66.82733801716499
35,22,16,0,1,0,69.02464506150606
35,20,6,1,0,0,66.5658245925461
30,21,9,1,1,1,68.90955396657935
26,15,12,1,0,1,64.13723750851277
52,11,11,1,0,1,64.29169804711655
32,19,7,1,0,0,66.42902429623761
24,23,12,0,1,0,67.97235275997086
38,23,8,0,0,1,72.82053691178793
25,23,7,1,0,0,68.65459033738028
28,14,11,1,1,0,61.42384540881381
27,19,7,1,0,0,66.8971414300396
30,32,7,1,1,1,76.41016961913246
20,15,10,1,1,0,60.68050409476928
6,17,7,1,1,0,62.01594385779091
22,8,6,1,0,0,56.890877121036375
51,21,9,1,0,0,69.80069696157351
34,31,11,1,1,1,77.71590632194746
40,17,9,0,1,0,63.85457544887245
23,28,11,1,1,0,71.45778890603758
37,20,11,1,0,1,69.48725946592265
24,20,4,0,0,1,69.14061906602495
21,25,10,0,0,1,70.23436130540107
29,27,6,0,0,0,72.68091538147792
35,11,7,0,1,0,60.72045873785324
40,27,8,1,1,0,73.9675118874317
27,37,9,0,1,1,82.57762628306753
31,30,11,0,1,1,74.58876017312285
34,7,8,1,1,0,56.75356431728719
41,18,10,1,0,1,69.49407547253766
23,20,11,1,1,1,68.30732259418868
44,23,9,0,0,0,71.45458211603359
7,10,9,0,0,1,56.173952638452526
25,15,8,0,1,1,64.92797145847952
22,28,9,1,1,0,71.79231894982603
19,17,10,0,0,0,61.722974059830015
22,13,12,0,0,1,60.7824969828883
37,26,15,1,1,0,71.64472111946611
22,28,8,0,1,1,72.10539143046638
29,24,9,1,1,0,71.3521073773162
32,17,11,1,1,1,66.41515684717183
31,17,11,1,1,1,65.99595586431259
31,17,9,1,1,1,65.5838408270552
29,25,14,0,1,0,69.56405343172075
25,13,13,1,0,0,62.2474248683984
33,17,12,0,1,0,65.21588290333271
31,15,15,1,1,1,65.15586781246162
26,13,9,1,0,1,63.90744496997221
28,18,7,1,1,0,67.5178294056925
22,27,12,1,0,0,70.40925602672851
49,29,6,0,0,0,75.54346082632006
24,11,6,1,1,0,58.730492671386855
22,24,12,1,1,1,69.57295540009997
24,19,12,0,1,0,64.56460443450392
25,18,11,1,1,1,67.2813438874946
38,28,14,0,1,0,72.98778189287556
39,15,8,1,0,0,62.44513062944453
37,26,9,0,0,0,73.17189105438551
26,23,3,1,1,0,68.4182892192562
33,16,10,1,0,0,64.31799161114914
32,22,9,1,0,0,68.5215742968835
42,15,8,0,1,0,62.62454346159019
36,22,11,0,1,1,70.53665906686527
29,20,7,0,1,0,66.0972149366175
38,14,7,0,1,1,64.21833115346712
31,24,5,1,0,0,69.52944963293392
22,15,8,1,1,0,62.082049228558965
42,17,13,1,1,0,64.35486281934945
31,5,7,1,1,0,54.51363775476087
33,17,9,0,1,1,66.04302033347726
30,17,5,0,0,0,63.52904714211838
31,14,13,1,1,0,61.390588267840094
29,16,7,1,1,0,61.88566563034303
30,20,14,0,1,0,65.57993716289832
24,17,9,0,1,1,66.13046389501537
44,20,8,0,1,0,69.77972877687974
41,11,6,1,1,0,60.750825383205246
23,20,10,0,1,1,66.28948555185556
40,18,6,0,0,0,65.37654971360773
27,18,3,0,1,0,65.55364158816118
49,12,14,0,1,0,61.83315618190081
42,15,13,1,0,1,65.41511620828234
33,17,7,1,0,0,63.594322448853134
26,14,9,1,0,0,61.35653099445384
30,23,10,1,1,1,70.09100113506399
30,14,5,1,1,1,62.76579391135325
38,24,12,0,1,1,73.91305901010598
24,26,12,1,1,0,69.96001401596526
28,24,11,1,0,1,71.92082638298864
40,20,10,1,1,0,67.5054460208234
15,26,12,0,0,0,69.26225278409996
16,28,5,1,0,1,74.24145809173781
25,18,9,0,1,0,63.02047648420046
36,30,12,0,0,1,77.75012931245062
33,15,12,0,1,1,63.86790662881461
33,26,10,0,1,0,71.358647261733
35,18,6,1,1,1,68.18945459637861
18,18,6,1,1,0,64.49227791708252
22,22,10,1,1,0,67.70163557217143
37,29,4,1,1,0,73.62773036403131
30,18,14,0,1,1,65.34609256153271
35,23,9,0,0,1,73.13588627484056
21,18,3,1,1,0,64.00536705248665
26,26,4,1,0,1,73.60343342765056
27,22,7,0,1,0,67.74603000288333
35,17,9,0,0,1,66.76045523532183
19,13,14,0,1,1,60.70912954130223
28,31,5,1,0,0,77.38475285415913
