student_id,post_intervention,tutoring_program,student_performance,average_income,school_rating,private_school,online_tutoring
0,0,0,49.19208837233623,3,8,1,1
1,0,0,50.40558704903156,4,5,0,0
2,0,1,49.63341195833811,2,9,1,0
3,0,0,50.608880123338615,3,6,1,0
4,0,1,50.25026442934223,1,4,0,0
5,0,1,49.222689669357045,3,7,0,1
6,0,1,49.08959925404076,2,8,0,1
7,0,1,48.04523395136936,3,8,0,0
8,0,0,50.67995214589143,2,8,0,1
9,0,1,48.27752882016246,4,8,1,0
10,0,1,46.42719406063975,4,5,0,1
11,0,0,49.309487190617205,1,7,0,0
12,0,1,48.77233767837491,2,9,0,1
13,0,1,47.99582476300191,3,6,1,0
14,0,1,47.58735826198217,5,6,0,1
15,0,0,50.87592153286408,1,8,0,0
16,0,1,51.40833206984398,2,9,0,0
17,0,0,48.97472235473251,3,6,0,0
18,0,1,48.49007788029957,2,7,0,0
19,0,0,47.8383734666896,3,5,1,1
20,0,1,49.33664604137067,3,4,0,1
21,0,1,52.69024575144898,3,9,0,0
22,0,0,48.55875891414633,2,5,0,0
23,0,1,49.035228303329056,2,9,1,0
24,0,1,50.600742508095486,3,8,0,0
25,0,0,50.426315150372254,2,3,1,1
26,0,1,49.83659144324764,2,6,0,1
27,0,1,51.3012520003273,1,6,1,1
28,0,0,48.88182056621886,3,7,0,0
29,0,0,49.907208079313286,2,9,1,1
30,0,0,49.84422254125749,5,5,0,1
31,0,1,51.5883876550267,2,6,0,0
32,0,1,50.62955977491373,2,7,0,0
33,0,1,48.99444123386196,3,9,0,0
34,0,1,47.1202932597364,4,7,0,0
35,0,1,48.347090584001954,2,5,0,0
36,0,0,50.463653755479335,3,7,1,1
37,0,0,49.72586673394158,2,4,1,0
38,0,0,49.84814721123983,3,4,1,0
39,0,1,52.63640964628392,1,9,1,1
40,0,0,49.03562909421699,4,8,0,1
41,0,1,49.24087918753244,2,6,1,0
42,0,0,49.8666328855365,3,7,1,0
43,0,1,47.7959675349339,2,6,1,0
44,0,1,49.86838941676554,0,3,0,0
45,0,1,52.0240185125921,2,7,0,1
46,0,0,48.101905720241206,3,3,1,1
47,0,1,51.72374456933368,3,5,0,1
48,0,0,49.81455490689276,3,7,0,1
49,0,0,48.54971327660866,2,4,0,0
50,0,1,48.10577375446172,3,6,0,0
51,0,0,49.06866872366821,2,4,0,1
52,0,0,50.40064892936954,1,7,0,0
53,0,1,49.75679064382502,2,8,1,1
54,0,1,51.04405121058793,4,7,1,0
55,0,1,49.013789451222586,3,6,0,1
56,0,1,49.01692579359565,3,5,1,1
57,0,1,50.44139876713099,2,5,1,0
58,0,1,49.01816006605552,3,6,1,0
59,0,1,48.87673979494947,2,9,1,1
60,0,1,49.76057904655784,1,10,1,0
61,0,0,50.54893669579956,2,7,1,1
62,0,1,49.77155879445375,2,5,0,0
63,0,1,47.24631962052865,2,9,0,0
64,0,0,49.73671598546673,2,5,1,0
65,0,0,48.95729127643703,4,8,0,0
66,0,1,50.12186813460568,5,9,1,0
67,0,0,50.63254340257488,2,6,1,0
68,0,1,49.76682184892063,4,7,0,1
69,0,1,48.92048561424341,2,7,0,0
70,0,1,49.859571739436674,3,5,1,0
71,0,1,48.85442317850383,3,10,1,1
72,0,0,50.31405320011756,3,4,0,0
73,0,1,51.62334349220912,3,6,1,0
74,0,0,48.2661775521159,3,6,0,0
75,0,1,48.10199122811911,3,8,1,1
76,0,0,48.659411213399785,2,4,0,0
77,0,1,48.20996870421239,2,7,0,1
78,0,1,48.42847363946666,5,7,0,1
79,0,0,48.752941783178,1,7,0,1
80,0,0,49.37749447765477,0,6,0,1
81,0,0,48.90359845497615,3,4,0,0
82,0,0,48.881724364105416,2,6,0,1
83,0,0,48.94060171034918,2,6,1,0
84,0,1,47.48191664654944,3,6,0,1
85,0,0,48.30788930087215,1,8,0,0
86,0,0,49.30974072586076,2,9,0,1
87,0,1,48.79464624009066,3,4,0,1
88,0,0,49.27256451953717,3,5,0,1
89,0,0,47.4771888870645,3,6,1,1
90,0,1,48.7227313568921,3,6,0,0
91,0,1,49.69806393783277,1,7,1,1
92,0,1,49.62797229569577,3,7,0,0
93,0,0,50.8867817033402,1,6,0,1
94,0,1,49.177881566484494,3,5,1,0
95,0,1,49.43175507578231,2,8,0,0
96,0,1,51.221947980904815,3,8,0,0
97,0,1,49.8823366080552,2,3,1,0
98,0,1,49.127681491262045,3,3,0,0
99,0,0,50.136360839402855,2,8,0,1
100,0,0,49.63584853213997,1,7,0,1
101,0,0,49.05604869290296,4,6,0,1
102,0,0,49.11566617870892,2,7,0,0
103,0,0,48.94283288051195,2,7,0,1
104,0,0,50.268387836973744,4,7,0,1
105,0,0,48.82753493673419,3,7,0,1
106,0,1,48.73182987003514,3,6,0,0
107,0,0,49.93609146175259,3,5,0,1
108,0,0,49.50465559529687,2,6,0,0
109,0,1,50.477306578733504,2,11,0,0
110,0,1,49.32541863795933,2,8,0,0
111,0,0,49.90225419874017,4,5,0,1
112,0,0,50.34474338358759,2,9,0,0
113,0,1,49.62518904166646,2,8,0,1
114,0,1,48.574891859665065,5,7,1,1
