education_years,age,previous_income,weekly_hours_worked,gender,union_membership,minority_status,local_unemployment_rate,training_intensity,annual_income
8,34,6,14,0,1,0,13,46,129.92543128320068
15,33,9,11,0,0,1,8,49,141.86044949301046
8,27,6,15,0,1,1,7,44,129.76186401759415
13,29,7,14,1,1,0,7,43,127.33695282345838
4,32,8,11,0,0,1,10,49,138.9853999971592
6,34,10,15,1,0,1,11,49,138.24601301097144
7,31,12,14,1,1,0,10,50,144.86622393516436
8,27,6,12,0,0,0,9,46,136.80220968085655
10,32,6,13,0,1,0,9,47,135.26669734837355
7,32,10,13,1,1,1,10,50,144.59660681910472
5,30,13,10,0,1,1,6,50,145.8032269143114
7,29,4,11,1,0,1,10,46,135.88550308319105
3,27,8,14,1,0,1,6,43,132.22264832725708
11,28,11,7,1,1,1,9,51,155.12301980779986
11,31,10,11,0,1,1,7,47,136.91025545284847
5,34,8,15,1,1,1,10,47,134.04534860872252
9,28,12,11,1,0,1,11,50,145.23673315361015
9,28,10,10,0,0,1,10,49,142.81556175050676
8,31,12,16,1,0,0,9,46,134.11925153602627
11,30,5,9,0,1,0,9,46,137.00708626357758
8,30,8,15,0,1,0,13,52,153.9362756495255
12,27,6,10,0,1,0,10,47,141.03989696448684
9,31,3,19,0,0,0,7,43,128.46989004070574
8,30,8,15,1,1,0,11,49,141.67308261114013
6,27,7,15,1,1,1,9,44,128.21768984599518
8,30,13,13,0,0,0,9,51,148.01742095687143
9,27,6,16,1,0,0,9,47,138.36420319415222
9,31,5,11,1,1,0,11,50,150.32799189889556
8,33,7,14,1,1,1,7,46,132.82197395160003
9,26,7,12,0,0,1,10,46,135.26682562894163
8,24,10,12,1,1,1,11,48,143.720030175942
10,29,4,14,0,0,1,10,45,129.99119332740435
9,25,4,19,1,1,1,10,39,115.58465485674232
5,31,9,12,0,0,1,9,46,135.10813780859297
6,31,2,14,1,1,1,10,43,124.57809037367
11,29,7,12,0,1,0,9,48,142.84117499320752
7,29,4,14,1,1,1,10,43,125.05545379915948
5,26,0,13,0,1,0,11,39,116.65597026516063
11,29,4,11,0,1,0,8,44,129.31821500254722
8,33,8,15,0,1,0,10,48,135.57336175659063
13,33,7,11,0,0,1,9,48,142.62837433816296
12,26,5,15,0,1,1,10,45,134.88042266972772
9,32,5,14,0,0,0,8,46,136.5755298945304
11,29,11,10,1,0,0,7,50,148.87504412002207
11,31,8,11,1,1,1,9,48,140.67689960724888
11,26,6,13,1,0,0,12,47,139.07202519281648
11,30,8,16,0,1,0,8,46,134.95755660738774
7,29,7,12,0,1,1,9,47,137.40110608192302
13,26,10,8,1,0,1,9,50,149.97568105851576
10,31,6,17,1,1,0,11,48,137.80605236103716
10,33,5,10,0,0,1,11,48,140.32502428205012
11,29,7,9,1,0,0,8,50,149.44525400857916
13,30,11,14,1,1,1,10,49,141.61317574351082
14,29,8,13,1,1,0,8,48,141.5852309030427
8,31,5,8,1,1,0,12,49,143.43958195540282
8,37,4,14,1,0,0,6,45,127.59654307191366
10,30,6,18,1,0,0,10,47,134.8987707421225
13,30,6,15,0,1,0,8,47,137.408163261399
11,31,7,14,1,1,0,11,47,141.30118106699163
8,34,9,15,1,1,0,9,47,134.45125884735037
9,27,11,12,1,0,1,11,50,147.2104772292473
11,30,10,13,0,0,1,7,47,137.13370876717525
9,29,10,11,0,0,0,9,52,154.97344625318686
8,29,5,15,1,0,0,9,44,127.66169066822748
12,30,4,14,1,1,0,11,47,138.163513778383
11,33,6,12,1,1,1,9,49,142.10070532269242
9,30,8,13,0,0,1,12,46,135.27493737003888
7,26,7,15,1,1,1,9,44,130.89285097739796
11,30,12,13,0,1,1,6,48,141.69577218316454
0,29,4,14,1,1,0,7,44,130.37030376464818
10,27,1,12,1,0,0,12,46,141.67015655723517
7,32,1,14,1,0,0,11,48,140.77454580076025
10,27,11,12,1,0,1,9,48,144.27015596978137
10,28,7,11,0,1,1,10,48,140.8123115105653
9,30,9,11,0,1,1,8,49,146.61997213797508
10,28,10,14,1,1,1,7,45,132.95550750453327
12,31,9,13,1,1,1,6,48,141.21266336606556
7,30,8,11,0,1,1,7,47,137.5981810778543
8,30,4,9,0,0,1,8,46,139.95202431662153
6,27,7,13,1,1,1,12,46,135.81759149585105
13,29,5,17,1,1,1,10,44,129.00024211769974
11,28,7,14,1,1,1,9,46,135.51525913749177
14,31,6,15,1,1,1,10,46,135.49522826137442
13,28,9,14,0,1,1,11,47,136.74555941797132
9,31,3,12,1,1,1,10,48,142.34470565659942
10,29,12,17,0,1,0,7,46,133.59878687858114
9,26,4,11,1,1,0,11,46,138.54602865062338
9,26,8,15,0,1,0,8,46,136.61651164416637
8,28,5,14,1,1,1,10,47,139.44104081292292
8,33,11,11,0,0,0,10,51,147.08222081002663
7,29,11,17,1,0,0,11,47,134.8675122879051
6,30,11,16,0,1,1,7,45,128.77690403917543
11,28,6,16,1,1,1,7,44,129.3945234447689
13,29,8,17,0,1,0,11,46,131.75024486265335
14,31,7,13,1,0,0,6,46,133.8088717715283
8,33,5,15,0,1,1,8,46,133.7525562189831
12,28,4,12,1,0,0,13,47,139.52237724034512
11,31,14,14,0,0,1,7,50,145.99170543051122
5,33,8,18,1,0,0,10,42,117.73518441733069
6,28,11,12,1,1,1,12,47,136.379875665823
10,28,8,9,0,0,1,7,46,138.87411821367243
10,29,8,11,1,1,1,12,49,145.9586149937441
7,36,6,16,0,0,0,9,46,131.5229811674507
9,31,9,11,1,0,0,8,51,152.59029894558824
13,29,-1,16,0,0,0,7,42,125.48565481194636
11,27,7,17,0,1,1,12,47,136.17560177248214
9,28,5,12,0,0,0,9,45,133.64135151459507
12,31,4,13,0,0,0,10,47,140.3772433917203
11,32,0,11,1,0,1,9,42,122.97284642111768
7,29,4,15,1,0,0,10,45,133.40513145206194
14,31,4,10,1,1,0,10,49,147.6740051933925
13,31,10,12,0,0,1,8,49,145.03599941601956
