student_socioeconomic_status,school_quality_index,parent_education_level,average_classroom_size,gender,ethnic_minority_status,proximity_to_tutoring_center,participation_in_tutoring_program,student_academic_achievement_score
8,34,8,11,0,0,11,55,148.04480326874327
9,29,8,13,0,0,10,55,145.03274686720852
10,32,6,17,0,0,10,58,145.75431797369774
9,31,8,12,0,1,11,54,143.0991451913872
12,31,2,11,0,0,13,59,148.717794222114
10,32,7,18,0,1,11,61,149.97416504946318
9,29,4,10,0,0,10,51,136.28860978671645
11,26,11,13,1,1,12,53,142.95016903129212
11,31,11,14,0,1,10,56,149.70890754177464
10,28,15,11,0,1,12,47,134.00146642529637
8,31,11,15,0,0,9,50,134.58707969225753
8,29,0,10,1,0,9,56,144.624578044568
12,33,6,12,1,1,9,58,154.72923681669164
7,32,5,8,1,0,8,54,145.6648990068153
9,30,9,13,0,1,9,53,142.97847951055007
13,29,7,10,1,0,8,53,147.4785153037901
11,30,7,11,1,0,11,54,147.22525616058533
9,29,10,8,0,1,6,46,132.58461292174405
13,26,6,10,0,0,10,53,142.7753111239541
8,30,12,16,1,1,14,57,151.99098687542954
9,31,13,10,0,1,10,52,147.6066807374702
12,28,0,12,0,1,9,58,149.60368238201525
17,30,1,14,1,0,11,62,160.91204707117456
4,28,10,13,0,0,7,46,126.00993812906488
11,31,16,14,1,1,8,51,146.24016847064934
11,32,8,13,0,0,10,57,150.0096049220029
12,34,5,17,0,0,6,59,148.70343278951452
3,30,11,13,0,1,8,49,133.47082512469143
8,30,6,17,0,0,10,59,145.81180174061086
7,29,7,11,1,1,12,55,147.24531533376222
10,27,7,15,0,1,10,57,149.87140101668672
6,28,14,13,0,0,9,49,135.51239882328554
10,34,11,12,1,1,8,54,149.06740522982193
7,28,14,16,0,0,7,50,134.5315598163116
11,28,8,14,0,0,10,56,144.76990210462444
10,30,12,12,1,1,10,51,141.6930504301688
6,33,2,12,0,0,9,57,145.88346871611702
9,27,5,11,1,0,7,55,148.96896928267796
11,29,5,13,0,1,11,58,150.49307322643045
8,28,6,16,1,1,12,56,139.2274119143337
13,30,7,13,0,1,10,59,156.1139756300152
10,26,6,13,0,0,11,56,146.93161276006205
6,31,7,13,1,1,12,55,145.53751581813606
11,33,7,12,1,0,10,54,146.61974001571895
8,30,10,16,1,0,12,56,147.62567020824724
9,31,15,9,1,0,8,45,133.6950488754382
7,31,8,15,0,1,11,59,150.04707695932694
8,32,3,14,0,0,12,59,148.07458136561263
6,28,2,15,1,0,11,58,144.6584149113647
10,25,2,18,1,0,8,62,150.82335855124742
7,27,9,12,1,1,13,54,145.49008269587364
5,29,7,11,1,1,11,52,138.8711648644262
9,27,11,15,0,0,11,50,135.2176663460359
12,31,1,14,0,0,9,59,149.93921257883628
15,28,5,17,1,1,12,62,156.9778514876036
8,28,4,12,1,0,14,57,146.2455457597305
13,30,10,13,0,1,14,58,155.60072139212926
8,32,12,14,1,0,6,50,138.98298043275872
8,28,5,15,1,0,10,56,146.12009579662805
10,29,11,12,0,1,10,52,145.2529303252485
3,28,5,12,1,0,9,50,129.10193661799912
11,29,9,10,0,1,8,52,146.22902583614163
9,31,6,14,1,0,12,57,146.62715692003383
13,32,11,15,1,1,12,56,149.57130495188426
8,27,6,11,1,0,10,49,131.6257382157432
0,32,7,16,1,0,8,53,134.79981382187768
3,35,10,7,1,1,13,47,133.5824983843856
6,30,0,15,1,0,11,58,145.6489177411159
11,29,10,15,1,0,13,53,139.66367842878304
8,31,9,9,1,1,11,50,139.33974315707007
11,30,4,12,0,0,12,60,156.4437714685738
9,30,14,8,1,0,9,43,130.74592137223425
3,37,11,13,0,0,13,53,139.734586569148
11,30,9,11,0,1,12,54,147.7789839225167
5,33,9,15,0,0,10,53,139.985612510043
12,26,3,10,0,1,11,58,152.69116459767005
11,27,7,11,0,0,13,54,144.08414087133332
9,29,7,10,0,0,8,51,139.84232632102524
10,30,4,15,0,1,9,61,154.20410905472554
7,31,13,12,1,0,12,51,139.88021467520974
7,32,12,14,1,1,9,49,135.43309425942806
9,28,8,10,0,0,11,53,142.91059093803597
