recipient_age,previous_month_income,household_size,unemployment_duration,education_years,rural_residence,previous_beneficiary_status,ubi_receipt,current_month_income
29,7,8,26,6,0,0,1,94.24165324948451
24,21,11,16,6,1,0,0,81.6430099351035
37,21,7,12,2,0,1,0,86.87476870066872
34,15,10,16,3,0,0,1,96.542589182362
37,17,12,10,2,0,0,0,86.17111702382536
27,19,6,16,6,0,0,1,90.3328282694182
36,21,11,18,6,0,0,1,99.34836610150928
22,34,6,19,7,0,0,1,92.22676335338431
24,25,10,17,3,1,1,1,93.14699958192696
30,16,6,21,3,0,0,1,95.43187821835436
46,32,9,12,5,1,0,0,94.2016671922351
22,20,13,10,2,0,1,1,88.55856443108392
35,13,8,3,0,1,0,0,75.53513289411218
30,14,7,6,6,0,0,0,75.7830195180345
35,19,5,18,1,0,0,0,87.16430614366432
39,19,10,5,0,0,0,1,92.46628596144248
31,16,5,9,3,0,0,1,87.87931786057217
42,24,9,11,5,1,0,1,99.12127493245418
18,18,12,14,1,0,0,1,87.20308957666866
28,24,5,11,1,1,0,1,88.43469301164929
39,20,5,11,5,0,0,0,85.22079201326201
34,15,15,18,4,0,1,1,99.18879079132252
31,22,12,8,4,0,0,1,92.2088948412192
43,15,9,10,2,1,0,1,97.67423513492736
13,13,10,12,4,0,0,1,79.58775626434823
15,26,9,14,5,0,0,0,75.12458245021313
36,30,6,23,3,0,0,1,103.7368563909865
27,33,15,20,5,0,1,1,101.83132282961849
24,17,8,23,2,0,0,0,83.83646783520467
25,21,11,15,1,0,0,0,82.0224063569056
50,18,8,6,3,0,0,1,97.97624484222943
40,26,12,20,4,0,1,1,105.69944093323966
24,22,9,12,3,0,0,1,88.20619506231499
40,14,7,16,6,1,0,0,86.788148092146
30,26,12,11,3,0,0,0,83.13232753488893
29,22,6,18,4,1,1,0,83.85469193920473
40,32,10,13,4,0,0,0,92.42530306961774
43,24,14,12,2,1,0,0,94.31177948852834
39,35,12,18,3,0,0,0,98.05809109115
35,12,8,18,5,0,1,1,95.4319256920993
39,28,9,9,3,1,0,1,94.98639866605812
37,15,15,15,5,1,0,1,97.9177225239696
30,20,9,5,6,0,0,0,78.220963958466
48,13,7,12,6,0,0,1,101.56157202043194
30,15,12,15,2,0,1,0,82.61079009082648
26,24,12,13,2,0,0,0,81.8750462397211
25,23,10,20,2,0,0,1,93.8524420157904
31,11,17,19,2,0,1,1,98.06564569554308
35,23,6,14,5,1,1,1,93.35401892064868
36,13,7,10,2,0,0,1,91.4086653938696
29,12,9,16,0,0,0,1,93.38697153119224
24,8,10,10,5,0,0,1,82.4472474750802
49,18,8,17,2,1,1,1,105.64710824626994
37,34,2,20,4,0,0,0,93.48279146579272
30,25,10,20,6,0,1,0,89.41267405981138
39,20,12,8,0,0,0,0,86.61925873557452
36,9,6,3,3,0,0,1,85.48353103123335
38,18,8,12,3,0,1,0,84.36185416191762
31,19,7,21,3,0,0,0,85.60113899140941
44,19,12,8,4,1,0,0,91.08516058122191
30,16,6,16,3,0,1,0,81.42471351652344
42,9,7,17,3,0,0,0,89.60701666280079
32,31,5,18,0,0,0,0,86.78901135446404
18,27,6,12,1,0,1,0,74.47011663442419
26,19,10,11,2,1,0,1,88.00039454132757
38,21,7,14,5,1,0,0,85.27061171758514
42,9,6,15,4,0,1,1,95.29820926826406
19,28,11,11,4,1,0,0,76.42756579838264
31,12,1,14,6,1,0,0,77.3155938196539
22,21,5,18,1,0,0,0,78.2721990989049
38,14,9,21,3,0,0,1,101.12261507923122
33,15,7,6,5,1,0,1,86.30238198677851
30,21,9,15,3,0,0,0,84.81282212977165
36,21,12,7,2,0,0,1,94.42822793600388
34,27,11,12,3,1,1,1,96.83536402566172
40,19,12,17,3,0,1,1,101.61332650457015
39,19,14,6,4,0,0,0,85.25391696125695
23,21,12,8,5,0,0,1,85.43349382689985
37,26,11,5,3,0,0,1,92.64616318805004
25,15,11,14,6,0,0,0,80.01832875368545
29,27,13,9,0,0,0,0,87.12207748068103
25,23,12,12,2,0,0,0,80.24842754283691
35,17,7,22,3,1,0,1,96.15417887042884
35,21,10,13,6,1,0,1,95.11240320402024
16,14,12,7,4,0,0,1,81.34555351946393
25,22,11,7,3,0,0,0,78.60933213771936
32,19,13,5,4,0,0,1,89.0104446703957
29,13,13,8,3,0,0,1,89.18624664117073
33,19,7,15,3,0,0,1,92.95627973973043
29,15,5,22,6,1,1,1,93.97432147423925
22,11,16,10,1,0,0,1,86.6065042260908
23,19,8,7,4,0,1,0,72.99366290043953
25,27,3,8,4,0,1,0,75.03107192590312
30,22,11,9,4,0,1,0,82.00380580164949
26,26,14,18,8,1,0,1,94.98033911380084
25,21,8,10,5,0,0,0,75.92626497569483
16,12,8,15,4,0,0,1,82.0766506330908
40,9,10,21,0,1,0,1,101.36893606719616
38,24,8,10,1,1,1,1,94.37115355167666
42,16,10,12,5,0,1,1,98.25877587851726
40,25,8,10,1,1,0,0,87.83935737654522
36,15,9,12,4,0,0,1,94.03041536487586
41,11,11,10,6,0,1,0,88.69728030636647
37,18,9,8,4,0,0,1,92.78592304485537
30,25,8,24,4,0,1,1,100.40982612791134
46,18,7,13,5,0,0,0,91.30442157083364
34,18,9,15,5,0,0,1,95.4228624807876
27,17,12,17,5,1,0,1,90.94558314734157
35,11,11,13,3,0,0,0,84.52914854680759
45,14,10,14,2,0,0,1,103.3987260777864
22,26,12,20,4,1,0,1,94.1853968918087
21,14,11,15,2,0,0,0,75.77483921268332
27,18,8,15,2,0,0,0,80.45726915960773
28,21,14,12,4,0,0,0,84.53860595640059
28,29,11,8,6,0,0,1,92.22252583193443
33,13,7,15,0,1,0,0,82.02680030283281
37,26,13,18,7,0,0,1,102.68947466408422
33,19,8,21,4,0,0,1,97.60396690911644
28,26,6,8,5,1,0,0,77.37441227305708
27,17,10,18,8,0,0,1,94.19277359935884
34,26,8,15,3,0,0,0,87.01626919345406
24,21,12,20,6,0,0,1,94.49572296555124
26,11,10,12,6,0,0,1,87.05524738736358
16,15,5,13,5,0,1,0,70.29608143500842
12,23,10,8,4,1,1,0,69.62165726808614
11,21,5,6,3,1,0,0,63.541853361104096
38,28,12,11,1,0,0,0,90.01675205404648
41,14,9,10,3,0,0,1,97.23453972549332
28,26,14,19,4,1,0,0,87.91101550786082
25,14,8,16,4,0,0,0,76.70608693282169
34,26,12,22,3,0,1,0,92.40133633607682
23,28,14,15,4,1,0,1,92.5262471466364
37,16,14,15,6,0,1,0,91.1394977758902
31,15,8,11,2,1,0,0,79.82520820567589
18,33,9,20,5,0,1,0,81.53705967587611
34,25,12,5,5,1,1,0,84.4031179285108
26,18,13,16,6,0,0,1,91.6800380059299
32,21,10,15,4,1,1,0,83.53962725590186
23,23,7,23,9,0,1,0,83.71080958258607
45,27,9,14,2,0,1,1,104.734325272302
24,26,16,14,7,0,0,1,93.5936147473553
25,29,8,13,5,0,1,0,80.78922948122404
23,19,6,16,6,1,0,1,87.24524481649571
28,19,15,6,4,0,1,1,88.29511009776864
26,13,8,12,6,1,1,0,76.43184588417195
16,17,10,10,3,0,0,1,80.28991645880535
31,34,11,22,0,1,0,0,94.21819506599527
34,15,12,18,2,0,1,1,96.67175011776575
33,25,5,21,0,1,0,1,96.23583316141662
47,15,13,11,5,1,1,0,91.48199796015092
33,14,17,21,3,1,0,1,99.45345413828228
