defendant_age,prior_convictions,gender,minority_status,offense_severity_score,legal_representation,sentence_length
8,9,0,1,16.51664770059191,1,17.71459622356381
9,6,0,1,15.936509632376046,0,9.006435142628812
8,4,0,0,15.701716394457364,0,8.46751933846918
8,6,0,0,17.187008369082648,1,19.31199403080748
6,3,1,1,15.060135420336238,0,7.898388807342249
9,4,0,0,19.20440844364078,1,21.614955017878
16,5,1,1,16.90010962957489,1,17.762741117874363
7,5,1,0,16.132456572418718,1,18.09992501429244
10,7,1,1,17.524417887833952,1,17.97931721710675
4,5,1,1,16.24546672579753,1,18.78362573618364
5,7,1,0,13.243829487042651,0,3.2361996430396056
6,5,0,0,17.20835205857429,1,19.46369900002841
9,5,1,1,15.985751862493338,0,9.077154045737196
4,7,1,1,15.607559370425946,0,7.82313753963209
4,5,0,1,17.036000304567104,1,19.31598052668193
9,7,1,1,15.35749657549997,0,7.579574735388204
7,9,0,0,13.55219201408886,0,4.512740746275827
5,5,0,0,13.715807648285118,0,4.990628244612208
12,6,0,0,17.23845006842613,1,18.638644280261357
4,6,0,0,12.272370136136075,0,3.35109440655723
10,6,0,0,15.698934959802914,0,7.451599812275154
14,4,1,1,16.536376769339057,1,18.45421416854995
5,7,0,0,11.353199149564514,0,1.3629937999438957
11,3,0,0,13.94899150971515,0,6.1626987840424885
13,7,0,1,15.348423220867383,0,7.167417442285112
10,6,0,0,14.585838914370376,0,5.864947184376315
11,6,0,0,18.982574847602216,1,20.62027726121077
5,3,1,0,16.74865538293543,1,18.803435125173937
0,4,1,1,16.005994800279485,1,17.74987274078754
6,6,1,1,18.88416426361896,1,21.258765704635422
10,7,1,0,15.172507258226467,0,5.862395299719094
8,4,1,1,14.466395347658692,0,5.892089492443796
0,7,0,0,16.778286979248882,1,18.51049930413592
11,7,1,1,17.34932107673741,1,18.50324848805291
1,6,0,0,13.468819750691493,0,6.400721626591874
8,5,0,0,18.44636938709194,1,20.15221786932619
6,4,0,0,11.68976655893827,0,1.4098459766175422
8,3,1,1,15.21731866367269,0,8.249427776967764
9,6,0,0,13.544432493078354,0,4.731344780210684
6,6,1,1,15.869208541399384,0,7.449738719542113
10,7,0,1,13.461519999662418,0,3.985100952225135
5,5,0,0,17.50538665255108,1,18.751663880098217
4,5,1,0,14.435591989669998,0,7.158680638612464
7,8,0,0,16.381770246715227,1,18.701718826640683
4,5,0,1,11.679563646380693,0,1.504445570917092
11,7,0,1,17.971096139362917,1,18.55190108932901
11,6,0,1,16.683425452645828,1,18.242351006171678
8,5,1,0,16.945533875436368,1,18.145874010390973
6,5,0,0,13.580945819130308,0,4.855506818178798
10,5,0,0,14.83751493802329,0,7.02587876592868
15,5,0,0,10.731029691507151,0,0.3341880796018034
10,6,1,0,15.3616348894367,0,7.597427981677102
9,6,0,0,13.451173210368408,0,5.080178635898719
6,2,0,0,16.99536192069939,1,19.49267571725977
9,6,0,0,12.148690624308353,0,2.9531404562680788
9,5,0,0,16.614371601634573,1,19.45359249560608
11,5,0,0,16.26776523320161,1,17.30507514379946
3,7,0,0,10.320800833108644,0,0.4661581038991546
14,8,0,0,13.98121469891203,0,5.100030384944929
9,6,1,0,18.363360252267803,1,20.014735820520755
14,5,0,0,17.234402257540907,1,19.46362825872814
7,6,0,0,15.62854154049546,0,7.146373886655832
9,5,0,0,15.16692820822572,0,7.823836023047336
3,5,1,0,15.058190444583255,0,7.0862111246684565
9,6,1,1,18.573614201280844,1,18.97345148787359
10,8,1,1,16.871054422939146,1,17.23847540216576
12,5,0,1,15.569806249647325,0,7.8586263167410895
4,5,0,1,16.260772879865655,1,18.64409055201746
6,3,1,0,15.802022767669206,0,7.711891449015035
9,5,1,0,15.098425552649829,0,7.139606487015274
10,4,0,0,15.85749188778954,0,8.513795562269118
4,8,0,0,13.40024428135418,0,3.1458518102957465
7,7,0,0,19.13913003768079,1,20.316790023630105
10,6,0,1,16.10053449436607,1,17.04013357216851
8,6,0,0,16.829785333777448,1,18.494312260878328
5,6,0,0,14.744945154213363,0,7.400982414005615
6,3,0,1,14.373664954616975,0,6.6500301836561695
