cognitive_score,stress_level,prior_therapy,full_time_employed,encouraged_to_participate,attended_resilience_program,wellbeing_score
3,2,1,0,0,0,46.85841079690511
0,2,1,0,1,1,56.477313391409176
0,2,1,0,1,1,56.42642110767618
1,2,1,1,1,1,53.23264214656815
3,2,1,0,1,1,57.04713820477208
0,3,0,1,0,1,55.421173910163446
8,3,1,0,1,0,46.097984701535175
0,2,0,0,1,1,56.01625738883892
3,2,1,1,1,1,54.34132608478266
3,2,1,0,1,1,54.782304415598006
3,2,1,1,1,1,53.69288376158628
1,3,0,1,0,1,55.17577610658323
0,2,1,0,0,1,55.74038766943827
3,2,1,0,1,1,54.966676071569566
0,2,0,1,0,1,53.00060838834346
3,2,1,0,0,0,47.549615405714
5,2,0,0,1,0,47.58044904134231
4,3,0,1,0,0,48.60940727595453
0,3,0,1,1,1,56.66011256761044
1,3,1,0,1,1,55.25820951336791
2,4,1,0,1,1,54.41370113623067
5,3,1,0,1,1,53.78781541187114
3,3,0,0,1,1,54.48216717850477
6,2,0,0,0,0,47.56409827173251
4,3,0,1,1,0,47.383295475004026
0,2,1,1,1,1,55.01699685760109
4,2,1,0,1,1,55.30416711920943
7,3,0,1,1,0,47.125424144144205
6,2,1,0,1,0,47.13067705896301
5,3,1,0,0,0,46.47105171088191
1,3,0,0,0,1,56.66207346213487
6,3,1,1,0,0,45.457877833898266
3,3,1,1,1,1,54.001798720958455
7,3,1,0,0,0,46.36085734931894
3,2,0,0,1,1,56.555051994785536
2,3,1,1,0,1,56.4629550570415
4,3,1,0,1,1,56.6247320252957
4,1,1,1,1,1,55.70618634880703
1,3,1,0,1,1,55.18147104558506
7,3,0,0,1,0,48.53159915269732
4,2,1,0,0,0,47.45718980656211
5,2,1,0,1,0,46.36960846597319
4,1,0,1,1,1,56.885391668047774
5,3,1,1,1,0,45.41604881914668
3,3,1,0,1,1,56.14841640359485
1,3,1,0,1,1,53.615371533101225
4,1,1,0,0,0,47.07376810759748
2,3,0,1,1,0,46.31727536382944
3,3,0,1,1,1,54.29436732287044
5,2,1,1,1,0,46.21885194305738
4,2,0,0,1,0,47.563570877659856
2,2,1,0,1,1,56.56116410551096
1,3,1,0,0,1,56.64210133499009
6,1,1,1,0,0,48.07293716085528
2,2,0,1,0,1,55.02262506151547
3,2,0,0,1,1,57.47423453743908
7,2,1,1,0,0,45.41667559926561
6,3,1,0,1,0,46.158229712417125
2,2,1,1,1,1,54.56206377475129
5,4,1,0,0,0,47.71202036881008
7,2,1,1,1,0,45.088692563511145
5,2,1,0,1,1,55.58127043934302
3,2,0,1,1,0,46.53110345705422
4,2,0,1,1,0,46.20845690577586
6,2,0,1,1,0,47.54136912288851
4,2,0,0,1,1,55.20014136727176
3,3,0,0,1,1,54.67719347302377
4,2,1,0,1,1,55.886927685811465
2,3,0,1,1,1,54.98359064063239
1,3,1,0,0,1,53.89363494895956
2,2,1,0,0,1,57.75389098379164
7,2,1,1,1,0,48.26261095600026
0,3,1,0,1,1,55.184861779146814
3,3,1,0,1,1,55.303329892632526
1,1,1,0,1,1,55.96164333666706
4,2,0,0,0,1,54.251299043474575
3,2,0,1,1,1,55.16646659350155
3,3,0,1,0,1,53.76139072539426
3,3,1,0,1,1,54.02472461178287
1,3,1,1,1,1,56.56613653470811
4,3,1,0,1,1,54.52045658635874
6,3,1,1,1,0,46.39455265825755
4,3,1,1,0,0,45.72513831366284
1,2,0,1,0,0,47.34408443537707
5,3,1,0,1,0,45.68823426887249
3,2,1,1,1,1,54.84952007526523
4,3,1,0,0,0,45.76403386554087
6,2,0,0,1,0,46.70740605164021
4,2,0,0,1,0,49.67382863206288
1,2,0,0,1,1,55.632377643196186
1,2,0,0,1,1,55.08445821033026
4,3,0,1,1,1,53.79608299665121
4,3,1,1,1,1,55.21319000636149
4,2,0,0,1,1,54.88537310803422
5,3,0,1,1,0,47.30416761930218
1,3,1,1,1,1,53.85411342339838
6,3,0,0,0,0,46.30897965194088
4,2,0,0,1,0,48.038225446636055
7,2,0,0,1,0,47.57202007174637
1,2,1,1,1,1,54.39547020889161
4,2,0,0,1,1,55.895607836427
2,3,0,1,1,1,55.4324579157437
6,2,0,0,1,0,48.04169488356332
3,1,0,0,0,1,56.03326938196005
4,2,0,1,1,0,46.75307772161996
3,2,1,0,1,1,55.32072682935991
5,3,0,1,1,0,46.41244002594208
0,3,0,0,0,1,55.398153496461816
5,2,1,0,1,0,46.77466923284194
5,2,1,0,1,1,54.138143349391775
1,3,1,1,1,1,54.20598901593588
2,2,1,0,0,1,56.59482338395061
1,3,0,0,1,1,55.97889168373421
4,4,0,0,1,0,48.11600472159631
3,3,1,0,1,0,45.17608555609219
5,1,1,0,1,0,47.1958654036418
5,3,1,0,1,0,45.567496196225896
5,2,0,1,1,0,45.97572752541824
4,3,1,0,0,0,45.96321038548421
7,3,0,1,0,0,47.09779026317188
5,2,0,0,1,1,56.77126308538033
7,3,1,0,1,0,45.36142277244348
1,2,0,0,0,1,55.8558098000326
5,3,0,0,1,0,46.4352339895665
2,3,1,1,1,1,54.23958782090014
4,2,0,1,0,0,47.29426615999173
5,3,0,0,1,0,45.450803423253234
2,3,0,0,1,1,55.28339290900229
5,3,1,0,0,0,47.74103907285632
0,2,1,0,1,1,55.76637979677412
4,2,1,1,1,1,52.96375877231148
5,2,0,0,1,0,46.50523343194907
3,2,1,1,1,1,53.83832412123404
4,2,0,0,0,0,47.42483402906652
4,3,0,0,0,0,48.114840438990704
4,1,0,1,1,0,46.199566904240434
4,2,1,0,0,1,56.15456951451591
6,3,1,1,1,1,53.5323766673382
3,3,1,1,1,0,46.48111132503561
8,3,0,1,1,0,45.57524867206573
6,2,0,0,1,0,48.15958908048799
3,3,1,0,0,0,45.90389087226244
1,3,1,1,0,1,55.38571903687637
10,2,0,1,1,0,45.52311131949232
4,3,1,1,0,0,44.93886433537718
0,3,0,1,0,1,55.717168664533645
-1,3,1,0,1,1,55.19666594546889
4,2,1,0,1,1,54.53823829441136
2,3,0,0,1,1,56.34410672977415
4,4,0,0,1,1,56.00615688012951
2,3,0,1,0,1,54.52564248445294
3,2,0,1,1,1,55.75680002934225
4,2,0,0,1,0,48.78270318355519
4,2,1,0,1,1,56.68419225585425
7,3,0,1,0,0,46.384863011808335
3,2,0,1,1,1,55.900195801668175
3,2,0,1,1,1,53.99445678536921
2,2,0,0,0,1,57.33289101517624
2,2,1,0,1,1,57.82937958477822
2,3,1,0,1,1,57.12257567407472
2,3,0,1,1,1,55.57519274380678
4,3,0,1,1,0,46.383264599078615
0,1,1,1,0,1,58.022550562902005
0,2,0,1,1,1,55.27581982428614
8,3,0,1,1,0,45.04702917288218
0,2,1,1,0,1,54.743463411175206
5,3,0,1,1,0,48.17723475230007
4,3,1,1,1,1,54.44096445312495
1,2,0,1,0,1,53.706854581516446
4,2,0,1,1,1,55.41750695339833
4,2,0,1,0,0,46.77443532252864
8,2,0,1,1,0,46.84122722619916
3,3,1,0,0,1,54.81157557376088
-1,2,1,0,1,1,56.84090058186808
3,2,0,1,0,0,46.68352057538144
6,2,1,1,1,0,48.11097155512002
0,2,0,1,1,1,55.17020215388308
9,1,1,0,0,0,46.32667916536457
2,3,1,1,1,1,54.4948785470564
4,2,0,0,1,0,47.04342459781309
2,3,0,0,1,1,53.86831559978194
7,3,1,0,1,0,48.17959244508984
1,2,0,1,1,1,55.09997167594969
4,3,1,0,1,1,54.04863846685376
6,3,1,1,0,0,46.0847014309196
2,2,0,0,1,1,58.310883270931086
2,2,1,1,1,1,55.02840920705874
2,2,0,0,1,1,58.24963483497408
5,2,0,0,1,1,57.35843590370253
2,3,0,0,1,1,55.79161703991657
2,2,0,0,1,1,55.69597736329492
8,3,0,1,1,0,46.08419188783239
4,3,0,0,1,1,55.50118806998044
0,2,0,0,0,1,53.86386878999275
3,2,0,1,1,0,46.28934014275219
6,3,0,0,1,0,47.0536614043885
1,3,0,1,0,1,53.29807513976304
2,2,0,1,1,0,45.99053687194024
5,3,1,0,0,0,45.19760360674083
4,2,1,1,1,0,47.56461806406679
4,2,0,0,1,0,47.30959531030953
2,3,1,0,1,1,57.05110656219987
5,2,1,0,1,1,55.38570599634012
5,2,1,0,1,0,47.96838547695301
8,1,1,0,1,0,48.13175257912729
5,3,1,1,1,0,46.642049372088174
5,3,0,0,1,0,47.93481229129577
7,2,0,0,1,0,48.89437254635181
3,3,0,0,0,1,55.82801343894238
3,2,1,1,1,0,47.657036206823165
4,2,1,0,0,0,46.78301445147393
4,3,1,1,1,0,45.60568802928956
3,3,0,0,1,0,48.73386507999699
3,3,0,0,1,1,55.88494259993234
2,3,0,1,0,1,53.26401460174032
5,2,0,1,0,0,46.622720772765945
4,4,0,1,1,0,44.73520168690859
6,2,1,1,1,0,46.505280124864136
5,2,1,1,1,0,46.29613320628514
0,3,1,1,0,1,53.458894133872846
1,3,0,0,0,1,55.389842768111386
0,3,0,1,1,1,55.23135810271003
6,2,0,1,0,0,46.67791509433129
4,2,0,1,1,0,49.01318545252696
4,3,1,0,0,0,46.41296395632634
1,2,0,0,1,1,54.22317422840647
3,2,1,0,1,1,55.53667073398434
3,3,1,0,1,1,53.93804162846292
5,3,0,1,1,0,46.90686971750628
3,2,0,1,1,0,48.75678599396736
0,2,1,1,1,1,53.67487662431965
7,2,1,0,1,0,47.22404903626945
