defendant_age,prior_convictions,defendant_gender,minority_status,offense_severity_score,public_defender_assigned,sentence_length
8,7,1,1,25.987768023086907,1,20.047271742342478
8,3,1,0,23.37828293132211,0,7.3449201946512765
0,4,0,1,23.868711503974914,0,10.974717217062178
6,5,0,0,26.239945036353348,1,19.80999419350615
5,4,0,1,25.77277021176727,1,20.23753458010863
7,4,1,0,25.908733298861687,1,19.78578501551369
12,6,0,1,24.15525343658031,1,18.636854669990395
6,6,1,0,22.52112899491775,0,7.525231687044498
8,9,1,0,20.861471703616072,0,4.384549835585925
7,4,1,1,22.78018178797823,0,8.639914754343492
7,7,1,1,26.23762642139081,1,19.40924081719468
11,7,1,0,22.949881729241525,0,7.816156914054432
6,6,1,1,24.159014595460164,1,18.4983520586632
9,6,0,1,26.53428761272337,1,20.04834864356192
3,6,0,1,22.8886038069422,0,8.12579914907819
7,4,1,0,25.99904872183433,1,19.55418096617069
5,6,1,1,24.04524972633781,1,17.79690778811923
7,7,1,0,24.205806230630028,1,19.083497614320823
5,8,0,1,22.08121254191832,0,7.201447876026711
7,5,0,0,22.70522781453216,0,8.377904062544854
13,8,1,0,26.777553537482905,1,20.44335093401164
7,5,1,1,25.898442379121175,1,19.84374034983588
13,2,1,1,22.481722145428236,0,7.347627956847539
4,6,1,0,23.49482051424672,0,9.419708917636449
1,7,1,1,23.546652770829716,0,8.688744345198081
7,4,0,1,25.997511277939903,1,19.648733097271805
9,4,1,1,22.16912442982068,0,7.004868252574352
6,5,0,0,26.475730917109992,1,20.44060158411522
7,8,0,1,24.166743259974517,1,18.532877809638563
10,8,1,0,24.01632311128301,1,18.0546466022834
4,8,0,0,26.7993104935634,1,21.704567197510315
7,8,1,1,22.30198912739185,0,8.077491741008917
8,4,1,1,23.921330958313444,0,9.2452615635282
7,6,0,1,22.97917142284121,0,8.494724091675097
7,7,0,1,21.33104513303352,0,6.294512286403038
7,6,0,0,20.484349555297552,0,4.648531385725977
7,8,1,1,24.8344873536568,1,18.785694746875443
6,8,1,0,25.54380223151612,1,19.132278258527062
10,8,1,1,22.927508021838403,0,8.92772145665119
8,5,0,1,24.86710927964188,1,19.366390629064696
6,5,1,1,26.74442343031568,1,20.56810260896773
10,6,0,1,26.173530659035496,1,19.591630498468795
11,4,1,1,24.21450869719108,1,19.030989124801856
6,5,1,1,22.36543481322353,0,7.164428366921191
8,6,0,1,24.78282584048656,1,18.079572893149045
7,7,0,0,26.855618260606928,1,21.0336687870255
9,6,0,0,22.0562856739292,0,7.090810994019014
3,5,1,0,25.24117168745073,1,18.87177355295127
8,5,0,1,22.59928215829102,0,7.281626807406081
9,7,1,1,22.68938541072532,0,7.731015975211817
9,7,0,0,24.81131902682502,1,19.351749148521435
8,7,1,0,23.69799208587437,0,9.066660828514268
7,6,1,1,26.723115725772296,1,20.42660095490105
5,6,1,1,26.03933638602613,1,21.074364819923733
2,3,0,1,24.63291787566174,1,19.575804265211357
5,4,1,1,24.854454749019997,1,19.76580022800372
9,7,0,1,20.32647018255479,0,4.160866753593636
7,5,1,0,25.879595854299907,1,19.97117986187519
16,7,1,0,24.454722169807056,1,18.60218815065753
7,4,1,1,27.29210765183249,1,20.16816158812798
6,6,0,1,19.28001051344505,0,3.979719875031396
12,5,1,1,21.737263009511658,0,6.079506799747652
7,7,1,0,24.93925605288201,1,19.485157447036176
6,4,1,0,23.82241288633329,0,9.448361632195846
9,8,0,1,24.24249145263763,1,18.227722333847
11,5,1,1,23.752882045898147,0,8.495355539436737
9,5,1,0,25.92613515383062,1,19.19224891865264
9,4,0,1,25.840476163274623,1,19.63783087989129
5,8,0,0,22.81086593084939,0,7.866916113519546
7,6,0,0,23.81442629109985,0,9.242190663072456
4,5,1,1,26.430601027747084,1,20.65114079662123
2,6,0,1,24.77920906090425,1,19.9725694895258
9,6,1,0,25.576498947371448,1,19.88735292958941
7,5,1,0,22.778978058692747,0,7.605279972345109
6,6,1,1,26.61707826195058,1,20.69516665183576
5,7,1,0,24.624247118211287,1,19.04890234289891
13,6,0,1,27.747759561240336,1,21.23657457630941
3,7,0,1,21.501391242214797,0,5.83521153385008
15,7,1,1,26.227779472605068,1,20.07735880328942
13,6,1,0,22.808940354053423,0,7.565406847026726
8,3,0,1,26.938537008883824,1,20.07246545337357
9,4,0,0,25.292589818236387,1,18.57041663028533
8,4,0,1,22.64167915253112,0,8.388545603549579
7,7,1,1,26.54596829655681,1,21.280367903827205
1,4,1,1,22.71465336419452,0,7.214412546858871
11,6,1,0,25.54902569211917,1,18.994919628412653
13,6,0,1,22.86334263273504,0,7.827195475798026
5,6,0,1,21.945848429180387,0,6.399306823660947
5,8,1,1,25.32144472334868,1,19.415011882044023
10,6,0,1,21.483412795355758,0,6.51571850772264
11,5,1,0,26.35485039296185,1,20.48110377320977
6,3,0,1,19.654875653645767,0,3.9058469509691407
13,6,1,1,26.74398637616161,1,20.111152570363323
5,6,1,1,22.068362306812464,0,6.48784924553916
6,6,0,1,21.833166056488185,0,5.811165544663633
9,6,1,1,24.509383584828477,1,18.953593722941093
11,4,1,0,20.263133917641845,0,3.688289428024717
11,6,0,1,23.568364172874933,0,8.821508164821841
10,7,0,1,24.17149053425707,1,18.91113573626517
5,6,0,0,23.713727029299445,0,9.66649469517908
11,4,1,0,24.828112760596166,1,18.891208129010828
9,7,1,1,21.792999810375196,0,5.884831417397129
10,5,0,1,22.316016886957065,0,6.7491326672686585
5,4,0,0,22.095013867486703,0,7.454730394286829
9,7,1,0,23.07281542070093,0,7.756648076593494
1,4,1,0,20.30136248499358,0,5.515905192669004
8,6,1,0,22.913541706469854,0,7.960967455211477
12,6,0,1,23.10159797813641,0,8.381712450991255
5,6,1,0,23.083024148946343,0,8.024892559720815
6,6,0,0,24.89141387711669,1,19.41789627238856
5,2,1,0,25.62186103408572,1,19.451065709223908
9,5,1,1,24.885767748598187,1,18.755794605066853
