age,income_level,gender,minority_status,political_engagement_score,policy_participation,post_policy_satisfaction
7,4,1,1,14.93983664506944,1,15.72741593753053
5,5,0,1,9.398805786001205,0,8.71787374615103
4,5,0,0,7.971481154705629,0,7.680929088806536
9,6,1,1,8.173155793289586,0,7.442423863952823
4,8,0,1,10.424498610132316,0,11.428792374786362
9,6,0,1,12.7666382604403,1,14.995414816776968
10,4,1,1,16.823907111691597,1,17.17624215102585
7,9,0,0,11.376723162413882,1,13.3494732270321
5,5,1,1,9.181457105390386,0,8.853571212028868
6,6,1,0,11.061488791723724,1,11.868232379751085
13,4,0,0,12.34323634854326,1,14.158664693944234
10,8,1,1,7.639261548677732,0,6.391242528375151
5,5,0,0,9.278992562385662,0,7.772378529988527
10,4,1,1,8.541504727999545,0,9.24675543261278
12,6,0,1,8.906234196676534,0,9.156422051530413
5,6,1,0,8.822762186635098,0,8.29794437237279
9,7,0,0,9.176318672362568,0,9.461839980825658
11,6,1,0,12.432110664700806,1,14.388915439399147
10,3,1,1,11.240484578841563,1,12.371737142802845
7,4,1,0,12.15974831095209,1,13.137877467710789
7,6,1,0,13.317377604696915,1,13.789320127486103
5,7,1,1,13.636420512534505,1,15.119782022304353
2,4,1,0,14.706275271463694,1,14.8122964559279
13,2,0,1,9.45310538057355,0,10.25909988898342
11,4,0,0,8.62817387445508,0,7.798259551072536
7,5,0,1,14.458401365860611,1,15.038661019283094
7,5,1,0,12.206126638863314,1,13.668289364773358
8,5,0,1,10.387160624803125,0,9.692595072559902
4,5,0,0,13.978350659510728,1,14.369324735108451
4,5,1,1,10.657919179616483,0,10.110612580756516
9,8,0,0,9.809720175285973,0,10.095133861132716
3,5,1,1,12.038033719473026,1,12.257065607845044
4,7,0,1,13.788393659471268,1,14.861180006512736
14,7,1,0,10.458104007584732,0,11.151710202660905
11,5,1,1,12.30146814996422,1,13.74359783352193
9,4,0,1,11.86807982445166,1,13.674428374876916
6,5,1,1,14.622979132933011,1,14.90858120006525
8,4,0,1,9.872721151880992,0,10.162010694229124
6,4,0,1,13.208658528127447,1,14.693219470954752
7,4,1,0,11.712032980747315,1,12.285491238199338
4,1,1,0,11.219533939069926,1,13.06200812159955
7,3,0,1,10.710806713323828,0,10.698861079977778
7,7,0,0,10.595612482817051,0,10.619241124364754
15,5,0,0,11.926726355116545,1,13.11011365685628
10,5,1,1,13.842863021442088,1,14.647620330611932
9,4,1,0,13.236490077996049,1,14.727351174421871
10,6,0,0,12.973306709164092,1,14.7747694814047
7,3,0,0,13.039495755833812,1,13.959842515543638
