defendant_age,prior_convictions,gender,minority_status,severity_score,legal_representation,sentence_duration
7,4,0,0,26.30843822417912,1,15.241562443697244
7,5,1,1,23.122090562405447,0,9.924976062809176
9,8,1,1,27.13881499507732,1,16.299793664162944
17,6,0,0,20.368909579194863,0,6.344916848381593
7,9,0,0,24.99676774799214,1,13.53565167590986
6,7,1,0,24.70920980209216,1,12.604611806155049
4,4,1,0,24.50062364640748,1,11.947188428370808
4,5,1,1,22.51290404556633,0,7.204309243516479
5,5,1,0,20.55583426407868,0,4.853891858936228
9,3,0,0,23.23453508001058,0,10.62618477846462
14,8,0,1,22.164509862830645,0,9.648164949104348
8,4,0,0,23.99932498348697,0,11.378228667500464
9,6,0,1,25.77072505768804,1,13.929336234766076
8,4,1,0,18.26130490365593,0,2.225860461299982
12,5,0,0,21.45787084231478,0,7.6772057739352
7,5,0,1,21.82949666669908,0,8.661620211773803
11,4,1,1,24.90122355675121,1,14.243749883710176
7,5,0,0,23.69676613834725,0,10.331997164156782
6,6,1,0,26.407121206956088,1,14.201434571014808
11,5,0,1,25.0332506891658,1,13.94443058886796
7,5,1,0,26.222952608023803,1,14.000077750205396
3,7,0,0,27.027342657301052,1,13.84929364674469
8,4,1,0,23.10551301877093,0,10.545756186681132
6,3,0,0,23.50838608697792,0,10.781676098857458
12,5,0,1,22.66700508212732,0,9.670289750026894
12,2,0,0,23.9691016470059,0,12.80686453513065
12,9,0,0,24.634341927829805,1,14.153717392604165
7,5,0,1,22.38724389025052,0,8.374776749999821
11,5,1,0,22.75763533989473,0,8.93706750887931
4,4,0,0,25.1835233472134,1,12.474629643651106
16,4,1,0,24.024564189179404,1,13.931705274748737
12,3,1,0,25.675663968796947,1,14.52641039005275
3,3,1,1,22.65887599089851,0,9.128674698065645
5,6,0,1,24.252081036893927,1,12.569393050403384
4,5,1,0,23.560589304341452,0,9.607144164607
5,6,0,0,20.124762439110764,0,4.441545989716438
6,5,0,1,24.15080572868148,1,13.088960644355517
2,5,0,0,21.456186756579022,0,5.846738333974693
6,6,0,0,22.643003366739467,0,8.411362049361442
3,3,1,0,27.03644302510652,1,14.529460483430418
5,3,0,0,26.203170742940305,1,14.987582079898942
6,7,0,0,26.00109320479281,1,14.4645930813616
4,6,1,0,26.64439412248165,1,14.53225614821827
12,5,0,0,23.631931369116696,0,11.70819398380266
9,8,0,0,25.459518500167714,1,13.948076696393828
9,6,0,0,25.061006645855496,1,14.285047050425575
4,5,0,1,24.36894329757944,1,12.40248777694674
13,4,0,0,27.20347064963753,1,16.10940008020576
10,5,0,0,22.19422018650799,0,8.08605326776113
6,6,0,0,26.67233431745879,1,14.62878932558128
5,7,0,1,25.625277238179468,1,13.157980378880572
7,7,0,0,21.044421520563304,0,6.051292412013142
8,5,1,0,22.907826018958968,0,9.37796723013144
10,8,0,0,23.06936664123576,0,8.579847800781657
5,5,0,1,23.529029147899703,0,9.989028706219296
11,5,0,0,23.37102394424682,0,10.26491215000352
9,8,1,0,23.276507112999745,0,10.275522935199492
