student_age,education_years,school_funding,classroom_size,tutoring_access,online_course,final_grade
27,22,1,0,1,1,76.55554857558967
33,31,0,0,1,0,82.21060609768543
44,22,1,1,0,0,79.72032403811316
25,27,0,0,1,1,80.30690098474146
25,30,1,1,0,1,82.1189595539109
48,25,1,1,1,1,84.45938522329683
19,31,0,0,0,0,78.53274309964806
24,26,0,0,1,1,78.10027325129747
17,24,1,0,1,1,75.15464266185067
35,30,0,0,1,0,82.03410598308136
23,24,0,0,1,0,73.60921940979914
24,26,1,1,1,1,80.33918570440842
31,24,0,0,0,1,78.20712163505831
15,26,1,1,1,1,76.18477865792289
26,19,1,1,0,1,75.84438323938086
21,24,0,1,1,1,77.7085445531041
14,23,1,0,1,0,72.3052054734302
12,21,0,0,0,1,70.96098970518037
26,32,0,0,0,1,84.600620607365
30,20,1,0,0,0,73.51092516916457
9,28,0,1,1,1,77.98618066843636
12,25,1,0,1,1,73.51474191356668
26,16,0,1,1,1,72.2587228083867
8,25,0,1,0,1,75.02861508181309
24,22,0,1,1,1,76.19276629946735
18,27,1,1,0,0,75.53438529394556
24,25,0,0,0,0,76.64338558765553
20,22,0,1,1,1,76.09291987578423
18,28,1,0,0,0,77.13752592218094
35,24,1,1,0,0,77.51680199981675
18,19,1,0,0,1,70.95070106800723
35,26,1,0,0,0,77.6860762474809
30,19,0,0,1,1,74.88816189309648
18,26,0,0,0,1,77.22799475002522
17,28,0,0,1,0,76.34780661577851
27,31,1,0,0,1,84.35183826700138
25,24,0,0,1,0,75.69521714243679
33,21,0,0,0,1,75.99791684349998
9,26,0,1,1,1,75.04044623915122
26,25,1,0,1,1,77.42199656641628
27,25,0,0,1,0,75.79995700034173
13,20,0,1,1,0,69.32916739180065
12,19,0,0,1,0,67.23034024003246
28,21,0,0,0,1,75.5121644853731
21,20,1,1,0,0,72.61747117700553
28,19,0,0,1,1,75.20465854193333
27,20,0,1,0,0,74.94496222802383
31,17,0,1,1,0,73.56306118359069
14,18,0,0,1,1,71.2571574683528
28,22,1,1,1,1,79.60909265723143
9,21,0,1,0,1,69.36689788064461
22,27,1,1,1,0,74.6230703743416
17,20,0,0,1,1,73.83890034561249
28,20,0,0,1,0,74.1373819701256
11,15,1,0,1,1,69.02469306003267
28,23,0,0,0,1,77.10220635849564
28,24,1,1,1,1,79.72103025575728
24,22,1,1,0,1,76.96537479035275
20,22,1,0,1,1,76.25993458440261
40,17,1,1,0,1,75.86925809033747
33,34,0,0,0,1,86.90544293496959
27,23,1,1,0,1,78.79151335543601
28,31,1,1,1,0,83.29584862749257
34,25,1,1,0,0,80.45155614860803
4,20,0,1,1,0,67.75075031816041
10,22,1,0,1,0,70.64895098282157
16,23,1,0,0,1,72.3638656972595
32,28,0,0,1,1,82.62478541088667
36,24,1,0,0,0,75.97295274181566
18,24,0,1,1,0,74.36998866871869
34,26,1,0,1,1,80.00601529323913
32,19,1,0,1,1,76.78647149232161
15,22,0,0,1,1,72.7021442551178
28,20,0,0,1,0,73.1450834653743
16,23,1,1,1,1,75.02309691367282
24,24,0,1,0,1,77.02269676368255
23,27,1,1,1,0,77.50410533510224
13,30,0,1,0,0,77.40908382109184
29,21,0,1,1,1,76.35176707864255
17,23,1,1,0,0,72.85905117845532
19,20,1,1,0,0,72.92507047652063
19,24,1,1,1,1,76.09867596860252
17,25,0,0,0,0,74.92377169457299
4,32,1,0,1,1,78.58439335989132
23,23,0,1,1,0,76.51201605184221
38,23,1,1,1,1,80.39130987475166
17,20,0,1,0,0,71.92864912466652
32,21,1,1,0,0,73.12360086883751
31,22,1,0,1,0,75.86110318182374
16,31,0,0,1,1,79.97205704474428
18,24,0,1,0,1,75.59951873874148
26,21,1,1,1,0,75.0450425608216
5,24,1,0,1,0,70.05370123069319
22,21,0,1,0,0,71.93968426144697
23,29,1,0,0,0,78.86235821995533
21,27,0,0,0,1,78.05143867868566
31,22,0,0,1,1,79.8770932413153
22,24,0,1,0,0,74.07520394625779
18,25,1,1,1,1,79.33505360786397
