education_years,weekly_hours_worked,gender,union_membership,local_unemployment_rate,job_training_program,annual_income
5,28,1,1,6,30,158.82027148233388
11,29,0,1,5,30,161.39653176108922
9,30,0,0,8,36,189.1839051742881
15,29,1,0,13,34,178.20726499718535
9,23,0,1,7,30,167.21241615451189
13,29,1,0,7,33,174.4783218030339
9,30,1,0,6,32,168.45049199663788
11,30,1,0,7,31,163.2821108862176
7,33,0,0,6,32,166.26280688531986
9,30,0,0,9,34,179.24623605976382
8,29,1,1,8,33,178.38927961377576
10,29,0,0,9,36,192.6378575301545
7,27,0,1,6,30,161.46619976702414
6,29,0,1,7,29,153.9242756860054
7,28,1,0,3,32,171.1740583609764
12,30,0,0,8,34,181.3238505744684
7,27,0,0,11,34,182.54014372792585
9,31,1,1,6,31,163.50277196249593
9,25,1,1,5,30,162.99961464740937
14,31,0,1,10,35,184.38555448177289
13,31,1,0,8,33,172.70124281799335
9,31,0,1,7,32,170.22824998670677
4,30,0,1,8,31,162.71509563475882
5,32,1,1,7,29,153.06736298675872
7,31,0,0,6,33,174.87004509011476
10,26,0,0,9,33,175.99350297019106
16,32,0,1,5,32,167.61886622267642
4,30,0,1,10,32,167.84243246488603
11,26,0,0,9,34,188.08981029199103
14,27,1,0,6,34,183.56310735723733
5,27,0,0,6,32,173.7415083232076
9,28,0,0,7,32,172.50135763012068
9,26,0,0,7,31,169.31855454580992
10,32,0,0,10,33,170.81516217519314
8,30,0,0,8,33,173.59665105751594
11,30,1,0,6,32,169.64729611348375
11,30,1,0,7,32,171.3071608984348
10,31,0,0,3,31,164.45508689629366
13,30,1,1,7,32,173.11894148296943
11,27,0,1,7,31,166.15045715395013
9,31,0,0,7,33,173.28045959173446
14,28,0,1,7,34,180.2016166977706
7,28,0,1,6,32,169.86629992809495
10,32,0,1,6,31,163.1101256438336
8,29,1,0,9,36,194.1686359547793
3,30,1,0,7,30,157.60086910858982
12,29,1,1,9,31,166.96581948695697
12,27,0,0,9,38,206.7514251467824
9,32,0,0,11,35,181.55420716164284
15,29,1,0,3,34,182.16932124688728
9,29,0,0,7,36,192.1973735877067
10,33,0,0,6,33,173.58133441841923
13,29,1,1,8,31,164.88268096069444
5,29,0,0,8,30,156.40626564564457
11,31,1,0,9,36,188.2069995541781
11,28,1,0,6,33,176.01573999928272
10,29,0,0,10,34,179.0108940751037
11,32,0,0,9,36,188.74412101429965
10,26,1,1,11,33,177.28013777219203
6,29,1,0,7,32,170.60382712187348
10,27,1,0,8,34,182.71512092516872
6,29,0,0,7,34,180.9170306633312
15,31,0,1,6,32,169.28350566108304
11,31,0,1,6,33,175.23524373409347
12,31,1,1,7,32,167.38237563923587
15,31,1,0,6,31,163.0848200796942
8,29,0,0,8,33,175.69581060876214
9,28,0,0,9,35,185.61984854095516
10,28,0,0,8,34,183.4621967930124
8,31,1,1,8,31,163.67940985966433
15,31,0,1,10,33,172.48157589134817
7,27,0,0,7,33,176.60764038212622
11,32,0,1,6,33,171.352352486422
8,27,0,1,7,33,177.41846246581335
17,28,1,0,7,34,182.5383905368197
13,30,0,0,5,32,167.87775113216733
11,29,1,1,6,28,151.2607916915534
10,31,0,1,7,32,170.74892765636508
8,31,1,1,6,32,170.4492234764191
11,27,0,1,8,30,162.47176604013146
7,29,1,0,7,35,185.7059914780495
11,28,0,1,9,32,167.4953690530033
7,28,0,1,10,31,163.0546386751376
6,32,1,0,11,35,182.68499736169773
6,34,0,0,5,33,171.16976999730355
16,32,0,0,7,33,175.01043746934684
8,29,0,0,8,31,163.26526979423662
7,29,0,0,10,34,181.4170150940594
11,32,1,1,9,34,178.415316983355
11,32,1,0,9,36,188.383896199944
3,31,1,1,9,34,178.56469689845724
12,31,1,1,10,33,174.25770957457942
6,29,1,0,7,30,161.94174275521772
6,33,0,1,9,32,163.26166110208283
11,32,1,0,8,31,161.16235083068287
13,31,1,1,5,29,153.4807137075045
1,27,1,0,8,30,160.10123260823278
6,30,0,1,6,31,163.51067918770502
9,31,0,1,6,31,161.7980837627758
11,31,1,0,9,35,184.0282911883828
4,33,1,1,6,31,160.92722780168552
8,30,1,0,9,32,167.5481909513711
