unit_id,post_intervention,internet_access_program,social_media_usage,individual_income,individual_education,rural_residence,previous_internet_access
0,0,1,47.64483221356189,3,9,1,1
1,0,1,47.74763449583374,1,5,1,1
2,0,1,49.11533798536545,0,7,1,1
3,0,0,46.47524698272156,2,9,0,0
4,0,0,46.84284614883973,2,7,0,0
5,0,0,50.57520706769159,2,4,0,1
6,0,1,50.30166929937795,3,5,1,0
7,0,0,47.155127536616455,4,8,0,1
8,0,1,48.88542881547584,3,3,0,1
9,0,1,47.49912571257661,5,7,1,1
10,0,0,47.166106958697725,2,6,0,0
11,0,0,48.31110293296815,2,6,0,1
12,0,1,49.47109034314822,3,5,1,1
13,0,0,48.40018742731312,2,8,1,0
14,0,1,48.8137333664973,2,5,1,1
15,0,0,47.87434775622822,3,8,1,1
16,0,0,47.72714382290283,4,8,0,1
17,0,1,48.7646798841357,4,5,1,0
18,0,0,48.1567718990444,3,8,0,1
19,0,0,48.65214643345555,3,7,1,1
20,0,1,46.694649789563584,3,8,1,1
21,0,1,48.72075427989302,1,5,0,1
22,0,0,48.09461278157219,4,6,0,1
23,0,1,50.43205273510629,3,6,1,0
24,0,0,49.11670308977848,3,5,1,1
25,0,1,46.12235980137422,3,8,1,1
26,0,0,46.88183055687011,3,9,1,0
27,0,1,48.76456301320459,3,3,1,1
28,0,1,47.807808097549,2,8,0,1
29,0,1,48.57996940248959,3,7,1,0
30,0,0,49.86181959852319,1,8,1,1
31,0,0,45.94072826228135,4,8,1,1
32,0,0,48.18389395972853,2,5,1,1
33,0,1,47.2079555996804,4,5,1,1
34,0,1,48.35049012039415,2,10,0,0
35,0,1,46.80817771403368,2,7,0,0
36,0,1,48.50783241782111,4,8,0,1
37,0,1,49.72456323815777,3,6,0,0
38,0,0,48.09563412890058,2,8,1,1
39,0,1,48.44435104108734,3,6,0,1
40,0,0,47.686514817503685,4,5,1,1
41,0,0,48.22550578393988,3,5,1,1
42,0,1,44.90581820968016,2,8,0,0
43,0,0,48.30846381671712,3,8,1,0
44,0,1,49.63198021179299,3,5,1,0
45,0,1,49.87635526388977,2,7,1,1
46,0,0,49.93345208793551,4,7,0,0
47,0,1,48.93716095473209,2,6,1,1
48,0,1,46.76088694126553,4,6,0,0
49,0,0,48.30472752975059,1,5,1,0
50,0,0,51.05084956208479,5,6,1,1
51,0,0,48.89386249412463,2,6,0,1
52,0,1,46.75308722252082,3,5,0,0
53,0,1,49.56770436420544,2,7,1,0
54,0,1,47.96789889872901,4,9,0,1
55,0,0,48.39279019332238,4,6,1,0
56,0,0,47.91520425943711,2,6,0,0
57,0,1,49.23057606770008,2,6,1,1
58,0,1,48.7998389013008,3,4,0,0
59,0,0,49.68446899754717,1,7,0,0
60,0,1,48.46864868387099,3,7,0,0
61,0,0,49.58198324465428,1,7,1,0
62,0,0,47.72657445976248,2,5,1,1
63,0,0,47.60929172034099,3,7,1,0
64,0,1,48.67478879487729,3,7,1,1
65,0,0,47.89690762294497,2,4,0,1
66,0,1,47.68729758117363,0,6,1,1
67,0,1,48.197898655297294,3,4,0,1
68,0,1,47.543517875770846,3,4,0,1
69,0,0,47.10525767193558,2,12,1,0
70,0,1,49.378636475366406,3,4,1,1
71,0,1,47.23275609738682,2,7,1,1
72,0,1,49.14716834987215,2,7,1,0
73,0,0,47.23754544265838,2,6,1,1
74,0,1,48.52876953014965,3,8,1,1
75,0,1,49.20520866654761,2,5,0,0
76,0,1,48.1377527066746,0,6,1,1
77,0,0,48.01917558557101,4,6,1,0
78,0,1,48.276742940323885,2,6,1,1
79,0,1,47.68064017152523,1,6,1,1
80,0,0,48.65010376496316,3,6,1,1
81,0,1,47.10458593533525,2,5,1,0
82,0,1,47.125063182496696,3,5,0,0
83,0,0,47.40020236930609,4,6,0,0
84,0,1,48.76221026702166,4,7,0,0
85,0,1,47.72688519655326,4,4,1,1
86,0,1,47.4541646157359,6,6,0,1
