teacher_age,average_study_hours,class_size,parental_involvement,low_income_status,rural_school,gender,e_learning_platform,end_of_year_grades
25,17,11,9,0,1,0,0,69.16867564026737
30,18,5,13,0,0,0,1,85.60850769432139
36,20,11,16,1,0,0,1,88.97913316523523
25,25,12,13,1,0,0,1,80.97171008635219
30,18,13,8,1,1,1,0,73.61337852092991
23,30,7,11,0,1,0,0,75.7273933963149
32,19,14,15,0,1,0,0,76.33472372866319
21,25,5,10,1,0,0,1,78.81137566053998
23,22,10,12,0,0,0,1,76.97253912517228
19,12,12,17,1,0,0,1,72.53873181710114
39,19,10,9,1,0,1,1,90.46740098546668
14,15,8,11,1,1,0,0,63.38944959062134
27,18,8,12,1,1,0,1,81.92496923534125
36,21,6,20,0,1,1,1,94.11869440305608
19,18,12,6,0,1,1,0,65.03049882988778
33,17,14,22,1,1,0,0,79.5357512847982
30,18,12,13,0,0,0,1,80.43024408947166
32,20,8,12,0,1,1,1,85.29464086525937
31,22,7,11,1,1,0,0,77.22272149786933
25,16,8,14,1,1,0,0,73.56787082783731
21,21,9,13,1,1,0,0,69.77953851800143
30,5,6,10,1,0,0,0,73.20906807516124
14,19,10,19,0,0,1,1,71.2831018539165
33,11,13,7,1,0,1,0,74.18151802937298
23,25,10,5,1,1,0,0,69.64252882193816
40,17,12,9,0,0,1,1,89.8271071558844
34,24,9,14,0,0,1,0,84.4922771867438
17,26,10,18,0,1,0,0,70.85564108514825
27,16,14,19,1,0,0,0,73.46766541165242
24,18,15,13,1,1,1,0,70.15388309080399
27,23,10,11,1,1,1,0,74.90407032083569
18,17,13,12,1,1,0,0,63.09251120816517
30,13,12,11,1,1,1,1,80.19153327867666
24,17,6,12,0,1,0,0,73.61048429117658
23,24,6,10,1,0,0,1,77.69684647473657
31,24,8,10,1,0,0,0,78.89719772587777
31,32,9,17,0,1,1,0,84.19517938671282
25,19,9,9,1,0,1,1,78.17892657138825
12,22,10,22,1,0,1,1,71.47688357049779
19,24,15,11,1,0,0,1,70.55914588242037
45,15,7,12,0,0,1,1,96.29217735560462
36,22,6,15,1,0,0,1,91.45469306160652
24,16,12,23,1,1,1,1,79.60372837517771
31,31,11,8,1,1,0,1,84.0830830152682
31,17,8,5,0,0,1,0,76.32534343035142
21,19,14,8,1,0,1,1,70.96043877657371
32,19,8,9,0,1,0,1,84.64726442928357
32,19,10,20,1,0,0,0,81.01519044377493
21,19,9,14,1,1,1,0,69.39741472122893
24,17,6,7,1,1,1,1,78.96787167831475
29,22,12,15,1,1,0,1,81.53941715828088
36,20,13,19,1,1,1,1,89.25574151759457
19,10,15,25,0,0,0,1,72.82313990662549
38,25,7,15,1,1,0,0,86.19613728739574
14,20,9,15,0,0,1,1,71.88838087433018
28,28,4,14,1,0,1,0,81.57157688825295
9,18,5,13,0,1,0,1,65.97421914032743
16,22,13,15,0,0,1,1,72.14844873880277
34,22,14,19,1,1,0,0,81.06950146737442
34,20,9,24,1,1,1,1,90.44486678536929
25,21,10,31,1,0,1,1,85.06661887253402
38,19,9,12,1,1,0,0,84.53427397853469
44,23,12,20,0,1,1,0,91.59661460632996
35,24,13,9,0,1,1,1,84.41340384687547
34,13,9,21,0,0,0,1,88.44735029467712
26,19,15,17,1,1,1,0,71.61334833106581
23,10,9,15,1,1,0,1,75.50431015283209
23,32,4,10,0,1,0,0,76.13285333328092
26,18,2,17,1,0,1,0,79.24126360127494
25,22,10,19,0,1,1,0,75.35982260720199
29,17,5,9,1,1,0,0,76.60541053516638
26,17,8,9,1,0,1,1,78.28949224186337
20,12,10,25,0,1,1,0,70.97812516697583
22,18,7,7,1,0,0,1,74.37256914872093
12,30,4,13,0,1,0,0,68.21892684291272
41,19,5,13,1,0,1,1,95.47998110117858
17,18,14,14,1,0,1,1,69.29125397361132
24,18,12,11,1,0,1,1,75.83834841487645
33,11,9,18,1,1,1,0,80.447317670241
29,25,10,7,0,0,1,1,82.10927489267078
18,28,11,23,1,0,1,0,73.37239762339532
47,18,14,14,1,0,0,1,95.54137896080786
33,24,6,6,1,1,0,1,86.23968753205483
41,23,11,11,1,1,0,0,86.12024533517658
19,22,10,5,0,1,1,0,64.26192295427286
27,16,5,18,1,0,1,1,85.42222684323897
33,23,5,12,1,0,0,0,82.35969503563412
30,31,10,6,1,1,1,0,76.9202251488234
40,11,14,24,0,1,1,0,83.40127929862146
27,21,8,18,1,1,1,1,82.48003176749546
39,25,6,16,1,1,1,0,88.6106690377854
33,18,12,11,1,0,1,1,82.52551765844946
31,18,9,18,1,1,0,0,81.594439734391
39,17,9,19,0,1,0,1,93.7832578397726
36,27,9,2,1,0,1,0,81.55324325066687
20,12,4,14,1,0,1,1,76.58464043790919
27,23,9,17,0,1,1,1,83.57327911577953
32,22,11,13,0,0,1,1,83.60219405427753
41,26,8,18,1,1,0,1,94.96695872524288
36,12,11,23,1,1,0,0,83.16216315245845
24,25,7,9,0,0,1,1,80.13179513507295
34,23,11,11,1,1,0,0,80.78122202956253
41,20,6,9,1,1,1,0,87.32096323629142
36,30,9,16,0,1,0,0,86.10136039614827
23,14,12,10,0,0,1,1,75.76838935284653
27,29,9,18,1,0,0,1,82.98775860176274
28,15,12,22,1,1,1,1,83.45424641649257
20,19,12,9,1,0,1,1,71.7123849817197
38,28,12,10,0,0,1,1,89.98251486916153
32,5,11,11,1,0,1,0,73.33724660856348
21,23,6,15,0,0,1,1,79.90361950033291
23,17,6,2,0,0,0,0,68.77732304908389
11,14,8,15,0,1,0,1,66.14702010781872
33,14,7,16,1,1,1,0,81.19270638271281
26,20,11,15,0,1,0,0,73.18577469629615
27,12,7,11,0,1,1,0,73.72257363898608
27,21,8,23,0,0,0,1,85.45077627914782
36,30,12,24,1,1,1,0,87.48466297106074
19,17,9,5,0,1,0,0,62.97853510298357
23,17,10,18,1,0,0,0,71.54751717881501
37,29,11,12,1,1,0,0,85.99583304963028
12,25,14,18,1,0,0,0,61.93119922653906
31,12,10,12,1,1,0,1,80.09019933014463
24,20,6,9,0,0,0,1,79.55311022258277
30,14,6,8,0,1,1,1,81.7886648269833
27,26,9,11,0,1,1,1,82.0394002946144
25,8,11,17,0,1,1,0,70.60679488638016
20,15,13,12,0,1,1,0,65.21519339173994
27,21,12,7,1,0,0,1,78.0193790893806
29,9,11,11,0,1,1,1,80.24206855989809
14,21,8,18,1,1,1,0,66.59459239353149
