age,education_years,household_income,political_activity,civic_participation,gender,minority_status,campaign_exposure,voting_behavior
30,25,16,9,3,0,1,1,47.93128508438575
31,22,10,4,4,0,1,0,38.68054474737962
29,26,12,14,5,0,1,1,47.75210194035166
14,29,13,8,7,0,0,1,48.356812325650765
31,19,14,15,1,0,0,1,47.6731629797801
24,12,8,18,3,1,1,1,53.00005516537809
15,27,11,15,4,1,1,1,52.50902303011579
27,24,8,7,4,1,1,1,51.00262883261779
27,14,10,5,3,0,1,0,42.07938335637196
35,18,14,17,1,1,0,1,47.34855969360847
34,11,13,21,4,1,1,1,49.08319551382225
30,23,13,6,1,1,1,1,52.52651194671759
24,18,9,15,4,0,1,0,41.667774328842455
30,15,8,8,2,1,0,0,43.25963351285347
29,22,7,6,6,1,1,1,50.0803751251848
21,12,7,12,3,1,1,1,53.54754686865773
17,18,9,14,4,1,0,0,42.50575679412129
34,12,8,8,1,0,0,0,41.56055624528586
39,23,13,15,4,0,1,0,36.96166634103808
30,26,7,9,4,0,0,0,39.39152687580167
29,14,9,12,3,0,0,0,41.02910958251429
24,17,7,20,4,1,1,0,42.93684690121014
37,19,5,18,7,1,1,1,51.71944567422038
29,13,8,10,3,1,0,0,42.905756306296965
17,23,8,9,1,0,1,0,43.40532096661568
37,13,17,11,3,1,1,0,36.14283769637424
28,18,3,24,6,1,0,0,44.931256281982826
43,24,13,25,3,1,0,0,39.547725979243225
48,27,13,11,5,1,1,1,45.16188828130684
30,25,11,17,4,1,1,1,50.01679839084161
29,26,12,15,4,0,1,1,49.40025587495861
32,28,11,15,1,0,1,0,40.88932620735199
23,13,9,6,4,0,0,0,41.27440869962324
39,10,11,11,4,1,1,0,39.87045785667979
18,29,8,14,8,0,0,0,38.53202696398463
39,8,13,14,2,0,1,1,48.72050495727899
39,20,9,13,5,0,1,1,49.87394635519328
23,15,9,11,2,0,1,1,52.94884944589353
31,24,8,13,4,0,1,1,50.28996193634998
30,9,3,12,4,0,0,0,42.21091033826838
31,21,11,10,3,1,1,1,49.69277071110179
45,19,7,12,4,0,0,0,40.35223698633107
39,13,12,7,1,0,1,1,48.818451686759765
26,20,9,7,3,1,0,1,48.7802618796841
30,17,7,11,3,1,0,0,41.38138267588574
27,25,7,11,6,0,0,1,49.881823144512005
32,18,4,2,5,1,0,0,41.11733091184044
24,32,12,16,5,1,1,1,50.206545641089285
26,28,5,21,3,1,1,1,55.681606450974606
24,12,10,11,5,1,1,0,40.55698616398128
36,19,10,12,3,0,0,0,39.19365215845704
29,31,14,16,4,0,1,1,49.10040382088079
23,15,7,10,4,1,1,0,44.362260680141226
15,17,11,16,2,0,1,0,43.35282611502179
32,18,10,7,2,0,1,1,49.94606272130989
26,27,5,4,4,1,0,1,51.401921834560085
21,25,8,4,3,0,0,1,50.19997539906086
20,22,7,11,3,0,0,0,41.37261173272721
20,13,10,11,3,1,1,0,43.94408984033292
34,30,10,15,3,1,0,1,48.947309307781246
25,13,11,4,4,0,1,0,39.10964214207894
23,18,10,14,4,0,0,1,51.45477204567987
43,28,3,17,5,0,1,0,41.39303767403509
22,24,11,22,5,0,0,0,38.06142605940085
31,28,11,15,2,1,0,0,40.33170566786588
27,20,7,7,2,0,0,1,51.97346795381549
23,19,10,8,3,1,1,1,50.72417201638454
33,9,10,10,3,1,1,1,51.23873053461612
26,14,16,14,4,0,0,0,36.66032007607511
30,16,14,2,3,1,1,1,49.57589496130948
20,14,8,11,3,0,1,0,43.27152179513013
31,23,7,12,0,1,1,1,53.95314662571373
41,26,11,11,2,1,1,0,39.15376071986109
38,20,12,7,3,1,1,1,47.25263495349097
23,13,11,14,5,0,1,0,42.14044165233679
23,18,10,6,5,1,1,1,52.79420963570772
31,17,8,9,8,1,1,1,50.15631695606465
9,21,9,12,4,0,1,0,43.70770254084195
23,18,6,26,4,1,1,0,43.746600179862114
22,26,9,15,2,0,0,0,43.85537570104625
33,19,8,15,4,0,0,0,42.77796261836994
28,6,11,5,6,0,1,1,49.99240683865984
45,17,15,12,2,1,1,1,46.68696709523411
30,27,7,14,2,0,1,0,41.764338614115616
29,23,4,17,5,0,0,1,52.37845744072013
26,21,5,15,6,1,1,0,43.96040639116743
19,24,9,14,5,1,0,1,52.02160462420781
30,26,9,12,3,1,1,0,41.07621091306873
24,10,10,15,6,1,1,1,51.44262442142139
37,16,5,14,5,0,0,0,42.00428892506044
31,22,10,8,5,0,0,1,48.26800451824474
10,25,11,19,4,1,0,0,42.93433306474724
26,27,10,26,5,0,0,1,48.97149208513671
27,16,9,12,2,0,0,0,42.000392970580045
