age,education_years,last_month_income,work_hours_per_week,number_of_dependents,gender,rural_dwelling,policy_beneficiary,current_month_income
35,20,9,17,2,0,1,0,85.45030982405886
28,18,10,10,3,1,0,1,75.90151456273905
28,19,13,2,5,0,1,1,68.83318995150576
24,27,9,24,3,1,0,1,89.8293699472871
27,14,9,12,5,1,1,1,75.95728426598697
23,29,12,16,4,0,1,1,81.48260428092544
42,28,14,10,3,1,1,0,86.17491708432206
30,18,10,18,4,1,1,1,85.83478486653404
31,13,5,18,1,1,1,1,86.20762294654213
40,27,12,14,2,1,0,1,87.66736332246302
30,18,7,17,7,1,0,1,83.00142572989297
29,29,7,18,3,1,1,1,90.1875141077904
41,16,13,11,3,1,1,0,80.85890500399032
31,23,12,8,4,1,0,1,79.04143941613304
21,19,11,17,3,1,0,0,79.76177592832327
14,25,7,9,3,1,1,0,71.09376647692358
29,21,9,22,3,1,1,1,88.76229966996868
31,20,11,8,3,1,1,0,74.81003334369419
39,16,10,15,5,0,0,1,84.96046156347042
35,31,9,11,2,1,1,1,85.49604849948118
34,15,9,7,5,1,0,1,76.14233674470992
47,25,13,17,2,1,1,0,92.30419814176275
23,9,12,7,5,1,1,0,66.13836809493715
34,21,7,19,5,1,1,0,88.2009183688166
37,20,9,18,3,1,1,0,87.54058636287789
6,13,10,11,4,1,1,1,63.41969129518601
24,23,11,23,4,1,0,1,86.56843155654708
31,23,16,12,3,1,1,0,78.92302576203323
38,22,8,12,3,1,1,1,86.98725983179648
37,22,7,13,4,1,0,0,85.01906779332978
26,14,9,14,4,1,0,1,77.05815161481395
43,13,6,14,0,0,0,1,87.8066005029852
32,22,5,5,6,1,1,0,75.75044044773843
14,11,8,12,1,0,1,1,67.82763174398355
25,15,9,27,6,0,0,0,86.44954408609819
27,17,12,7,2,1,1,0,72.63302924647343
41,14,7,17,3,0,0,1,88.55726058960573
23,14,9,14,5,0,0,1,74.78161650226794
24,16,6,16,1,0,1,1,80.6853678561383
32,9,11,18,5,0,0,0,78.49083700717165
37,9,13,18,3,1,1,0,82.09226065854526
36,23,6,12,7,1,1,0,82.47664846912016
27,21,6,14,5,0,1,1,81.99252706522681
39,20,10,6,5,1,1,1,76.13649171312281
27,15,13,15,1,1,1,0,77.14250726026434
14,14,15,11,4,1,0,1,66.87424431049097
25,25,9,11,4,1,1,1,78.29116212296809
21,24,10,7,4,0,0,1,70.62996589526531
26,29,7,7,2,0,1,0,78.27246927756855
28,17,12,18,3,1,0,1,82.99392725178026
27,17,5,13,0,0,0,1,78.92951099010924
26,16,7,12,3,0,0,0,76.18804176886638
23,18,13,15,4,1,0,1,75.28411590687907
44,27,10,11,4,1,0,1,88.67339048868783
23,10,4,10,4,0,0,1,73.39290066865861
33,21,8,11,5,0,1,0,79.40636223690382
35,15,14,10,8,1,0,0,74.56913726141948
30,17,9,22,3,1,0,0,84.94372514132012
27,10,8,17,6,0,0,1,79.83173068965421
32,23,8,12,3,0,1,0,80.32334735884612
36,21,10,17,5,0,1,1,86.88594541408077
35,29,9,15,4,1,1,0,89.06128702893986
40,11,5,17,5,1,1,0,85.76629217605881
26,32,12,11,1,1,1,1,81.57304366595291
22,19,9,14,3,1,0,1,77.58306800540787
41,14,9,11,3,0,1,0,81.00586424119034
32,15,15,21,5,1,1,1,85.27843517236978
37,15,10,17,0,1,0,1,84.89150317634959
25,23,7,7,5,1,1,0,74.5085072679232
28,11,6,17,5,1,1,1,81.09439545442889
37,17,3,10,7,1,1,0,79.73111477293673
33,26,10,17,2,1,1,0,87.35335522028763
30,22,8,11,5,1,1,0,79.36853841361352
40,25,8,13,3,1,1,0,87.30044523715486
41,17,14,19,4,1,1,0,88.33758647931886
35,14,14,17,2,0,0,1,83.99889310368388
36,26,5,16,6,0,0,0,88.35462088859823
22,18,12,8,3,1,0,1,70.19183087515812
38,21,10,12,3,1,1,0,83.35693581911399
36,15,10,16,6,1,1,1,83.41242870160502
23,17,11,19,3,0,1,0,78.8314415314341
27,23,11,17,7,1,1,0,81.82445744059832
35,9,6,15,2,1,0,1,80.93447167768842
40,19,7,20,5,1,1,1,90.77636004370324
40,13,12,8,6,1,1,0,76.15412281240668
43,11,8,16,8,1,1,0,85.65185044857772
45,23,12,22,3,1,0,1,96.28091059149666
17,15,10,11,5,0,1,1,68.78213057173006
21,21,12,12,3,0,1,0,71.43331085190992
31,17,11,14,5,1,1,1,80.64479759969902
34,19,9,13,5,1,1,1,83.66478958858512
29,19,6,17,3,0,0,1,84.23775009555547
19,16,9,4,4,1,0,1,63.76683673403061
27,23,6,24,5,0,0,1,90.34052455562907
30,26,9,16,4,0,0,0,86.52625256290266
27,28,13,12,5,0,1,0,78.35189100786296
36,23,16,8,5,1,1,1,77.7058470116564
30,15,11,14,5,1,1,1,80.61126292234837
32,14,11,10,3,1,1,0,74.36216982153935
35,13,5,16,3,1,0,1,83.47729203942716
29,21,8,12,1,1,1,0,79.93114813859852
26,25,14,14,5,1,1,1,78.7929811580863
30,20,10,14,2,0,1,1,84.56283295569422
27,21,10,15,4,0,1,1,80.56020589855447
20,16,10,15,5,0,1,1,76.84178448187129
28,23,14,18,4,0,1,1,82.33337043644468
37,21,15,10,3,1,1,1,82.15948280409701
33,20,4,10,7,0,1,0,76.74446934737293
26,14,9,12,9,1,1,1,75.60786313086236
36,24,14,11,4,1,0,0,80.89545101469011
37,15,6,6,4,1,1,0,75.76997760342964
18,7,11,12,4,1,1,1,67.96775085195623
41,11,14,14,5,1,1,0,80.24363930911144
38,28,12,8,4,1,1,0,83.4053785468609
28,26,10,15,3,0,0,1,84.03393660404869
31,20,4,19,0,1,1,0,86.82746212578078
29,13,8,9,3,1,1,1,74.56763751222884
23,10,4,11,2,1,1,0,71.75927038325656
25,23,6,22,4,0,1,1,89.08765271983611
33,20,13,4,3,1,0,0,71.38868780787392
39,22,7,15,1,1,0,0,86.80847753333573
29,13,9,10,4,1,1,1,74.54570103735215
37,25,10,8,8,1,1,1,80.94734842376626
23,15,13,12,5,0,1,1,75.43948247354868
28,21,13,10,4,1,0,1,75.90088919343086
39,15,12,14,4,0,1,1,82.41800468550068
24,20,7,9,0,1,1,0,75.51678563746664
35,20,10,15,4,1,0,1,84.12153646836504
24,16,10,10,5,0,1,1,75.50352358627607
35,26,6,12,1,0,0,1,86.35723742935792
31,19,12,13,8,1,1,0,77.85903664799788
45,23,10,12,5,0,1,1,89.5087733170151
31,15,9,11,4,1,1,1,75.87478228603493
29,22,10,19,6,0,0,0,85.5675266891311
41,17,11,11,6,1,1,0,81.40313592144865
40,24,6,23,4,1,1,0,94.54250571381662
32,13,17,5,3,0,0,0,69.0990407668065
28,17,4,8,3,1,0,0,74.55194387461054
23,20,13,5,6,0,0,0,67.82830149683063
34,17,9,15,4,1,1,0,81.35553989950472
