student_age,parent_education_level,classroom_size,school_funding_per_student,rural_school,access_to_tutoring,interactive_textbook_use,final_grade
22,26,5,16,0,0,0,72.52808801291619
25,27,7,14,1,1,1,80.14298821906101
26,25,6,17,1,1,1,81.61868167706723
17,27,8,12,0,1,0,72.2708985751904
15,23,6,16,1,1,1,81.30784966700548
24,26,8,14,0,0,0,72.48218885170873
28,22,4,13,1,0,1,78.46873461962173
37,13,8,14,0,0,1,79.2492853152229
19,23,5,17,0,0,1,80.63255577351052
-1,28,7,14,1,1,0,73.11918291769808
50,20,7,15,1,0,0,73.42095554232324
22,19,5,17,1,0,1,79.97029888310527
29,27,3,18,0,0,0,73.83988581834419
35,29,3,15,0,0,1,80.00574895472087
26,16,11,11,1,0,1,78.7318929779234
18,23,5,15,0,1,1,80.11463236168025
24,24,7,20,0,1,1,85.35361878456499
16,21,5,14,0,0,1,77.31723392560694
24,19,9,9,0,1,1,77.02027014213171
28,19,7,16,0,0,1,80.65499587738647
11,23,9,17,0,1,1,81.88476775764478
15,26,7,13,0,0,1,79.26117387465054
18,24,10,12,0,1,0,72.10513340750539
26,20,8,10,0,1,0,70.00825021213385
27,25,5,15,0,0,1,79.15433725181512
20,27,5,18,0,0,1,82.1736219998278
25,25,3,21,0,0,0,75.60838347022722
16,17,7,12,0,0,0,68.04629760355077
17,21,4,24,1,1,1,84.25192277012081
8,24,4,13,0,1,1,77.75355783514675
29,24,11,19,1,0,1,86.38483678446175
15,25,5,12,0,0,1,78.13618754108903
16,21,5,12,1,1,1,77.26012658929135
27,19,5,24,0,0,0,77.61702892622486
11,28,6,18,1,0,0,72.86967750920643
41,21,8,14,0,0,0,74.45747684867399
28,26,8,11,1,0,1,80.72880428098529
15,31,3,23,0,0,1,83.66849774836453
20,22,9,13,1,1,0,72.01103059654955
38,16,7,9,0,1,0,69.87242887958195
20,25,7,23,0,0,0,80.28995094788218
2,21,4,20,0,1,0,72.35136765810871
28,22,3,26,0,1,0,78.82570500352624
11,23,7,12,0,1,0,70.03195762114001
29,31,5,18,1,0,1,83.97292245039615
9,28,2,16,1,0,0,71.42772851562418
28,27,7,11,0,0,1,77.83364454308084
16,17,5,12,1,0,0,67.84852550568888
31,21,9,18,1,0,0,76.72349155768954
18,25,5,24,0,0,1,86.1881768706971
34,29,2,17,0,0,0,72.88987367773841
6,25,8,11,1,0,1,77.71176697187141
25,32,7,17,1,1,1,83.87965950068138
14,29,3,19,1,0,1,80.5789002252168
32,31,2,19,1,0,1,84.50649347998403
21,23,4,18,1,0,0,72.05836451766743
23,29,0,13,0,1,1,77.22192817262372
18,21,6,13,0,0,0,70.33370233957238
26,29,3,13,0,1,1,79.07183015988227
15,26,4,21,0,0,1,83.4427451443209
12,18,8,12,0,0,1,74.99465550738654
12,23,5,16,0,1,1,78.58464901757426
30,20,6,17,1,1,1,81.57047318372074
20,32,7,18,0,1,0,76.34860117132162
24,22,7,17,1,0,0,74.95596276066262
35,25,9,14,0,0,0,73.65947124552946
20,30,5,12,0,1,0,70.62890332214259
15,25,5,12,1,1,0,69.2832200458167
27,20,0,20,0,0,0,72.0919467971645
10,25,4,22,0,1,1,82.0950432381286
26,21,8,19,0,1,1,83.3974122971786
3,18,8,18,1,0,0,70.87776713521558
16,23,7,16,0,0,1,79.75236634144903
20,23,8,12,0,0,1,79.2906314565424
17,26,6,20,1,1,1,83.08965923018711
14,23,3,15,0,1,1,77.69850685023137
24,26,7,3,0,1,0,64.1991289990754
21,27,7,16,0,0,0,74.16561485326645
25,18,9,19,0,1,1,82.99404324553592
38,18,1,16,0,1,0,74.13753291903086
27,19,2,20,0,1,1,82.20678499019172
45,30,5,15,1,0,1,81.64829638424096
25,20,7,13,0,0,0,71.45821850960772
11,24,9,19,0,0,0,74.72625987072554
17,25,6,12,1,1,1,79.97138544281901
26,29,5,12,0,0,1,78.14628092054396
18,28,4,11,0,1,0,69.06023532737125
40,23,6,15,0,0,0,73.04966252533329
16,22,2,12,0,0,0,67.27566223128606
40,26,3,18,0,1,1,85.15611690097622
25,33,7,12,0,0,1,79.3865410342244
27,25,7,13,0,0,0,70.65319887431735
33,19,9,23,0,0,1,87.92768000266082
30,23,10,12,1,0,1,79.60974068489062
23,26,6,19,1,0,0,75.72481667834352
20,16,4,13,1,1,1,75.7572322771089
26,22,7,16,1,1,1,81.9928993437836
8,25,5,8,0,0,0,65.69749181658786
21,21,3,9,1,1,1,73.56869607154971
40,22,0,19,0,1,1,81.95117777260903
13,26,7,17,1,0,1,81.92353917598558
24,19,4,7,1,1,0,65.8375372155761
32,30,8,18,0,0,0,77.64586623763938
27,28,4,16,0,1,0,72.34246361082394
11,15,3,10,1,1,0,66.07002600961076
31,22,4,11,1,0,0,67.24532232884518
32,22,6,26,1,0,1,87.34901618881331
24,23,9,22,1,0,0,77.32402032398637
30,21,9,18,1,0,0,75.89784151996747
23,26,8,15,0,0,0,73.7806124027278
27,26,6,19,1,0,1,83.4201717918949
32,25,6,11,0,1,0,70.15492002092843
28,24,3,15,0,1,1,79.04967811492847
23,20,3,17,1,0,1,79.85740018202772
35,22,8,20,1,1,1,84.09974220611917
32,25,4,22,0,0,0,78.63845816288658
34,27,6,17,1,1,1,83.5057118253249
36,27,5,19,1,0,0,75.35926760759062
8,25,5,19,0,1,1,80.58246533238376
18,23,7,17,0,1,0,75.45362175342885
35,26,5,20,0,0,0,76.09811614003367
17,20,3,15,0,0,0,71.21275714320088
27,20,7,14,0,0,1,81.74027120431522
31,22,2,23,0,1,0,76.60803553031074
20,28,9,20,0,0,1,84.24781478259747
22,25,7,12,1,1,1,80.64267467298275
34,20,9,8,1,1,0,68.39664297776015
20,32,4,15,1,0,0,71.58682583668758
13,23,6,16,0,0,1,80.30533073114832
33,23,7,17,0,0,0,75.14417529636692
25,28,7,19,1,1,1,84.90288099449481
37,25,2,19,1,0,1,82.03327606311157
16,27,8,13,0,1,0,71.26054306933759
45,26,8,19,1,0,0,80.05522443614134
20,18,3,18,0,0,1,78.62565920937737
4,29,4,9,1,0,0,66.6883897768563
33,23,6,10,0,1,1,78.51233142490584
22,23,4,4,0,0,1,70.48287383859235
10,19,5,16,0,1,0,71.49510474675608
33,30,8,12,1,0,1,80.35564848469423
44,29,4,24,1,0,1,90.61323399368824
27,22,6,25,0,1,0,78.77591067144803
23,29,5,16,0,0,1,81.80498671432393
17,24,7,15,0,0,1,81.18957747394823
32,25,6,14,1,0,1,81.95988389521014
28,17,7,14,0,1,0,70.87069111791259
12,31,5,17,1,1,0,74.43319762538931
22,28,6,14,1,0,1,80.1636694363381
14,30,4,13,0,1,1,78.74721476833699
17,20,6,19,0,1,1,81.5265594516692
43,26,4,19,1,1,0,76.15802178334157
19,20,7,19,1,0,0,74.67182622477522
36,23,8,8,1,0,0,69.8394515766892
8,25,7,21,0,1,0,75.65861931002033
2,18,6,17,1,0,0,68.79005156552383
25,22,4,12,1,0,1,76.89369865739016
36,25,4,12,0,1,1,80.07665574538134
23,16,6,15,0,0,1,78.13580233819249
9,21,9,15,0,1,0,72.30850929150658
32,24,5,23,0,1,0,77.12531984746774
26,31,13,11,0,0,1,82.788827126236
30,28,6,19,0,0,1,84.36899558551994
29,24,5,15,0,0,0,72.00118907515436
32,24,9,17,0,1,1,84.3824026898263
28,22,5,10,0,0,0,68.70964586744623
24,22,5,14,1,0,1,75.94381975058683
22,29,9,19,0,0,1,85.22975030196794
23,19,6,15,1,0,1,77.8659563915507
3,19,7,18,0,0,1,79.44567205070133
35,19,5,12,1,0,0,71.1463939238895
28,30,3,26,1,0,0,79.00046589283868
34,16,4,14,1,0,1,77.52886666276875
22,27,7,17,0,0,0,75.06263103312386
33,27,9,13,0,0,0,75.40282762909658
23,21,3,9,0,0,0,67.28766653866948
35,23,7,10,1,0,0,71.27104069786205
24,31,5,12,1,0,1,79.38721463653422
23,17,6,17,0,1,0,72.71861048640677
28,25,5,14,0,0,1,77.64423593051526
19,25,5,17,1,0,1,81.86307413000706
18,17,7,16,1,0,1,78.31868828005813
8,23,5,16,1,1,1,80.88067026000758
19,25,7,12,0,0,0,70.62739416462091
21,23,6,25,0,0,0,79.74963634371764
7,26,7,18,1,0,1,82.0958350248544
22,25,7,16,0,1,0,74.19040461872197
29,16,9,12,1,0,0,71.34046521237065
33,28,5,10,1,0,0,69.16874999583258
28,17,5,18,0,1,1,82.91325615599197
20,18,5,8,0,0,0,66.71335394545967
18,23,7,16,0,1,1,81.60998477087571
29,15,7,12,1,1,1,77.32485029001315
29,23,6,17,0,1,1,82.09202270957394
31,25,4,12,0,0,0,70.7646521845313
21,29,3,14,0,1,0,71.00774369639709
36,21,4,20,1,0,0,77.75037854847716
28,23,6,14,1,1,1,79.96539526124988
18,24,5,20,0,1,0,74.16364422869938
7,26,6,17,1,0,1,80.24201893376583
28,22,1,21,0,1,0,75.92703295271234
15,24,8,19,0,0,1,83.14990457863894
37,22,8,8,0,1,0,68.67084168430301
13,20,5,17,0,0,1,78.72388275829444
20,19,5,17,0,0,0,72.32034818493796
11,19,3,15,0,1,1,76.85821751845445
36,28,2,8,1,0,0,67.11634048225518
29,24,6,18,1,0,1,82.2466396124201
21,24,7,16,0,1,0,72.98146342780046
28,26,2,23,0,0,1,84.5709547832798
20,23,8,10,0,0,1,75.63176220655693
16,28,4,21,1,1,1,82.67266552421056
36,26,5,18,0,0,1,84.86260914026165
9,13,6,9,1,0,0,64.83928978556959
37,28,8,17,1,0,1,85.73038935708638
37,23,5,14,1,1,1,81.96205511504859
11,17,5,17,0,0,0,70.44323374187445
28,18,10,18,0,0,1,82.75348224325171
47,22,6,10,0,0,1,78.16769279771258
15,23,7,14,0,0,1,77.94469641292501
19,29,5,9,1,0,0,68.91968814419629
19,21,8,11,1,1,1,79.84456279882978
32,19,3,4,0,0,0,63.72530785733311
