county_code,year,legal_aid_availability,conviction_rate,median_income,crime_rate,urban_location,public_defender_availability
1,0,0,54.65800518530579,5,4,1,1
1,1,1,59.40733693328307,5,4,1,1
1,2,1,59.56261532313626,5,4,1,1
1,3,1,60.51700133549467,5,4,1,1
1,4,1,59.47975008990509,5,4,1,1
1,5,1,58.476439455521735,5,4,1,1
1,6,1,60.0945174095739,5,4,1,1
1,7,1,59.55408306512858,5,4,1,1
1,8,1,57.81056240914333,5,4,1,1
1,9,1,58.4148381008957,5,4,1,1
2,0,0,53.6452875090307,3,10,1,1
2,1,0,54.1370813744293,3,10,1,1
2,2,0,53.806934203926026,3,10,1,1
2,3,0,55.15020174579976,3,10,1,1
2,4,0,55.81667956887066,3,10,1,1
2,5,1,59.21337327618847,3,10,1,1
2,6,1,61.623319078354655,3,10,1,1
2,7,1,61.2228265619627,3,10,1,1
2,8,1,58.4050394379184,3,10,1,1
2,9,1,58.60894677031313,3,10,1,1
3,0,0,54.191822998286106,5,9,1,1
3,1,0,56.747265719026856,5,9,1,1
3,2,0,54.77050233179451,5,9,1,1
3,3,0,56.87541930943452,5,9,1,1
3,4,0,55.042496917540944,5,9,1,1
3,5,0,54.57017039463032,5,9,1,1
3,6,0,57.87690537459064,5,9,1,1
3,7,0,56.515391584457056,5,9,1,1
3,8,0,55.533425436797295,5,9,1,1
3,9,1,59.360173503039206,5,9,1,1
4,0,0,55.480319289916224,2,9,1,1
4,1,0,53.94573848425919,2,9,1,1
4,2,0,54.49404806688253,2,9,1,1
4,3,1,58.91364626921095,2,9,1,1
4,4,1,59.50859862802267,2,9,1,1
4,5,1,59.40082749563536,2,9,1,1
4,6,1,60.58481689345175,2,9,1,1
4,7,1,61.17229382835868,2,9,1,1
4,8,1,59.5462963583301,2,9,1,1
4,9,1,58.25052207821354,2,9,1,1
5,0,0,54.05472967483511,4,11,1,1
5,1,1,60.18338559959548,4,11,1,1
5,2,1,59.82884070825879,4,11,1,1
5,3,1,59.57008353019348,4,11,1,1
5,4,1,61.182504829646895,4,11,1,1
