defendant_age,lawyer_experience,severity_of_crime,previous_convictions,received_legal_aid,accepted_plea_bargain,participation_in_restorative_program,recidivism_rate
29,28,7,1,1,1,0,85.47368979146194
20,20,7,0,0,0,1,77.49767491265858
36,24,4,1,0,1,0,89.28866718982108
20,23,4,1,0,1,1,79.90581384278131
25,25,4,0,0,1,0,80.5030107004922
6,24,9,0,1,1,1,70.34550179895591
30,22,2,0,1,1,0,82.6686827498825
29,18,4,0,0,1,1,82.13274607126316
9,25,5,0,0,1,0,70.94122054246414
28,33,11,0,0,1,1,92.25118686262324
16,22,4,0,0,1,1,75.40266214668833
33,25,9,0,1,1,1,90.81653908266826
28,21,7,0,1,1,1,86.47247632130677
15,23,7,0,0,1,1,75.80674705076774
32,20,7,1,1,0,0,85.4752772766482
34,28,5,1,1,1,0,91.91964927208342
25,18,5,0,1,0,1,81.1144170013971
28,25,6,0,1,0,1,85.09339445611027
42,18,8,0,1,0,0,91.5590016293264
24,29,6,0,0,0,1,84.54864352806241
14,21,12,1,1,1,1,77.71172317285176
25,19,4,0,0,0,1,78.68266360830978
31,21,5,1,0,0,0,83.85457230547652
34,23,0,0,0,0,1,88.80659958467905
22,17,7,0,0,0,0,74.61035525716325
16,24,3,0,0,0,1,76.27738808122339
21,22,6,0,1,0,0,77.84263070520264
43,32,5,1,1,1,1,100.8490414447064
36,30,6,0,1,0,0,92.90637860179238
48,20,8,1,1,1,0,97.66387489082771
5,27,5,1,1,0,0,69.44486907487925
20,23,6,0,0,0,0,74.9294975092464
31,21,3,0,1,1,1,87.349250009338
35,24,3,0,0,0,1,89.5512008754829
26,21,3,0,1,1,1,81.63261445946979
-3,25,6,0,1,1,0,62.13800802933221
20,24,4,1,1,0,1,78.97288311524407
25,25,8,0,1,0,1,83.97998668678132
18,25,1,0,1,0,0,75.10058747180928
9,15,7,0,0,0,0,65.1012104561125
48,20,4,1,0,1,0,94.57169064594588
15,19,7,1,0,1,1,75.88570904710465
10,24,3,1,0,1,0,70.48632714603681
10,25,6,1,0,1,0,71.98899739559765
27,19,8,0,0,1,1,83.62552617265523
9,24,4,1,1,1,1,72.26451021646048
43,28,3,1,0,1,0,96.35857452923436
23,23,5,0,1,0,1,81.72348177710491
46,25,1,0,0,1,1,96.7918691421751
25,26,1,1,1,1,1,84.17078987229806
10,18,4,1,0,0,0,68.77168299431054
24,20,7,0,1,1,1,81.98788499240743
31,22,7,0,0,0,1,86.73982658332967
38,17,1,1,1,1,0,85.18286419808786
32,26,9,0,1,0,1,89.81528653720909
26,24,5,1,1,1,0,83.05435716214222
30,25,8,0,0,0,0,85.53697937705235
44,27,5,0,0,1,1,97.40833251008284
6,27,4,1,0,0,0,69.08243887817548
5,19,5,0,0,1,1,65.38762151032843
11,25,6,1,1,0,1,72.92722251829078
23,31,7,0,0,1,0,84.85435061361969
11,23,7,0,1,0,0,69.74053560663462
13,32,4,0,0,1,0,74.77567916015803
29,29,6,0,1,1,1,89.38806074288075
10,17,6,1,0,1,0,67.92151179604951
36,24,0,0,1,0,0,87.04611632741623
26,25,4,0,0,0,1,85.46291225184675
38,16,5,0,1,1,1,90.0953071905813
21,18,11,0,1,0,0,77.29711425210867
8,29,3,1,0,1,1,72.5637065686199
27,30,7,0,0,1,0,87.70135732167267
39,27,9,0,1,0,0,93.11761927631932
11,27,5,1,0,0,0,73.2919824054219
26,24,7,0,0,0,0,81.76442795251674
21,22,8,0,0,0,1,80.07175478631645
18,13,6,1,0,0,0,69.723357308076
30,21,6,1,0,0,0,85.60546542969149
14,25,11,1,1,0,1,77.98537207808091
27,21,6,1,0,1,1,85.37450964684858
29,18,6,1,0,0,1,84.89413680344155
30,28,5,1,0,1,0,88.07284289087147
29,26,9,1,1,1,0,88.32352729250111
14,23,6,0,1,1,1,76.28166680674158
4,20,7,1,1,0,0,66.53591335103759
15,18,4,1,0,0,0,69.0143462723282
24,20,7,0,1,0,0,77.43220729354205
19,27,7,1,0,0,1,80.41954406242442
10,13,3,1,1,1,1,66.67049974223163
15,20,2,1,0,1,1,74.23492444552309
21,24,5,1,0,0,1,80.81253530967797
0,24,7,1,0,0,0,63.40439738411642
38,21,6,1,0,0,1,93.20900825369536
28,28,9,0,1,1,0,87.93814488506867
25,25,2,0,0,0,0,80.9218665529706
31,27,6,1,0,0,0,87.42907875042317
30,29,3,0,0,0,0,84.85903687233257
26,31,5,1,1,0,1,87.67043789422164
38,33,6,0,0,1,1,96.89411117616488
10,21,7,1,0,0,1,72.8246899117682
32,20,8,0,0,0,1,86.27747523657004
43,22,9,1,0,0,1,96.9252661862056
13,24,8,1,0,1,1,76.48256002745784
23,21,7,1,1,0,0,79.90834935134123
26,26,10,0,1,0,1,87.17514389104718
29,21,4,1,1,0,0,80.73278407235435
34,22,6,0,1,0,0,86.252515450574
27,17,2,1,1,1,1,80.94314853461857
25,20,6,0,1,0,1,80.96325943403102
8,18,6,1,1,0,0,66.13939236724305
27,22,3,0,1,0,0,80.59403389612412
36,23,6,1,0,1,0,90.74184977013942
23,24,7,0,0,1,0,79.99122141541093
12,25,6,1,1,1,0,72.12535642165783
25,25,6,0,0,0,1,83.38816774520048
27,18,5,0,0,1,1,82.75379686378056
19,16,3,0,1,0,1,74.66932753110542
21,22,7,1,1,0,1,81.11840183984104
17,27,3,0,1,0,1,79.82995052069442
28,26,5,0,0,0,0,81.82832537876598
29,26,9,0,0,0,0,86.28148509420782
18,27,6,0,1,1,0,77.77073846012154
39,33,3,0,0,1,0,94.63674898024752
24,21,6,1,0,0,1,79.93616106775241
27,22,4,1,0,1,1,84.67988881055034
37,22,5,1,1,0,1,91.10967737670032
47,25,5,1,0,1,0,99.46771422374854
24,29,10,0,1,0,1,84.69799646426617
30,23,6,1,1,1,0,86.1417444660925
23,26,6,1,0,1,0,81.39253307499978
22,23,6,1,0,1,1,83.50574470046078
27,26,7,1,0,1,0,86.20449049736078
40,20,4,0,0,1,0,91.01982451164118
17,24,8,1,0,0,1,77.94979930189842
15,30,11,0,1,0,1,80.99944040459751
