age,income_level,gender,minority_status,crime_severity_score,policy_enrollment,crime_rate
9,6,0,1,10.431682635289445,0,7.324263516835962
10,7,0,0,10.389195464364196,0,5.7165010905237965
6,4,0,0,13.963555898800916,1,20.668725730431063
10,6,0,1,13.251713034270534,1,19.498610033248376
6,6,0,1,13.24617331879428,1,19.26495658760504
8,8,1,0,12.370366542342168,0,7.841283684987033
5,7,0,1,12.196483003737267,0,7.639191106986434
10,6,1,0,12.86861027122558,0,10.15936430038821
7,3,1,1,13.06963010739551,1,20.18833445115988
5,4,1,1,13.380467897087009,1,20.422809218509272
6,5,0,1,13.316466726101678,1,20.26631271472997
4,8,0,0,14.804814076986569,1,18.65849005785662
12,4,0,0,15.025134404963932,1,21.880044261722624
4,4,0,1,12.31636060477254,0,9.25952115667916
6,7,1,1,13.753258271622254,1,19.485191066608326
5,6,1,0,13.867782756777231,1,19.78273941090573
8,5,0,1,13.844829256790977,1,19.44835324444184
6,3,1,1,13.258438647339444,1,19.50087810938582
2,6,0,1,12.171065691963213,0,7.979645855780604
7,9,0,1,13.908148875573138,1,19.161710080410487
6,5,1,0,13.41244515146499,1,18.030557885186788
10,4,0,0,11.23795985816862,0,7.456702404838464
8,5,0,0,12.46030960885223,0,8.823582985522023
10,6,1,0,14.457532999927464,1,20.50048807269855
5,7,0,0,13.635235913451488,1,18.658327828541957
5,5,1,0,14.708327932295054,1,20.709995896643644
4,4,0,0,12.674254425547856,0,9.953417227073055
10,7,0,1,9.771821550074876,0,5.056421322817779
8,5,1,0,12.939832919312389,0,10.713234400221095
7,5,0,1,13.076742793135251,1,19.024544870673203
4,8,1,1,11.65809388750862,0,6.526800332429708
3,8,0,1,17.096267861834207,1,21.542133819466088
10,4,0,0,13.374920981433904,1,20.023389003342277
4,5,0,0,9.749792304773056,0,4.5149399666815375
6,5,0,1,18.45618242511448,1,23.701737922297387
4,6,0,1,12.25066314697646,0,8.090803979952536
2,3,0,1,17.207732934429828,1,22.114995534476645
11,6,0,1,11.906332150975162,0,8.496184343717516
10,9,1,1,15.214490607171182,1,21.03662724240725
8,6,0,0,9.446028744122833,0,4.191037718357553
