years_of_experience,hourly_wage,gender,full_time,unemployment_benefits,regional_unemployment_rate,job_training_program,annual_income
9,30,0,0,1,11,22,195.784837828989
10,29,0,1,1,7,17,156.7100266445346
10,28,1,0,1,10,19,172.30982342541404
12,34,0,0,1,9,16,145.63419756168784
6,30,1,0,1,9,21,190.99416934524385
11,27,1,1,0,10,23,204.9350072366481
12,28,1,1,0,8,19,172.50597535856988
7,26,0,0,0,13,25,223.91343723156425
5,30,0,0,0,13,22,196.57061712351137
10,32,0,1,1,6,20,181.74650106163443
9,27,0,0,0,11,26,233.04995158829493
10,25,0,0,0,10,23,207.5758321079605
11,30,0,0,1,14,22,197.06794799127448
6,29,1,1,0,11,22,198.56821901271184
9,24,0,0,0,11,25,224.51897049304245
13,29,0,0,1,8,17,156.3397601454524
11,32,0,0,1,10,20,179.29324385477844
11,28,0,1,1,10,20,180.59327898863256
10,28,1,0,1,8,18,164.93158356659848
13,31,1,0,0,7,14,129.23688760543666
13,28,0,0,1,8,18,162.3625343849398
4,26,1,0,0,8,23,207.96490937693807
10,27,0,0,1,10,19,172.63161436298256
9,32,1,1,1,11,17,150.91791013255778
7,30,0,0,0,10,20,179.24244649072273
12,27,1,0,1,11,23,203.83669064161
14,31,1,1,0,7,13,120.22805052096074
12,27,0,1,1,9,20,178.3411896801075
13,29,0,1,1,14,23,203.20160177354543
9,29,0,0,1,12,22,198.16710340237336
9,28,0,0,1,11,21,189.4931436608878
9,28,0,0,1,9,23,207.8644598062594
9,32,0,0,0,9,19,169.64660507807645
9,29,0,0,0,8,21,191.8395445712538
9,26,0,1,1,10,23,204.8865622891053
12,29,0,0,0,9,17,154.07257756014448
7,31,0,1,1,11,21,187.20460295910263
12,27,0,0,1,11,20,180.6368478273513
3,28,1,0,0,11,25,226.23351068245245
9,31,1,0,1,13,21,185.83195748221647
10,27,1,1,0,11,23,205.71343964473328
15,30,0,0,0,10,17,152.7951252044241
7,34,0,0,0,8,19,174.59584948095093
5,31,0,1,1,12,23,203.6914580400643
4,29,1,0,0,7,20,184.46435084401816
9,34,0,1,1,13,19,170.21775638627008
10,31,0,0,1,12,20,180.8162434482381
7,30,1,0,1,11,23,207.98186570345777
11,28,1,0,1,10,18,162.38784826809157
9,31,1,0,1,8,18,163.35206856747118
13,28,0,0,0,11,19,173.6111509972909
14,29,1,1,0,9,17,155.29832643532328
12,27,1,0,0,12,22,195.0556356558637
9,31,0,1,0,6,19,172.53914762671363
13,30,1,0,0,8,16,145.69245235257893
7,28,1,1,1,11,21,189.6584460648248
10,26,1,1,0,9,19,173.19848307651975
8,29,1,0,0,9,20,181.2264443673593
