court_id,year,legal_aid_program,conviction_rate,avg_income,crime_rate,urban_location,public_defender_availability
1,0,0,50.968939081726425,3,10,0,1
1,1,0,51.61749083370798,3,10,0,1
1,2,0,48.57255112968258,3,10,0,1
1,3,0,50.932376293621154,3,10,0,1
1,4,0,50.03490018950815,3,10,0,1
1,5,0,50.26562387859872,3,10,0,1
1,6,0,49.85892313759582,3,10,0,1
1,7,0,51.447769054618014,3,10,0,1
1,8,0,53.47751400824817,3,10,0,1
1,9,0,50.79751195713292,3,10,0,1
2,0,0,53.17527988756713,4,10,0,1
2,1,0,54.448164567318976,4,10,0,1
2,2,0,50.25049145268066,4,10,0,1
2,3,0,51.59203309832683,4,10,0,1
2,4,0,51.44519850518456,4,10,0,1
2,5,0,53.845866665958965,4,10,0,1
2,6,1,56.51602113050498,4,10,0,1
2,7,1,57.50137107137769,4,10,0,1
2,8,1,60.31932117844087,4,10,0,1
2,9,1,57.16236832765135,4,10,0,1
3,0,0,48.90120400494657,6,9,1,0
3,1,0,49.717182255322165,6,9,1,0
3,2,0,48.84158258321983,6,9,1,0
3,3,0,49.62249168539648,6,9,1,0
3,4,1,54.18063887458948,6,9,1,0
3,5,1,55.819086438823575,6,9,1,0
3,6,1,53.55505683940984,6,9,1,0
3,7,1,55.25121529292007,6,9,1,0
3,8,1,56.61095997377183,6,9,1,0
3,9,1,53.67595486204117,6,9,1,0
4,0,0,50.10175620392932,5,8,1,0
4,1,0,54.07982074103797,5,8,1,0
4,2,0,49.04921515754244,5,8,1,0
4,3,0,51.257060464773176,5,8,1,0
4,4,0,50.79949478052338,5,8,1,0
4,5,0,52.94731383217199,5,8,1,0
4,6,0,51.00899407831665,5,8,1,0
4,7,0,52.6592333210232,5,8,1,0
4,8,0,51.72113872703479,5,8,1,0
4,9,0,50.723567817949565,5,8,1,0
5,0,0,52.2258278267676,2,7,1,1
5,1,0,51.362883991749925,2,7,1,1
5,2,0,48.81968390690891,2,7,1,1
5,3,0,50.73075777995357,2,7,1,1
5,4,0,48.69744947446463,2,7,1,1
5,5,0,51.75858418748325,2,7,1,1
5,6,0,51.23686123069791,2,7,1,1
5,7,0,51.059169227891246,2,7,1,1
5,8,0,54.607653981975645,2,7,1,1
5,9,0,52.04490599158656,2,7,1,1
6,0,0,53.45638317904433,5,6,1,1
6,1,1,59.41352246749299,5,6,1,1
6,2,1,54.734559514959926,5,6,1,1
6,3,1,57.19692879771222,5,6,1,1
6,4,1,55.69980168634305,5,6,1,1
6,5,1,59.39865020675303,5,6,1,1
6,6,1,57.647895649966586,5,6,1,1
6,7,1,57.611031824619566,5,6,1,1
6,8,1,58.30633041697183,5,6,1,1
6,9,1,58.40799106716358,5,6,1,1
7,0,0,50.087446752262544,1,7,1,0
7,1,0,51.39506426784222,1,7,1,0
7,2,0,50.7805538330743,1,7,1,0
7,3,0,49.96607401245191,1,7,1,0
7,4,0,52.09551626201872,1,7,1,0
