employee_id,post_policy,minimum_wage_policy,hourly_wage,education_years,work_experience_years,union_membership,full_time_status
0,0,0,49.42000197914636,2,6,1,1
1,0,1,48.573784608120114,5,7,1,1
2,0,1,46.83230929460255,3,4,1,1
3,0,1,47.04275395150099,2,5,1,1
4,0,1,47.53876625941557,3,8,1,0
5,0,0,49.38574579418091,1,5,1,0
6,0,1,49.892023012594585,1,6,1,0
7,0,0,49.35293749886517,1,6,0,1
8,0,0,50.874797040450055,4,9,1,1
9,0,1,45.48169982562733,2,8,0,1
10,0,1,47.5424937341545,1,7,0,1
11,0,1,47.29893335969601,2,10,1,1
12,0,1,47.040462133985656,2,5,0,0
13,0,0,50.19577035532441,3,7,1,1
14,0,0,48.7534593960517,3,6,1,1
15,0,0,47.95650755199875,4,6,0,1
16,0,1,44.992990436752414,2,6,1,0
17,0,1,47.159692161219226,4,8,1,0
18,0,1,47.03668254172548,2,8,0,1
19,0,1,48.30889676378399,4,7,0,0
20,0,0,49.85460047542183,3,7,1,1
21,0,1,48.03186042918553,3,5,0,1
22,0,1,47.54889122213932,2,2,0,0
23,0,1,46.36652063911724,1,3,1,1
24,0,1,47.16672399559608,2,8,0,0
25,0,0,48.27471226860428,2,8,0,0
26,0,1,48.38733384953201,1,4,1,0
27,0,1,47.2939007485452,2,8,1,0
28,0,1,47.45645146258807,2,7,0,1
29,0,0,49.15838013060172,2,5,0,0
30,0,0,47.610355730686905,2,7,0,1
31,0,1,47.48981807023701,4,8,0,1
32,0,1,46.95521607124614,2,6,1,0
33,0,0,49.86629949874002,1,9,0,1
34,0,1,48.42168779754724,3,4,1,1
35,0,1,47.13647059913919,2,9,0,0
36,0,0,47.02111537799164,2,4,1,0
37,0,0,49.07805385629649,1,7,1,1
38,0,0,49.40442491403163,5,8,1,0
39,0,1,47.12975501829459,3,8,0,0
40,0,1,47.49719559802941,4,7,0,1
41,0,1,48.31999724417294,2,3,1,1
42,0,0,49.19886432855782,2,7,0,1
43,0,1,47.06834021566996,3,6,0,0
44,0,1,48.96844039150308,3,9,0,1
45,0,0,48.1526089568772,1,7,0,1
46,0,0,50.03792375326868,2,7,1,1
47,0,0,48.34210335592111,4,7,0,1
48,0,0,49.59113382095995,3,4,0,0
49,0,1,46.74152677210219,2,5,1,1
50,0,0,48.30856284398254,3,5,0,1
51,0,1,47.29641915282087,2,4,1,1
52,0,0,49.396615016906296,3,7,1,0
53,0,1,47.11338449362763,4,5,0,0
54,0,0,46.72781644715951,2,8,1,0
55,0,1,48.42229122772149,4,6,0,1
56,0,0,50.383559656027074,2,9,1,0
57,0,0,50.26056844098788,2,3,1,1
58,0,1,47.22257884171758,3,7,0,0
59,0,1,47.54603280142869,2,5,1,0
60,0,1,48.40982512549004,4,6,0,1
61,0,1,47.72065310915907,1,8,1,1
62,0,0,50.15546479366871,3,7,1,1
63,0,1,46.12352246564418,4,6,1,0
64,0,0,50.107612654732506,4,7,1,1
65,0,1,49.28170286019834,4,6,1,1
66,0,0,48.88306737795982,3,9,0,0
67,0,1,47.64287332391736,5,4,1,1
68,0,1,47.07411728179581,2,7,0,1
69,0,0,48.75698044548844,2,4,1,0
70,0,0,51.48248798067339,3,7,1,0
71,0,0,49.40426699200224,2,6,0,0
72,0,0,49.03633006088596,2,6,1,0
73,0,1,48.22708960800556,2,8,1,1
74,0,1,46.71754546588361,3,8,1,1
75,0,1,47.35457424900923,3,5,0,0
76,0,0,49.393242668629135,2,7,0,1
77,0,0,48.82642239143455,3,5,0,0
78,0,0,50.343266871561,3,8,1,1
79,0,0,49.88144033759104,2,4,0,1
80,0,1,47.68660097345213,2,10,1,0
81,0,0,48.66931890332518,4,11,1,1
82,0,1,47.76184387481367,3,8,1,1
83,0,1,47.21167784155543,4,4,1,1
84,0,1,46.79618706830424,3,7,0,1
85,0,0,48.60679413517921,2,9,1,1
86,0,0,50.834268207049824,2,6,1,0
87,0,0,49.380909047334896,4,9,0,0
88,0,1,48.28233753293723,0,8,1,0
89,0,0,49.78771583701716,4,8,0,1
90,0,1,47.62653839734895,1,5,1,1
91,0,1,47.509674634229015,2,7,0,1
92,0,1,48.472715459497785,5,6,1,0
93,0,1,48.85147809574731,5,7,1,1
94,0,1,47.00920052120989,4,6,1,0
95,0,1,49.00675037616472,3,8,0,1
96,0,1,47.18746393576023,2,2,1,1
97,0,1,47.40765651835136,2,5,1,0
98,0,0,49.48442829398064,3,11,0,0
99,0,1,46.471962181562624,4,10,1,1
100,0,1,46.95480832876372,2,7,0,0
101,0,1,46.77762097584223,3,10,0,1
102,0,1,47.70033604467314,3,9,1,1
103,0,0,49.74824948246108,2,2,0,0
104,0,1,46.68761957480845,2,9,0,0
105,0,1,48.3724234460469,3,5,1,1
106,0,0,49.9946882641386,4,4,0,1
107,0,1,47.19692427408168,2,7,0,1
108,0,1,46.086240478640185,2,6,1,1
109,0,1,47.08321865159618,2,7,0,1
110,0,1,47.61427536994698,1,7,1,1
111,0,1,47.75238698045984,2,9,1,1
112,0,0,48.38452251288794,3,4,0,0
113,0,1,47.73787164622436,3,7,0,1
114,0,0,51.34730124469357,2,7,0,1
115,0,0,50.65806230499851,3,9,0,1
116,0,1,47.4992222547955,3,7,1,0
117,0,0,51.93649340829779,3,6,1,0
118,0,1,48.19390582336319,4,7,1,1
119,0,0,49.733213162301766,4,5,0,0
120,0,1,48.74719256705716,4,5,1,1
121,0,1,47.9518719787869,1,9,1,1
122,0,1,48.13336500955147,1,4,1,0
123,0,0,49.24187336922228,3,4,0,0
124,0,1,48.47391567129329,3,7,1,0
125,0,0,48.28607301655737,4,7,1,1
126,0,1,46.61065280179044,3,7,1,1
127,0,1,46.41559979109778,2,9,0,1
128,0,1,46.31287123105047,2,8,1,1
129,0,1,47.60717430497628,2,5,1,0
