participant_age,education_years,household_income,social_network_size,hours_worked_per_week,gender,rural_residence,social_media_usage,political_participation
26,22,2,3,2,1,1,1,90.34597037591308
22,23,5,17,1,0,0,0,94.918639612073
31,23,3,18,2,0,1,0,101.0642089474807
26,24,6,12,3,1,1,1,103.37769217365393
23,21,3,18,3,0,1,1,100.69923268538128
22,18,6,20,2,0,1,1,98.51483155533482
35,22,8,11,1,1,0,1,104.51845168834058
5,28,8,12,3,1,0,1,95.00355392117038
18,25,9,18,1,0,1,0,100.05442701487686
25,27,4,10,2,1,1,0,97.03014772792228
13,30,7,12,2,1,0,0,92.93435440395618
19,23,5,17,1,1,1,0,95.8772286110742
30,25,8,14,2,0,0,0,103.58607896799256
17,24,5,8,3,0,1,0,88.35842132050779
28,24,7,12,3,1,1,1,104.59964517478132
9,29,8,12,0,0,1,1,96.03299566058008
10,22,7,16,1,1,1,1,95.07977635406144
26,22,6,12,1,0,1,1,98.85090302988536
30,27,4,15,3,0,0,0,103.85779954835104
19,24,9,11,0,0,0,1,96.4799579239298
12,27,4,11,2,1,0,1,94.83289203468944
19,32,7,10,3,1,0,1,102.77085926076673
23,24,4,11,1,0,1,0,93.37378159629324
24,24,8,18,3,1,1,1,108.83560130736753
31,21,9,13,0,0,1,1,101.95932801978635
32,17,3,7,3,0,1,0,91.43658607407896
37,26,7,12,3,0,0,0,107.07974611542716
40,14,5,25,2,0,1,0,108.85406144578576
24,24,9,5,3,0,0,0,96.14366636543912
23,19,7,14,2,1,0,0,95.50151820297556
15,22,5,14,2,0,1,0,91.15265140015428
36,25,3,13,1,0,0,1,104.5902671524645
26,23,5,9,2,1,1,1,98.9642087298176
37,25,5,22,2,1,1,0,111.95990019595446
15,22,4,16,2,0,1,1,94.28715081125075
32,24,0,8,1,1,1,1,97.56320372339754
36,22,7,17,3,0,1,1,112.95540935185495
34,18,3,19,3,0,0,1,104.19863346501783
9,22,8,14,1,0,1,0,88.15630060858174
7,25,5,23,2,0,0,1,97.233628109532
40,23,9,20,3,0,1,0,112.48861562746188
27,25,8,14,0,1,0,1,104.1357682979442
25,25,4,16,1,1,0,0,99.51174123371624
14,23,4,15,0,0,1,1,92.98302774695004
29,24,3,12,3,0,0,1,101.73990392456813
23,24,5,14,3,1,1,0,98.66987053177752
22,24,4,20,3,0,1,0,101.55210169613277
17,19,6,18,1,0,1,0,94.94152827353012
-1,22,4,25,1,0,1,0,87.58230970758
42,27,7,16,2,0,1,0,114.26003959231512
13,28,8,14,1,1,0,1,98.45507062309764
21,16,9,18,1,0,1,0,95.85685443601535
26,19,2,15,1,1,0,1,94.6275749155606
20,28,7,17,1,0,0,0,98.75361249410992
20,27,4,12,1,0,0,0,94.61599063400604
12,24,7,9,0,1,1,0,86.91590625828889
35,17,2,24,1,0,0,1,106.87037516106888
20,19,2,11,2,0,0,1,90.67118824601778
31,17,6,18,0,1,1,0,98.58489102547034
25,30,6,13,1,0,1,0,101.15382882208245
27,22,5,11,1,0,0,0,95.59030954027055
20,21,5,12,4,0,1,0,95.29797745938654
24,16,7,21,1,1,0,1,99.6761451635637
26,21,0,14,1,0,1,1,94.46476397359709
14,22,7,14,2,0,0,1,96.06460018005215
8,24,8,11,1,0,1,1,91.19161160106935
25,34,1,16,1,1,1,1,105.5393457078944
23,28,4,12,0,1,1,0,96.60114554428068
11,20,7,16,1,0,1,1,92.13743097256145
25,18,1,19,1,0,1,1,98.9013493133969
21,28,3,16,2,1,1,1,102.72663737969658
6,24,5,22,0,0,0,1,92.888980851397
38,26,7,16,0,1,0,0,108.09843359454848
11,27,3,15,1,0,1,1,93.8432413447072
14,16,2,13,2,0,0,1,85.77954354563407
16,24,2,13,3,1,0,0,91.51571671672136
18,20,2,14,1,0,1,0,86.90796606247984
37,26,5,14,2,1,0,0,105.41365402405398
9,28,2,14,3,0,0,1,92.55446396653775
30,27,3,8,1,1,1,0,96.69679269629624
31,25,3,25,1,0,1,0,107.7906453652256
26,19,8,20,1,1,0,1,102.7693005107226
11,19,4,17,4,0,0,1,93.81357290493912
13,21,8,18,0,0,0,0,91.6876158856534
35,22,4,15,4,1,1,1,108.88901578873616
23,26,4,16,0,1,1,1,101.29314187093428
23,18,6,21,1,0,1,1,98.5362453655458
20,20,3,14,0,1,1,0,90.51865219592892
26,25,4,12,2,1,1,1,102.2387866546042
10,20,3,12,2,0,0,1,86.63721480503722
34,21,5,16,1,0,1,1,104.26341807545754
24,18,6,21,2,0,0,1,99.54347797719876
33,22,2,10,0,0,1,0,93.66991420321096
48,27,8,16,2,0,1,0,117.48447779800904
22,23,5,14,3,1,0,0,95.8567094205909
22,23,8,18,1,1,0,0,99.55918357761917
24,26,2,22,3,0,0,1,107.4732832550721
14,22,4,6,3,1,1,1,89.28691315866705
11,26,6,18,1,0,1,1,97.67585954663085
18,24,4,21,0,0,0,1,98.06634597644064
25,23,1,15,2,1,1,1,99.81369595873458
21,27,6,20,2,1,0,1,105.861420450796
33,29,5,10,2,1,1,1,105.90888419270814
7,23,9,21,2,1,0,0,93.67092291122826
16,23,6,11,3,0,0,1,95.13303324420612
23,31,10,12,2,1,0,0,104.52678907619229
24,23,10,9,2,1,0,1,99.433281403169
41,22,5,21,3,0,0,0,111.51075218018516
10,23,4,12,0,1,0,0,84.81065316166938
13,19,8,20,1,1,0,0,92.6584399058939
3,30,5,12,2,0,0,1,91.17496412791064
30,27,5,19,2,0,0,1,108.59997194603346
20,27,6,16,2,0,1,0,100.00521974432024
27,23,3,20,2,0,1,0,100.56038843106518
