age,income_level,gender,rural_residence,previous_unemployment,job_training_program,employment_status,annual_income
34,24,0,1,1,1,49.55987558779591,179.69302022916148
32,27,1,1,1,1,48.59112843022129,179.66825103933357
41,13,1,0,0,1,45.82971978940366,170.48409572028746
24,18,1,1,0,1,33.349436612583666,138.21206196821348
17,20,0,1,1,1,31.477012206323952,136.59229596339898
24,29,0,1,1,1,43.42836353493453,166.4812463242492
40,27,1,1,1,1,59.71407965120029,206.67160026547603
45,17,1,0,0,1,52.503177952407015,190.5513579625361
45,25,0,0,1,1,58.877398845317344,206.5122577305011
28,10,0,0,0,1,31.750609971364693,134.71858031672105
25,26,0,1,0,1,40.40654186550967,155.41287085867276
27,18,0,0,0,1,36.637904427602926,145.00983101985096
20,14,1,1,0,1,30.946460828488497,131.14357319891215
24,11,0,1,0,1,29.712246455770988,125.43716678149976
33,19,1,0,0,1,41.98872322770808,162.59405167503752
35,19,1,0,0,1,46.16730942214764,170.50469405259392
27,19,0,0,0,1,39.75294457485845,152.69773551633742
43,21,1,1,0,1,55.91366588300384,193.77739674665685
31,19,1,0,0,1,42.77014777891354,162.06865442623126
44,24,0,1,0,1,58.251305915635015,201.177195445808
24,5,0,1,1,1,27.26514626550861,122.35297425831776
23,8,1,1,1,1,29.15888567689656,124.6286696417958
24,11,0,0,0,1,27.9880227652034,121.83933592892394
23,15,1,0,1,1,31.968152403214813,135.66661068659204
29,16,0,0,1,1,39.96906380120143,154.16318822413467
35,14,0,1,0,1,39.72700056391516,155.132927207308
31,24,0,1,0,1,44.43436644314603,168.09838834536353
19,24,1,1,0,1,35.55671913718501,146.23468633931282
28,26,0,1,0,1,44.46727399629378,166.85021052621266
36,13,1,0,1,1,43.95912211313864,163.62066066476336
30,29,1,0,1,1,50.6779195542572,182.35547484979455
19,15,1,1,1,1,31.04874412262008,132.76399931713857
30,18,0,0,1,1,41.457553812511314,159.9042414640186
30,16,1,0,0,1,39.355865652618114,154.0558550188983
36,12,0,1,1,1,43.89168724352199,162.2200579602006
46,12,0,1,1,1,51.47944098036936,183.4535525030184
34,19,1,1,1,1,46.67108961818205,172.28896388521295
18,19,0,0,0,1,30.22239080771424,129.10423463145852
34,11,0,0,0,1,37.20131328718647,146.7796679465696
25,19,1,0,1,1,38.23867398401098,152.37980765880366
45,30,1,0,0,1,62.331667737033726,215.2661050145296
25,14,1,0,0,1,34.45547074623334,140.55022064979545
21,17,0,1,1,1,33.45601830551531,137.82320510348393
35,15,1,0,0,1,43.23072980122544,164.34727954539068
28,18,1,0,0,1,37.355031522533615,148.7663375318557
28,23,0,0,0,1,42.56887929600019,160.72895423013185
21,21,0,0,1,1,34.12373250372905,141.57575735102796
22,23,0,0,1,1,36.794370640573455,147.33555971165512
18,18,1,1,1,1,33.50113001065523,138.7852748085025
30,11,0,1,1,1,37.689999605659,146.74779545311884
13,29,1,0,1,1,35.19615124697314,142.40829174532365
24,13,0,0,1,1,31.404176717828637,133.54701171108513
42,26,1,0,1,1,57.14799764259246,199.94923054872163
29,20,1,1,0,1,40.63576039932698,158.2929173162712
21,23,0,0,0,1,35.60619495371563,145.53311969113193
34,18,0,1,0,1,41.605670791092464,162.63706672143817
27,14,1,1,0,1,36.10389871383764,146.3656731686318
52,15,1,1,0,1,57.0066122190422,199.5712319556917
24,19,1,1,1,1,38.93632093556803,153.39481681666737
30,17,0,1,1,1,39.61070879026031,152.4646128349514
45,25,1,0,0,1,58.73723098106585,205.57120228676183
31,15,0,0,0,1,37.67279003682483,151.3583976574102
40,10,1,1,0,1,44.63988618703364,163.8988101841556
38,20,0,0,0,1,46.56549357080655,172.50371982117989
45,30,1,0,0,1,62.69766494839905,216.0626368608723
37,20,1,0,1,1,49.87405163554767,181.37303375505644
31,25,1,1,0,1,47.99091962897214,174.98216662323227
32,19,1,0,1,1,46.27342452806028,170.96201706672346
37,23,1,0,1,1,50.75869777947087,182.2726845931075
21,12,1,0,1,1,30.11338119204252,127.89563731655112
29,31,1,0,1,1,49.36254244920118,181.17731933562013
25,17,1,1,1,1,37.5430702213768,148.18867472025275
36,4,1,1,0,1,35.87705194547248,143.6444994573521
32,22,0,1,1,1,45.982810112984616,170.43979030963888
22,26,0,0,1,1,39.26877929853725,155.1811730779812
34,17,1,1,1,1,45.1536328416062,166.28448451888454
26,21,1,0,1,1,39.49097498365059,155.76932511292088
24,16,1,1,1,1,35.966020178574425,144.3144774749543
14,22,0,0,1,1,30.592973436044005,131.21124677156303
29,27,1,0,1,1,48.21771197443028,177.5589370734094
15,19,1,0,0,1,28.143284440811176,123.9759329936388
32,7,0,0,0,1,31.303327295607534,133.54018867962927
41,19,1,0,0,1,49.85998837609604,179.43124852062752
33,16,1,1,1,1,44.08846912254907,165.73877332690293
34,25,1,0,0,1,47.29668269295604,173.59741095747978
22,18,0,1,1,1,35.5896819405206,142.73281354599885
22,18,1,0,0,1,32.89451579420277,135.32016208530342
26,24,0,0,0,1,38.08999767962125,147.7368274149144
27,23,0,1,0,1,41.12694325902815,158.3653144384589
35,26,0,0,0,1,48.53262770079433,178.42306602660562
32,18,0,0,0,1,40.536372002823455,155.03893898413222
35,23,0,1,1,1,49.39585914284677,179.82929743312488
38,23,1,1,0,1,50.46350319038596,186.3831919160301
12,35,1,1,0,1,38.58667105659968,152.84579229507946
33,25,0,0,0,1,47.203737576869294,175.67979270546545
31,30,0,0,0,1,48.4630508418363,179.74016289908138
28,25,1,1,0,1,41.546555147854086,161.369103441674
33,17,0,0,1,1,40.751961875893066,158.95975631484657
43,19,0,0,1,1,52.19845368481466,186.69656522812448
24,24,0,0,1,1,39.36274381623865,151.359519523294
28,17,1,0,1,1,41.02103470025392,156.5585142363448
18,8,0,1,0,1,22.50979319494956,108.98099269528716
30,11,1,1,0,1,36.4450400955143,144.9570995561506
19,29,1,1,1,1,38.89205834753772,153.06502438855696
28,10,1,1,0,1,34.62237676200746,140.96032685391492
44,9,0,0,1,1,46.59810647306672,170.9386689906431
5,22,1,0,1,1,22.33629149465491,112.02531358769323
23,25,0,0,1,1,39.44190049705885,153.27917753776254
16,20,0,1,1,1,28.515942014535785,127.54787679774864
36,24,1,1,0,1,50.03885613409624,182.430091322758
27,28,0,1,1,1,44.47013846108444,171.123531466803
39,11,1,0,0,1,42.25963650899743,160.99211287609617
36,10,0,0,0,1,39.29240659406615,151.2380157803325
47,21,0,0,0,1,53.881015412938574,191.32557098422475
19,20,1,0,0,1,33.67315959676443,138.84770114936262
13,15,1,1,1,1,25.379330849847783,118.27125958575668
32,10,0,0,1,1,36.230723536662296,145.89760812291797
28,31,0,0,1,1,49.32003833802271,181.3957589153172
31,18,1,1,0,1,42.15910130975356,160.7194593882228
11,21,1,0,1,1,29.52265123562195,127.24982461440442
22,19,0,1,0,1,34.09352897040747,140.11464701676192
30,24,1,1,1,1,48.99719812780715,177.1277140022837
31,16,1,1,0,1,39.54370953087358,155.09169993480114
16,28,0,1,0,1,34.9480199353946,141.56637573553868
20,16,0,1,0,1,32.15953030719193,132.37770316725857
37,7,1,1,1,1,42.48887742178515,159.48591787974152
23,14,0,1,1,1,32.105886777080784,134.74994433488064
23,21,1,0,0,1,36.97009738514128,147.55545175552135
32,16,0,0,1,1,42.62760676218733,161.64450224384234
37,25,0,1,1,1,52.53743682861565,186.7664410343064
12,15,1,0,0,1,24.39182654541563,112.20979254201444
23,28,1,0,1,1,43.55987445514095,166.7556954293579
41,18,0,0,1,1,50.07184025773583,177.7954385867153
35,15,0,1,1,1,44.48985533349296,166.47106082895382
35,21,0,1,1,1,47.83786153038904,176.7499223045887
31,31,1,1,1,1,49.89819528570745,181.28787357560287
34,23,1,1,0,1,48.22940734354837,177.27348400591023
32,20,0,1,1,1,44.57409121962415,167.68859780753652
14,17,1,1,0,1,28.332355179961564,120.2184523154377
35,16,0,0,1,1,43.80225740016309,164.28732959401538
42,14,1,0,0,1,48.37987066712394,174.57432785515525
21,14,1,1,0,1,32.10308627799273,131.9420067875439
26,26,0,1,0,1,41.78630614240809,160.93298671468074
34,25,1,0,0,1,48.673608465911954,177.88559289436753
27,4,1,1,0,1,31.29979929188868,128.13386580110475
20,21,1,1,1,1,36.45557129943213,146.58489878290882
14,17,0,1,1,1,28.228471355459604,123.7417000822531
16,17,0,1,1,1,27.58801389305265,125.20120171603752
35,21,1,0,1,1,48.86062729698936,177.684703275396
32,16,1,0,1,1,43.20699548505228,162.64456917778972
42,19,1,0,1,1,52.27285183890867,186.9471711204948
42,7,1,1,1,1,46.020295054833,168.60825137540846
26,16,0,1,0,1,33.57463531856212,138.559787256453
23,22,1,1,1,1,40.26904538836471,158.80829262811756
40,18,1,1,1,1,50.77154512392716,187.07716780569703
37,16,0,0,1,1,45.37900680403592,168.55011056622442
33,10,1,1,1,1,39.75392794381842,151.2964536668263
34,18,1,0,0,1,43.58918866996775,165.17980145281336
38,16,1,0,1,1,48.360627949718754,176.46359821673502
49,15,1,0,0,1,55.86710274877967,195.7133186525138
33,22,0,1,0,1,45.53206907735972,169.94565493769372
19,19,0,0,0,1,30.49318201037478,129.1942561100034
31,10,0,1,0,1,35.373358097436295,139.60503653273233
38,16,0,0,1,1,45.22614244149822,167.21874675756249
20,12,1,1,0,1,27.87244328424771,122.57087331848304
30,16,0,1,1,1,38.68048717832479,148.72192085290553
8,21,0,0,0,1,19.978488409003173,108.63288537590064
24,17,1,1,0,1,36.562453996130905,146.79313865728852
17,28,1,0,0,1,37.989479894296274,151.6349715350998
30,17,1,1,0,1,40.38240236061374,158.9499592846224
31,24,0,0,1,1,44.79358161267158,168.45539999010677
27,22,1,0,0,1,41.1083157528633,158.2727500986251
38,16,1,0,1,1,47.99694078350817,174.28963563460456
19,16,1,1,0,1,31.2613765588538,130.00622345495665
27,29,1,0,0,1,44.06769184610872,167.43744226582575
29,18,1,1,0,1,40.05880535919761,157.81566422282378
24,14,1,1,1,1,33.58476441733386,138.32452277565383
25,10,0,1,1,1,32.10484326812472,133.3874777352071
39,24,0,0,1,1,53.002086727899446,186.9878755117985
41,32,1,1,1,1,60.6123069155615,211.4223534724208
28,23,0,0,0,1,41.19428019121927,157.99615001030236
26,11,0,1,0,1,31.98293853139932,132.58504712533497
5,27,1,0,0,1,26.853136214615507,119.88531401037216
33,21,0,1,1,1,46.92693311529717,170.74523794775124
28,20,0,0,1,1,41.44876260662002,156.0485184489085
23,23,1,1,0,1,38.94933005483015,148.30752507395968
24,24,0,0,0,1,38.04667972272395,151.43379469291747
32,16,0,0,1,1,41.37463811135146,155.2173597977509
30,14,1,1,0,1,37.63485666312365,150.24469479967848
31,20,1,1,0,1,42.727426558828405,162.53346610865037
30,23,0,1,0,1,43.9275349351185,164.55113271118066
26,21,0,1,1,1,39.9561795312611,154.38857997135858
31,13,0,1,0,1,36.03035359398899,145.4808801826383
20,35,1,1,0,1,45.91099673383383,171.8116175245369
49,12,0,1,0,1,52.058848201683816,187.0657575235329
20,19,0,1,0,1,31.038324937074453,132.7135846347647
27,18,1,0,0,1,38.81180364074732,152.01893638652462
37,22,1,0,1,1,51.749853723693874,185.44284058205716
28,19,0,0,1,1,41.12546869210579,156.1605300851289
29,22,1,0,0,1,41.17097611439057,157.33712521306092
40,15,0,1,0,1,45.379815808844654,168.7586849203333
36,18,1,1,0,1,45.65260793740292,170.5808728483612
21,14,0,0,0,1,29.26906834215402,125.8296493236853
27,18,0,1,0,1,37.81953547876434,147.3250098461023
33,18,1,0,1,1,43.62681988271035,163.14829627559763
18,19,0,1,1,1,31.31177169854924,133.01770514803212
31,16,0,1,0,1,36.37770140996378,147.42775622822273
21,20,1,0,0,1,35.23289833603171,142.37086915314669
43,14,1,0,1,1,49.979093424286674,180.7886041536468
27,18,1,1,0,1,39.085713638733935,152.49063338735434
43,25,0,0,0,1,55.64388810304307,195.41298382664377
22,25,1,1,1,1,41.41013423871214,158.92146153801633
35,17,1,1,1,1,45.09678169241288,171.14230305138787
33,25,1,0,1,1,47.98792363003261,176.11356195674148
29,21,0,0,0,1,40.02090451908855,155.5278907235574
37,24,0,0,0,1,49.109404824664345,178.5759945521182
42,8,1,0,0,1,45.196205661333536,169.67930742381256
25,12,0,1,0,1,29.83969442145779,127.15349797046989
26,22,1,0,0,1,41.40088438726617,155.96398317208008
27,10,1,0,0,1,30.433284303775075,130.90066796701817
24,20,1,1,0,1,37.90502639074386,151.6437293163082
35,23,0,0,1,1,48.643908783824806,178.60952412127506
33,24,1,0,1,1,49.71632478740524,179.69940359908244
31,19,0,0,0,1,41.81142794619294,157.88942471964538
28,25,0,0,0,1,43.66218375113847,166.4751023765818
29,22,1,0,1,1,43.54951617046705,166.94950210241004
26,22,0,0,1,1,39.66853705491129,151.9243329231722
43,32,1,1,0,1,61.15578426604354,212.66139490764485
38,26,1,0,0,1,52.33822305756781,189.2767339060136
29,24,1,0,0,1,44.26473397169664,165.60261676418023
32,24,1,0,0,1,46.64524105727885,175.125221518876
26,19,1,1,1,1,38.37088478662303,150.60079614305565
17,26,0,0,0,1,34.65382108534786,140.99652376200456
32,12,0,1,1,1,39.05904293484574,151.97238048149708
15,16,1,1,1,1,27.95604105306587,125.08036672256088
21,21,1,1,1,1,37.37806837855541,150.4709028238602
34,9,1,1,0,1,38.51186577779088,150.28851567952387
26,22,1,0,1,1,42.330244316526965,159.89838339133755
39,13,0,1,0,1,44.23963828166061,167.74622543489596
24,12,0,1,0,1,30.491919773559477,129.23296336981716
20,26,0,0,0,1,36.50828433074473,146.03933766443856
35,11,1,0,1,1,40.50167047507363,156.6447113660285
35,23,1,0,1,1,49.38427895695861,182.3950658469134
20,6,0,1,1,1,23.07307437554253,111.49236517383498
30,17,1,1,0,1,41.26834655609605,159.27055922888383
38,25,1,1,1,1,54.57909407894317,193.51851325077263
27,17,1,1,0,1,37.38963290828231,148.58496820260063
39,18,1,1,1,1,49.25410271459127,179.07889682804554
34,22,1,1,0,1,47.78868795385373,178.48150760852596
29,26,1,1,0,1,45.277090908432704,169.48073193769432
19,27,0,0,1,1,39.5953396760312,154.6629183650591
35,16,1,1,0,1,44.414202372706384,166.52969092446904
41,18,0,1,1,1,52.114257288664575,185.98955342646124
27,13,0,1,0,1,34.23913612558704,140.73595725246216
25,8,1,1,0,1,29.828104545586285,129.01816434878134
33,21,1,0,1,1,47.6153384916586,174.42685009061273
47,31,0,1,0,1,64.31652364798346,218.5631609690486
36,18,1,1,1,1,45.37031908929963,169.0516877465827
23,15,1,0,0,1,33.24674310571832,137.90035082272266
38,29,0,1,1,1,54.50648233862959,197.21821643539303
29,22,1,1,1,1,42.70203043188295,163.36432241513236
29,17,1,1,0,1,39.57939664752526,153.38099431957963
11,15,0,0,1,1,21.592518069440803,106.8446625176664
33,18,0,0,0,1,43.22480021490507,162.84432453400083
23,17,1,0,0,1,34.17171408557854,139.08901723899737
33,16,1,1,0,1,41.8965802099236,160.07386710433056
37,26,1,1,0,1,52.48271811969333,188.29852226220692
35,20,1,0,0,1,47.66369049475847,172.67874196453872
23,27,0,0,0,1,38.00818997726313,151.55407751053667
14,15,1,1,0,1,25.19619878646663,116.2031674281384
27,21,1,0,1,1,42.34359475181075,161.37521503673187
31,24,0,1,1,1,47.72524036692299,172.50478423096615
24,11,0,1,1,1,32.91914828304762,134.18894904710018
17,20,1,0,0,1,30.660511210784065,132.6509408715797
23,23,1,0,0,1,38.041493901609705,149.58707013107514
18,21,1,0,0,1,33.416329790818246,138.773016440455
20,18,1,0,0,1,33.553819416780286,136.37006191307844
45,24,1,0,1,1,58.70408211701986,203.78288012037248
35,23,0,0,0,1,47.55405251410711,175.17475213817244
20,19,0,0,1,1,34.2428394789874,137.86257759420764
34,13,0,1,1,1,41.73698618815754,158.89589624541307
21,13,0,1,0,1,29.416884334792204,127.05680615439624
35,25,1,1,0,1,50.77140525540899,181.66803014989972
51,20,0,1,1,1,60.53794038432902,208.0057339763512
19,5,1,0,1,1,25.1067291729828,113.1581700940452
34,18,0,0,0,1,41.67648457213173,158.35090950067735
39,22,0,0,0,1,50.206244168685934,179.27172743315148
30,21,0,1,1,1,44.852782868453815,168.63508053676753
33,19,0,1,0,1,43.23407120472179,163.26501892116318
13,22,1,0,1,1,30.42172919683316,129.7919962008233
34,27,1,0,1,1,51.80792735307976,185.47566157763347
28,12,1,0,1,1,34.488329288128945,142.4093757001094
25,26,0,1,1,1,41.26673898857725,159.6142601275104
23,19,1,0,0,1,36.21051457728748,141.58197230262348
32,17,0,0,1,1,42.25221197152331,160.5154839108763
23,15,1,0,1,1,34.354700659384164,139.5487924099023
19,2,1,0,0,1,20.63556483385353,104.0978159569566
28,22,0,1,1,1,41.25571338693858,159.1703972181826
38,16,0,0,1,1,45.97364673666465,170.3920700452281
27,9,0,1,0,1,31.624952130573494,134.3524578232147
27,13,1,0,1,1,37.53645555885121,145.84456651624737
27,13,1,1,0,1,33.62656064265172,138.79286319561052
22,28,0,0,1,1,40.33641586014086,156.884472618321
33,23,0,1,0,1,46.4228192494516,173.27866134001775
31,12,1,1,1,1,40.24418724171781,155.45245349157392
34,20,1,0,0,1,45.34404804929324,172.57878654344518
41,31,0,1,1,1,60.25686335606866,207.52761177343177
23,21,0,1,0,1,36.001593630176444,145.59242821178947
38,29,1,1,1,1,57.52307095156332,202.2439520893886
27,27,1,0,0,1,41.73416663079579,162.36684198148103
32,12,1,0,0,1,38.94285757364031,149.57658337333004
26,18,0,0,0,1,38.053836362019446,149.07826348274398
19,11,0,0,1,1,26.252981909356468,119.26575863233852
33,13,0,0,0,1,38.42796571813453,149.35288334754802
24,21,0,1,0,1,37.69538386597295,149.44386781593712
41,21,1,0,1,1,54.47844231619464,192.66541134160408
28,22,1,0,1,1,43.42383923086491,163.86441131752326
33,22,0,1,1,1,46.54309299702179,174.36377892540526
5,13,1,1,1,1,16.195619284936075,93.65079349075178
18,16,0,0,1,1,29.59413823541578,127.71626748846587
32,26,0,1,0,1,47.92687030629588,175.98640631480524
38,28,1,0,0,1,53.58406735688406,192.70619304878224
21,25,1,0,0,1,38.75674451050424,151.05716958135093
31,25,1,0,0,1,45.45261315880996,170.73823453460724
21,14,1,1,0,1,32.3332814167211,134.87080093401244
24,10,0,0,0,1,28.71497159895001,123.7551904295009
27,18,1,0,0,1,37.786361269863335,148.6400229384612
40,22,0,1,1,1,51.96227370397766,186.3873806513374
20,20,0,1,0,1,34.14563213512376,139.8374905442001
29,21,1,0,0,1,41.63017184899928,159.55035708061692
36,30,1,0,1,1,55.97951696420628,195.87308647075852
29,9,0,0,0,1,32.139666197030884,134.1730077007974
25,11,1,1,0,1,30.964560801696926,132.33948997413117
26,13,1,1,0,1,33.79379543730526,140.15551066539248
