education_years,age,weekly_hours,previous_income,gender,union_membership,local_unemployment_rate,job_training,current_income
9,33,9,14,0,1,12,75,149.17420380068134
9,28,9,15,0,0,10,67,142.4185429599383
11,31,9,10,0,1,11,77,152.62853115098787
12,27,8,12,0,1,11,69,145.36884588258772
8,30,1,15,1,0,13,68,135.45016292517263
6,31,5,12,1,0,13,70,139.915127269346
9,27,10,17,0,0,14,74,151.24365028681638
10,27,6,10,0,0,10,71,144.6401300109392
7,29,11,13,1,0,10,73,153.04212159782912
11,30,7,11,0,0,11,73,146.3478550904586
10,27,5,14,1,0,12,69,141.89457775039884
3,27,11,13,1,0,11,65,139.6501147571539
8,30,7,15,0,0,11,69,141.2769906713671
12,28,11,14,1,1,10,74,153.18859429267013
10,31,9,9,0,1,14,77,151.4484530925552
5,28,2,13,0,1,11,64,130.7265892461638
12,27,5,16,0,0,10,65,137.82903176895437
13,32,11,12,0,1,11,78,152.97587616108007
6,30,7,14,0,0,13,67,136.61687712121534
8,29,10,14,0,0,11,71,147.29329874415723
16,30,6,11,1,0,11,75,151.5129320220734
9,31,2,14,1,1,10,68,136.0154911931798
10,28,10,10,1,0,12,75,150.27734938361323
7,29,4,14,0,1,8,64,132.14731856553612
14,29,8,14,1,0,15,77,154.54762258477436
8,27,15,14,0,0,10,74,155.35554409839577
10,34,6,15,0,0,11,74,147.63055056004217
8,30,4,16,0,0,11,67,136.50285852780956
10,32,6,18,0,0,7,70,145.49618991317644
9,32,8,11,0,0,10,74,149.98221455100386
9,34,9,12,0,0,13,77,149.38941622905236
7,33,9,18,0,0,14,73,148.67464197289016
8,29,1,14,0,0,16,67,134.19717265271666
8,28,5,15,0,1,13,67,139.0225791237432
14,26,7,14,0,1,10,70,141.08110157655267
8,31,5,13,0,0,9,69,139.02268826821947
8,28,5,11,0,0,14,67,136.4433929120127
7,28,11,12,1,0,12,72,148.6419664208953
13,32,8,14,0,0,12,78,155.919299249587
8,29,9,15,0,1,12,72,147.74773059150922
10,31,11,16,0,1,10,73,151.31070720395178
4,26,4,17,1,0,11,60,128.7145650879033
12,28,6,13,0,1,7,68,140.24712422032974
11,33,5,12,1,1,13,75,147.47699901291662
8,31,8,15,0,0,15,74,150.13420352549926
9,28,14,15,1,0,12,73,150.49209948014624
3,30,10,17,0,0,13,68,143.7580412851423
9,30,10,16,0,1,10,70,142.78417989523265
7,26,6,14,0,0,11,65,139.39494089939976
6,29,7,15,0,0,12,69,142.89892643372676
11,31,5,13,0,0,12,74,145.36084922496968
7,23,13,12,0,0,14,68,145.14946140664486
7,25,2,9,0,0,8,61,125.08484224200468
12,35,10,18,0,1,10,78,158.90138046768666
12,31,13,16,0,0,13,77,157.16606058935636
11,29,14,10,0,0,11,76,151.5965388859625
10,30,12,21,0,1,9,70,149.2695394675213
14,30,9,17,0,0,11,75,152.17174149738602
10,29,9,16,1,0,9,70,145.8276759423384
12,29,2,11,0,1,11,71,140.68190777397714
7,32,7,19,0,0,13,68,139.07243666543508
5,30,2,15,0,0,11,62,128.96667179976566
10,26,8,17,0,0,8,65,139.5586526308606
12,30,5,8,0,1,10,73,142.3157075511232
14,28,10,8,0,0,12,78,153.7538229554522
7,26,2,13,1,0,11,62,126.58422970310872
11,31,4,13,1,0,10,72,145.24195379756333
8,28,13,13,1,0,13,74,150.67216151610265
6,29,4,13,0,0,10,65,132.82865964359735
14,30,6,17,1,0,10,73,147.12283254902653
11,30,12,11,0,1,10,74,148.1582548490465
5,31,3,17,0,1,14,67,136.1824102931167
11,32,12,17,1,0,11,73,148.59817503530516
8,31,6,10,0,0,4,68,139.7263643264303
10,30,7,15,0,1,12,72,143.84027641693675
12,33,4,14,1,1,10,73,144.07682555833813
9,29,8,16,0,1,12,69,141.38680632115984
7,30,3,17,1,0,12,67,134.9534743333039
6,31,7,18,0,0,9,67,140.0158557955847
8,32,11,10,1,0,12,76,152.20224585042084
6,29,10,15,1,0,11,68,142.7578738278271
10,29,11,11,0,0,12,75,152.58984730328405
13,31,4,12,0,0,16,77,150.51332968521749
9,30,-2,12,0,1,11,66,130.4207234750104
12,34,10,13,0,0,13,79,154.02771952258016
12,32,11,9,1,1,11,80,157.00839833676943
13,32,11,10,0,0,11,80,158.25830439559633
9,29,5,16,1,1,10,65,132.98134688372176
6,29,11,11,0,0,10,71,144.56320554764417
6,29,5,15,0,0,12,66,133.43218927503852
7,28,6,11,0,0,9,69,141.91081905579412
7,27,6,10,1,1,11,67,138.17778405581225
12,30,2,16,1,0,12,67,134.8782597257887
6,33,8,15,1,0,10,73,146.95351246553602
11,31,10,16,0,1,9,75,152.3126332947218
9,33,12,12,1,1,14,80,157.25008017530072
9,28,6,12,0,0,10,68,138.57474893987052
16,28,10,13,0,0,13,78,158.35964883370002
11,28,5,15,0,1,10,67,135.83899543265025
13,31,9,15,0,0,10,75,153.10150260482587
8,29,3,17,0,1,13,67,139.261649501082
7,27,5,15,1,0,12,64,136.6490450058283
7,28,7,17,1,1,15,68,143.63010014450649
8,32,5,12,0,1,13,70,138.67432397629287
10,30,6,12,0,0,12,70,138.84184446590345
5,30,9,10,1,0,14,71,141.73572053601796
7,31,3,13,0,0,11,65,130.05505267128612
10,25,10,15,0,0,7,66,142.07169952641368
7,29,8,15,0,0,11,69,141.5688583242636
12,30,8,13,0,1,10,72,148.31737126565673
10,32,4,14,0,0,12,70,137.24758116456744
9,30,10,9,0,1,10,74,147.72368507657927
10,31,11,14,1,0,13,78,157.31316154274205
13,29,7,20,0,1,13,71,144.99126567089098
9,26,7,11,0,1,11,69,141.20094021780832
11,25,6,16,0,0,12,66,136.95732907127075
8,30,7,10,0,0,11,69,139.03552616435664
10,30,11,11,0,0,12,77,154.03525834975102
8,30,5,15,1,0,13,66,136.39121881498306
11,33,5,11,0,1,15,76,145.36279014181932
15,29,2,13,1,1,11,71,139.06525169885387
