participant_age,income_level,crime_rate,home_ownership,education_years,employment_status,funding_policy,public_safety_funding,perceived_safety
17,30,10,11,2,0,0,0,78.76173379081
40,21,8,21,2,1,0,1,87.33272241712143
15,27,5,18,2,0,1,1,81.77878541947995
22,29,4,15,2,0,0,0,79.35328077658843
25,25,4,19,2,0,0,1,84.92174000927352
49,24,1,14,1,0,1,0,78.29141733133247
21,29,9,8,2,1,0,1,77.75025495440875
20,25,4,18,0,1,0,0,78.76228785164744
25,28,7,19,1,0,0,0,84.57832180832207
13,24,8,18,3,1,1,0,78.50452892363559
34,25,4,16,1,0,0,0,80.86442038890942
19,21,6,9,2,1,1,0,71.54997857485893
29,22,4,10,0,0,1,1,75.22287273614566
15,27,5,14,1,1,1,0,77.35711309771636
13,22,5,10,3,0,0,0,70.66697354175874
13,23,6,13,3,0,0,1,77.79690745963833
21,24,6,22,1,1,1,1,86.06180474335213
27,29,6,13,2,1,0,1,82.6353053418882
33,25,1,20,0,0,1,1,84.86565827006466
15,22,9,10,2,1,1,1,75.79013869430193
15,25,6,19,2,0,0,0,80.63198154341835
22,26,7,17,2,1,1,1,84.98897838772565
36,27,3,24,2,1,1,1,90.26242519146074
11,31,3,19,2,1,1,1,85.50972593994375
13,21,7,12,1,0,1,0,72.78115475863727
10,21,2,12,0,0,1,0,70.85033640071244
26,22,8,12,0,0,0,1,76.27977867121007
27,26,6,10,1,0,1,0,76.46826142413124
25,21,7,24,1,1,1,0,86.0906534460547
20,30,7,21,0,1,1,0,84.73677327377118
25,25,7,20,1,0,0,0,81.98266405791227
18,24,4,19,1,1,0,1,82.0259428613335
10,23,4,13,1,0,1,1,76.46648179883262
10,26,5,15,0,0,0,1,79.09795040392801
23,17,6,23,0,0,1,1,83.6404493893475
38,22,5,18,2,1,0,1,83.85041429349683
43,22,5,12,0,1,0,1,78.81024599440286
26,25,7,10,3,1,1,0,75.80123083589783
7,28,0,17,2,0,1,1,79.7432998494699
37,27,6,8,1,1,0,0,75.49465347041499
23,20,1,16,3,0,1,0,74.2452289879772
13,19,2,14,2,1,1,1,74.73799716265505
29,23,6,6,1,0,0,0,70.6134636983641
22,22,6,21,1,0,0,1,84.6822180466566
19,18,7,16,2,0,1,0,77.93058136406538
19,22,8,11,3,0,0,1,77.70119923371996
29,14,4,14,1,0,0,0,71.88156397098993
31,22,8,17,1,1,1,0,81.29186811351248
30,22,5,10,2,1,0,0,73.81558864118765
42,18,4,18,1,0,1,1,82.05511300142598
26,23,7,11,0,1,1,1,77.00472215138207
32,34,1,9,0,1,0,1,79.2196351552255
16,27,9,22,0,0,0,1,85.8494203637294
23,29,8,14,0,1,0,1,80.73106511666012
25,20,6,9,0,0,1,1,74.28066046200414
21,23,4,13,2,1,1,1,79.79044844540644
24,25,9,16,1,1,1,1,82.55590305268728
6,24,5,27,1,1,0,0,84.01168574018037
15,21,3,4,2,1,0,0,64.1724903239803
34,29,8,9,1,1,0,0,74.83317687449855
12,32,10,23,0,0,1,0,85.69614992741279
28,27,6,19,3,0,1,1,86.85277022791652
32,18,7,22,0,0,0,1,83.97124550876168
38,18,5,20,3,0,1,1,85.53027826599656
25,21,4,19,1,0,0,1,82.25145031514977
18,18,5,24,1,0,1,1,83.61741826344529
28,21,5,17,2,0,1,0,79.49126346062685
25,29,5,17,2,1,1,0,82.74246181498295
20,31,2,17,3,1,1,0,83.63659122594407
11,26,2,15,1,1,1,1,77.90136633264909
25,18,2,7,3,1,0,0,67.9748120362975
12,23,9,8,0,0,0,0,70.56125676163043
28,24,5,18,2,0,1,1,83.18198882875669
18,23,4,15,3,1,0,0,76.28523364629308
42,32,10,23,1,1,1,1,93.9851255984591
12,20,6,27,2,0,1,1,88.24283744648098
22,24,4,18,2,0,0,0,78.46611410644104
14,19,9,13,2,0,0,1,76.38263405101998
22,20,7,14,1,0,1,1,77.54815337969508
14,29,4,13,0,1,1,0,75.68870330900027
16,21,5,14,2,0,1,1,77.26674359619263
26,27,5,16,1,1,0,0,81.61064998127074
19,16,2,16,2,1,1,1,77.31845059134089
39,23,4,14,0,0,1,0,75.18823398355923
36,23,5,12,0,1,1,0,75.97354519799957
25,28,4,14,2,1,0,0,78.88852590155538
8,22,6,18,2,1,1,0,78.59875445882619
31,23,3,10,3,1,1,0,75.51569263091338
27,18,3,17,2,1,0,0,78.80840949591544
30,21,2,19,2,0,1,1,83.74702459717675
29,23,5,11,1,1,0,1,75.8382670903696
39,21,6,19,1,0,1,1,86.2818291372999
22,26,6,18,2,1,0,1,83.58045607491422
4,28,3,16,1,0,0,1,80.05360301490134
42,27,6,16,3,0,1,1,86.23098682042477
21,24,4,16,1,1,0,1,79.38795848849387
22,25,5,24,2,0,0,1,88.46524163312222
15,27,4,14,1,1,1,1,79.94716132192258
19,29,8,16,2,1,0,0,82.13357768596414
33,20,2,18,1,1,0,0,78.48549258272163
16,25,7,12,1,1,0,1,78.23287671337657
11,23,3,2,2,1,0,1,67.86915655086332
36,25,9,12,1,0,0,0,79.94521483553231
22,18,4,20,1,1,1,1,82.07169846715679
4,21,7,23,1,0,1,1,83.8707407843229
35,16,4,18,2,0,1,1,82.66678718878701
8,22,8,25,2,1,1,0,84.79645348724921
35,23,10,6,3,0,0,1,77.6273585233461
6,25,5,5,1,1,1,1,72.18333192179021
25,18,6,13,2,1,0,0,75.31857608038418
34,27,5,10,3,1,0,0,75.52091243737543
22,23,7,12,2,0,1,0,74.83913608535596
13,24,9,8,1,0,0,0,70.34300678654708
18,24,5,15,1,0,1,1,80.2823928145303
25,29,6,11,3,1,0,0,76.75227389560094
32,24,5,15,3,0,1,0,78.65809548827626
33,22,5,16,3,0,0,1,82.47276273039446
25,32,6,19,0,1,0,0,84.08731394821642
8,21,10,12,1,1,1,1,77.45532032796928
40,25,5,15,2,1,0,1,82.46110254182803
29,27,10,16,0,1,1,0,81.15647433106508
17,22,5,19,0,0,0,1,81.81762051657799
31,22,8,11,1,1,1,1,78.60489297593091
26,18,11,12,2,1,0,1,76.07352877298649
43,22,4,12,2,0,0,1,80.28153993993737
24,24,7,13,2,1,1,0,77.55980785896884
30,24,4,14,2,1,1,1,81.83854861960762
33,23,9,20,2,0,0,0,84.39617139821496
30,26,7,24,0,1,0,1,89.56466059369505
26,22,11,17,3,1,1,1,87.28112802196281
6,22,8,12,2,1,0,0,73.61800654711558
29,23,5,13,3,1,0,0,76.84666873837057
38,26,5,18,1,0,0,0,82.26667559509468
18,26,10,17,1,1,0,0,82.68870743532068
38,23,5,12,2,0,1,1,79.4183751642419
23,20,7,22,0,0,0,0,82.32129811355797
11,22,4,5,0,1,0,1,66.94405847360304
13,26,6,15,2,1,1,0,78.35409949765484
22,20,4,22,3,1,0,0,82.28288658240795
26,23,3,25,1,0,1,1,88.8017754841441
5,18,4,16,2,0,0,0,73.07245596940878
19,26,4,17,0,1,1,0,78.80992521006588
30,24,3,16,1,0,0,0,78.76820219200978
33,31,4,28,2,1,1,0,93.63587968259591
13,21,8,11,2,0,1,1,75.88319735922887
31,19,7,19,2,0,0,1,83.70378103532789
15,30,9,15,1,1,0,0,81.21651335693309
29,24,2,13,1,1,0,1,77.77567697063594
33,19,6,14,2,1,1,0,78.65324611305893
20,23,2,23,3,1,0,1,85.94174216603498
22,27,5,12,1,1,1,0,76.881640313264
9,26,10,14,0,1,1,0,75.8437323280792
38,16,5,12,3,1,1,1,78.49071279072412
17,19,9,24,0,0,1,0,79.9048181860207
22,26,1,22,1,0,0,1,83.33764274972597
28,26,2,17,2,0,0,0,79.548021621202
26,17,5,15,2,1,0,0,74.71973060333107
22,27,6,12,2,1,0,1,79.38619946104862
21,22,9,23,2,1,1,1,87.35369498140405
32,21,4,9,3,0,0,0,73.04565563382535
26,23,4,13,0,0,1,1,75.989046972874
23,25,4,17,0,0,1,0,77.31537365294636
19,23,7,11,1,1,1,1,75.34841407660906
19,24,5,16,1,1,0,1,81.78806640763261
35,19,1,16,0,0,1,0,75.540340987842
4,29,9,8,2,0,1,0,73.76708734776317
43,13,6,19,0,0,1,1,80.52220275085006
28,22,9,26,2,0,1,0,88.58693674656648
32,28,0,12,3,1,0,1,79.3486736395222
25,25,4,13,1,1,1,1,79.23984499464032
26,20,3,23,1,1,1,1,83.6114953401987
16,25,7,15,2,0,1,1,81.85054527955653
15,25,7,18,3,1,0,0,81.22303718369439
16,23,5,16,3,0,0,0,79.1116465207671
26,18,8,21,2,0,0,0,82.00946840921387
30,18,8,19,3,0,0,1,83.25707096313117
31,17,8,23,1,1,1,0,83.94439641895808
16,22,7,16,1,0,0,0,77.62749827560808
17,23,5,18,1,0,0,0,78.66079568310985
28,25,3,18,1,0,0,1,80.94329709074526
16,19,6,16,1,1,1,1,79.53975191454491
23,26,3,9,3,0,1,0,73.28110428376257
35,28,8,15,1,0,0,0,81.54202681353459
32,30,6,12,2,1,0,1,82.77357655654092
6,18,5,12,4,0,1,1,74.49562887212149
15,25,5,12,3,0,1,1,78.46014128264571
30,15,7,17,2,0,0,1,80.58691704756738
41,20,5,21,4,1,0,1,89.47187543103736
13,25,5,15,0,0,0,0,75.93492403754996
22,26,5,14,1,0,0,0,76.17837160367962
41,26,8,19,1,1,1,0,83.77145896675971
25,28,5,16,2,1,0,0,82.58893527609592
26,18,6,16,1,0,1,1,78.97541723296928
26,26,2,13,1,0,1,0,75.20390351854415
15,20,3,18,1,0,0,0,74.77089843901
37,30,6,18,1,0,1,1,87.9186083038881
32,29,7,12,2,0,0,1,82.82442707338537
28,28,3,14,2,1,0,0,80.2106253234309
29,17,4,23,0,0,1,0,80.92156131636426
44,22,5,18,0,1,1,1,84.60683965883422
22,23,3,24,0,0,0,0,81.14624443291946
5,17,9,24,0,1,0,1,83.56389594675181
15,24,5,23,2,0,0,1,85.74384936132823
18,29,6,19,2,0,0,0,81.50943200430042
4,23,7,15,3,0,0,0,74.51166210256734
24,24,3,17,0,0,1,1,81.25790666155143
32,31,5,17,3,1,1,1,86.96390088454561
34,24,10,14,1,0,0,0,79.21773096732537
33,23,1,11,1,1,0,1,76.20192039434407
5,22,7,18,2,0,1,0,78.66342259947041
19,13,2,10,0,0,0,0,67.17348100633717
39,20,2,16,2,0,0,0,78.66567301812876
22,26,8,16,3,0,0,1,83.22658439404633
37,24,4,10,1,0,1,1,79.34531999644986
40,19,8,13,3,0,1,0,78.03393353415356
34,22,6,7,1,1,1,0,72.8988925353833
26,21,6,23,3,1,0,1,87.83747454587906
38,29,7,22,2,0,1,0,87.33032056725213
29,26,5,9,1,1,1,0,76.21698164890849
27,27,4,20,1,1,1,1,84.77990176296903
25,22,5,11,0,0,1,1,75.00054271365711
22,18,7,17,2,1,0,0,76.16358731804043
34,25,6,14,1,0,1,1,82.02760362874609
29,24,4,21,1,0,0,0,81.32634174726466
34,23,9,20,0,0,1,1,84.34944201458275
32,21,6,17,3,1,1,1,82.71889317910512
12,18,5,16,1,0,0,1,77.21635853014452
27,26,5,18,1,0,1,1,84.19479099398802
50,16,10,15,1,1,0,1,83.3261916796645
8,22,2,13,3,1,1,1,76.09825641025671
32,17,8,13,0,1,1,1,78.16418313817843
20,23,1,18,1,0,1,0,78.77886332059805
18,19,4,9,3,1,1,0,70.40283095837606
33,24,5,13,0,1,1,0,76.13368934090596
42,18,4,12,0,1,1,0,74.46703777244066
4,25,7,23,2,1,0,1,85.35359500455796
14,27,6,19,0,1,0,1,83.50950058605476
14,23,3,8,4,1,1,0,71.4347808284943
44,29,3,17,1,1,0,1,86.38447722585808
23,22,6,27,2,0,0,1,89.61932415424764
15,18,10,17,3,0,1,0,77.63720161960408
33,22,2,21,4,0,1,1,86.91879278647752
47,21,7,12,0,1,1,1,79.82853949268775
6,24,-1,18,2,1,0,1,77.35579303224358
27,22,4,12,2,0,1,1,76.85724338493942
38,16,5,15,2,1,1,0,77.33135360733988
26,20,5,21,1,1,1,0,80.85124348649245
17,28,9,13,2,0,0,0,78.6337615660407
38,18,6,16,0,1,1,1,81.18957896443067
19,25,10,24,1,1,0,1,88.48663006245155
29,27,5,15,2,0,1,0,78.87054655853329
35,15,6,23,0,1,1,1,84.38532787648714
10,19,8,15,1,1,1,1,79.70514816548672
32,18,6,16,1,1,0,0,78.84608752535833
37,24,4,16,2,0,1,1,83.75730959896873
23,18,7,13,2,1,1,0,75.71111384102247
21,29,3,14,2,0,1,1,81.4748730892345
15,26,6,11,2,1,1,0,75.21538499581958
19,24,4,17,2,0,0,0,78.78859431842459
28,26,7,13,2,1,1,1,81.90199646534278
1,28,5,8,1,1,0,1,73.5511722103519
33,28,7,16,1,1,1,0,82.21431899802722
21,22,8,13,1,0,0,0,74.0581978960148
28,23,8,10,0,0,0,0,73.24403526189016
25,17,5,12,2,1,0,0,72.93224771835978
23,26,5,18,2,1,1,1,83.25849489785644
10,27,4,17,1,1,0,0,78.46990307728667
33,28,8,8,1,0,1,1,78.55942642210205
-1,25,2,13,1,0,0,1,72.64156248899499
37,25,8,16,2,1,0,0,81.99196093022844
39,22,8,16,1,1,0,1,84.80925893008059
32,25,5,16,2,1,1,1,83.4590289620163
11,23,6,17,0,1,0,0,77.72099661266775
35,22,-1,11,1,1,0,1,75.77692312497432
21,29,7,8,0,1,0,0,73.172249926025
20,27,3,15,2,0,0,1,78.41519543460149
26,25,5,18,3,1,1,0,81.97600397719532
21,29,6,14,1,1,0,0,78.54668879572023
9,24,4,12,1,1,1,0,73.77957491329755
24,27,7,14,0,0,0,0,77.03402261519545
25,27,5,23,2,1,1,0,88.55221562960179
30,20,7,16,2,0,0,0,76.25948366737308
30,25,11,18,2,0,0,1,86.29357922847328
36,20,7,13,1,0,1,0,77.0281940124262
27,25,5,31,1,1,1,0,90.73875097899904
40,21,9,17,2,1,1,1,84.69734920967821
37,24,10,10,0,0,1,1,78.62849148947977
20,27,10,4,1,0,1,1,75.01981314659113
34,28,5,18,1,1,0,0,84.04980065959333
43,27,5,15,3,0,1,1,85.10869188960386
24,19,4,12,1,1,1,0,74.61769674839194
36,25,6,25,0,1,0,1,89.25047255739373
21,25,7,16,1,1,1,0,78.96749910224112
11,21,2,19,1,0,0,0,75.0738403113392
13,25,6,12,2,1,1,0,74.47885733238873
36,22,9,17,2,1,1,1,85.20566968749903
24,22,6,17,0,1,0,1,79.56338428290732
5,25,3,18,1,1,1,0,76.45049992029536
18,24,5,15,2,1,1,0,77.88747122970346
14,25,6,11,0,1,1,0,72.96341274856293
43,22,4,19,1,0,1,1,83.29362517705309
6,25,5,14,2,0,1,1,77.88389081336675
25,24,10,12,3,1,0,1,79.28789226691059
18,24,2,13,2,0,1,1,76.80232896882715
25,23,6,19,2,1,1,0,82.07465029727486
19,22,5,14,2,1,0,0,78.43548354519052
34,23,9,10,2,0,0,1,79.65090548821738
32,19,11,17,1,1,0,1,84.57747851678637
27,22,8,18,1,0,0,1,84.3048322889185
21,20,7,16,2,0,0,1,79.48690512696993
24,27,6,18,2,0,1,1,83.6975118380539
15,26,8,21,1,1,1,1,87.68668225754712
30,21,1,15,1,0,0,0,75.91125900372222
13,20,7,19,2,0,1,1,81.16973366262562
15,28,6,17,0,1,0,1,81.44097512849943
40,29,3,14,2,0,1,1,83.37547392503019
18,34,1,17,0,0,1,1,83.86658441984895
32,23,7,9,3,0,1,0,75.21424508833316
15,25,3,18,1,0,0,0,77.34568258545788
12,20,10,13,2,0,0,0,75.00165083154032
32,25,2,25,1,0,0,1,87.49699921169002
11,22,5,12,0,0,0,0,71.31074012120699
35,26,7,18,2,1,1,0,83.87905104249083
25,27,6,22,2,1,1,1,90.4836074071793
19,21,6,22,2,1,1,0,82.66114341398082
41,23,6,20,3,1,1,0,84.70481032435288
19,18,9,21,2,0,0,0,80.8554411143455
23,29,3,9,2,0,0,1,76.8412176456229
24,20,5,12,2,1,1,0,76.80482334402056
10,28,5,25,0,1,0,1,86.21276445369357
33,18,9,20,2,1,0,0,84.35160567103684
11,23,8,21,2,0,0,0,80.63946848466067
27,24,7,17,2,1,1,1,84.90413047611209
21,18,10,22,3,1,0,1,86.62665694624434
