age,education_years,income_level,social_support_score,gender,minority_status,community_resource_availability,community_program_participation,social_mobility_score
9,29,9,10,0,0,9,-4,26.748047355733863
7,30,5,8,1,0,7,-2,38.00806314050602
8,29,8,16,0,0,11,-4,28.91313935574862
10,29,10,17,0,1,9,-10,-5.0387866738179286
12,31,6,18,1,0,7,-10,-3.8839267968858167
13,31,5,15,0,1,7,-12,-14.847177361915971
9,28,7,17,1,0,13,-4,30.129241941047088
4,31,12,13,1,1,12,-8,3.3626246125135304
18,29,7,14,1,0,3,-13,-21.003687448791855
13,28,7,17,1,1,7,-11,-7.969486125094246
8,28,7,14,1,1,8,-4,27.679810973442358
10,28,6,9,0,1,4,-6,17.885952809475214
13,29,6,12,1,0,9,-5,24.186146341085653
10,31,12,6,1,1,5,-6,17.994392301348523
8,27,8,17,0,1,7,-8,6.847613892126938
11,29,2,15,1,0,9,-6,16.823138198186182
11,29,1,17,1,1,9,-9,-0.4422976944501631
9,33,11,15,1,1,10,-9,0.8682020461292334
3,30,5,15,1,1,8,-5,22.30748359095132
10,27,8,14,1,0,7,-6,18.8028052235394
10,31,7,10,1,1,9,-7,11.030956390394495
14,26,9,10,1,0,8,-5,22.872964756860465
5,32,8,11,1,0,10,0,53.24776910201975
8,26,8,8,1,1,8,-1,44.3990534610165
13,28,6,16,1,0,5,-9,3.36978761926317
12,27,7,12,0,0,13,0,53.296861987274745
11,26,10,13,1,0,7,-5,24.864136194594547
11,27,8,14,1,1,6,-9,1.079319509664161
13,27,4,10,0,1,6,-2,42.242941377321
5,33,16,16,0,0,7,-10,-5.05176330386595
8,26,8,14,0,0,8,-3,33.38524447597201
10,27,3,18,1,0,8,-6,18.554429379465503
7,29,5,15,0,1,13,-3,34.302120384807324
5,26,7,14,0,0,11,-1,43.84600227868932
7,29,7,17,0,0,10,-6,14.35336930263384
7,26,9,13,1,0,9,-2,36.95229520035656
4,32,8,13,1,0,10,-4,29.728408703925645
14,29,12,8,1,0,9,-7,12.162531049824947
9,31,8,13,1,1,7,-9,0.3285806426838482
8,30,9,13,1,1,6,-9,1.6598691288279392
5,29,9,11,0,0,10,-2,39.6420180412528
10,26,7,18,1,1,9,-6,19.30482144551428
10,26,6,14,0,0,9,-1,47.54092434160184
6,31,3,17,0,0,10,-6,13.267850198080748
4,29,10,13,1,1,9,-5,22.84304466326145
11,27,6,13,0,0,9,-3,35.14426459780123
9,32,5,13,1,0,8,-6,19.8289006953372
9,26,-1,10,1,1,8,2,60.51497626945714
10,34,2,13,1,1,7,-11,-10.622972896360263
13,27,10,10,0,0,11,-3,35.520072826536705
5,30,12,15,0,1,6,-8,5.487990932295384
6,33,5,8,0,0,8,-2,35.30450326097729
8,29,13,15,0,0,8,-5,26.102620163303044
7,26,13,15,0,0,8,-4,29.44298308956748
17,29,4,13,0,1,10,-5,22.269491100206334
11,32,12,15,0,1,10,-11,-10.287447335941447
14,32,6,14,1,0,6,-12,-15.12734004106721
9,31,4,10,0,1,8,-5,20.619465152919528
8,34,9,10,0,1,8,-5,24.47978108887495
10,29,9,16,0,1,7,-4,35.915229566997
8,35,10,12,1,1,8,-11,-11.073707421226622
8,27,6,10,1,0,10,0,48.456279002814334
9,32,10,13,0,1,10,-9,-2.818436674606029
8,26,9,13,1,1,10,-3,32.82003549236001
9,31,8,17,1,0,9,-11,-7.612403113259889
11,31,13,15,0,1,8,-13,-18.246806799743865
9,29,7,16,0,1,9,-6,17.81216392497634
11,30,6,12,0,1,9,-6,18.885386673183092
7,29,9,15,1,1,6,-10,-6.506434980085517
6,32,4,10,0,1,9,0,51.83736785364841
5,33,6,19,0,1,9,-12,-18.337053104027884
9,31,2,11,0,0,3,-7,10.972949962398928
10,30,13,18,1,1,8,-10,-0.7562722428315687
7,31,7,15,1,1,8,-8,7.8274574917749025
10,28,5,7,0,0,10,0,47.8020033476673
9,33,10,15,1,1,7,-12,-15.191633269027337
12,30,6,14,1,0,12,-4,31.22425966816164
11,27,8,14,1,0,10,-5,21.98387430265597
12,31,5,17,1,0,8,-8,8.07935638554133
14,25,2,14,1,1,10,-3,33.66790585596607
13,24,9,15,0,1,10,-5,25.47038154740651
11,28,7,14,1,0,7,-5,25.85478718358104
8,31,11,6,1,0,10,-3,31.09781275529148
10,26,4,12,0,1,6,-4,25.38956786714556
6,28,6,12,0,1,11,0,51.9838651356894
10,29,8,15,0,1,10,-5,23.46131081609796
5,29,5,20,0,0,8,-6,17.160480571464767
8,29,7,16,1,1,11,-4,29.464866357127114
9,29,13,11,0,0,11,-5,24.07303105837425
0,32,13,14,1,0,12,-4,26.739924264053027
15,30,10,12,1,1,8,-11,-6.228276572870821
15,31,7,13,1,1,7,-11,-8.799293733470282
5,29,5,18,0,0,9,-5,19.307669018803804
5,31,3,11,1,0,9,1,53.63155415734671
3,32,7,12,1,0,13,-5,17.57383730730102
13,29,7,12,0,0,6,-7,13.02766617263583
10,28,7,12,0,0,9,-4,27.26036889166277
7,26,4,10,1,0,11,1,50.307340575551294
10,29,8,16,1,1,10,-7,10.579466670778196
6,27,6,14,0,1,4,-4,28.438082302825634
7,28,6,14,1,1,9,-4,28.04323142776233
10,30,8,16,1,0,8,-8,9.627855644522056
11,30,10,17,1,0,6,-12,-13.655588452170086
8,27,10,20,1,1,9,-9,3.4996003401843163
5,32,6,15,1,0,8,-6,18.231634905684565
14,30,8,8,1,1,10,-4,28.94596692898932
9,29,6,17,0,0,4,-8,7.236386072029637
4,31,5,9,0,0,7,0,48.22425142502398
11,32,5,12,0,0,8,-7,12.066727843087476
13,25,7,19,0,0,8,-6,23.52281158627424
12,29,9,14,1,0,10,-6,16.96635344284182
12,32,10,12,1,1,9,-11,-9.401493258999434
3,29,11,8,0,1,10,0,45.90878186784783
6,27,11,15,0,1,10,-2,40.79935554037303
12,29,2,13,0,0,11,-3,34.69903475498728
2,28,4,13,0,1,8,-2,35.2293335790209
10,28,8,14,1,1,9,-9,1.899121414103936
12,30,11,14,1,0,6,-11,-10.06889599712493
12,31,-1,7,0,1,4,-4,26.1584963032681
12,30,7,8,1,1,7,-6,16.475155216401056
8,30,7,16,0,0,10,-4,31.07190133009319
10,32,9,15,0,0,9,-7,13.579177015387662
13,29,6,14,1,1,13,-9,0.0451719991297032
13,29,6,15,0,1,7,-8,7.640230614823073
14,32,4,12,1,0,8,-10,-5.03442979955104
11,33,6,16,1,0,6,-11,-7.234592335654822
9,29,16,16,1,1,6,-11,-5.18239389206976
13,31,8,13,1,0,4,-13,-18.7918646417698
10,26,7,12,1,1,11,-1,42.44589704972481
8,32,9,14,0,1,11,-5,22.99509517072585
6,28,11,17,0,1,9,-6,18.513619521689936
10,26,7,10,1,0,11,0,52.90147151321111
9,33,12,17,0,1,10,-14,-30.06184843466845
12,31,13,12,0,0,10,-8,8.717452514421572
12,29,13,14,1,1,8,-12,-11.042183218064508
10,29,9,16,0,0,10,-6,16.754427864341274
8,27,3,14,0,0,8,0,49.95194142869524
10,33,11,9,1,0,7,-8,4.889289342581984
11,28,6,12,1,0,3,-6,17.22772865456438
13,30,12,14,0,1,9,-7,14.112641584861343
10,31,10,14,0,0,6,-9,4.017242994708203
8,30,10,14,1,1,10,-9,1.9593622970712543
12,30,8,12,0,1,13,-5,22.49877710412996
13,26,12,16,0,0,7,-7,14.751630876648242
11,28,7,15,1,1,8,-9,0.7601434346802629
9,30,7,13,0,1,5,-8,6.751680133690971
12,32,4,10,0,1,9,-9,-3.0154848597279185
12,34,6,14,0,1,7,-12,-14.936167907679492
7,28,7,14,0,1,6,-6,13.661597955106696
12,28,7,13,0,0,11,-4,27.783406479118607
14,31,10,17,0,1,10,-14,-26.0818358699273
8,26,10,16,0,1,8,-5,24.15275318563491
8,31,8,12,1,1,7,-7,11.085684605679548
9,31,9,11,0,1,9,-7,10.476631416054424
10,27,6,15,0,1,8,-5,22.915588741919017
10,31,8,13,1,1,16,-3,35.62906845791488
9,31,5,16,0,1,10,-9,-0.1536505841709308
6,25,3,13,1,0,10,0,47.604426082194536
10,34,8,11,1,0,8,-11,-9.314199889429888
12,31,3,13,1,0,6,-5,25.839058457632877
15,33,8,9,1,1,9,-8,7.68154295480725
10,28,3,15,0,1,9,-5,22.59217255512494
10,33,9,13,1,0,12,-8,5.123009354173925
10,33,0,16,0,0,6,-8,6.264227654133057
9,32,4,16,1,0,9,-7,12.950851439350002
10,29,8,11,1,1,8,-5,21.029439601993257
5,31,6,13,0,1,11,-5,22.81458429486099
15,27,11,7,1,1,8,-6,18.35875344412105
13,26,10,9,0,1,9,-3,34.25759545015185
7,28,8,9,1,1,7,-4,24.600368461221848
11,30,2,14,1,1,8,-6,16.22539757755757
7,32,8,15,0,1,8,-9,0.5252905787221498
9,28,5,17,0,1,9,-8,3.727904906097572
9,29,9,14,1,0,8,-9,0.950502837910664
9,27,5,12,1,1,11,-2,37.42454330274957
9,30,6,15,0,1,7,-4,28.53321575572546
13,27,10,19,1,0,11,-9,7.414030247404204
10,28,4,17,1,1,9,-5,24.47564611796957
8,31,10,13,0,0,11,-5,24.476238411956796
9,29,11,14,1,0,8,-7,12.559247508163688
12,29,13,9,1,1,6,-11,-11.05081678607606
11,36,9,15,1,1,8,-14,-24.994630914714605
13,32,4,16,0,1,5,-10,-3.39263238237874
10,29,8,18,0,1,6,-12,-15.129101011040197
10,26,5,11,0,1,6,-4,28.54209746494011
16,29,13,16,0,0,7,-15,-33.43998037383662
10,28,3,12,1,0,10,-3,33.51661994985132
13,25,4,13,0,1,8,-3,36.29645923466249
10,29,10,12,1,0,11,-5,25.386912737106957
11,31,8,16,1,1,8,-7,14.690554777729629
7,33,6,15,0,0,9,-8,5.254411076888103
10,27,9,12,1,0,6,-5,23.661236012624293
5,32,7,15,0,0,9,-7,7.648084239039852
16,32,8,11,0,1,9,-12,-16.836010323731344
11,29,4,15,0,0,7,-7,13.355548780777358
11,30,5,17,0,0,11,-6,17.67939535878561
9,28,8,12,0,1,8,-2,41.9451706351793
10,26,9,11,1,0,9,0,49.45132069923766
9,27,5,8,0,1,10,0,49.61386001914192
10,28,7,15,1,0,11,-7,13.21963211148962
8,29,2,10,1,1,7,-2,37.6304020931918
6,27,2,18,1,1,9,-4,28.96002906756447
12,28,7,10,0,1,9,-1,45.74009865891672
12,26,9,14,1,0,9,-6,17.038219503953417
12,31,4,14,1,0,6,-7,15.33736319944614
6,30,5,14,0,0,6,-4,30.124539966721635
10,32,7,11,1,1,14,-5,23.920803688987444
11,28,7,15,0,0,9,-7,12.004667180956838
12,33,13,11,0,1,7,-11,-11.415810897986995
10,30,8,14,0,1,8,-8,5.463737033874982
9,28,11,11,1,1,10,-6,16.53561061332636
7,30,7,14,1,1,9,-8,4.890490595692128
10,28,0,10,1,0,8,-1,42.52740184202526
8,34,9,15,1,0,8,-11,-11.21634274942821
7,32,10,12,0,0,5,-7,12.824598895432535
11,30,10,17,0,1,12,-8,6.8526295167236215
15,31,9,18,0,0,8,-12,-8.988180579229484
10,31,8,10,1,0,11,-6,15.77871838222344
10,31,14,15,0,1,9,-13,-19.322951424639008
11,30,1,14,0,1,6,-6,17.540001871713667
9,30,8,7,1,0,8,-3,33.96057101972591
9,27,4,11,0,0,9,-1,43.51266020926233
4,29,5,12,1,0,11,-1,43.83088119086104
9,28,12,17,1,0,10,-8,7.822861825352326
13,31,5,20,0,0,10,-10,-1.6252291234077163
6,34,5,11,0,0,9,-4,25.116305876114986
10,32,9,17,1,0,10,-9,0.7340663731466488
8,27,11,12,1,0,11,-3,32.08424940231103
7,29,12,13,1,0,9,-5,25.33711712050613
8,28,2,17,0,0,7,-2,40.22307848668158
8,31,5,17,1,1,7,-7,15.191117562772408
9,34,5,13,0,0,7,-10,-4.491335208937398
11,29,7,19,0,1,8,-9,6.510094225492237
14,30,6,16,0,1,9,-8,8.603350324429817
13,29,4,13,0,1,9,-4,27.527379584797117
13,30,10,12,1,1,7,-12,-15.691752870544343
11,28,10,11,0,1,7,-7,12.214453189098254
12,29,8,5,1,1,7,-3,35.31477171699638
11,28,7,13,0,1,12,-4,29.430908909659788
13,29,9,12,1,1,10,-10,-5.952019592316869
7,32,11,15,0,1,9,-11,-10.852679754825877
6,27,10,15,1,0,7,-2,39.89848688204636
14,27,5,12,1,0,6,-6,16.808746614054588
8,31,8,18,1,1,7,-11,-7.858109502000943
